Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities,Appliances,Elevator,Room Area,Balcony,Floor,Links
House,Stone,1200 sq.m.,3,6,3+,Designer Renovation,1500 sq.m.,"Babayan street, Yerevan",$300 daily,USD,"LUXURY VILLA IN MANUMENT:Daily / long termNewly built private house for rent.Attention is not given for 1 day, starting from 3 daysThe house is equipped with all the necessary accessoriesLiving roomBedroom - 5:Bathroom - 3:LaundryOfficekitchenSummer kitchen recreation area.Code 1336Translated from Armenian",Nov-24-2022_22-40,Available,2 spots,8+,Negotiable,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16412071
House,Monolith,1000 sq.m.,3,6,3+,Designer Renovation,500 sq.m.,Yerevan › Arabkir,$300 daily,USD,"Arabkir - Blur districtYou will feel out of town in one of the busiest districts of YerevanA three stored house is for rent in Blur district.Kitchens and bathrooms are tiled, furnished with modern furniture and sanitary ware.All the rooms are furnished. There are balconies on the second and third floors, from which a beautiful view of the Hrazdan river opens.Large gates are installed at the entrance. On the ground floor there is a large swimming pool and sauna. There is also a space for summer rest, where there is a summer kitchen and a barbecue. This private house is very convenient both for living a comfortable life and for enjoying peace.For more information callTranslated from Armenian",Nov-24-2022_22-40,Available,2 spots,8+,Negotiable,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17428934
Townhouse,Stone,1000 sq.m.,3,8+,3+,Designer Renovation,,"Aghusagortsneri street, Yerevan","150,000 ֏ daily",AMD,"7756Գեղեցիկ առանձնատուն այգիով։ Ամբողջովին կահավորված, մշտական տաք և սառը ջրով, Wi-Fi ինտերնետով, խոհանոցային և անկողնային բոլոր պարագաներով։ Այգում կա ամառային խոհանոց և բուխարի։ Բակում 2 մեքենայի համար նախատեսված կայանատեղ։ Բակում կա բաց լողավազան։Զբաղված ՕրերNice Villa with big garden. Fully furnished and equipped, 24/7 hot and cold water, Wi-Fi internet. All necessary bedding and kitchen utensils included․ Has internal parking area for 2 cars. There is an open-air swimming-pool, summer kitchen and fireplace in garden.Красивая вилла с большим садом. Полностью меблирована и оборудована, 24/7 горячая и холодная вода, Wi-Fi доступ в Интернет. Все необходимые постельные и кухонные принадлежности включены. Имеет парковку на 2 машины. В саду есть открытый плавательный бассейн, летняя кухня камин-мангал.",Nov-24-2022_22-40,By agreement,3 or more spots,8+,Negotiable,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/14309507
House,Monolith,1200 sq.m.,1,4,3+,Designer Renovation,1000 sq.m.,Yerevan › Ajapnyak,"$3,500 monthly",USD,"Luxury Villa:It is for daily rent and long-termModern houseFurnished in design style.There are all the facilities to enjoy your vacation, to celebrate any occasion,If desired, service personnel are provided.To get acquainted with the details, call the mentioned phone numbers.11.00 to 24.00 Stylish private house for 50 people without accommodation with all its amenitiesWith 10 parking spacesCode 1409Translated from Armenian",Nov-24-2022_22-40,Available,3 or more spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16376091
House,Monolith,600 sq.m.,4+,8+,3+,Designer Renovation,600 sq.m.,"Erebuni street, Yerevan",$200 daily,USD,"Daily/ long termNewly built private house for rent.Attention is not given for 1 day, starting from 3 daysThe house is equipped with all necessary accessoriesLiving roomBedroom - 4:00Bathroom - 4:00CinemaLaundry roomOfficekitchenSummer kitchen, recreation area.Any questions regarding the price will be discussed only after seeing the house.Code 1270Translated from Armenian",Nov-24-2022_22-40,Available,3 or more spots,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16151125
House,Monolith,530 sq.m.,3,6,3+,Major Renovation,360 sq.m.,"Davit Bek street, Yerevan","$2,800 monthly",USD,"Վարձով է տրվում եռահարկ առանձնատուն Դավիթ Բեկի փողոցումLuxury House in Davit Bek is for rentԱռանձնատան առավելությունները•Ընդհանուր մակերեսը 530ք/մ•Շինության մակերեսը 360ք/մ•Կապիտալ նորոգված•2 հյուրասենյակ•4 ննջարան•1 հանգստի սենյակ, որը կարող է ծառայել ննջարան•Աշխատասենյակ•3 լոգասենյակ•Ջեռուցման համակարգ•Օդորակիչ•Սպասք•Անկողնային պարագաներ•2 բաց ապտշգամբ•Բիլիարդ•Թենիս•30 հոգու համար նախատեսված տաղավար•Մանղալ•Կանաչապատ, բարեկարգ բակ•2 մեքենայի համար նախատեսված ավտոտնակՏրվում է 4 ամսից սկսած ժամկետով6 ամիս և ավել վարձավճարը ՝ $22004-5 ամիս $2500Luxury House in the one of most peacefull parts of Yerevan is for rentADVANTAGES:•3 stroey building•Territory 530 sqm•Building 360 sqm•Fully Renovated•4 Bedrooms•1 free room which can be used as a bedroom•3 Bathrooms•Individual heating system•Conditioners•Utensil•Bedding•Biliard•Tenis•Buggy for 30 people•Barbeque•Green yardThis house can be given for 4 and more months4-5 months rent price will be $2500 per month6 months and more rent price will be $2200 per monthԿոդ 1279",Nov-24-2022_22-40,By agreement,2 spots,8+,Negotiable,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16187279
Country House,Stone,400 sq.m.,3,5,3+,Designer Renovation,,"Noy District, Yerevan",$300 daily,USD,"Վիտրաժային տեսարանով գեղեցիկ տունԿապիտալ վերանորոգված էտրվում է երկարաժամկետև կարճաժամկետ։Ունի 4 ննջասենյակ, երեք լոգասենյակ, օդորակիչներ, լ»ղավազան, ավտոտնակ։NOY district available for long and short rentals.Here are 4 bedrooms, 3 showers, garage, water pool, a/c.",Nov-24-2022_22-40,By agreement,2 spots,8+,Yes,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/13061611
House,Stone,100 sq.m.,1,3,2,Major Renovation,300 sq.m.,"Armenak Armenakyan Street, Yerevan","400,000 ֏ monthly",AMD,"A private house is for rent in Nork-Marash. It is renovated, has constant water, gas, heating system, is equipped with necessary property and equipment. Also for sale. Call for details.Translated from Armenian",Nov-24-2022_22-40,Available,1 spot,4,Yes,Yes,Not included,2 months,INternet,"FRidge, stove, washing machine, water heater",,,,,https://list.am/en/item/17846811
House,Stone,1500 sq.m.,3,6,3+,Designer Renovation,,"Zovuni 6 street, Zovuni",$300 daily,USD,"Beautiful Mansion in ZovuniIt is for daily rentFully renovated, furnishedThere is an indoor swimming pool with light effect and Jacuzzibedrooms - 5 piecesBathroom-2 piecesBathroom - 2 piecesSpacious living room, kitchenConvenient place to spend your vacation to the fullestBeautiful garden, parking for carsprivate house for daily rentTranslated from Armenian",Nov-24-2022_22-40,Available,2 spots,8+,Negotiable,Negotiable,By Agreement,By Agreement,,,,,,,https://list.am/en/item/12467072
House,Monolith,650 sq.m.,2,6,3+,Designer Renovation,360 sq.m.,"Vahagni street, Yerevan","$3,700 monthly",USD,"Վարձով է տրվում 2 հարկանի նորակառույց մոդեռն առանձնատուն՝ 290քմ բնակելի մակերեսով և 650քմ հողատարածքով, որը գտնվում է Վահագնի թաղամասում:Առանձնատունը կապիտալ նոր կառուցված և դեռևս չբնակցված էԲաղկացած է 6 սենյակից՝ 4 ննջասենյակ՝ բոլորը իրենց զգեստասենյակներով,3 լոգասենյակ, խոհանոց ՝ մուտքով դեպի տերասսա և հյուրասենյակ՝ բուխարիով:Առանձնատունը ջեռուցվում է գազի կաթսայի միջոցով, բոլոր պատուհանները ջերմամեկուսիչ ենՏեղադրված է նաև օդորակիչներ, հատակը ծածկված է մանրահատակով և պրեսգրանիտովԱռանձնատունն ունի կանաչապատ և բարեկարգ բակ, ավտոտնակ՝ նախատեսված 2 մեքենայի համարԿոդ 1702",Nov-24-2022_22-40,By agreement,3 or more spots,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16420757
House,Stone,805 sq.m.,3,8+,3+,Designer Renovation,507 sq.m.,"Qeri street, Yerevan","$7,000 monthly",USD,"In one of the busiest districts of Yerevan, Blur district, a luxurious three-story private house is for long-term rentThe total area of the building is 802 square meters, and the adjacent land area is 507 square meters.A private house renovated with unique design solutionsThe house is furnished with modern and special furniture and appliancesThe kitchens and bathrooms are tiled with high quality and elegant tilesOn the 1st floor there is a lobby with 2 entranceskitchen and bathroomOn the 2nd floor there is a hall with a spacious open balconyLiving room6 bedrooms with their own bathrooms and dressing rooms2 open balconiesThere is a large hall on the 3rd floorkitchen and bathroomIn the yard there is a stained-glass pavilion, a bathroom, a swimming pool, a fireplace, a summer kitchen, a grill, a toaster, a laundry room.There is a swimming pool on the mezzanine floor2 types of sauna, game room, kitchen and bathroom.There is a garage for 3 carsThe mansion has a green garden with ornamental treesThe house is fenced, there is a security system.Code 1590Translated from Armenian",Nov-24-2022_22-40,Available,3 or more spots,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17736922
House,Stone,200 sq.m.,3,4,2,Euro Renovation,1800 sq.m.,"Silikyan 1st street, Yerevan","100,000 ֏ daily",AMD,Also suitable for all types of acne long-termTranslated from Armenian,Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/16020117
House,Stone,150 sq.m.,2,4,3+,Major Renovation,800 sq.m.,Yerevan › Shengavit,"$2,500 monthly",USD,"Дом в аренду, бассейн, сад, кухня, 3 санузла, все необходимые коммуникации имеются:Տրվում է վարձով տուն, լողավազան, Այգի, խոհանոց, 3 սանհանգույց, Առկա են բոլոր անհրաժեշտ կոմունալ հարմարությունները",Nov-24-2022_22-40,Available,3 or more spots,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17765303
House,Stone,80 sq.m.,1,3,1,Major Renovation,90 sq.m.,"Վարդաշենի 6-րդ փողոց 1, Երևան","300,000 ֏ monthly",AMD,3 rooms for rent. House Erebuni Vardashen 6 st. Capital renovation. Furniture and equipment. Heating System. Gas. Constant hot and cold water. It has a small yard. The house will be ready from Neuenber 1Translated from Armenian,Nov-24-2022_22-40,Available,Not available,6,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18367034
Townhouse,Monolith,2450 sq.m.,3,5,3+,Designer Renovation,2000 sq.m.,Yerevan › Arabkir,"200,000 ֏ daily",AMD,"A luxurious private house is for daily rent in Arabkir communityModern renovation and furnishingThe mansion has a unique designNumber of taxes: 25 roomsThere are 4 bedroomsKitchenLiving roomThe mansion has stained glass windows with a beautiful viewGreen yardinfinity poolThe house is fully renovatedNecessary high-quality plumbing fixtures are installedEquipped with necessary quality equipmentDepending on the number of persons and days, the price is variableSuitable for corporate or family eventsThe photos were taken by ""Khachatryan"" real estate agency, we urge unscrupulous colleagues not to download the photos.Code 1624Translated from Armenian",Nov-24-2022_22-40,Available,3 or more spots,8+,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17848427
Country House,Monolith,140 sq.m.,2,4,2,Euro Renovation,500 sq.m.,"Tairov street, Yerevan","$1,100 monthly",USD,"Fully renovated, fully furnished, 2 bedroomsTranslated from Armenian",Nov-24-2022_22-40,Available,3 or more spots,5,Yes,Yes,Not included,1 month,,,,,,,https://list.am/en/item/18194653
House,Stone,200 sq.m.,2,5,3+,Major Renovation,300 sq.m.,Yerevan › Kanaker-Zeytun,"990,000 ֏ monthly",AMD,"Վարձով է տրվում 2 հարկանի տուն Ահարոնյան փողոցում։Հնարավոր է վաճառք, գինը` Պայմանագրային։1-ին գիծ, ճակատային մասը 10 մետր1-ին հարկ- սրահ 60 քմ, սանհանգույց, 2 առանձին սեյակներ, Խոհանոց։2–րդ հարկ- 3 հատ առանձին սենյակներ, երեք սանհանգույց, խոհանոց, բակ 2 կողմից, հետևի բակում տաղավար, բուխարի։Ապհովված է մշտական գազով, ջրով, էլ․հոսանքովՏաքացվում է գազի կաթսայովՀարմար է գրասենյակի, հյուրատան, մանկական կենտրոնի, և այլ հասարակական գործունեությունների համար։Շատ հարմար է բնակվելու և միաժամանակ գործունեություն իրականացնելու համար։Պարտադիր Կանխավճար 2 ամսվա համար։Աշխատել է որպես հյուրատուն, ծրագրավորման ընկերության գրասենյակ։Բրոքերի վարձ չկաСдается 2-х этажное коммерческое помещение на улице Аветиса Агароняна.1-я линия, лицевая часть 10 метров1 этаж - холл 60 кв. М. , санузел, 2 раздельные комнаты, кухня.2 этаж - 3 раздельные комнаты, три санузла, кухня, двор на две стороны, дворовая беседка, камин.Обеспечен постоянным газом, водой и электричеством.Отапливается газовым котломПодходит для офиса, гостевого дома, детского центра, других общественных мероприятий.Очень удобно жить и одновременно заниматься деятельностью.Обязательная предоплата за 2 месяца.Работал гостевым домом, офисом программистской компании.Комиссия брокера отсутствует#Երկարաժամկետ #долгий срок#office офис#գրասենյակ#Սեփական տուն частный дом#Զեյթուն Зейтун#Առանձնատուն#Բուխարի камин#Կամին#Зейтун#КАмин#Առաջին գիծ первая линия",Nov-24-2022_22-40,Available,Not available,5,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/17561950
House,Monolith,600 sq.m.,2,8+,2,Major Renovation,,"Qeri street, Yerevan","$2,500 monthly",USD,"Բլուր թաղամասում վարձով է տրվում երեք հարկանի առանձնատուն։ Շինության ընդհանուր մակերեսը կազմում է 600 քմ, իսկ կից հողատարածքինը՝ 200քմ։ Խոհանոցները և սանհանգույցները սալիկապատված են, կահավորված են ժամանակակաից կահույքով և սանտեխնիկայով։ Բոլոր սենյակները ևս կահավորված են ժամանակակից և ճաշակով ընտրված կահույքով։ Երկրորդ և երրորդ հարկերում կան նաև պատշգամբներ, որոնք էլ ավելի յուրահատուկ տեսք են տալիս ճակատային մասին։ Մուտքին տեղադրված են մեծ դարպասներ։ Առաջին հարկում կա մեծ լողավազան և սաունա։ Ինչպես նաև նախատեսված է տարածք ամառային հանգստի համար, որտեղ կա ամառային խոհանոց և մանղալ։ Այս առանձնատունը շատ հարմար է ինչպես հարմարավետ կյանք վարելու, այնպես էլ հանգիստ վայելելու համար։",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/14528542
House,Stone,175 sq.m.,1,5,2,Designer Renovation,600 sq.m.,"Ghapantsian street, Yerevan","$2,500 monthly",USD,House for long term rentArabkir community Ghapantsyan street near Yeraz districtEquipped with all utilitiesIt is equipped with the necessary equipmentIndividual heating systemAir conditioner4 bedrooms1 living roomLarge corridor2 large wardrobes2 bathroomsBeautiful yardBarbecueOpen balconyCode 8170Translated from Armenian,Nov-24-2022_22-40,Available,2 spots,1,Yes,No,By Agreement,By Agreement,,,,,,,https://list.am/en/item/16911806
House,Stone,140 sq.m.,1,3,2,Old Renovation,140 sq.m.,"Nerkin Charbakh 3rd street, Yerevan","120,000 ֏ monthly",AMD,For rent near the bus stop near the church. It is also suitable for working and living partially furnished with a garage.Translated from Armenian,Nov-24-2022_22-40,By agreement,2 spots,8+,Yes,Yes,Not included,2 weeks,,,,,,,https://list.am/en/item/16858116
House,Stone,300 sq.m.,2,4,2,Major Renovation,200 sq.m.,"Hovsep Emin street, Yerevan","$2,700 monthly",USD,"A two-storey private house is for rent on Qeru street. The house is renovated, has individual heating, there is the necessary furniture and equipment, swimming pool.Code GH601Translated from Armenian",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/17243910
House,Stone,320 sq.m.,3,6,3+,Major Renovation,300 sq.m.,"Charents street, Yerevan","$4,500 monthly",USD,"4- Հարկանի շքեղ և գեղեցիկ կահավորանքով առանձնատուն, որի շինության մակերեսը 320 քմ. Է՝ ամեն հարկը՝ 80 քմ. , իսկ հողատարածքինը՝ 300 քմ. ։ Այն գտնվում է Չարենց փողոցում ։1-ին հարկում ընդարձակ և լուսավոր հյուրասենյակն է, իսկ 2-րդ, 3-րդ և 4-րդ հարկերում ննջասենյակներն են, լոգասենյակները և զգեստասենյակները։ Բոլոր հարկեն ունեն բաց պատշգամբներ։ Առանձնատունը կապիտալ վերանորոգված է, հատակը ծածկված է պրեսգրանիտով։ Ունի կաթսայատուն, ջեռուցվում է գազի կաթսայի միջոցով, բոլոր սենյակներում տեղադրված են նաև օդորակիչներ։ Առանձնատան բակը ևս շատ բարեկարգ է և գեղեցիկ՝ կա լողավազան՝ լոգասենյակով և հանդերձասենյակով։ Առանձնատունը պարսպապատ է։5-ննջասենյակ, 7-սանհանգույց, 2-բաց պատշգամբ։Կոդ 22132",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/15362134
House,Stone,500 sq.m.,3,6,3+,Major Renovation,620 sq.m.,"Babayan street, Yerevan","$5,000 monthly",USD,"A beautiful private house is for long-term rent on Babayan street. There are all the utilities, security system.Code 42398Translated from Armenian",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/17514434
House,Monolith,1000 sq.m.,2,5,3+,Designer Renovation,300 sq.m.,"Vahagni street, Yerevan","$4,000 monthly",USD,"Private house for rent in Vahagn district, capitally renovated 2-storey private house, 1800 sq. M. Land, 300 sq. M. Living area, 3 bedrooms, 3 bathrooms, heating, cooling, outdoor swimming pool, garden, 2 car garage. Long-term.Code 45337Translated from Armenian",Nov-24-2022_22-40,,,7,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/16728950
House,Stone,610 sq.m.,3,8+,3+,Major Renovation,200 sq.m.,"Qeri street, Yerevan","$3,000 monthly",USD,"A three stored house is for rent in Blur district. The total area of the building is 600 square meters, and the adjacent land is 200 square meters. The kitchens and bathrooms are tiled, furnished with modern furniture and sanitary ware. All the rooms are ""furnished with modern"" tastefully selected furniture. There are balconies on the second and third floors, which give an even more unique look to the front. Large gates are installed at the entrance. On the ground floor there is a large swimming pool and sauna. There is also a space for summer rest, where there is a summer kitchen and a barbecue. This private house is very convenient both for living a comfortable life and for enjoying peace.Code 8659Translated from Armenian",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/17539445
House,Stone,120 sq.m.,1,4,1,Cosmetic Renovation,,"Noragyugh street, Yerevan","250,000 ֏ monthly",AMD,"A 4-room, 120-square-meter house is for rent in Noragigh, near the central street, near the bus stop.️Equipped with property and equipment️Euro windows are installedHeating with a gas stove️It is given for a long term and with a deposit.Translated from Armenian",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/18374846
House,Stone,90 sq.m.,3,6,3+,Designer Renovation,700 sq.m.,Yerevan › Avan,"$2,500 monthly",USD,"A 3-storey detached house is for rent on Abovyan street, Avan.6 rooms, 3 bathrooms,completely renovated, furnished,living area 90 square meters, land area 700 square meters.Code 73233Translated from Armenian",Nov-24-2022_22-40,,,7,Yes,No,Not included,2 months,,,,,,,https://list.am/en/item/18325152
House,Stone,700 sq.m.,2,4,3+,Major Renovation,700 sq.m.,"Vahagni street, Yerevan","$4,000 monthly",USD,"A newly built, luxurious private house is for rent in Vahagn district. The house is renovated in a design style, the floor is heated, it is provided with high-quality furniture and appliances. The area of the house is 700 square meters, and the area of the building is 400 square meters. It has two floors, the area of each floor is 200 square meters. The house has three bedrooms, each bedroom has its own bathroom and air conditioner. The yard of the house is 250 square meters, it has two open balconies, a garage, it is monitored by cameras, and there is a security system in the district.Code 41978Translated from Armenian",Nov-24-2022_22-40,,,,,,,,,,,,,,https://list.am/en/item/17311049
House,Stone,650 sq.m.,2,6,3+,Major Renovation,450 sq.m.,"Vahagni street, Yerevan","$4,500 monthly",USD,"In the best residential neighborhood of Yerevan, Vahagn Residence, a fully renovated two-story private house is for rent.• The house consists of 2 floors.On the 1st floor: Living room, bedroom, kitchen, laundry room, game room with table tennis.On the 2nd floor: Entrance hall, 5 bedrooms, library, 2 open balconies• The house has been completely renovated, European windows have been installed.• The floor is covered with high-quality parquet.• Bathrooms are tiled, equipped with high-quality sanitary ware.• Heating is carried out through an individual heating system, and air conditioning.• It has a beautifully decorated yard with a chat room, a garage.• The neighborhood has all the conditions for a prosperous, carefree life. There is a round-the-clock security service in the neighborhood, the green areas are constantly taken care of by gardeners, the streets are clean and well-maintained, garbage collection is carried out. There are mansions of various styles, townhouses, an artificial pond called ""Shunt"", the Ararat Valley Club with a swimming pool, large and small golf courses, tennis courts and a playground.• In the Vahagn district, all construction norms are observed and special rules have been agreed to maintain the civilized lifestyle of the district residents.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 50% of the monthly feeCode SYC045Translated from Armenian",Nov-24-2022_22-40,By agreement,2 spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/18260852
House,Monolith,350 sq.m.,3,8+,3+,Designer Renovation,3000 sq.m.,"Վլադիմիր Հարությունյան փողոց, Ծաղկաձոր","$5,000 monthly",USD,"Houses with a unique structure are for sale in one of the best recreation areas of Armenia, in the busiest part of Tsakhkadzor.• The land is completely fenced, the total area is 3000 square meters. M ․, two-way approach.• There are 2 private houses (3 floors each), sauna, chat room, beautiful garden, many trees.• Each of the private houses has:4 bedrooms1 living room,Kitchen,Fireplace,A few open balconies,Parking,Bathrooms,Jacuzzi.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.50% service fee for the first month.Code SKP115Translated from Armenian",Nov-24-2022_22-40,By agreement,3 or more spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17558599
House,Stone,200 sq.m.,2,4,2,Major Renovation,,"Զորավար Անդրանիկի փողոց 88/5, Երևան","$1,500 monthly",USD,"A 2-storey private house is for long-term rent in Malatia-Sebastia community, near Mkhitar Sebastatsi educational complex.• The house is fully repaired, euro windows are installed, interior doors, metal entrance door, there is also a large open balcony.• Heating is provided by an individual heating system.• The bathrooms are tiled.• The floors are covered with parquet.• The house has a garage.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service fee - 50% of the monthly fee.Code AC069Translated from Armenian",Nov-24-2022_22-40,By agreement,3 or more spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17966799
House,Stone,240 sq.m.,2,5,2,Major Renovation,,"Եղիազարյան փողոց 1, Երևան","450,000 ֏ monthly",AMD,"Near the intersection of Yeghiazaryan and Bashinjaghyan streets, in the quietest part of Ajapnyak, a 2-story private house is for rent.• The house consists of 2 floorsOn the 1st floor there is a living room, a kitchen and a bathroomOn the 2nd floor, 4 bedrooms and a bathroom.• It is completely renovated, equipped with property and equipment.• Heating is carried out through an individual heating system, the floors are heated.• The floors are covered with laminate, the kitchen with tiles.• Bathrooms are tiled and equipped with necessary plumbing.• The house has a beautiful open terrace where you can enjoy your rest.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.The service commission is 50% of the monthly fee.Code SYC051Translated from Armenian",Nov-24-2022_22-41,By agreement,1 spot,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/18318098
Townhouse,Monolith,140 sq.m.,2,4,2,Major Renovation,80 sq.m.,"Hovhannes Shiraz street, Yerevan","$1,700 monthly",USD,"A 2-storey luxurious maisonette is for rent in Ajapnyak, in Shiraz G-1 residential district.• The townhouse is fully renovated, equipped with modern furniture and appliances. European windows, interior doors are installed.• Heating is carried out by individual heating system.• The floors are covered with high quality laminate and press granite.• 2 bathrooms are fully tiled, equipped with sanitary ware.• The maisonette consists of 2 floors ․On the ground floor there is a spacious living room, kitchen, bathroomOn the 2nd floor, 3 bedrooms, 1 bathroom, open balcony, from where a fantastic view opens to Ararat, Aragats, Mount Ara.• The maisonette is covered, an iron entrance door is installed.• There is a nicely landscaped yard with a chat room.For other details, write or call the mentioned numbers.The maisonette is displayed under a real estate contract.Service fee - 50% of the monthly fee.Code MC055vTranslated from Armenian",Nov-24-2022_22-41,By agreement,Not available,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17839331
House,Monolith,238 sq.m.,3,6,3+,Major Renovation,191 sq.m.,"Komitas Avenue, Yerevan","$3,000 monthly",USD,"New Arabkir Park, a 3-storey beautiful private house is for rent on Riga street, near the Armenian-Russian University.• The house consists of 3 floors and terrace, has 2 open balconies.On the ground floor there is a lobby, a kitchen and 1 room.On the 2nd floor, 2 rooms, a bathroom.On the 3rd floor, 2 rooms and bathroom.• Heating is provided by an individual heating system.• Only quality construction materials were used during the construction works, European windows and interior doors were installed.• The floors are covered with laminate։ tiles.• The house has a yard on both sides, a parking lot.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service fee - 50% of the monthly fee.Code AC051vTranslated from Armenian",Nov-24-2022_22-41,By agreement,3 or more spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17834849
House,Stone,300 sq.m.,3,5,3+,Major Renovation,,"Verin Antarayin street, Yerevan","$2,500 monthly",USD,"A beautiful, spacious 3-storey private house is for rent on Verin Antarain street, in the upper part of the Cascade.• The house is fully renovated and consists of 5 rooms, each bedroom has its own bathroom.• The house has 2 open balconies, a landscaped yard with its own chat room.• Heating is provided by individual heating system, there is also an air conditioner.• The floors are covered with parquet.• All bathrooms are tiled ված equipped with sanitary ware.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service fee - 50% of the monthly fee.Code RPC015Translated from Armenian",Nov-24-2022_22-41,By agreement,Not available,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/17991723
House,Stone,250 sq.m.,2,7,1,Major Renovation,,Yerevan › Nor Nork,"$2,200 monthly",USD,"(Կոդ 34619 Բագրևանդ թաղամաս 2 հարկանի առանձնատուն)Առանձնատունը կապիտալ վերանորոգված է,անհատական ջեռուցման համակարգ, բակ",Nov-24-2022_22-41,,,,,,,,,,,,,,https://list.am/en/item/15070609
House,Stone,220 sq.m.,2,5,2,Major Renovation,400 sq.m.,"Nairi Zaryan street, Yerevan","65,000 ֏ daily",AMD,"From September 1, a two-story private house is for rent in Arabkir community, on Zaryan Street in Nairi. The house is fully renovated, equipped with necessary property and equipment, wi-fi. There are air conditioners in the bedrooms. In the yard there is a swimming pool and a summer kitchen.If taken for one month, $2,000. Also available long term.Translated from Armenian",Nov-24-2022_22-41,,,,,,,,,,,,,,https://list.am/en/item/17721908
House,Stone,2500 sq.m.,4+,8+,3+,Major Renovation,2500 sq.m.,"Moldovakan street 55/1, Yerevan","$12,000 monthly",USD,"A four-story luxury hotel complex is for rent in Nor Nork, on Moldovakan street.• The area of the building is 2500 sq. M. M. , and the land area is 1600 sq. M. Area.• Each floor has a large yard, indoor and outdoor parking for 4 or more cars, swimming pool, massage parlor and bar.• On the 1st floor there are 12 hotel rooms with their own bathrooms and administration.• On the 2nd floor: 12 rooms and a restaurant.• On the 3rd floor, 12 rooms and a large and comfortable conference hall.• The 4th floor is intended for management rooms.• The hotel is fully renovated, has a two-sided, bright location with a beautiful view.• There is an individual heating and cooling system.• Located on the front line.For other details, you can call the mentioned phone numbers.The hotel is listed under a real estate listing contract.The service commission is 50% of the monthly fee.Code KR229vvTranslated from Armenian",Nov-24-2022_22-41,,3 or more spots,8+,Yes,Yes,By Agreement,By Agreement,,,,,,,https://list.am/en/item/18358635
House,Stone,64 sq.m.,3,3,1,Cosmetic Renovation,,"Norq 8-th street, Yerevan","400,000 ֏ monthly",AMD,An apartment is for rent in Nor Nork 8th DistrictProperty with equipmentlong term.Code Ok45Translated from Armenian,Nov-24-2022_22-41,Available,Not available,4,No,No,Not included,2 months,,,,,,,https://list.am/en/item/17579027
