Type,Floor Area,Address,Price,Currency,Description,Datetime,Utilities,Links
Garage,50 sq.m.,"Գ․ Արշակյան փողոցի 1-ին նրբանցք 1, Բալահովիտ","$2,000",USD,"Concrete garage for sale, length 5.5mThe width is 3.15mThe height is 2.5 mthe walls and the bed are one piecethe garage is portableIt is in normal conditionOnly the garage is for sale.The price together with the land area is $8000, the total land area is 30 square meters + 20 square meters.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18570563
Garage,35 sq.m.,"Квартал Маяк 2, Ереван","$9,000",USD,Гараж в Джрвеже без добра на сопственность - в аренду от государства - одна большая машина умещается,Dec-15-2022_20-26,Electricity,https://list.am/en/item/18589050
Garage,24 sq.m.,Kotayk › Hrazdan,"$2,200",USD,"A garage is for sale in the neighborhood of the concrete blood station, it has a basement with its own storage space.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18720572
Garage,110 sq.m.,"Квартал Кентрон, Раздан","$25,000",USD,Semi-built garage for sale in Hrazdan center districtTranslated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18650551
Garage,30 sq.m.,"Geghard street, Abovyan","$9,000",USD,"The garage is located near the bathroom, at the back of building 1 in Gehardi. The roof was repaired, the inner walls were plastered with basalt straight. Owned. For more information callTranslated from Armenian",Dec-15-2022_20-26,Electricity,https://list.am/en/item/18589115
Garage,36 sq.m.,Kotayk › Nor Hachen,"2,000,000 ֏",AMD,"A garage is for sale on Achapnyak street in Nor Hach'en city. On 4m-9m, it has a basement, it has an outdoor balcony, there is electricity inside. Price $5000 negotiable. Write or call for newsletter questionsTranslated from Armenian",Dec-15-2022_20-26,Electricity,https://list.am/en/item/18712055
Garage,22 sq.m.,Kotayk › Hrazdan,"430,000 ֏",AMD,"Concrete garage, 3.6 width 6 length, has both a box and a basement, a table with thick iron shelves is installed inside the entire width, the garage is located next to 3 buildings in the micro district, if you have any questions, write an email.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18545332
Garage,60 sq.m.,Kotayk › Nor Hachen,"$6,000",USD,"A garage is for sale (height: 2m, width: 12m, width: 5m) in Nor Hachn, in the area adjacent to Arzni Dzor. The garage has iron doors, concrete walls, is suitable for any work related to cars, has 2 basements.Translated from Armenian",Dec-15-2022_20-26,Electricity,https://list.am/en/item/18654662
Garage,24 sq.m.,"Սպանդարյան փողոց 5, Հրազդան","$3,600",USD,"Reinforced concrete garage very warm and dry, has title deed, call for detailsTranslated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18624797
Garage,28 sq.m.,Kotayk › Hrazdan,"$2,500",USD,"Garage for sale in the microdistrict, 6.30 on 4.50, the price is negotiable, call for questions.Translated from Armenian",Dec-15-2022_20-26,,https://list.am/en/item/18423712
Garage,30 sq.m.,"Zovuni 16 street, Zovuni","2,500 ֏",AMD,Прадаетца 30квадрад здание Зовуни 2500 доллар. Срочно,Dec-15-2022_20-26,,https://list.am/en/item/18493923
Garage,25 sq.m.,"3rd microdistrict, Abovyan","$12,500",USD,3 micro car garageTranslated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18653512
Garage,265 sq.m.,"Saralangi street, Abovyan","$5,000",USD,Basement in areahas a title deedTranslated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18435549
Garage,24 sq.m.,Kotayk › Yeghvard,"4,000,000 ֏",AMD,Garage for sale in Yeghvard cityTranslated from Armenian,Dec-15-2022_20-26,Electricity,https://list.am/en/item/18666911
Garage,8 sq.m.,Kotayk › Tsakhkadzor,"150,000 ֏",AMD,Call in case of questionsTranslated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18637632
Garage,30 sq.m.,"Kentron block, Hrazdan","$7,990",USD,The garage is located in the area adjacent to building 41. Area: 30 square meters.Translated from Armenian,Dec-15-2022_20-26,,https://list.am/en/item/18482203
