Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For Residential Development,1700 sq.m.,Lorri › Gyulagarak,"7,000,000 ֏",AMD,"The land is located in the village of Gyulagarak (Arboretum village) The total area is 1600 square meters. (with paper, without paper 200m more) M, there is a half-built house (the foundation) on the land. It has all utilities (all are located in the area) There are fruit trees in the garden, the area is fenced.7 million dramsTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16419494,
For Public Buildings,1500 sq.m.,Lorri › Odzun,"$15,000",USD,"The land is located in Ardvi village, 5 km away from Odzun, it is surroundedwith beautiful nature. The village has its legends and sights. There is also a two-storey building on the land with an area of 220 square meters. The area is suitable for building a private house, guest house or hotel complex.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17535315,
For Residential Development,1300 sq.m.,Lorri › Vanadzor,"$11,000",USD,"Land 1300 m fully privatized and residential and public urgent, I will exchange it with a car or in a one-room apartmentTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17397652,
For General Purpose,1000 sq.m.,Lorri › Lermontovo,"$5,500",USD,"A plot of land is for sale or exchange, right next to the Vanadzor-Dilijan road in Lori marz, in the administrative area of Lermontovo municipality. The land is suitable for any economic activity. I will listen to suggestions for exchange.Price: NegotiableTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18050344,
For Residential Development,350 sq.m.,Lorri › Gyulagarak,"$35,000",USD,"Land for sale in Gyulagarak village, with an area of 350 sq. M., located in the center of the village, entrance directly from the road.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17424692,
For Public Buildings,500 sq.m.,Lorri › Spitak,"$23,000",USD,"In the center of Spitak, in front of the municipality, good land for a shop, hotel, house, etc. There is VIBER with a Russian number, open it and call.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15473028,
For Residential Development,814 sq.m.,Lorri › Vanadzor,"$6,000",USD,"Located in Gugark village, next to the MES (fire) building, in front of a residential building, it is suitable for garages and other buildings. It is possible, in part, in the trunk. 13-1 plot of 2nd street, 2nd dead end.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15961866,
For Public Buildings,66 sq.m.,Lorri › Stepanavan,"1,250,000 ֏",AMD,"Located in c. Stepanavan, Romanian 21/4 addressTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16769550,
For Residential Development,1000 sq.m.,"Desini street, Stepanavan","$2,500,000",USD,All communications are very close and convenient to connectTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16769502,
For General Purpose,340 sq.m.,Lorri › Vanadzor,"15,000 ֏",AMD,"340 sq. M. Land is for sale or exchange at 14/1 Batumi, it has a small building, it has electricity, water, it is suitable for both a workshop and a residential building.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16180987,
For Residential Development,340 sq.m.,Lorri › Vanadzor,"15,000 ֏",AMD,"Land for sale or exchange, c. Vanadzor at 14/1 Batumi, it is a subscriber, it has water and electricity, it is suitable for both a residential building and any workshopTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16142918,
For Industrial Use,"20,000 sq.m.",Lorri › Tashir,"$63,750",USD,"Meghvahovit No. 1 HPP is for sale very urgently. It is an area of 2 hectares intended for the construction of a small hydropower station, located along 4.7 km of Loriget.+ + + Attention + + +It is possible to build 6 separate hydroelectric power plants.Meaning: Energy, transport, communication and utility infrastructures.Purpose of use: Construction of a small HPP.The land has the possibility of expansion.Final price 25,000,000 AMD.In case of exchange, the price is AMD 35,000,000.Write, we will answer quickly.Key words: HPP, Small HPP, HPP, HPP, CHP, power plant.АЕС, ТЕС, ТЕЦ, ГЕС, ГАЕС, HEK, hekTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17764615,
For Public Buildings,30 sq.m.,Lorri › Vanadzor,"$6,500",USD,"Նախկին հիվանդանոցի հարեւանությամբ՝Բանակի փողոցում, վաճառվում է 30քմ հողատարածք։ Գինը՝ սակարկելի։Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16448598,
For Residential Development,2000 sq.m.,"Կենտրոնական փողոց 58, Արգավանդ","$18,000",USD,Plot near the house on the central highway of Gulagarak StepanavanTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18115344,
For General Purpose,108 sq.m.,"Տարոն-4 թաղամաս 16, Վանաձոր","$11,000",USD,Exchange Equivalent to CarTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16979703,
For Public Buildings,1800 sq.m.,Lorri › Vanadzor,"$200,000",USD,"There are cold storages with a capacity of 200 tons in the area, as well as a wood workshop and two offices. The area is located on the first line. All communications are available.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18243542,
For Residential Development,560 sq.m.,"Stepan Zoryan street, Vanadzor","$35,000",USD,"The plot is located in the center of the city, it is considered the first zone, in the back of the 2nd polyclinic. It has access from Batumi and Zoryan streets, there is a half-built building, if desired, the building project will be prepared. Exchange with a car is possible.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16659346,
For Industrial Use,800 sq.m.,"Կարեն Դեմիրճյան փողոց 1, Վանաձոր","$50,000",USD,"The area is fenced, suitable for industrial, car service, hotel and other purposes, in front of the chemical plant.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18333446,
For Public Buildings,40 sq.m.,"Վիրահայոց փողոց 78, Ստեփանավան","1,300,000 ֏",AMD,It is located on the Stepanavan-Tashir interstate road. URGENT!Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17545575,
For Residential Development,506 sq.m.,"Ռումինական փողոց 4, Ստեփանավան","$18,000",USD,The land is located near the kindergarten.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17703974,
For Industrial Use,2500 sq.m.,Lorri › Dsegh,"$25,000",USD,"A plot of land is for sale, in the village of Dsegh, Lori region, on the (sea) coast.It is possible to exchange with an equivalent car, it is possible to pay half of the amount, the rest according to the agreement.: I will try to discuss any mutually beneficial options, understanding and realistic buyers should call.:Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18018021,
For General Purpose,800 sq.m.,"Bulgharakan 2rd taxamas, Vanadzor","$4,500",USD,A plot of land with fruit trees in the 2nd district of Bulgarakan town is for sale. Price negotiable.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18361531,
For General Purpose,450 sq.m.,"Մանուշյան փողոց 1, Վանաձոր","$25,000",USD,"A plot of land is for sale at Komitas 1/1, which is located in the central part of Vanadzor, near the sour water. It is suitable for various activities. It is fenced, the main part of the land is concreted. All utilities are available except for gas, but the gas pipeline is located next to the land.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18023605,
For Residential Development,1290 sq.m.,Lorri › Debet,"$10,000",USD,A plot of land near the house in Debet village is for sale. Call for details. Negotiable for real buyer.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18017111,
For Residential Development,1065 sq.m.,Lorri › Kurtan,"$8,000",USD,Plot next to the house. It is located directly on the river bankTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18309070,
Agricultural,780 sq.m.,Lorri › Vanadzor,"$7,500",USD,"It is located a little north of Gugark gas station. The area is fenced, has electricity and water. A pavilion (besedka) was built. It is very close to Vanadzor. It has the possibility to expand.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18361053,
For Residential Development,1516 sq.m.,Lorri › Lernantsk,"1,848,000 ֏",AMD,"The property is in the BANKRUPTCY auction.Lori region, c ․ Lernantsq, 4th st. , At 16/1, on the right side of the Spitak-Lernantsk highway, near the house plot, 1516-5 square meters. The plot is flat.You can also purchase the presented property through crediting by the Bank with current credit terms and tariffs.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17744853,
For Residential Development,1271 sq.m.,Lorri › Lernantsk,"1,322,000 ֏",AMD,"The property is in the BANKRUPTCY auction.Lori region, c ․ Lernantsq, 4th st. , At 2/1, on the right side of the Spitak-Lernantsk highway, near the house, 1271 sq. M. The plot is flat.You can also purchase the presented property through crediting by the Bank with current credit terms and tariffs.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17744848,
For Residential Development,3200 sq.m.,Lorri › Vahagni,"$35,000",USD,"A summer house is for sale in Vahagni village, Lori region. The total area is 3200 square meters, the house has 2 floors, each floor is 60 square meters, it has an open balcony of 60 square meters, communal facilities, large fruit trees.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16460829,
For Residential Development,1350 sq.m.,Lorri › Darpas,"$7,000",USD,"Продаём землю, можно построить дом, дачу и проводить выходные на свежем воздухе. На участке стоит дом, не пригодный для жилья, т. К. Долгое время никто не смотрел за участком. В саду растёт 2 ореховых дерева, яблоня, вишня. Можно провести в дом газ, канализация есть, вода тоже. (все коммуникации доступны для комфорта) Остальное зависит от хозяина В придачу участок земли (2 200) для сенокоса. Подробнее можно уточнить при телефонном разговоре, торг уместен. Мой номер России: Вайбер, вацап доступен, армянский номер: Тётин",Nov-25-2022_01-04,https://list.am/en/item/18315640,
For Public Buildings,1810 sq.m.,Lorri › Spitak,"$20,000",USD,"Privatized area 1810 square meters. It is located on Yeryanyan highway, in front of Cps gas station. It has a 22 m front section with the road.Price is negotiable. It is possible to sell with installment payment or exchange with the apartment. Details on the phone.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15949185,
For Residential Development,1280 sq.m.,"Forest Street, Stepanavan","$40,000",USD,The area can be purchased in partsTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18360022,
For Residential Development,600 sq.m.,"Tigran Mets Avenue 48, Vanadzor","$70,000",USD,"The area is located in c. In Vanadzor, in the center of the city, next to the gallery, it is fenced with tuff stone on 3 sides, there are gates, there are no buildings inside, there are several fruit trees, it is a straight plot, it has a certificate of ownership, it is suitable for building a house.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17191293,
For General Purpose,2100 sq.m.,"3rd lane 3rd street, Darpas","$2,800",USD,Land in Darpas community. It is possible to exchange with a car without additional payment.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17469587,
For General Purpose,"10,000 sq.m.",Lorri › Vanadzor,"$80,000",USD,The land is located in Vanadzor at Factory 1/15Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/13410886,
For Residential Development,500 sq.m.,Lorri › Vanadzor,"$30,000",USD,Ванадзор кахаки кентронакан масум вачарвум э хохамас воро хармар э инчпес бнакели тан аенпесел хасаракакан шинутюн каруцелу хамар.Վարդանանց փողոց 4_րդ նրբանցք,Nov-25-2022_01-04,https://list.am/en/item/16131203,
Agricultural,"36,000 sq.m.",Lorri › Vardablur,"$5,000",USD,"6000 square meters of grassland for sale, next to the forest. And three hectares of arable land are leased for 5 years.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18254469,
For Public Buildings,400 sq.m.,Lorri › Vanadzor,"$23,000",USD,"The beginning of Vanadzor-Stepanavan road,Taron 3 district.15.2 m. Depth:26.2 m. Length:Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16565367,
For Public Buildings,1200 sq.m.,"Stepan Zoryan street, Vanadzor","$50,000",USD,"Zoryan street, fenced on three sides, partial sale is possible.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16007056,
For Public Buildings,800 sq.m.,Lorri › Vanadzor,"$15,000",USD,"Near the stadium, next to the Red CrossTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16007067,
For Residential Development,850 sq.m.,Lorri › Haghpat,"$10,000",USD,"• The plot is located in Haghpat village, the entrance is directly from the side of the central road,• It is suitable for building any type of building, especially a hotel, call real buyers.• A little negotiable for real buyer.For more information call.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18089535,
Agricultural,7000 sq.m.,Lorri › Vanadzor,"$160,000",USD,"Production area with its separate buildings for sale:-workshops,warehouses-residential house (garage),-plot,-cattle barn,-security point.The whole area is fenced, gasified, has all the communal facilities.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/13163445,
For Residential Development,650 sq.m.,Lorri › Pushkino,"$3,500",USD,"Lori, Stepanavan, village Pushkino, close to the central part, a small river runs nearby, flat area, suitable for building a house, a resort, with the possibility of expansion up to 1000 sq/m, frontage 8.30 to 12 m, ready for sale with legal documentsTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17886173,
Agricultural,2500 sq.m.,Lorri › Spitak,"$10,000",USD,"For sale or exchange with a car, with a matching car, or with Zil for a surcharge (negotiable)Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17471126,
For General Purpose,90 sq.m.,"Shinararneri street, Vanadzor","2,500,000 ֏",AMD,I am selling an area on the first line.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18357433,
For Residential Development,1400 sq.m.,Lorri › Gyulagarak,"$7,500",USD,"Gas, water and electricity are very close. There are fruit trees such as pear and apple treesTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17518982,
For Residential Development,150 sq.m.,"Ереванское шоссе 94/12, Ванадзор","990,000 ֏",AMD,There are fruit trees in the plot. IT IS PRIVATIZED. IT IS VERY URGENT!Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17885069,
For Residential Development,3284 sq.m.,Lorri › Pushkino,"13,000,000 ֏",AMD,"Very urgently? In the village of Pushkino, Gyulagarak community, a plot of land of 3284 square meters is for sale, on the edge of the central road, on the second street, on the first line, with a beautiful view, it has a road on both sides, it is possible to sell it for 500-500 square meters. It is very suitable for building a house, guest house or for business purposes. Negotiable. The land has a 27 sq. M. Cattle shed, and 80 sq. M. Monolithic house foundation, 1700 sq. M. Orchard, there is an electricity subscriber, water and gas passes in front of the gate, it is fenced.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17976505,
For General Purpose,100 sq.m.,Lorri › Gyulagarak,"$35,000",USD,"Գ. HOBARDZIThere is a half-built building in the area, it has 100 m. Length:20 m. WidthSuitable for business-friendly guesthouse, farm, fruit and vegetable growing, solar e-productI WILL LISTEN TO EXCHANGE OPTIONSIN CASE OF A REAL BUYER, IT WILL BE BARGAINEDTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17751122,
For Residential Development,1700 sq.m.,"Տավրոս 10-րդ փողոց 21, Վանաձոր","$8,000",USD,"Land for residential buildings in Vanadzor, 1700 sq. M. Մ.Exchange with a car.Call WotcapovTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17319881,
For Residential Development,1200 sq.m.,Lorri › Dsegh,"$13,000",USD,"In the village of Dsegh, the area is for sale or for rent, there is also a house with a detailed telephone. E.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16664953,
For General Purpose,375 sq.m.,Lorri › Stepanavan,"10,000,000 ֏",AMD,Для постройки гостиници офиса или магазина. По центральной улице БАГРАМЯНА,Nov-25-2022_01-04,https://list.am/en/item/18116967,
Agricultural,8000 sq.m.,Lorri › Debet,"$200,000",USD,"Debit Debit Business Hotel Debit Debit COAF SMART Center_The area is located in Debet village of Lori region, in front of COAF SMART Center (marked with a red line in the picture) Land is privatized.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17132876,
For Public Buildings,4000 sq.m.,Lorri › Debet,"12,500,000 ֏",AMD,Very urgently. In the most beautiful corner of Lori region!Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17885103,
Agricultural,450 sq.m.,"Yerevan highway 103/1, Vanadzor","$4,000",USD,"The area is located near the gas station of the road leading to Meghrut, the road is asphalted, water and electricity are nearby. It is for sale urgently.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17230394,
For Residential Development,1600 sq.m.,"1-ին փողոց 27, Արջուտ","$5,500",USD,"A plot of land is for sale near Vanadzor, in the center of Arjut village (near the school), intended for two houses, gas, water, etc. Energy are very close. Half price for our affected compatriots of Artsakh and border settlements. Can you offer exchange options, preferably with building materials.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18353685,
Agricultural,2000 sq.m.,Lorri › Arjut,"$11,500",USD,"At the beginning of Arjut village (former apple orchard area) 2 adjoining plots of land, each 1000 square meters, are for sale. The plots are located next to the highway leading to the village. Negotiable, exchange for a car is possible.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18338863,
For General Purpose,900 sq.m.,"Baghramyan street, Alaverdi","$26,000",USD,Продам земля на главной улице г. Алаверди. 1 линияУлица Баграмяна 28земля 9 соток.Очень хорошее расположение земли для придорожного бизнеса.Цена обсуждаемая.,Nov-25-2022_01-04,https://list.am/en/item/18338481,
For Residential Development,890 sq.m.,Lorri › Spitak,"$3,500",USD,A plot of land with a flat surface is for sale in Ghursali village of SpitakLocated in the center of the VillageThere is potable water in the plotTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17805906,
For Residential Development,1390 sq.m.,Lorri › Spitak,"$5,300",USD,"A plot of land is for sale in Ghursali village of SpitakClose to water, gas and drinking waterTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18050313,
Agricultural,3000 sq.m.,Lorri › Shahumyan,"$6,000",USD,"The land is located in the area of Tezh Ler, near the Dilijan-Vanadzor road. There is water. Suitable for tourist use.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17966834,
For General Purpose,200 sq.m.,"Մարշալ Բաղրամյան պողոտա 114-2, Վանաձոր","$15,000",USD,Operational significance: Mixed constructionTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16999889,
Agricultural,"30,000 sq.m.",Lorri › Vanadzor,"150,000,000 ֏",AMD,"Land on the 16th kilometer of Vanadzor-Alaverdi road. On the river bank, suitable for greenhouse economy, recreation area. 3 hectares.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17854273,
For General Purpose,1200 sq.m.,Lorri › Stepanavan,"$5,400",USD,"Stepanavan city, 4th microdistrict, 11th street, 13th house1200 square meters, near the kindergarten.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18263555,
For Residential Development,2500 sq.m.,Lorri › Aznvadzor,"5,000,000 ֏",AMD,"*Land for residential buildings in Aznvadzor, 2500 square meters.I will answer all questions by phoneTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18351082,
Agricultural,8800 sq.m.,Lorri › Gyulagarak,"6,000,000 ֏",AMD,It is very convenient for building a hotel. There is a river next to it. Directly attached to the village.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/17886900,
For Residential Development,4800 sq.m.,Lorri › Pushkino,"$67,000",USD,"URGENT: I am selling 12 houses together, one of which has an old Malakan house, a total of 4800 square meters, a good recreation area, for building a hotel complex. I am also selling separately, a little far away, 1600 square meters - $14400, water, gas, internet, electricity, fence and fruit trees. The plots are located 4 kilometers away from the city park, beautiful nature, recreation area, great place to build a private house, clean air. If you buy them all together, there will be a small discount. Partial payment of 50% is possible, we will discuss the rest. Will exchange for equivalent car, do not offer flipped car preferably range rover vogue bio: Stepanavan homes cheap: :: Vanadzor: :: Smart investment: :large lotTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/16533876,
Agricultural,4200 sq.m.,Lorri › Dsegh,"6,000,000 ֏",AMD,"Land for sale in Dsegh village, Lori region. The area is 4200 square meters. The land is located on the upper part of the road entering the village. The place is suitable for tourism. Price is subject to change.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17665141,
For General Purpose,1300 sq.m.,"Erevanyan street, Tashir","$18,000",USD,"It is suitable for business, on the main roadTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17337942,
For Public Buildings,6500 sq.m.,"1-ին փողոց 10, Դսեղ","$25,000",USD,"6500 m land for sale in an area called slopes, has a road, in a beautiful place under the forest, will be bargained for a real buyerTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17623579,
For Public Buildings,1000 sq.m.,"1-ին փողոց 10, Դսեղ","$9,500",USD,1000 meters of land near the house is for sale in the village of Dsegh. For more information callTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18127185,
For Residential Development,700 sq.m.,Lorri › Spitak,"700,000 ֏",AMD,"Земельный участок в селе Сарал, есть вода, рядом газопровод, электричество, в соседстве школы.700квмСрочно",Nov-25-2022_01-04,https://list.am/en/item/18166966,
For Public Buildings,3000 sq.m.,Lorri › Vanadzor,"1,000 ֏",AMD,"Առաջի գիծ, հարմար է ցանկացած գործունեության համար, գինը պայմանագրային",Nov-25-2022_01-04,https://list.am/en/item/15676865,
For Public Buildings,8000 sq.m.,"Улица Карена Демирчяна 1/4А, Ванадзор",$100,USD,A railway passes through the areaTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/15699483,
Agricultural,1800 sq.m.,Lorri › Vanadzor,"$7,200",USD,"3x600 square meters = 1800 square meters adjacent plots1 square meter = $4 on the left side of the Vanadzor Dilijam highway, on the opposite side of the Lesonoi restaurant: Horticulture: The section marked in big redTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18098971,
For Residential Development,1200 sq.m.,Lorri › Vanadzor,"$5,000",USD,"1200 sq. M. Is for sale in Arjut village near Vanadzor. A plot of land with fruit trees, there is also a one-story building that needs renovation. Exchange with Vanadzor apartment is possible.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/15960842,
For Residential Development,450 sq.m.,"Sankt Peterburg street, Vanadzor","$7,000",USD,"Electrified, the foundation of the house is dug in St. Petersburg 2/1Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18348038,
For General Purpose,3000 sq.m.,Lorri › Shirakamut,"$60,000",USD,"For sale, exchange or rent a cattle barn with 3 hectares of land with or without cattle (Simmental breed)There is constant water and light in the land. There are ponds. It is suitable for keeping small and large cattle.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17002319,
For Residential Development,800 sq.m.,Lorri › Vanadzor,"$10,499",USD,"Продается участок в городе Ванадзор, улица Тавроса 20. Все удобства есть. Цена обсуждаемая. Подробности по телефону",Nov-25-2022_01-04,https://list.am/en/item/17645260,
For Residential Development,760 sq.m.,Lorri › Stepanavan,"$15,000",USD,"Very urgent land for sale near your own house in Lori region, Stepanavan. The land has water, gas and electricity. It is located near the international road. The total area is 760 square meters with a ownership certificate.Price is negotiableTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17746267,
,180 sq.m.,Lorri › Vanadzor,"$63,000",USD,Qaxaqi kentronakan masum univermagi harakic taracqum depi avtogermash,Nov-25-2022_01-04,https://list.am/en/item/10667091,
For Residential Development,824 sq.m.,Lorri › Vanadzor,"$3,000",USD,"Տնամերձ հողատարածք Քաղաք Վանաձորում, շատ հարմար դիրք է ՝բացվում է գեղեցիկ տեսարան!",Nov-25-2022_01-04,https://list.am/en/item/14319061,
For Residential Development,500 sq.m.,"Улица Закарян 25, Ванадзор","12,000,000 ֏",AMD,A 500 square meter plot of land is for sale in the central part of the city near the lakes. It is suitable for building a guest house or a business area. For more information call.Translated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/18172179,
For Residential Development,300 sq.m.,"Tavros 4-th street 2, Vanadzor","$9,500",USD,"Unfinished building + cottage, total area 300 sq / m, building area 32 sq / m (light, water), price$ 9500:It is possible to exchange with the car for a surcharge.In the Congo district of Vanadzor city,For details, call:Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17836417,
For General Purpose,1000 sq.m.,Lorri › Arjut,"5,200 ֏",AMD,"Unfinished house, size 5.5 × 8, cottage 3 × 8, half-built barn 10 × 6, orchard, 3x4 size pool, land 1000 sq. M. Arjut villageTranslated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17988281,
For General Purpose,"36,000 sq.m.",Lorri › Shahumyan,"55,000,000 ֏",AMD,"3.6 hectares of land on Dilijan-Vanadzor highway, suitable for recreation area, hotel construction (price is conditional)Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/17473481,
Agricultural,400 sq.m.,Lorri › Vanadzor,"$3,200",USD,"Գտնվում է Շահումյան համայնքում։ Առկա են պտղատու ծառեր, ցանկապատ տարածք։",Nov-25-2022_01-04,https://list.am/en/item/8947126,
For General Purpose,1500 sq.m.,Lorri › Spitak,200 ֏,AMD,"To build a suitable house or recreation area, call for questions and exchange with cars or livestock.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/18344067,
For Public Buildings,40 sq.m.,Lorri › Vanadzor,"$15,000",USD,"In the center of Vanadzor, with an area of 40 square meters, located at 8/4 Banak Street, and 40 square meters, located at 8/5 Banak Street, 2 adjacent land plots are for sale, which are located right in front of the main entrance of the former hospital, next to the above-mentioned street.Target significance - settlements, operational significance or land type - public construction, type of registered right - property.The plots are located about 100 meters from the entrance of Vanadzor Medical Center. The buyer can combine the 2 lands. It is exchanged for an apartment.For sale or exchange without intermediaries.Translated from Armenian",Nov-25-2022_01-04,https://list.am/en/item/11716282,
For Residential Development,156 sq.m.,Lorri › Vanadzor,"$13,000",USD,Construction in many districts of Vanadzor city with an area of 156 square meters used to work as a shop is located next to the policeTranslated from Armenian,Nov-25-2022_01-04,https://list.am/en/item/16928574,
For Residential Development,3200 sq.m.,Lorri › Kurtan,"$25,000",USD,Удобно для строительства Гостиницы. Зоны отдыха,Nov-25-2022_01-05,https://list.am/en/item/17433352,
For General Purpose,650 sq.m.,Lorri › Vanadzor,"550,000 ֏",AMD,"A frame of a ready-made greenhouse and a gun stove are for sale. 650 sq. M. It is for the area. The land is not for sale, only the greenhouse.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18266165,
For General Purpose,1300 sq.m.,Lorri › Stepanavan,"$80,000",USD,"Land is for sale, which is located in a forest district. The area is 1300 square meters, the price is 80,000 dollars. The area is suitable for building a hotel. It is provided with all the communal amenities. For more information call:Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17509295,
Agricultural,"40,000 sq.m.",Lorri › Spitak,"$190,000",USD,"There are 2 cattle barns on 60-12, 4 hectares of land with 2000 m of orchards, there is constant light for drinking and irrigation water, there are 2 mobile homes, and a business plan in the form of paperwork, there is a large pool on 8-6, the depth is 1.50 There are also pastures for other questions. Call forTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/18206263,
Agricultural,7000 sq.m.,Lorri › Vanadzor,"8,000,000 ֏",AMD,"Raspberry garden for sale.Malina is a polka variety, remontant with twice a year harvest.The area of the garden is 6000 square meters, the garden is three years old, it is in full production.The area is fenced, equipped with a drip irrigation system and an anti-hail net.There is a water tank with a capacity of 45 tons, a powerful water pump,2 kw solar panels.The garden was fertilized only with organic fertilizer,there is an opportunity to obtain an organic (eco) certificate.Negotiable.Exchange with a car is possible.Raspberry garden land plot raspberry raspberry raspberryMalina malinai malinayi aznvamori aznvamoru:Малина маллинник:Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17965048,
For Residential Development,95 sq.m.,"Բաղրամյան փողոց 27, Ստեփանավան","$35,000",USD,"Բաղրամյան 27 հասցեում վաչարվում է հողատարած, քաղաքի կենտրոնում! Ստեփանավանում։подробно по указанных номер... Удобно построить могазины",Nov-25-2022_01-05,https://list.am/en/item/17414965,
For Public Buildings,1111 sq.m.,Lorri › Stepanavan,"500,000 ֏",AMD,"24 sq / m land is for sale near the military unit. The land is privatized, all the documents are available for two-storey construction. The land is for business use. Address Bondr 7a.Translated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/11105782,
For Residential Development,999 sq.m.,"Vardanants Street, Vanadzor","$23,000",USD,"Located next to the chemical plant park, CALL FOR DETAILSTranslated from Armenian",Nov-25-2022_01-05,https://list.am/en/item/17915365,
For General Purpose,4500 sq.m.,"Gortsaranayin Street passage 13, Noyakert","160,000,000 ֏",AMD,Exchange possibleTranslated from Armenian,Nov-25-2022_01-05,https://list.am/en/item/17499490,
