Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Appliances,Window Views,Links
Stone,No,Not available,5,105 sq.m.,5,1,from 3 m,1,Not available,Not available,Partial Renovation,Kotayk › Byureghavan,"$40,000",USD,"5-room apartment on the 1st floor of a 5-storey building is for saleaddress 16sh 42 apt.It has three-phase electricity, drinking water, euro door and window, separate entranceTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17843177
Panels,No,Available,9,100 sq.m.,4,1,from 2.7 m,5,Closed balcony,Available,Old Renovation,Kotayk › Charentsavan,"$50,000",USD,"URGENTLY for sale, apartment 8 district, building 21. The pipes are swollen. The bathroom has recently renovated the heating system. Constant hot and cold water. Euro windows. The windows of Miyan's balcony have not been changed. Sunny. Warm apartment. Chi sakarkvum:Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16665093
Stone,No,Not available,4,63 sq.m.,2,1,from 2.8 m,2,Not available,Not available,Partial Renovation,Kotayk › Yeghvard,"$43,000",USD,"A 2-to-3 apartment is for sale in K. In Yeghvard, 12 km from Davtashen. With. 63 square meters, sunny and warm. The apartment is gasified, there is a boiler, hot and cold water, the windows have been changed, the entrance door is iron, the house has been partially renovated. A school, a kindergarten, a sports school, a renovated park-playground, various shops, including the Yerevan City supermarket, are located in the area. Price negotiableTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18346675
Stone,No,Not available,2,135 sq.m.,4,2,from 2.8 m,2,Open balcony,,Partial Renovation,"Zovuni 38 street, Zovuni","$50,000",USD,"I am selling a 2-storey 4-room stone house with a large living room, 2 floors together, one wall adjacent to the neighbor. It has all utilities, 2 floors are heated with central heating. Close to the bus stop, kindergarten, school. NO LAND. Partial sale is possible.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17628291
Stone,No,Not available,5,56 sq.m.,2,1,from 2.8 m,1,Multiple balconies,,Euro Renovation,Kotayk › Abovian,"$48,000",USD,"Apartment for sale in Abovyan. Has an individual handling system. The house is renovated. Separate entrance from the yard (Suitable for commercial purposes), For sale urgently. Negotiable:Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17371403
Stone,No,Not available,4,80 sq.m.,3,1,from 3.5 m,1,Closed balcony,,Partial Renovation,Kotayk › Charentsavan,"$45,000",USD,"3 rooms, 80 square meters, partially renovated, added, remodeled, has a basement, NEGOTIABLE. VERY URGENTLY.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18271283
Stone,No,Not available,5,49 sq.m.,3,2,from 2.8 m,3,Multiple balconies,,Old Renovation,Kotayk › Nor Geghi,"1,600,000 ₽",RUB,Требуется ремонт,Nov-25-2022_12-55,,,,,https://list.am/en/item/17906136
Stone,No,Not available,5,56 sq.m.,2,1,from 3 m,5,Closed balcony,Not available,Major Renovation,"Yeritasardakan street, Abovyan","21,000,000 ֏",AMD,For more information call: The price is negotiable.Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17443674
Stone,No,Not available,4,65 sq.m.,3,1,from 2.75 m,3,Open balcony,,Partial Renovation,"Aghvan Stepanyan street, Kasakh","$54,000",USD,"3-room apartment for sale in Kasakh. Near Vahagni district. Constant hot and cold water. Baxi system. It is possible to sell together with the garage and furniture. AND It is possible to sell with a mortgage. The apartment is very bright. Bed 2.80. The apartment is sold with a garage and furniture for an additional fee. Only two days apartment with property and garage $58,000Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17710611
Stone,Yes,Not available,2,260 sq.m.,2,1,from 3.5 m,2,Open balcony,Available,Cosmetic Renovation,"GAM street 1, Proshyan","$300,000",USD,"Car service is for sale in Proshyan village, 2 apartments on the 2nd floor, capitally renovated.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/14305992
Panels,No,Available,9,90 sq.m.,4,1,from 2.8 m,6,Closed balcony,,Old Renovation,Kotayk › Jrvezh,"$75,000",USD,4 сенеак арев кохм,Nov-25-2022_12-55,,,,,https://list.am/en/item/16009304
Stone,No,Not available,3,58 sq.m.,2,1,from 3 m,3,Open balcony,,Partial Renovation,Kotayk › Charentsavan,"$45,000",USD,"Продаётся двухкомнатная квартира в городе чаренцаван.В 1-ом квартале дом 2.В трехэтажном доме на третьем этаже.Ремонта нет, есть подвал и балкон.Входную дверь меняли год назад.Преимущества квартиры, хороший район, высокие потолки и толстые стены.В Чаренцаване два дома таких.Соседей не слышно звукоизоляция хорошая.Все вопросы по телефону.",Nov-25-2022_12-55,,,,,https://list.am/en/item/15721458
Monolith,Yes,Available,9,68 sq.m.,3,2,from 3 m,7,Multiple balconies,,No Renovation,"Zovuni 6 street, Zovuni","$63,000",USD,"Apartment for sale in ""Zover"" eco district under construction. Completion of building construction in 2024.A REFUND WITH INCOME TAX WILL APPLYTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18364759
Monolith,No,Available,12,65 sq.m.,3,1,from 2.8 m,5,Not available,,Cosmetic Renovation,"Hanrapetutian Avenue 26, Abovyan","$62,000",USD,"Վաճառվում է լուսավոր և արևկողմ բնակարան Աբովյան քաղաքում, ամենակենտրոնական հատվածում, բոլոր կոմունալ հարմարություններով։Светлая, теплая и чистая квартира в самом центре города Абовяна со всеми комунальными удобствами.",Nov-25-2022_12-55,,,,,https://list.am/en/item/18241964
Panels,No,Available,9,54 sq.m.,1,1,from 2.8 m,2,Closed balcony,,Cosmetic Renovation,"7-րդ թաղամաս 1, Չարենցավան","$30,000",USD,"An apartment is for sale on the 2nd floor of a 9-story building, the house is equipped with gas, electricity, gas, water, iron door, 1 room turned into 2 rooms, NEGOTIABLE, POSSIBLE TO EXCHANGE THE HOUSE IN YEREVANCall 94 of this numberTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18232369
Panels,No,Available,9,100 sq.m.,4,1,from 2.75 m,5,Closed balcony,Available,Partial Renovation,Kotayk › Charentsavan,"$65,000",USD,"Apartment for sale in Charentsavan. The area on the 5th floor of a 9-storey panel building is 100 square meters.The pipes are changed, the bathroom is repaired, the heating is removed, the windows are changed, only the balcony windows are not changed.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16665498
Stone,No,Not available,3,43 sq.m.,2,1,from 2.5 m,1,Not available,,Cosmetic Renovation,"Ուսանողական փողոց 68, Նոր Գեղի","$36,000",USD,"A 2-room apartment is for sale. It has permanent water, electricity and gas, the doors and windows are European. There is a cellar under the kitchen.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18288382
Stone,Yes,Available,11,31 sq.m.,1,1,from 3 m,2,Open balcony,,Designer Renovation,Kotayk › Tsakhkadzor,"$60,000",USD,"Kechi House, Новостройний жилой комплекс, в квартире никто не жил.Бесплатная парковка,WiFISmart TVКухонные принадлежностиОтопление.Ванные принадлежностиПостельное бельеХолодная и горячая водаОткрытый балкон с красивой панорамойРассматрю вариант, поменять на квартиру в Ереване",Nov-25-2022_12-55,,,,,https://list.am/en/item/17646242
Stone,No,Not available,5,40 sq.m.,1,1,from 3 m,1,Not available,,Old Renovation,Kotayk › Charentsavan,"$32,500",USD,"In the fourth opening of the third building of the fourth district in the city of Charentsavan, a trading hall with an area of 40 square meters is for sale. The price is negotiable. Call to inquireTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16547516
Panels,No,Available,9,56 sq.m.,2,1,from 3 m,7,Closed balcony,,Old Renovation,Kotayk › Charentsavan,"$27,500",USD,It has two basements on the same floor with shelves and electricity.Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/16746251
Panels,No,Not available,5,68 sq.m.,3,1,from 2.8 m,5,Open balcony,Not available,Cosmetic Renovation,Kotayk › Argel,"$35,000",USD,"A 3-room apartment for sale in Kotayk Marz, renovated (except for the bathroom), roof changed, individual heating system, euro windows, iron door. Sold together with furniture. School and kindergarten are nearby.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18066032
Panels,No,Available,9,78 sq.m.,3,1,from 2.8 m,7,Closed balcony,Available,Major Renovation,Kotayk › Hrazdan,"$50,000",USD,"A 3-room apartment is for sale, in Hrazdan, the apartment is completely renovated, it is bright and there is an uninterrupted elevator in the sunny building.A heating system (BAQSI) is installed near the hospital. THE PRICE INCLUDES FURNITURE AND APPLIANCES.IDLE PEOPLE DON'T CALLTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18315894
Monolith,Yes,Available,8,54 sq.m.,2,1,from 3 m,3,Open balcony,,Euro Renovation,Kotayk › Tsakhkadzor,"$72,000",USD,"A beautiful apartment is urgently for sale in Tsaghkadzor, in a newly constructed building. The apartment is fully renovated, has an individual heating system and internet. It is sold with furniture and appliances. Working business. Office. Please call.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/12558966
Stone,No,Not available,4,32 sq.m.,1,1,from 2.75 m,2,Closed balcony,Not available,Old Renovation,Kotayk › Hrazdan,"5,300,000 ֏",AMD,State conditionGas:To the eastE/dTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/18347887
Stone,No,Not available,4,14 sq.m.,1,1,from 2.7 m,4,Closed balcony,Not available,Euro Renovation,"Avagyan street, Abovyan","€14,600",EUR,Վաճառվում է նախկին հանրակացարան։ Ք Աբովյան Չափիչի 1 բն 79. Ընդհանուր մակերեսը 14.2։Դռները փոխված երկաթե։ Հոսանքի լարերը փոխված պղինձ եվրոնորոգված գինը 14600 բաղնիք-զուգարանը մեջն է ունի նորոգման կարիք գինը 14600.,Nov-25-2022_12-55,,,,,https://list.am/en/item/18363627
Stone,No,Not available,5,71 sq.m.,3,1,from 2.75 m,3,Closed balcony,,Major Renovation,Kotayk › Abovian,"$67,000",USD,"Квартира отремотирована, в отличном состоянии. Находится в центре города Абовян, все удобно есть, рядом школа, рынок, и все необходимые магазины.Квартира на солнечной стороне. Рядом со второй школой.",Nov-25-2022_12-55,,,,,https://list.am/en/item/17586072
Panels,No,Available,9,98 sq.m.,3,1,from 2.7 m,4,Multiple balconies,,Cosmetic Renovation,Kotayk › Jrvezh,"$80,000",USD,"The apartment is located in Jrvezh, on the 4th floor of a 9-storey building. 12 square meters, school, kindergarten, shops are nearby.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17387281
Stone,No,Not available,3,68 sq.m.,3,1,from 2.75 m,1,Closed balcony,,Partial Renovation,"Sportain street, Nor Hachin","$40,000",USD,"The apartment has a renovated bathroom, a kitchen with furniture, three to four furnished rooms, a terrace renovated with tuff stone, euro windows, it has heating, it can also be exchanged with your own house, negotiable.The apartment is located on the sports street.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16040189
Stone,No,Not available,3,50 sq.m.,2,1,from 3 m,2,Open balcony,Available,Major Renovation,Kotayk › Byureghavan,"$45,000",USD,"2nd floor price includes all furniture and appliances. Negotiable without property Capital renovated apartment c. In Byureghavan, baxi heating system, second floor, large kitchen, ceiling 3 meters, the floor of the apartment is completely presgranite, exchange with own house or 4-room apartment. Price is negotiable near the apartment, real buyers should callTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16874354
Panels,No,Not available,6,80 sq.m.,3,1,from 2.8 m,6,Multiple balconies,,Cosmetic Renovation,"Zoravar Andranik street, Nor Hachin","$48,000",USD,"3-room apartment on 6/6 floor is for sale urgently. It is repaired, the roof is tiled with the possibility of 2 floors, there is a heating system with a top pole in Chulan's basement. It is possible together with the property and equipment for an additional payment.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17265174
Stone,No,Not available,1,100 sq.m.,3,1,from 2.8 m,1,Not available,Available,Old Renovation,"Pyunik Street, Dzoragyugh","$30,000",USD,"The house is in good condition, it has a large plot of land.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/16426679
Panels,No,Available,16,96 sq.m.,4,1,from 2.8 m,3,Not available,,Euro Renovation,Kotayk › Abovian,"$70,000",USD,"The apartment is located in the center of the city, close to the bus stop, school and kindergartenPrice is negotiableFor more information callTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17693611
Stone,No,Available,9,57 sq.m.,3,1,from 2.75 m,2,Open balcony,,Major Renovation,Kotayk › Kasagh,"$65,000",USD,3 rooms for sale. Kazakh 2/2 mak 58 sq. 2 respects from the novice. Stone. Capital roof... It has a warehouse. By book... Bucks co-founder. Iron door.Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/14760379
Stone,No,Not available,4,15 sq.m.,1,1,from 2.6 m,4,Open balcony,Not available,Old Renovation,"Կոտայքի փողոց 1, Բյուրեղավան","$6,000",USD,Call for the rest.Translated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/16891794
Panels,No,Available,9,75 sq.m.,3,1,from 2.75 m,1,Not available,Not available,No Renovation,"Kentron block 37, Hrazdan","$36,000",USD,"Եվրոլպատուհանները և բաքսի համակարգը տեղադրված են Իդիալի կողմից, դուռը երկաթյա։Բնակարանը գտնվում է ամիջապես շատրվանների կողմից առաջին մուտքում ։Բնակարանը ունի վերանորոգման կարիք։Տվյալ պահին գնելու դեպքում տրվում է նաև շինանյութը։Գինը վերջնական է և չի սակարկվում",Nov-25-2022_12-55,,,,,https://list.am/en/item/18181043
Panels,No,Available,14,69 sq.m.,2,1,from 2.75 m,11,Closed balcony,,Cosmetic Renovation,"Hatis street, Abovyan","$45,000",USD,"2-room apartment for sale in In Abovyan, on the 11th floor of a 14-story building. It has been renovated, there is a heating system for the cabin.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18363177
Monolith,Yes,Available,6,73 sq.m.,3,2,from 3 m,3,Open balcony,,No Renovation,"Հատիս փողոց 26/1, Աբովյան","$51,000",USD,"73-200 ՔՄ, 1ՔՄ արժեքը 300.000 dram",Nov-25-2022_12-55,,,,,https://list.am/en/item/17652031
Stone,No,Not available,5,47 sq.m.,2,1,from 2.7 m,4,Closed balcony,,No Renovation,Kotayk › Yeghvard,"$26,500",USD,"The apartment is located in Raykom district. It is a comfortable, bright apartment. It needs major renovation.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18259605
Stone,No,Not available,4,86 sq.m.,4,1,from 2.7 m,2,Multiple balconies,Available,Major Renovation,"Aghvan Stepanyan street, Kasakh","$65,000",USD,Heating systemthoroughly reconstructedinside and outside doors changedwindows euroTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/16476187
Stone,No,Not available,5,37 sq.m.,2,1,from 2.8 m,1,Not available,,Cosmetic Renovation,"Օղակաձև փողոց 7, Բյուրեղավան","$29,000",USD,There is hot and cold water2 points of gasCall for detailsTranslated from Armenian,Nov-25-2022_12-55,,,,,https://list.am/en/item/17279979
Panels,No,Available,9,77 sq.m.,3,1,from 2.75 m,9,Closed balcony,Not available,Old Renovation,"Հատիս փողոց 11, Աբովյան","$55,000",USD,"3-room apartment sunny and bright, iron door, euro windows, roof repaired, the apartment is located in the 3rd microdistrictTranslated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17748424
Panels,No,Available,9,50 sq.m.,2,1,from 2.8 m,9,Not available,,Partial Renovation,"Sevani street 5g, Abovyan","14,800,000 ֏",AMD,"Վաճառվում է 1 սենյականոց բնակարան` Դարձրած 2, 9 հարկանի շենքի 9_րդ հարկում, ունի ջեռուցման համակարգ, մշտական տաք և սառը ջուր, ջրի բակ, տանիքը ամբողջովին հիմնական ծածկված, վերանորոգված, ունի 2_րդ հարկ կառուցելու հնարավորություն, պատուհանները և դուռը փոխված են, բնակարանն ունի կոսմետիկ վերանորոգման կարիք։ Բնակարանը մոտ է խանութներին, կանգառին, որտեղից անցնում են Աբովյանի ներքաղաքային, հարակից տարածքներ և Երևան գնացող բոլոր երթուղայինները և ավտոբուսները։Продается 1-комнатная квартира переделанная на 2 комнатную, на 9 -ом этаже 9-ти этажного дома, есть отопление, / baxi/ постоянная горячая и холодная вода, бак для воды, крыша полностью крыта, сделан ремонт крыши, окна и дверь поменяны, есть возможность 2-го этажа, в квартире требуется косметический ремонт. Квартира находится недалеко от магазинов, автобусной остановки, откуда проходят все автобусы и маршрутки идущие в центр Абовяна, сосение районы и Ереван.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17984086
Panels,Yes,Available,9,76 sq.m.,3,1,from 3 m,1,Closed balcony,Not available,Cosmetic Renovation,"2-րդ փողոց 19, Աբովյան","$60,000",USD,"The apartment is not located in a newly built district, it is just that the system is so complete. The apartment is fully repaired, there is a heating system, the bathroom is tiled, the windows are euro made, the door is iron, the bathroom is kitchen tiled, the kitchen floor is heated, the apartment is for sale with storage room, basement, kitchen furniture / kitchen / bathroom / stove together.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17248623
Stone,No,Not available,2,232 sq.m.,5,2,from 2.8 m,2,Open balcony,Available,Euro Renovation,Kotayk › Tsakhkadzor,"$120,000",USD,"17.6 square meters of garage for sale. In a small private house, 70 sq. M. Together with M. The total area of the plot is 480 square meters. M.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17424642
Stone,No,Not available,4,30 sq.m.,1,1,from 2.7 m,4,Open balcony,,Cosmetic Renovation,Kotayk › Charentsavan,"$17,000",USD,"It is facing south, the roof is repaired, the entrance door is iron, it is sold together with the property, it is included in the price.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18362451
Panels,No,Available,9,73 sq.m.,4,1,from 3 m,3,Closed balcony,Available,Major Renovation,"Kentron block, Hrazdan","$55,000",USD,"4-room designer-renovated apartment is for sale on the 1st line in Hrazdan city, 73 sq. M. Մ. Located on the 3rd floor of a 9-storey building. The apartment is fully renovated. Iron door, euro windows are installed, the floor is covered with laminate. It is provided with constant water and gas supply. It is heated by central heating system. The bathroom is tiled, equipped with sanitary ware. There is a closed balcony. For sale together with all the property and equipment.Code 18639Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17885657
Stone,No,Not available,2,100 sq.m.,3,1,from 2.75 m,1,Not available,,Euro Renovation,"Zovuni 4 Street, Zovuni","$53,000",USD,"In the center of Zovuni, newly renovated, heating system, loft furniture, high 1st floor, urgent sale.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18132786
Panels,No,Available,9,94 sq.m.,4,1,from 2.75 m,5,Closed balcony,By agreement,Partial Renovation,"Jrvezh, Banavan District","$75,000",USD,"Apartment in Jrvezh.The apartment is in average condition.The necessary conditions are available: Constant hot and cold water, gas, individual heating system.The windows have been replaced, the front door is iron.Call the indicated phone number with a normal call. And you can only write to Viber.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18088032
Stone,No,Not available,5,44 sq.m.,1,1,from 3 m,4,Closed balcony,By agreement,Partial Renovation,Kotayk › Abovian,"$40,000",USD,"Sunny. If you have any questions, call ViberTranslated from Armenian",Nov-25-2022_12-55,PLayground,OUtdoor parking,,,https://list.am/en/item/17392188
Stone,Yes,Not available,5,48 sq.m.,2,1,from 2.8 m,2,Closed balcony,,Partial Renovation,"Saralangi street, Abovyan","$34,500",USD,"2-room apartment on the 2nd floor of a 5-storey building is for sale, partially renovated.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/17930637
Panels,No,Available,9,54 sq.m.,2,1,from 2.7 m,4,Closed balcony,,Partial Renovation,"Hatis street, Abovyan","$35,000",USD,"A 2-room apartment is for sale in the city of Abovyan. Partially renovated. The apartment has Euro windows and a central heating system. On the 4th floor of a 9-story building, a 1-room apartment has been converted into 2 rooms.Translated from Armenian",Nov-25-2022_12-55,,,,,https://list.am/en/item/18038683
Stone,No,Not available,3,750 sq.m.,8+,3+,from 3.5 m,3,Multiple balconies,,Major Renovation,"Gevorg Chaush street, Yerevan","$500,000",USD,"A 3-storey luxurious 9-room private house with a total area of 750 square meters and a land of 1100 square meters is for sale on the first line near the former Ministry of Defense near Yerjan Ashtarak highway. The house is completely renovated. Euro windows, air conditioner, metal door are installed, the floor is covered with laminate and chromogranite. It is provided with constant water and gas supply. It is heated by a heating system. The bathrooms are tiled, equipped with sanitary ware. The house has a garage, a spacious yard, a basement, a garden with fruit trees. The house is provided with all the necessary property and equipment.Code 17914Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17433250
Stone,No,Not available,5,60 sq.m.,2,1,from 2.7 m,5,Closed balcony,Not available,Old Renovation,"3-й квартал 21, Чаренцаван","$39,000",USD,Старый ремонт все вопросы по телефону,Nov-25-2022_12-56,,,,,https://list.am/en/item/18362115
Stone,Yes,Not available,1,100 sq.m.,4,1,from 3.2 m,1,Open balcony,Not available,No Renovation,"14-րդ փողոց 20, Զովունի",$100,USD,The newly constructed electricity is being used by all the communists who have been dragging their swords. The land is completely fenced.Translated from Armenian,Nov-25-2022_12-56,,,,,https://list.am/en/item/17678708
Panels,No,Available,9,150 sq.m.,6,2,from 2.8 m,9,Not available,Available,Euro Renovation,"3-րդ միկրոշրջան 12, Աբովյան","$120,000",USD,"2 3-room apartments, for sale together, 9 and 10th floors, completely renovated, natural gas, heating and hot water systems, side, euro windows, negotiableTranslated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17531596
Stone,No,Not available,5,75 sq.m.,3,1,from 2.7 m,4,Open balcony,Not available,Major Renovation,Kotayk › Abovian,"$74,000",USD,"A 3-room apartment is for sale in the city of Abovyan. The apartment is fully renovated, it has an individual heating system, the windows are made in Europe, the door is iron, facing the sun.We also work with home buyers with certificates and mortgages.You can read all our announcements by clicking on the right side - Good Offer. Thanks in advance:Code C3 065Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17071085
Panels,No,Available,9,52 sq.m.,2,1,from 2.6 m,2,Not available,,Partial Renovation,"Սևանի փողոց 5Բ, Աբովյան","$38,000",USD,"2-room apartment for sale in Abovyan city, 6th micro. It is gasified, has a heating system, internet connection. The windows have been changed. The bathroom is completely renovated and furnished. The apartment can be converted into 3 rooms.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17970168
Stone,No,Not available,2,60 sq.m.,3,1,from 2.75 m,1,Not available,,Major Renovation,"Erevanyan street, Yeghvard","$47,000",USD,"The apartment is fully renovated and equipped with all utilities: Constant hot and cold water, gas, internet, individual heating system. I will negotiate only after looking at the apartment. VERY URGENT!Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/16299433
Panels,Yes,Available,9,67 sq.m.,2,1,from 2.7 m,7,Closed balcony,By agreement,Major Renovation,"6 district, Charentsavan","$47,000",USD,"Side by side, gas, waterVery good renovation, heating system, with kitchen furniture and appliances. 6-13 buildingCall for details. Negotiable:Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/12052756
Stone,No,Not available,5,66 sq.m.,2,2,from 2.7 m,4,Closed balcony,Not available,Old Renovation,Kotayk › Hrazdan,"$30,000",USD,"Վաճառվում է 2 սենյականոց բնակարան (նիշայով), Երևանյան փողոց, չեխական պրոեկտ, 5/4-րդ հարկ, 66քմ, արևկող, 2 կողմանի պատշգամբ, գազ, մշտական ջուր. Մանրամասների համար զանգահարել (առանց միջնորդի) :ԳայանեԶանգահարել մինչև 19:00",Nov-25-2022_12-56,,,,,https://list.am/en/item/13936915
Stone,No,Not available,5,68 sq.m.,2,1,from 2.75 m,1,Closed balcony,By agreement,Cosmetic Renovation,"Sportain street, Nor Hachin","$40,000",USD,"3-room apartment in a stone building (Czech project) for sale. The apartment is in cosmetically renovated condition, the bathroom is tiled, there is an individual heating system. The apartment is located 15 km away from the district committee, it is asphalted, it has a heating system, the windows are of European production;Code 6687Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/17713473
Stone,No,Not available,4,30 sq.m.,1,1,from 2.75 m,4,Open balcony,Available,Cosmetic Renovation,"2-րդ թաղամաս 14, Չարենցավան","$17,000",USD,"The apartment faces south, is in habitable condition, the entrance door is made of iron, the roof is repaired, it is provided with gas and hot water. It will be sold with quality, equipment, which is reflected in the price.NEGOTIABLE.Translated from Armenian",Nov-25-2022_12-56,,,,,https://list.am/en/item/18228577
Panels,No,Available,9,88 sq.m.,4,2,from 2.8 m,9,Closed balcony,Available,Designer Renovation,"2-րդ միկրոշրջան 8, Աբովյան","$80,000",USD,"4 սենյականոց բնակարան, 2-րդ միկրոշրջան, 88 ք. Մ.Բնակարանը կապիտալ վերանորոգված է:Վաճառվում է կահույքի հետ միասին: Հնարավոր է վաՃառք ինչպես նաև առանց կահույքի և տեխնիկայ (BAXI + 2 օդորակիչներ) :Ջեռուցվում է գազի կաթսա BAXI:Տեղադրված է 2 օդորակիչներ:Առկա է 500լ տարողությամբ ջրի բակ իր անաղմուկ պոմպով:Բնակարանը 2 հարկանի է (9 հարկ + 10 հարկ= 88ք. Մ.) ունի կոմունալ բոլոր հարմարությունները...Բնակարանը ունի մշտական տաք և սառը ջուր, 2 սանհանգույց, անցկացված է անհատական ջեռուցման համակարգ BAXI, եվրոպատուհաններ, եվրոդռներ, էլ․ լարեր ը և խողովակները փոխված, մուտքի դուռը երկաթյա, երկկողմանի արևկող դիրք, անվտանգության համակարգ, տանիքը կապիտալ վերանորոգված:Մոտակայքում կարող եք գտնել բազմաթիվ խանութներ, ժամանցի կենտրոններ, սուպերմարկետներ: Վաճառվում է կահույքի հետ միասին:Առկա է նաև ավտոտնակ 21 քմ + (5000) ։ Հնարավոր է միասին վաՃառք ինչպես նաև առանձին:Խնդրում ենք զանգահարել միայն ռեալ գնորդներին:4-комнатная квартира, 2-й микрорайон, 88 кв. М.Квартира полностью отремонтирована.Продается с мебелью. Возможна продажа без мебели и техники (BAXI + 2 кондиционера)Газовый котел BAXI отапливается.Установлено 2 кондиционера.Имеется резервуар для воды на 500 литров с бесшумным насосом.В квартире 2 этажа (9 этажей + 10 этажей = 88 квадратных метров) есть все коммуникации...В квартире постоянная горячая и холодная вода, 2 санузла, индивидуальная система отопления BAXI, евро окна, евро двери, эл. Провода и трубы поменяны, входная дверь железная, двусторонняя солнечная сторона, система безопасности, крыша полностью отремонтирована.Рядом вы можете найти множество магазинов, развлекательных центров, супермаркетов. Продается с мебелью.Также есть гараж 21 кв. М + (5000) Возможна продажа как вместе, так и по отдельности.Просьба звонить только реальным покупателям.4-room apartment, 2nd microdistrict, 88 sq. M.The apartment is fully renovated.Sold with furniture.Gas boiler BAXI is heated.2 air conditioners are installed.There is a 500L water tank with its silent pump.The apartment has 2 floors (9 floors + 10 floors = 88 square meters) has all utilities...The apartment has constant hot and cold water, 2 bathrooms, BAXI individual heating system, European windows, European doors, e. The wires and pipes have been changed, the entrance door is iron, two-way sunny position, security system, the roof has been completely repaired.Nearby you can find many shops, entertainment centers, supermarkets. Sold with furniture.There is also a garage of 21 square meters + (5000) Can be sold together as well as separately.Please call only genuine buyers.",Nov-25-2022_12-56,,,,,https://list.am/en/item/18052308
