Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,450 sq.m.,3,5,3+,1 spot,Major Renovation,700 sq.m.,"Andranik Street, Dilijan station","$230,000",USD,"A newly built private house in Dilijan is for sale. Fully renovated, 2 bathrooms, tile floor, large area on the first floor, garage,on the second floor, an open balcony of about 50 square meters with a wonderful view, dining room, kitchen, one bedroom, bathroom;on the third floor - 3 bedrooms, hall, corridor, bathroom;There is a mansard floor with an open area, there is a fireplace in the garden;Code 47363Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18198026,
House,Stone,209 sq.m.,2,6,1,,No Renovation,635 sq.m.,"Улица Акопджанян 29, Дилижан","$44,500",USD,"Старая постройка, с крепкими толстыми стенами, высота этажа 3,5 метра, частично ж/б перекрытия, частично деревянные. Кровля новая из алюминиевого шифера. Была сделана в конце 90-х годов. Есть и полуподвальный технический полуэтаж высотой 2 метра. Очень красивый вид из окон. Вода с установкой счетчика и газ подведены.",Nov-25-2022_00-20,,,,,https://list.am/en/item/18254931,
House,Stone,141 sq.m.,2,6,1,,No Renovation,690 sq.m.,Tavush › Dilijan,"€45,000",EUR,"Дом старый. Есть вода, электричество и газ. Место отличное, вид потрясающий. Я собственник. Адрес ул. Советнери 2 переулок дом 5",Nov-25-2022_00-20,,,,,https://list.am/en/item/18311265,
House,Stone,700 sq.m.,2,5,2,1 spot,No Renovation,,"Մյասնիկյան փողոց, Դիլիջան","$183,000",USD,"Նորմալ վիճակ, մանրահատակ, բաց պատշգամբ, ավտոտնակ, գեղեցիկ այգի;Կոդ 42529",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/11128385,
House,Monolith,555 sq.m.,2,5,1,1 spot,No Renovation,111 sq.m.,Tavush › Ijevan,"$15,000",USD,"Private house for sale on Metalagortsneri (Rembazi) street in Ijjan, flat placeThe roof is dry.Not cut as desiredThe price is indicated ենթ subject to change.Can be exchanged for another apartment or house (Ijjan, Kirovakan)I will post it with the photos to call another phone number.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16418614,
House,Stone,84 sq.m.,2,2,1,2 spots,Old Renovation,770 sq.m.,Tavush › Achajur,"$14,000",USD,"(Code 07/ 015) A private house for sale in Achajur village, Ijevan city, the area is 84.5 sq/m, and the plot size is 770 sq/m, it has a 27 sq/m pantry, it has electricity, the water is in the garden of the house, and gas, right next to the house, has an orchard, the price is 14,000 USD. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Code 07-015Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18365583,
House,Stone,800 sq.m.,2,7,2,3 or more spots,Euro Renovation,570 sq.m.,Tavush › Dilijan,"$125,000",USD,"A two-story private house in Dilijan city is for urgent sale. The area of the house is 230 square meters. M. Yes, each floor has its own bathroom, it is renovated, the yard is fully adapted for recreation, it has parking space for 5 cars in the yard and 1 garage. The house is sold with all the furniture and electrical equipment, it has a pavilion in the yard. It is very suitable for use as a guest house, as well as for residence. The road leading to the mansion is completely renovated, paved with asphalt.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18234122,
Country House,Wooden,2400 sq.m.,2,3,2,3 or more spots,Designer Renovation,1900 sq.m.,"Kamo Street, Dilijan station","$1,200,000",USD,"3 newly built wooden private houses are for sale, furnished with equipment, as well as a 2-storey stone administrative building.Works as an operating guest house.* 24 hour security video surveillance system* parking for 10 cars* Individual heating systems in all private houses*interior design* high quality furniture and equipment* Fireplace* Individual pool and sauna* Children's playground#house:#rest:#rent:#dilijan:Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/14498318,
House,Stone,723 sq.m.,2,8+,3+,,Major Renovation,,"Kalinini street, Dilijan station","$250,000",USD,"K. Dilijan, Saralanj street, 9th lane. , 4th house: Three detached houses with different entrances (44 sq. M., 57 sq. M., 81 sq. M.) are built on a 723 sq. M. Plot, which can be used as a guest house. It has a storage room with an area of 11 square meters. Parking for 2 cars. The apartments were built in 2016 and 2019, completely renovated and furnished. It has constant electricity and water, installed 2 solar yards /250l and 360l/. The area is secured with internet connection and cameras. A 55-square-meter pavilion for 40 people was also built. The territory is green, there are fruit and decorative trees, it has a wonderful view. Exchange with other properties is also possible for an additional fee. The price is negotiable.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15056350,
Country House,Stone,150 sq.m.,2,3,1,1 spot,No Renovation,500 sq.m.,"Parz Lich street, Dilijan station","$15,000",USD,"Urgently for sale. It is in Haghartsin village. There is a school, a kindergarten and shops nearby.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17480468,
House,Monolith,559 sq.m.,4+,8+,3+,3 or more spots,Partial Renovation,1800 sq.m.,Tavush › Ijevan,"$160,000",USD,"ՇՏԱՊ վաճառվում է 4 հարկանի տուն Իջեւան քաղաքում` Մասնակի վերանորոգված, կոմունալ բոլոր հարմարություններով։ Տունը մոնոլիտ շինություն է, նախատեսված մինչեւ 15 բալ երկրաշարժի համար։Ունի ավտոտնակ 14x5, 6x5 չափերով, կաթսայատուն, մառան, պտղատու այգի։ Հնարավոր է վարձակալություն` Ամսական վճարմամբ, ինչպես նաև փոխանակում բնակարանի և/կամ մեքենայի հետ` Գումարային տարբերությամբ։Առանձնատունը կարող է օգտագործվել որպես հյուրատուն և/կամ օֆիսային տարածք։Առանձնատունը գտնվում է Իջեւանի բարձրադիր ու հանգիստ թաղամասերից մեկում։ Այստեղից բացվում է գեղեցիկ տեսարան դեպի Իջևան քաղաքն իր հիանալի բնությամբ։Առանձնատնի գինը սակարկելի է։Այլ մանրամասների համար կարող եք զանգահարել հայտարարությանը կցված հեռախոսահամարով կամ գրել էլ. Հասցեին։СРОЧНО продается 4-х этажный дом в Иджеване, частичный ремонт, со всеми удобствами. Дом представляет собой монолитное сооружение, рассчитанное на землетрясение силой до 15 баллов.Имеется гараж 14х5 и 6х5, котельная, кладовая, большой сад/огород. Возможна аренда с ежемесячной оплатой, а также обмен на квартиру и/или автомобиль с денежной разницей.Дом можно использовать как гостевой дом и/или офисное помещение.Особняк расположен в одном из высоких и тихих районов Иджевана. Отсюда открывается прекрасный вид на город Иджеван с его чудесной природой.Цена дома договорная.Для получения других подробностей вы можете позвонить по номеру телефона, прикрепленному к объявлению, или написать на электронную почту.",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16226674,
House,Stone,200 sq.m.,2,4,2,Not available,No Renovation,1094 sq.m.,Tavush › Ijevan,"3,300,000 ֏",AMD,"Semi-built house for sale in Gandzakar village. For details, call the indicated number. It is also possible to exchange with a Ford or Gazelle car with a monetary difference.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17357471,
House,Stone,100 sq.m.,2,4,1,1 spot,Old Renovation,2000 sq.m.,"Gosh 1st deadlock, Yerevan","$35,000",USD,"It is located in the village of Goshavank, in a quiet, beautiful placeTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/18167631,
House,Stone,60 sq.m.,4+,3,1,1 spot,Partial Renovation,,Tavush › Dilijan,"$30,000",USD,"The apartment has permanent hot and cold water, partially renovated, installed baxiTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17648748,
House,Stone,994 sq.m.,1,2,1,Not available,No Renovation,,"Շամախյան փողոց 2Ա, Դիլիջան","$25,000",USD,"Privatized, 994 sq / m land near the house is for sale in Dilijan, Spandaryan 114 (one-storey house) There are fruit trees, permanent water, electricity and gas on the land.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16447095,
House,Monolith,710 sq.m.,2,6,3+,3 or more spots,Major Renovation,710 sq.m.,"Улица Калинина 169, Дилижан","$215,000",USD,"Dilijan, Kalinin and Shamakhyan1.5 km from the crossroads to Shamakhyan.Capitally renovated, uninhabitedMonolithic buildingTwo floors with a wonderful view6 roomsLand 710 m2:Building 290 m2General use area 1950 m2, not privatized.Fenced parking lot, security point, video surveillance systemsIndividual heating system1 living room1 kitchen4 bedrooms3 balconies1 terrace balcony, fireplace mantelTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/14903858,
House,Stone,142 sq.m.,2,5,2,1 spot,Euro Renovation,300 sq.m.,"Շահումյան փողոց, Դիլիջան","$60,000",USD,"Renovated private house for sale on Shahumyan Street. The floor of the rooms and the living room is laminated, the roof is repaired. It has a garden of 300m, a basement floor that can be converted into a living space. It has 2 entrances.Price negotiableTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/11688214,
,Stone,300 sq.m.,,6,,,,,"Maksim Gorky Street, Dilijan station","$70,000",USD,"Վաճառվում է առանձնատուն Դիլիջան քաղաքում։Ունի փոքրիկ այգի, եռահարկ է։Ապահոված է կոմունալ բոլոր պայմաններով։",Nov-25-2022_00-20,,,,,https://list.am/en/item/15572641,
House,Stone,900 sq.m.,3,5,1,1 spot,Major Renovation,,"Usanogakan street, Dilijan station","$115,000",USD,"The house was built on 1 × 12 after the earthquake. It consists of 5 rooms, there are communal facilities, it is located on Student Street,It consists of 3 floors with separate entrances, the 3rd floor is a masard,It is possible to exchange it with an apartment in YerevanTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/15548652,
House,Stone,173 sq.m.,2,4,1,Not available,No Renovation,600 sq.m.,"Kalinini street, Dilijan station","$45,000",USD,"The house in Dilijan, 12a, 4th lane of Kalinin, also has a plot of 600 square metersThe house is made of tuff stone, concrete roof, sunny, with all utilitiesIt has access from two streets2-3 km from Dilijan Koltsevo,near international schoolWithout an intermediaryTranslated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18012319,
House,Stone,100 sq.m.,3,8+,1,1 spot,No Renovation,1500 sq.m.,Tavush › Movses,"$3,000",USD,"A house is for sale in Movses village, Tavush region. 3rd floor, 1500 m. , garage, garden.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17839811,
House,Stone,250 sq.m.,2,4,2,2 spots,Old Renovation,50 sq.m.,"Kalinini street, Dilijan station","$60,000",USD,"2-storey house for sale very close to Kalinin street. It has all the communal facilities. Constant cold water, hot water heater (kolonka) Shops in the area, school, central park, 10 minutes walk, banks. The house is for rent.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17647413,
House,Monolith,200 sq.m.,2,3,1,1 spot,Designer Renovation,,Tavush › Dilijan,"25,000,000 ֏",AMD,"The apartment is located in the central part of Haghartsin villageThe apartment has+ 2 bedrooms+ 1 Bathroom+ 1 Kitchen+ 1 living room+ 1 Penitentiary and 1 half-built penitentiary+ There is a bakery and a booth on the 1st floor, the table is designed for 15 people, the table is stylish, it is a museum work, the brand new house was renovated in 2022, and the building was built in 2016, for questions, call, do not write, negotiableTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17760477,
Country House,Stone,120 sq.m.,2,3,1,Not available,No Renovation,1500 sq.m.,"Chekhov street, Երևան","$8,500",USD,Дом без ремонта но жить вазможно падробности через телефон,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18275365,
House,Stone,126 sq.m.,2,5,1,Not available,Cosmetic Renovation,450 sq.m.,Tavush › Berd,"$20,000",USD,"The mansion is located in the city of Baird, in the city center. The total area is 126 sq. Meter. It has a plot of land near the house, 0.045 ha, with fruit trees. It is sold together with furniture.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18062203,
House,Stone,320 sq.m.,2,3,1,Not available,No Renovation,200 sq.m.,"Tavrizyan street, Ijevan","8,500,000 ֏",AMD,A two-story semi-detached house is for sale on Tavrizyan street. The area is 120 square meters. It has a small garden. For more information call!Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/18347802,
House,Stone,700 sq.m.,1,4,3+,3 or more spots,Old Renovation,700 sq.m.,Tavush › Noyemberyan,"4,500 ֏",AMD,Баграташен. Номер вивасел,Nov-25-2022_00-20,,,,,https://list.am/en/item/18362214,
House,Stone,250 sq.m.,3,8+,2,1 spot,No Renovation,1000 sq.m.,Tavush › Ijevan,"$22,000",USD,"A 3-storey stone house with a total living area of 250 square meters, with several balconies, a staircase is for sale. The house is almost ready, the second floor is plastered, only the interior works remain.There is a 1000 square meter orchard where there are walnut, hazelnut, apple, pear, plum, fig, coriander, hornbeam, mulberry and raspberry bushes.The house is located in the center of Achajur village.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16853678,
House,Stone,289 sq.m.,2,8+,1,1 spot,Cosmetic Renovation,1000 sq.m.,Tavush › Berd,"$20,000",USD,"Berd, the house is located in Tavush villagewith all utilitiesThe house is close to the main road.Call only buyers.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/16027525,
House,Stone,200 sq.m.,3,8+,3+,,Partial Renovation,620 sq.m.,Tavush › Dilijan,"$200,000",USD,At the moment he works as a guest house.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17260549,
Country House,Stone,55 sq.m.,1,2,1,,No Renovation,75 sq.m.,Tavush › Dilijan,"$20,000",USD,Call for details.Translated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/16436790,
House,Stone,200 sq.m.,3,8+,3+,,Partial Renovation,620 sq.m.,Tavush › Dilijan,"$200,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17209854,
House,Stone,64 sq.m.,4+,3,1,1 spot,Major Renovation,64 sq.m.,"Գայի փողոց 35, Դիլիջան","$50,000",USD,"Fully renovated and uninhabited apartment for saleOn the first floor of a stone building in Dilijan, in the Jarhogher district,2 bedrooms, open spacious balcony, beautiful view,constant hot and cold water supply, gasified,individual heating system, windows and doorsEuropean production, iron entrance door, electrical wiringand water pipes replaced. KITCHEN FURNITURE FOR SALEBACK ELEVATION THAT IS IN PROGRESS;Translated from Armenian",Nov-25-2022_00-20,Available,,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18193412,
Country House,Stone,268 sq.m.,2,4,1,3 or more spots,Cosmetic Renovation,,"9th Street 4th lane 2, Khachaghbyur","$35,000",USD,"House for sale in Hovk village, with communal facilities, land together with the house, has permanent FREE WATER. Sold together with the property, not exchanged. It also has a separate plot of land and a separate grass field.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/15245997,
House,Stone,1240 sq.m.,2,4,1,,Old Renovation,,Tavush › Dilijan,"$160,000",USD,"If you have any questions, write or callTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/14663446,
House,Stone,250 sq.m.,2,7,2,Not available,Partial Renovation,1150 sq.m.,Tavush › Dilijan,"$95,000",USD,"It is located in the village of Gosh, on the river bank, close to the road. It is supplied with water and electricity. The gas is located about 30 meters away. It has a total of 1150 square meters. Plot of land.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18065752,
House,Stone,91 sq.m.,1,4,2,,Partial Renovation,1004 sq.m.,"Getapnya street, Dilijan station","$200,000",USD,"Old-fashioned private house for sale, residential, partially renovated, with all communal facilities. Address c. Dilijan, 50 riverside.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16879479,
House,Monolith,300 sq.m.,3,8+,1,3 or more spots,No Renovation,850 sq.m.,Tavush › Dilijan,"$85,000",USD,3-storey house in Sayat Nova district of DilijanTranslated from Armenian,Nov-25-2022_00-20,Not available,BArbecue oven,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/15782396,
House,Stone,120 sq.m.,1,3,1,,Old Renovation,2000 sq.m.,Tavush › Ijevan,"$25,000",USD,"House for rent, plot in Lusahovit village, the house has cellars in the front, is in good condition, has gas, water, electricity, has a large fruit garden, can also be rented. It is very close to the city, the distance is 13 km. The rent is 40,000 AMD, in case of sale it is $25,000.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16359338,
House,Stone,168 sq.m.,1,1,1,3 or more spots,Old Renovation,600 sq.m.,"Կալինինի 4-րդ փողոց 14/3, Դիլիջան","$75,000",USD,"A two-story, private house of 168 square meters is for sale. The windows, doors to the rooms are of European manufacture, the outer door is made of iron. Two bathrooms. The total land area is 600 square meters, it has an orchard, it is close to Dilijan International School (500m) Address: 20\1 Abovyan Street.To reach my building in Dilijan from the center (Kalcevo), turn left (on Kalinino) 3km, then right 600m and right again 60m.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/16734047,
House,Stone,110 sq.m.,1,5,1,Not available,No Renovation,200 sq.m.,"Shamakhyan Street, Dilijan station","$17,000",USD,"A building with a car is FOR SALE or EXCHANGE in Dilijan. It is located in the very center of Shamakhyan district, near the Armenian post office, bus stop, shop. There is land in the back section, which can be sold separately if desired. The written price does not include the value of the land. The building can serve as a commercial area, an apartment, an entertainment center, a workshop.The price is negotiable, there is work to be done on it, of course that is why this price is set, you can call for more details. There are all the necessary documents (THE ROOF IS NEWLY REPAIRED) Located in one of the best districts, all the (ground) lands. There is no 5 room written in the data, I have already mentioned that the walls are not cut and zoned, completely straight without walls, area with high ceiling, the program simply does not allow to leave the place empty, but it can be 5 rooms and even the floor can be added, the foundation is very It is strong. CAN BE EXCHANGED WITH THE CAR WITH HALF MONEY AND HALF MONEY OPTION. CALL FOR DETAILS I WILL PLEASE ANSWER.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16876329,
House,Stone,220 sq.m.,2,4,1,Not available,Old Renovation,800 sq.m.,"Myasnikyan street, Dilijan station","$90,000",USD,"A private house for sale in the center of Dilijan city, first line, walls 55 cm thick. Cosmetic repair is required, the price is negotiable. Address: 78 Hakobjanyan StTranslated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18081131,
House,Stone,118 sq.m.,2,2,1,1 spot,Old Renovation,1380 sq.m.,Tavush › Sevkar,"$12,500",USD,"2 հարկանի Սեփական տուն, գտնվում է Իջևանի շրջանի Սևքար գյուղում, պտղատու ծառեր, մանրամասները հեռախոսով: ՇՏԱՊ!2 этажный каменный дом в Севкаре, 150 км от Еревана, плодовые деревья, подробности по телефону.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18272898,
House,Stone,2600 sq.m.,2,7,1,Not available,No Renovation,2300 sq.m.,Tavush › Aghavnavank,"$35,000",USD,"Located in Aghavnavank village, Dilijan, near the road, in need of repair, also exchange with an apartment in Ijevan city.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18129315,
House,Stone,188 sq.m.,2,4,1,Not available,No Renovation,389 sq.m.,"Sayat-Nova Street, Dilijan station","17,000,000 ֏",AMD,"A house is for sale in Dilijan, on Sayat Nova street. The area near the house is 188 m, the land is 389 m. It will be bargained for a real buyer.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/15523562,
Country House,Stone,120 sq.m.,2,5,2,,Partial Renovation,600 sq.m.,Tavush › Ijevan,"$50,000",USD,With all its utilitiesTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17651971,
House,Monolith,160 sq.m.,2,4,2,1 spot,No Renovation,200 sq.m.,"Անկախության փողոց 22, Իջևան","$75,000",USD,PROJECTWe offer a return of income tax from Townhouse developers.The area is located behind the city polyclinic.The living area of the house is 160 square meters. Մ. (80x2) :It is in the design stage.Translated from Armenian,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17849110,
House,Stone,65 sq.m.,1,3,1,3 or more spots,Old Renovation,3000 sq.m.,Tavush › Zorakan,"$10,000",USD,"Urgent. Very cheap. Right on the Yerjan-Bagratashen highway. First line. Near the village center. The house has 3 rooms with a basement. Old renovated. It has many fruit trees (3 nuts, 50-60 there, sign trees, pomegranate, etc.) Near the house - 3000 square meters (it also has one hectare of land, the price is $ 800) The facade is about 80 meters. It is also suitable for many, many activities (supermarket, barbecue, automation point, motel...) Different, just 1-2 meters away from the highway.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/16572491,
House,Stone,600 sq.m.,3,6,3+,2 spots,Designer Renovation,,"Kalinini street, Dilijan station","$300,000",USD,"A three-story private house is for sale or rent. In Dilijan. With all amenities. Together with the property, or for rent.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/14516383,
House,Stone,70 sq.m.,1,2,1,,No Renovation,600 sq.m.,"Myasnikyan street, Dilijan station","$26,000",USD,Own house for sale in the central part of DilijanTranslated from Armenian,Nov-25-2022_00-20,,,,,https://list.am/en/item/17934815,
House,Stone,268 sq.m.,3,6,2,1 spot,No Renovation,72 sq.m.,Tavush › Dilijan,"$95,000",USD,Продается частный дом. Обмен тоже интиресень. Звоните,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18092498,
House,Stone,120 sq.m.,4+,7,1,2 spots,Old Renovation,1200 sq.m.,Tavush › Dilijan,"$80,000",USD,"It is located in the village of Haghartsin, very daring as a dacha 2 house together. Located in the center of the village on the M4 road. 1000 meter hoxov also in exchange for the back of the car. Very urgent, zero yot yot yot ereq er mek er ut, Шат...Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/17151388,
House,Stone,600 sq.m.,2,4,1,1 spot,Partial Renovation,600 sq.m.,"Կամարինի փողոց 13, Դիլիջան","$80,000",USD,In the center of Dilijan city... Details by phoneTranslated from Armenian,Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/18355198,
House,Stone,299 sq.m.,2,5,2,,Designer Renovation,700 sq.m.,"Улица Калинина 1/2, Дилижан","$1,200",USD,950$ Новостройка 300 м квадрат срочно!,Nov-25-2022_00-20,,,,,https://list.am/en/item/16656796,
House,Stone,302 sq.m.,3,8+,1,2 spots,Partial Renovation,600 sq.m.,"Ankakhutyan Street 19, Ijevan","$55,000",USD,"Սեփական տուն Իջևանում:Սեփական տուն Տավուշի մարզում:Տունը գտնվում է Իջևան քաղաքում, Վահան Տերյան փողոց:Մասնակի վերանորոգված, գաջ: Ոնի մեծ պատժգամբ, որից երևում է Իջևան քաղաքը: Ունի ավտոտնակ մասնակի: Կտուրը նույնպես կարող է օգտագործվել:Дом находится в городе Иджеван, улица Ваана Теряна.Частично ремонт. Есть большой балкон, из которой виден город Иджеван.Продается Дом в Иджеване Тавушская область",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17891597,
House,Stone,200 sq.m.,2,6,2,2 spots,No Renovation,1000 sq.m.,Tavush › Ijevan,"$55,000",USD,A private house is for sale on Methalvostneri Street.Exchange with Yerevan apartment is possible.Translated from Armenian,Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17357482,
Country House,Stone,35 sq.m.,1,2,1,3 or more spots,No Renovation,600 sq.m.,Tavush › Sarigyugh,"2,850,000 ֏",AMD,"It is a very good summer place!Gas, water, light are available,one side is fenced, the other side is a road,It needs to be repaired, the documents are available.For a real buyer 'negotiable!Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17835074,
House,Stone,97 sq.m.,2,3,1,Not available,No Renovation,145 sq.m.,"Myasnikyan street, Dilijan station","$70,000",USD,"A house (old) is for sale in the center of Dilijsni, it is located in the back of the city council.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18051439,
Country House,Stone,1300 sq.m.,2,6,1,1 spot,Old Renovation,300 sq.m.,"Erevanyan street, Ijevan","$17,500",USD,"Achajur villageGarage: 4.5 × 3.5,Canopy,Arable land with fruit trees, 1000 m,Water.Translated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/15976454,
House,Wooden,230 sq.m.,2,4,2,,Designer Renovation,,Tavush › Dilijan,"$220,000",USD,"2 newly built wooden private houses (for rest) in Dilijan are for sale.One of the private houses has its own swimming pool and sauna.24 hour security systemparking for 14 carsindividual heating systeminterior designHigh quality furniture and equipmentFireplaceIndividual pool and saunaChildren's playgroundIs available,150 sq. M. Residential with 80 sq. M. Land which has a swimming pool and saunaThe cost is $ 220,000And 150 square meters of residential land with 60 square meters of land without a swimming poolThe cost is $ 170,000Code AH-T261:Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/15100278,
House,Stone,390 sq.m.,3,6,2,,No Renovation,600 sq.m.,"Զորավար Անդրանիկ փողոցի 2-րդ փակուղի 17, Դիլիջան","$130,000",USD,"The apartment is located on Andranik street (Vishki district) The apartment has 3 floors, the area of each floor is 130 m, the dimensions of the building are 10.5 × 12.5 m. The apartment has a stone fence on 3 sides. It has all the utilities (gas, electricity, water) Call the number in the picture for the announcement.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/16661525,
House,Stone,780 sq.m.,2,3,1,,Old Renovation,,Tavush › Berd,"$19,000",USD,"It is located on Vardanants street, house 17. It has utilities, needs renovation. I will also sell it with an equivalent car.Translated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17840857,
House,Stone,259 sq.m.,2,6,2,1 spot,No Renovation,800 sq.m.,Tavush › Ijevan,"11,500,000 ֏",AMD,Price Negotiable:Translated from Armenian,Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/17596865,
House,Wooden,144 sq.m.,1,5,1,1 spot,Designer Renovation,1636 sq.m.,"Orjonikidze Street, Dilijan station","$250,000",USD,"The land has a high position, a beautiful view. The entire area is covered with firs.Gas, water, electricity are available in the area.For details, please call the indicated phone number.Translated from Armenian",Nov-25-2022_00-20,Available,,,,https://list.am/en/item/18248996,
House,Stone,170 sq.m.,1,5,2,1 spot,No Renovation,600 sq.m.,Tavush › Dilijan,"$30,000",USD,"Own house for sale has gas, water, electricityTranslated from Armenian",Nov-25-2022_00-20,By agreement,,,,https://list.am/en/item/18088799,
House,Stone,100 sq.m.,2,3,1,,No Renovation,400 sq.m.,"Myasnikyan street, Dilijan station","$22,000",USD,"The house is located in Dilijan, has a 400m plot with a beautiful viewTranslated from Armenian",Nov-25-2022_00-20,,,,,https://list.am/en/item/17163736,
House,Stone,80 sq.m.,2,3,1,,Old Renovation,400 sq.m.,Tavush › Dilijan,"$37,000",USD,"Продаётся собственный дом в городе Дилижан, на улице Васильева (головино) За домом лес, под домом речка. Красивая природа и чистый воздух. Первый этаж-подвальное помещение, второй этаж-дом, третий этаж-мансарда. 3 комнаты, кухня, санузел раздельный. Есть гараж, над ним свободная площадка (можно сделать беседку)",Nov-25-2022_00-20,,,,,https://list.am/en/item/18057536,
House,Stone,126 sq.m.,1,2,1,Not available,No Renovation,42 sq.m.,"Kalinini street, Dilijan station","$35,000",USD,"It is suitable for business activities, as well as for building a cottage, it is located on the road, it has gas, water, electricity and sewerage.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/18046036,
House,Stone,62 sq.m.,1,3,1,Not available,Old Renovation,230 sq.m.,Tavush › Ijevan,"$25,500",USD,"(Code 04 /012) A private house for sale in the city of Ijevan, in an area close to the center, the area is 62.8 sq. M., and the size of the plot is 230 sq. M. The given structure is an old building, but the location is also suitable for an office or a shopping hall. The house has gas, water, electricity, the price is 25,500 USD. Attention, call only honest and conscientious people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions.Translated from Armenian",Nov-25-2022_00-20,Not available,,,,https://list.am/en/item/17233613,
