Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Service Lines,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Links
House,Stone,170 sq.m.,1,4,1,,Not available,Cosmetic Renovation,,900 sq.m.,"4-րդ փողոց 1, Մխչյան","$75,000",USD,"I am selling a newly built private house with all amenities.It is located 20 km from Yerevan. 20 minutes by car(5 minutes walk from the house or to the nearest supermarket) the street is asphalted, has night lights,-light,-gas,-drinking Garni water 24 hours,-Irrigation water 24 hours (artisan)The land area is 900 square meters.-It has 3 bedrooms,-1 living room 35 sq. M.36 sq. M. Together with the kitchen, - 40 sq. M. Basement area.There is a 40 square meter area on the second floor above the basement of the house, which you can use as a balcony and add a few bedrooms.There are 3 greenhouses and fruit trees in the land. Apple, apricot, peach, plum, currant and 10 grape fruit crops.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/14422376
House,Stone,282 sq.m.,2,5,1,Not available,Not available,Major Renovation,,1200 sq.m.,Ararat › Artashat,"$45,000",USD,"A two-story, private, renovated house is for sale in the village of Narek, Ararat Marz. The house is equipped with all utilities (electricity, gas, hot and cold water) It has a large and spacious entrance hall, living room, 2 bedrooms, spacious kitchen. It has a spacious basement, pantry, garage, barn. Windows: Euro. Entrance, stairs, bathroom-toilet, kitchen newly renovated, tiled. It has a garden with different types of fruit trees: Types of mulberries, apricots, peaches, figs, pomegranates, plums, pears, apple trees, etc.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18157116
House,Stone,283 sq.m.,2,7,2,,3 or more spots,Old Renovation,,1200 sq.m.,Ararat › Artashat,"$48,000",USD,"A two-story private house is for sale in the center of Aygezard village of Ararat marz. The house is close to the school, kindergarten, music school, bus stop. The house is provided with all utilities (light, gas, water - cold and hot - Spring)It is a dry, sunny house, the rooms are spacious and bright. There are balconies on both sides of the house. It has a spacious yard with a strong iron gate. The house has a bakery, a pantry, a garage, a cellar and a refrigerator with a capacity of 10 tons. It has a garden with fruit trees.For more information call.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18157046
House,Stone,1300 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,,1000 sq.m.,"Արարատյան փողոց 42, Վեդի","$25,000",USD,"It is located in the city of Vedi, near the municipality. It has a garage, a normal house.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16119543
House,Stone,60 sq.m.,1,2,1,Not available,Not available,Cosmetic Renovation,,200 sq.m.,Ararat › Nor Kharberd,"$22,000",USD,"I am building apartmentsStarting at 60 square meters, $22,000in New Kharberd/ Monolith/ Base and Tsogol/Krish/ Series of walls/SiashkaWe will build your new house in three monthshigh quality building material quality above the priceTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/15885364
House,Stone,60 sq.m.,2,4,2,Not available,Not available,No Renovation,,300 sq.m.,Ararat › Masis,"$23,000",USD,"Houses for sale in Zorak village, 60 sq. The houses are built in zero condition according to the project desired by the buyer. They are built very close to the city. There is gas, electricity, constant water, an asphalted street, we work only with cash.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18034059
House,Stone,80 sq.m.,1,3,1,Not available,Not available,Old Renovation,,300 sq.m.,"Էջմիածնի խճուղի 5, Հայանիստ","$38,000",USD,Detailed call:Translated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17700112
House,Stone,382 sq.m.,2,7,2,,,Old Renovation,,450 sq.m.,Ararat › Ayntap,"$185,000",USD,"The apartment is located in the village of Aintap, Ararat region. The apartment has a balcony, a garage, a basement, a shop (semi-built), the floor is completely made of parquet (parquet oak), and the doors are made of wood (oak) The entrance doors are made of iron, it also has a 12m-4 full parquet floor. It has all utilities, constant water, gas, and three-phase electricity. In the neighborhood of the apartment are the community hall, clinic, kindergarten, school, cultural center and park. The price is negotiable. Urgent.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18146115
House,Stone,840 sq.m.,1,5,1,,,Partial Renovation,,,"11-th street 3-rd lane, Ayntap Border","$120,000",USD,"NEGOTIABLEHouse for sale in Ayntap, at the beginning of Yerjan-Artashat highway,On the street in front of the Continental restaurant complex...The total area of the building is 220at the beginning is the balcony - 28.4The bathroom on the left is 9.5the kitchen on the right: 13.3The corridor at the front entrance is 18.4on the right and left sides are 2 bedrooms: 12.9 12.5 13.9 13.7Then comes the spacious living room - 37We go up the stairs from the living room to a room 2 m high, 21.3The garage is located just below that room: 21.3.Call the mentioned phone number ARTASH... 94. 181697:Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/8079145
House,Stone,120 sq.m.,1,4,1,By agreement,Not available,Partial Renovation,,1500 sq.m.,"3-rd street, Norabac","$75,000",USD,"4-room private house is for sale in NORABATS village. The house is located 1 km away from the central military base. The total area of the land is 1500 square meters, the area of the house is 120 square meters, the area of the basement is 24 square meters. The house has 2 gas points, constant hot-cold water, euro windows, heating system pipes and ovens are installed, 3 bedrooms are capitally renovated. There is a greenhouse, fruit trees, irrigation water in the land. The land has a front part on both sides, it is suitable for sharing the land with separate entrances and building a second house. For additional questions, call the mentioned number.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17675052
House,Stone,70 sq.m.,1,2,1,Not available,Not available,Partial Renovation,,200 sq.m.,Ararat › Ayntap,"$32,000",USD,"Private house for sale in Ayntap ար Kharberd communities. Newly built, uninhabited. Has all the amenities: Gas, water, electricity, security system.We carry out construction work from the ground up to the house according to the project of your choice.For more information callTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17287434
House,Stone,70 sq.m.,1,3,1,Not available,Not available,Cosmetic Renovation,,300 sq.m.,Ararat › Ayntap,"$34,000",USD,"Private house for sale in Ayntap and Kharberd communities. Newly built, uninhabited. Has all the amenities: Gas, water, electricity, security system.We carry out construction work from the ground up to the house according to the project of your choice.For more information callTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17286757
House,Stone,90 sq.m.,1,5,2,Not available,Not available,Euro Renovation,,180 sq.m.,"10-րդ փողոց 1, Գեղանիստ","$80,000",USD,"A newly built capital house with an area of 100 square meters is for sale in Geghanist, near the road, capitally renovated, uninhabited, 1 bathroom. The land is fenced. Negotiable:Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/13551054
House,Stone,850 sq.m.,1,2,1,Not available,Not available,No Renovation,,850 sq.m.,Ararat › Ararat,"$25,000",USD,"The land is an unfinished building of 850 square meters, greenhouses have gas, water and electricity. Call for more informationTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17901034
House,Stone,190 sq.m.,1,5,1,Available,Not available,Major Renovation,"ELectricity, water supply, natural gas, sewerage",190 sq.m.,"Սարգիս Կասյանի փողոց, Վեդի","$50,000",USD,"The house is in perfect condition, the price is finalTranslated from Armenian",Nov-24-2022_23-39,"FIreplace, barbecue oven, gazebo","AIr conditioner, fridge",https://list.am/en/item/16846963
House,Stone,99 sq.m.,2,4,2,Not available,2 spots,Old Renovation,,1000 sq.m.,Ararat › Artashat,"$36,500",USD,Deghdzut villageThe front of the house is 30m1000m plot of fruit treesOld conditionFirst lineGarage22 km from YerevanUrgentExchange for a carTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/18121366
House,Stone,1200 sq.m.,2,5,1,,1 spot,Major Renovation,,960 sq.m.,Ararat › Geghanist,"$165,000",USD,"A newly built private house with a greenhouse business is for sale. Near the supermarket, a school, a kindergarten on the street. With 1200,1000 sq. M. Greenhouse business, residential + semi-residential 323, 3 large semi-residential rooms under the whole house can also be used for business, tonratun with tonir, lavash stove, glazed greenhouse with boiler, for the greenhouse we have individual cedar gas line privatized, irrigation. Water, light permanent. Water yard 1 t '. The house has 5 rooms, a kitchen, a bathroom, a garage, a large open balcony, a yard and a small plot of land. The house is in clean condition, heated, laminate flooring of high quality.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/13487901
House,Stone,90 sq.m.,1,3,1,,,Partial Renovation,,150 sq.m.,Ararat › Ayntap,"$40,000",USD,"Houses for sale in the areas near Yerevan. It has all the communal facilities, electricity, gas, sewerage. Very close to the central road. We build from the ground up to the roof.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16665622
House,Stone,900 sq.m.,2,8+,2,,,Partial Renovation,,,Ararat › Geghanist,"$250,000",USD,Հող 900մ/ք տուն երկու հարկանի ամեն հարկը 310մ/ք բոլոր սենյակները գաջված են ամբողջ տունը ջեռուցվում է բարձրակարք ջեռուցման համակարգով հնաևավոր է նաև փոխանակում,Nov-24-2022_23-39,,,https://list.am/en/item/12815465
House,Stone,150 sq.m.,1,5,1,,,No Renovation,,1350 sq.m.,Ararat › Armash,"$15,000",USD,"Urgent sale of own house in Armash community, Ararat marz.The area of the house is 150 m/sqThe area of the house is 1350 m/sqI will bargain to a real buyer.Write only WHATSAPPTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/18033677
House,Stone,345 sq.m.,2,8+,2,,,Euro Renovation,,345 sq.m.,Ararat › Vedi,"$100,000",USD,"Building, Ararat region, c. In Vedi, 345 c. Մ.Type - Building:Price-100000 $ (negotiable)Building type - StoneThe total area is 345 square meters. Մ.The house has a separate water line, a separate sewer line, has three-phase electricity, on the ground floor there is a function hall with its dishes, all amenities, all windows are of European production, the house is in the center, the house has a production area registration in the State Cadastre Committee. Price is negotiable.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17524554
House,Monolith,150 sq.m.,2,5,2,Available,2 spots,Partial Renovation,,500 sq.m.,Ararat › Artashat,"$70,000",USD,Two-storey private house on S. Hakobyan streetTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/17444130
House,Stone,265 sq.m.,2,8+,1,By agreement,1 spot,Old Renovation,,700 sq.m.,Ararat › Masis,"$42,000",USD,"Վաճառվում է 2 հարկանի սեփական տուն Արարատի մարզի Ջրահովիտ գյուղում: Առաջին ու երկրորդ հարկերը միասին կազմում են 265 քառ. Մ: Կա նաև հողատարածք՝ 700 քառ. Մ: Տանը մոտ են կանգառը, մանկապարտեզը, դպրոցը, խանութը:Մանրամասների համար զանգահարել:",Nov-24-2022_23-39,,,https://list.am/en/item/15811705
House,Stone,150 sq.m.,2,3,1,,1 spot,Major Renovation,,3000 sq.m.,Ararat › Nor Kyurin,"$80,000",USD,"Residential area (house, farm) for sale at a distance of 10 km from Yerevan. There are 2 apartments, 3 basements, a balcony, a swimming pool, an orchard with 120 trees in the area. There are barns for pigs and poultry. An incubator with 2200 places for chicken eggs is provided with the area. Necessary accessories for cattle breeding are provided: Food pot, water tank, 3 water yards.The barns are heated by a stove (wood, oil, sawdust) which is provided with the area.The apartments are renovated, tiled. They are not inhabited.There is a bathroom, there is permanent water.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16852113
House,Stone,150 sq.m.,1,7,1,Available,Not available,Partial Renovation,,800 sq.m.,"Улица Ереванян 89, Норабац","36,000,000 ֏",AMD,"1-storey stone house Norabatsum 3 km away from Charbakh, there are 3 bedrooms, hall, kitchen, bathroom tiled, there is three-phase electricity, greenhouse 400 m, basement about 30 m 2, gas, water, permanent water, the house is located in the center of Norabatsi, very convenient place for every horse. Negotiable.Translated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16561890
House,Wooden,80 sq.m.,1,3,1,,,No Renovation,,2000 sq.m.,Ararat › Noyakert,"$14,500",USD,"2000 meters, the house is not in good conditionTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17323764
House,Stone,1200 sq.m.,1,5,1,Available,1 spot,Old Renovation,,800 sq.m.,"Հանրապետության փողոց 42, Արմաշ","$25,000",USD,"The house is located in the village of Armash, Ararat. It has a 5-room garage, a barn barn. I do not rent. Also exchange in Yerevan with my house for a surchargeTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/17044366
House,Stone,605 sq.m.,1,4,2,Not available,1 spot,No Renovation,,,Ararat › Getapnya,"$30,000",USD,A one-storey house built of half-built-double tuff with all its communal facilities is for sale in a newly built district. Has a garage and fence projectTranslated from Armenian,Nov-24-2022_23-39,,,https://list.am/en/item/14969019
House,Stone,96 sq.m.,1,4,1,By agreement,Not available,Euro Renovation,,210 sq.m.,Ararat › Ayntap,"22,500,000 ֏",AMD,"Newly built private house for sale in Ayntap, not far from the main road, 4 rooms, like the house in the picture, communications are available. We deliver in a repaired condition. I will also exchange for a car worth up to $15,000. View all my listingsTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16633770
House,Monolith,90 sq.m.,1,3,2,Available,2 spots,No Renovation,"ELectricity, water supply, natural gas",200 sq.m.,Ararat › Ayntap,"$42,000",USD,"Newly built house for sale in Aintap, main 3 rooms, furnished and renovated. Nor Kharberd Ayntap Nor Kharberd Xarberd Ayntap. See all my ads for car exchangeTranslated from Armenian",Nov-24-2022_23-39,,,https://list.am/en/item/16633777
House,Stone,128 sq.m.,2,4,2,By agreement,Not available,No Renovation,,300 sq.m.,Ararat › Ayntap,"21,500,000 ֏",AMD,"Newly built two-story private house for sale in Aintap. A copy of the house shown in the picture. 2x 64 (128) square meter house on a 300 square meter plot. 3 bedrooms, 1 living room, 1 kitchen, 2 bathrooms. The sale is carried out in AMD in order to avoid exchange rate changes and problems. The house is located in the 2nd plot next to the main road.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18155212
House,Stone,1900 sq.m.,2,6,1,,,Old Renovation,,1700 sq.m.,"Էլինա Մանասյան փողոց, Բուրաստան","14,000,000 ֏",AMD,"Վաճառում եմ երկհարկանի տուն Բուրաստան համայնքում, ունի գառու ջուր և արտիզան անկյունաին տուն է 2 փողոցի վրա, զանգել նույն համարի 077_ովTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/16179792
House,Stone,210 sq.m.,1,2,1,,,Partial Renovation,,800 sq.m.,Ararat › Geghanist,"$70,000",USD,Urgent Sale Price is negotiable27 years 38 yearsTranslated from Armenian,Nov-24-2022_23-40,,,https://list.am/en/item/17982831
House,Stone,700 sq.m.,1,4,1,By agreement,2 spots,Partial Renovation,,,Ararat › Geghanist,"$69,900",USD,"A house for sale in Geghanist, 28 street, 43 houses, with a total area of 700 square meters: 120 square meters of living space, 40 square meters of garage for 2 cars, 540 square meters of land with fruit trees. It is a newly built building without interior decoration. It is provided with constant hot and cold water, it is not gasified (but there are opportunities) Partial sale is possible.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/11116927
House,Stone,120 sq.m.,1,5,2,Not available,1 spot,Old Renovation,,30 sq.m.,Ararat › Ararat,"$23,000",USD,"Private house for sale in Ararat village, 5 rooms, 2 bathrooms, 3 garages. Light. Water. Gas. There is a small yardTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17570407
House,Stone,1200 sq.m.,2,8+,2,,,No Renovation,,,Ararat › Artashat,"$100,000",USD,"A two-storey stone house is for sale in Artashat, on Aghayan street, 1200 sq. M. Մ. , 2 bathrooms, each floor 250 m, there is a glass greenhouse 500 m. For more information call: An exchange is also possible. I will listen to your suggestions.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17835800
House,Stone,100 sq.m.,2,4,1,Not available,Not available,Old Renovation,,1000 sq.m.,"Սայաթ-Նովա փողոց 17, Արարատ","$25,000",USD,Urgent Sale and For Rent... Price negotiable after viewing the homeTranslated from Armenian,Nov-24-2022_23-40,,,https://list.am/en/item/18210591
House,Stone,168 sq.m.,1,4,2,,,No Renovation,,1600 sq.m.,Ararat › Sisavan,"$42,000",USD,"Unfinished apartment, basement 70 sq. M.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17033878
House,Stone,175 sq.m.,2,8+,2,Not available,Not available,No Renovation,,750 sq.m.,"Աթարբեկյան փողոց 97, Արտաշատ","$72,000",USD,"Շտապ, Срочно В центре АрташатаԱրտաշատ քաղաքի կենտրոնում՝ Զինկոմիսարիատի և Հայէկոնոմբանկի հարևանությամբ, Աթարբեկյան 94, շտապ վաճառվում է նորակառույց մոնոլիտ, քարե առանձնատուն / սեփական տուն։ Հողի ընդհանուր մակերեսը 600 ք․մ․, Ճակատ՝ 18մ։Շենքի մակերեսը ՝ 175 ք․ մ․: 1-ին հարկը՝ 175 ք․ մ․, ձեղնահարկը (мансард) ՝ 155 ք․ մ․, մնացած հողամասը 425 ք․ մ ։ Տունը հողից բարձր է 80 սմ:Գերազանց տեղ, գրագետ պրոյեկտ, բարձրորակ շինություն Արտաշատում։ Երևանից 20 րոպեի ճանապարհ:СрочноВ центре Арташата, рядом с Военным комиссариатом и с Армэкономбанком, Атарбекяна 94, продается монолитный каменный дом/частный дом, на высоте 70 см над землей. Общая площадь земельного участка составляет 600 квадратных метров, фасадная – 18 метров.Площадь здания составляет 175 квадратных метров.: 1 этаж: 175 кв. М․, мансарда - 155 кв. М. М․, земельный участок 425 кв. М.Отличное место, грамотный проект, качественная застройка в Арташате. 20 минут езды от Еревана.",Nov-24-2022_23-40,,,https://list.am/en/item/16140209
House,Stone,60 sq.m.,1,3,1,,Not available,No Renovation,,200 sq.m.,Ararat › Nor Kharberd,"$22,000",USD,"Newly built house for sale with all utilities, fenced, internal doors installed. In case of additional payment, we can complete the interior work as well. General heating, underfloor heating, solar hot water.I also build according to your order, according to the preferred project, on your or our land. AllThe work is done in a short period of time and by conscientious craftsmen. We have a plot of land in Eghvard and will build 800 square meters near the house to orderTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17281863
House,Stone,50 sq.m.,2,2,1,Not available,Not available,Major Renovation,,2700 sq.m.,Ararat › Nor Kharberd,"$45,000",USD,"Own house for sale in Kharberd summer houses of Shengavit administrative district of Yerevan. Near the last stop of buses number 33 and 55. The 1st floor is a semi-basement, dry and suitable for everything. On the 2nd floor is the living room, bedroom, bathroom and kitchen. The house is completely renovated and provided with constant hot and cold water.There is a 27 square meter swimming pool in the garden. The garden is fully planted with fruit trees. The house is located in the middle of the garden. Price negotiableTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17757552
House,Stone,130 sq.m.,1,5,1,,,Partial Renovation,,1000 sq.m.,"10-րդ փողոց 11/1, Արբաթ","$75,000",USD,"Gas, constant hot and cold water, 4 bedrooms, 450 square meters greenhouse, there are also fruit trees... 3_4 km from Yerevan...Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17236638
House,Monolith,453 sq.m.,2,5,3+,,1 spot,Partial Renovation,,850 sq.m.,"Կենտրոնական փողոց 16, Գեղանիստ","80,000,000 ֏",AMD,"I am selling a house in Geghanist. 850 sq. M. Land, 430 sq. M. HouseTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/16328152
House,Stone,140 sq.m.,2,8+,1,,,Euro Renovation,,800 sq.m.,Ararat › Mrgavet,"$65,000",USD,"A 2-story stone house is for sale in the village of Mrgavet, on the 1st floor there is a summer basement, bisetka, indoor toilet, fast internet connection.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18159729
House,Stone,170 sq.m.,1,4,1,By agreement,1 spot,Partial Renovation,,1550 sq.m.,"1-ին փողոց 19, Մարմարաշեն","$80,000",USD,Call for questions.Translated from Armenian,Nov-24-2022_23-40,,,https://list.am/en/item/17941130
House,Stone,70 sq.m.,1,3,1,,,Euro Renovation,,400 sq.m.,"26-th Line, Nor Kharberd","$65,000",USD,"Own house for sale at 23 Nor Kharberd street.The house was built in 2016. It has all the utilities, it has a large yard, it is far from the neighbors' houses on all sides, it is fenced, it has the possibility to park 3-4 cars.The house is sold with the entire property.The price is negotiable.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18285158
House,Stone,145 sq.m.,2,5,2,Not available,Not available,Partial Renovation,,325 sq.m.,Ararat › Nor Kharberd,"$75,000",USD,"Կոդ՝ B-22330Վաճառվում է 2 հարկանի 5 սենյականոց առանձնատուն Նոր Խարբերդում։ Առանձնատունը մասամբ վերանորոգված է։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկ: Սանհանգույցը՝ առանձին, սալիկապատ։ Ունի բաց լոջա, բարեկարգ բակ, այգի՝ պտղատու և դեկորատիվ ծառերով, ավտոտնակ, խորդանոց, պարիսպ, ջեռուցման համակարգ, մշտական ջուր և գազ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։2-storey house for sale in Nor Kharberd. The rooms' quantity is 5 (1 hall and 4 bedrooms) The house is partially renovated. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate and is tiled. The bathroom is separate and tiled. The house has a balcony, well-maintained yard, garden with fruitful and decorative trees, garage, storage room, fence, heating system and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-24-2022_23-40,,,https://list.am/en/item/11498986
House,Bricks,150 sq.m.,2,4,2,Not available,3 or more spots,Partial Renovation,,1210 sq.m.,"Վազգեն Սարգսյան փողոց 47, Զորակ","$60,000",USD,"The land has access to gas water, individual artesian water, completely fenced with stoneHas fruit 80 h. It is half-builtIt is located 17 km from the center of Yerevan. On the remoteThe building is 150 square meters (each floor)HAS construction and house project(without mediator)Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/16481760
House,Stone,63 sq.m.,1,3,1,Not available,2 spots,No Renovation,,200 sq.m.,"17-րդ փողոց 11, 5-րդ նրբանցք","$34,000",USD,"A house is for sale, there is water in it. Current: Gas next door.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18220360
House,Stone,300 sq.m.,2,8+,2,By agreement,2 spots,Major Renovation,,800 sq.m.,Ararat › Norabats,"$169,000",USD,"KOD-63160Newly opened, 2-storey house with 8 rooms for sale.^ The house has all utilities^ It is a very luxurious, spacious mansion^ Sunny, bright and very comfortable^ It is located one kilometer away from Yerevan^ There are shops, a school, a kindergarten nearbyTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18372280
House,Stone,170 sq.m.,1,4,1,Not available,3 or more spots,Major Renovation,"ELectricity, water supply, natural gas, sewerage",400 sq.m.,Ararat › Geghanist,$105,USD,"Geghanist, Kentronakan str.Thoroughly reconstructed• 4 rooms• 220 square meters of land• 170 square meters of living space• 2 floors / new building /_2-storey beautiful comfortable private house with 140 sq. M. Living area / with 170 sq. M. Walls / and 220 sq. M. Land is for sale, which is located on the central road in Geghanist. The house is newly built, fully renovated and uninhabited, on the 1st floor there is an entrance hall, a spacious living room, a kitchen, 1 bathroom, on the 2nd floor - 3 bedrooms, an iron entrance door, European windows, the floor is covered with high quality laminate and press granite. The bathrooms are tiled. The house is fenced, has an open-air parking lot, a summer kitchen, barred gates and railings. The street is asphalted, has a private sewer, a school, a kindergarten, a supermarket, etc. Are nearby…Two km from the Argavand crossroads ԵՄ I AM OWNEROwn houseIn ArgavandArgavandTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17129993
House,Stone,120 sq.m.,1,3,1,,,Major Renovation,,,"Հոկտեմբերյան փողոց 88, Շահումյան","$50,000",USD,Սեփական տուն նոր վերանորոգված բաքսի համակարգով կահույքով մասնակի կաֆել մետլախ լամինատ եվրո դուր լուսամուտ մանրամասների համար զանգահարեք,Nov-24-2022_23-40,,,https://list.am/en/item/13373982
House,Stone,100 sq.m.,1,3,3+,,,No Renovation,,650 sq.m.,Ararat › Vedi,"70,000 ֏",AMD,Newly built apartment for rent in City Vedi at Monte Melkonyan address. Call for questionsTranslated from Armenian,Nov-24-2022_23-40,,,https://list.am/en/item/18228110
House,Stone,160 sq.m.,2,5,1,Not available,3 or more spots,No Renovation,,,"Araratyan St, Vedi","$35,000",USD,"Հասցե: Արարատ մարզ, ք․ Վեդի 26 Կոմիսարների փողոց 33 տունՎաճառվում է քարե առանձնատուն՝ 1000.ք. Մ/ 160 ք. Մ բնակելիԱրարատի մարզ, ք. ՎեդիԱռանձնատունը ունի վերանորոգման կարիք️2 հարկանի️• մշտական ջուր, գազ️• ունի 2 նկուղ և օժանդակ շինություններ, ավտոտնակ, կաթսայատուն, ամառային խոհանոց, հավաբուն•️ վերջնական գինը $35000",Nov-24-2022_23-40,,,https://list.am/en/item/14708914
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,,800 sq.m.,Ararat › Dvin,"$65,000",USD,"The house is cosmetically renovated, a camera and a powerful air conditioner are installed. It has constant hot and cold water, all communal facilities.It has a dry basement, a garage.Living area is 80 square meters. You can call for details.Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17992843
House,Stone,100 sq.m.,1,3,1,Not available,Not available,No Renovation,,1000 sq.m.,Ararat › Vanashen,"$15,000",USD,"A half-built house is for sale in the village of Vanashen, adjacent to the town of Vedi. It has a basement. In front of the house is a garden with fruit trees (apples, apricots, grapes, etc.) with an area of 1000 square meters. The house is close to the road, irrigation water. Call for details.Vedi Vanashen Taytan Vedi Vanashen TaytanTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/15054800
House,Stone,120 sq.m.,2,4,2,Available,1 spot,Euro Renovation,"ELectricity, water supply, natural gas, sewerage",380 sq.m.,"13-я улица 1/5, Айнтап","$110,000",USD,Дом на 13 ой улицеВсе сделаноГотовый дом.! Остальное по телефону,Nov-24-2022_23-40,"BArbecue oven, gazebo, alarm system","STove, washing machine, drying machine",https://list.am/en/item/18269046
House,Stone,3500 sq.m.,1,5,1,,,Old Renovation,,3000 sq.m.,Ararat › Jrashen,"$60,000",USD,"A stone house is for sale in the village of Ararat Marz. It has electricity and water in Jrashen. He did not pull the gas, but he will go through the home demo. It has a barn and a garage. 3500 square meter apricot orchard. Call real buyers, I will haggle for real buyersTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18372107
House,Stone,196 sq.m.,1,4,1,Available,1 spot,Partial Renovation,,2800 sq.m.,Ararat › Masis,"$35,000",USD,"Private house for sale in Masis Station. The total area is 3000m. Has fruit trees, garage. For details, call:Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18254913
House,Stone,240 sq.m.,2,7,2,,,Partial Renovation,,750 sq.m.,"19-րդ փողոց 11, Նոր Խարբերդ","$50,000",USD,"URGENTLY for sale, in New Kharberd, for details call the indicated phone numberTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/16861534
House,Stone,350 sq.m.,2,5,2,,,Designer Renovation,,1500 sq.m.,"Charents street, Mkhchyan","$350,000",USD,"Teryan street, Mkhchyan, Swimming pool, gas, heating, fence, orchard, fireplace, tonir, for sale with all the property.Code 8845Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/16938739
House,Stone,100 sq.m.,2,4,1,,,Cosmetic Renovation,,300 sq.m.,"26-th Line, Nor Kharberd","$40,000",USD,"The house does not have gas, but there is a possibility to tow!Translated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/18166560
Country House,Stone,200 sq.m.,2,5,3+,,,Cosmetic Renovation,,2000 sq.m.,Ararat › Ranchpar,"$75,000",USD,"Two-storey stone house, fenced, adjacent building, swimming pool, pigsty, garage, three-phase electricity, 2000mq, arable landTranslated from Armenian",Nov-24-2022_23-40,,,https://list.am/en/item/17488450
House,Stone,120 sq.m.,1,5,1,,,Old Renovation,,180 sq.m.,Ararat › Ayntap,"$50,000",USD,Permanent water fencedTranslated from Armenian,Nov-24-2022_23-40,,,https://list.am/en/item/18303465
