Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Appliances,Service Lines,Links
House,Stone,40 sq.m.,1,2,1,,,No Renovation,2500 sq.m.,International › Russia,"2,000,000 ֏",AMD,"A house is being exchanged or sold with another apartment from anywhere in Armenia. It is located in Краснододарскй край город мойкоп хутр 17 лет Октября улица Примая дом 7а. It is 3-4 km away from the city.It is not renovated. The width of the plot is 20m, the length is 125m. It is located on a residential street. There is electricity, the gas line is connected.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18075321
House,Stone,220 sq.m.,2,5,2,,,Cosmetic Renovation,470 sq.m.,International › Other Countries,"10,000,000 ₽",RUB,"Newly built own house in the city of Krasnodar) 7km-Art. Elizavetinskaya. Has septic, central and constant water, e. Stream. New renovation. The road is paved. If you have any questions, write to the page! , the phone number is unavailable.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/11872121
House,Bricks,1200 sq.m.,1,8+,1,Available,3 or more spots,Partial Renovation,700 sq.m.,"Erebuni St, Yerevan","$60,000",USD,"Address: Russia, Krasnodar Region, Dinskoy District, Krasnoselsk, Sadovaya str. , house 19b.A residential building with reconstructions, in the past it was used as a bathhouse, then as a pastry, mushroom, and wood cutting workshop.Consists of 2 shares 1) 219.3 m22) 18.1 m2The area of the plot is 0.10 ha, with gates on 3 sides for vehicular accessThere is a grocery store, a pharmacy and a bus stop near the building, it is near the center.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18047330
House,Stone,750 sq.m.,2,8+,3+,By agreement,3 or more spots,Old Renovation,1200 sq.m.,International › Russia,"5,000,000 ₽",RUB,"Մեկ հարկանի տուն Ռուսաստանում, 750 ք. Մ. , 2 սանհանգույցՀին վերանորոգումՌոսաստանի Դաշնություն, Կրասնոդարի մարզ, Դինսկայա շրջան, գյուղ Կրասնոսելսկոյե։ (Կրասնոդարից 30 կմ հեռավորության վրա)1200 ք․մ հողատարածքի վրա 750ք․մ շինություն։Օգտագործվում է և որպես տուն և որպես արտադրական տարածք։ Առկա են հրուշակեղենի ու լավաշի արտադրության համար սարքավորումներ, փայտամշակման համար նախատեսված սարքավորումներ։ Հնարավոր է փոխանակում։Российская Федерация, Краснодарский край, Динская, село Красносельское. (30 км от Краснодара)Здание 750 кв. М на участке площадью 1200 кв. М.Он используется и как дом и как производственная площадка. Имеется оборудование для производства кондитерских изделий и лаваша, оборудование для деревообработки/ столярный цех. Возможен обмен.",Nov-24-2022_23-35,,,,https://list.am/en/item/17312309
House,Stone,185 sq.m.,2,5,2,,,Partial Renovation,600 sq.m.,International › Russia,"35,000,000 ₽",RUB,"Сочи, Центральный район, микрорайон Макаренко, снт Вишнёвый 2, площадь дома 185м2, участок 6 соток. Ремонт и мебель на первом этаже, дом распланирован: 5 комнат кузня-гостиная и 2 санузла. Тихое и спокойное место, ровный участок.Интересует обмен в Ереване.Остальные вопросы по тел.",Nov-24-2022_23-35,,,,https://list.am/en/item/17967404
House,Stone,750 sq.m.,2,3,2,Available,1 spot,Cosmetic Renovation,,"Minsk Street, Yerevan","1,200,000 ₽",RUB,Дом состоит из двух слоя кирпичаНаходится поближе рекиСвет есть вода естьКлассно может употребляться для отдыха торг на месте120км от москвы,Nov-24-2022_23-35,,,,https://list.am/en/item/13345207
House,Bricks,56 sq.m.,1,2,1,,,Old Renovation,2400 sq.m.,International › Russia,"$4,500",USD,"The residential house is 56 square meters, the plot is 2400 square meters, it is located in Balakhna village, Lipetsk region. 3-4 km from the Don River and M4 highway, 12 km from Zadonsk, 60 km from Lipetsk, 80 km from Voronezh. The house is made of brick, the thickness of the walls is 50-60 cm, there is a possibility to expand the plot, black soil. The general drinking water is very good, there is a lake and forests nearby. All the roads leading to and from the village are completely paved.In front of the house there is a children's playground and new sports simulators. It is an ideal option for peaceful living, farming, fishing and hunting. It is also possible to exchange with an equivalent car. If you want, I can send photos. UrgentTranslated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17569032
House,Bricks,56 sq.m.,1,2,1,,,Old Renovation,2400 sq.m.,International › Russia,"$5,000",USD,"The house is 56 square meters, the land is 2400 square meters, it is located in Lipetsk region, Balakhna village. 3-4 km from Don river and M4 highway, 12 km from Zadonsk, 60 km from Lipetsk, 80 km from Voronezh.If you want, I can send photos.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17568982
House,Bricks,650 sq.m.,1,8+,3+,,,No Renovation,6700 sq.m.,International › Russia,"12,000,000 ₽",RUB,"Продаю или обменяю на недвижимость в Армении в связи с переездом, большой дачный дом по адресу Российская Федерация Кемеровская область Новокузнецкий район село Березова ул. Центральная 8б. Дом имеет большой земельный участок (6700 кв. М.) а также имеет летнюю кухню около 60 кв. Метров.",Nov-24-2022_23-35,,,,https://list.am/en/item/18021937
Townhouse,Bricks,203 sq.m.,3,5,2,,,No Renovation,300 sq.m.,International › Russia,"8,800,000 ₽",RUB,"Նորակառույց շենք. Առանձնատունը կառուցվել է 2021 թվականին։ Լիովին պատրաստ է։Վաճառվում է առանձնատուն 203 ք. Կարմիր աղյուսից բավարական որմնանկարով, Տուլա քաղաքում: Ունի երկու բնակելի հարկ և ընդարձակ ձեղնահարկ։Կարող ենք դիտարկել փոխանակման տարբերակը 1-2 սենյականոց բնակարանի հետ Մոսկվայում և Մոսկվայի մարզում, կամ 2-3 սենյականոց բնակարանի հետ Երևանում։Սեփական հողատարածքը պարսպապատ է, ծածկված սիզամարգով, սեփական ավտոկայանատեղը շարված է սալահատակով։ Անհատական մուտք՝ փակ դարպասներով։Պատերը կերամիկական տաք աղյուսից են, տանիքը՝ փափուկ սալիկ, բազալտե ծածկով։ Տունը տաք է, պատերը՝ 60 սմ, լրացուցիչ ձայնամեկուսացում։ Օգտագործվել են էկոլոգիապես մաքուր Braer կերամիկական բլոկներ:Անհատական ջեռուցում, գազի երկկողմանի կաթսա, կենտրոնացված կոյուղի, հոսանք, ցանցի լարումը 380V, կենտրոնական ջուրНовостройка. Дом построен в 2021 году. Объект полностью готов.Продается таунxaус 203 кв. М. Из краcногo кирпичa c Бaвaрской клaдкoй в городе Тула. В нeм двa жилыx этaжа и просторная манcaрдa.Можем рассмотреть вариант обмена с 1-2 комнатной квартирой в Москве и в Московской Области, или с 2-3 комнатной квартирой в Ереване.Собcтвенный учaсток огорожeн забoром, пoкpыт гaзoном, своя пaркoвoчная зона выложенa тpотуаpнoй плиткoй. Индивидуaльный въeзд c воpотaми из poльcтaвнeй.Стены выпoлнeны из кирпича теплая керамика, кровля мягкая черепица с базальтовым напылением. Дом теплый, стены 60 см. , с дополнительной шумоизоляцией. Использовались экологичные браерские керамические блоки.Дом свободной планировки!Коммуникации заложены к дому под землей, индивидуальное отопление, установлен газовый двухконтурный котел, централизованная канализация, электричество, напряжение сети 380В, центральное водоснабжение.",Nov-24-2022_23-35,,,,https://list.am/en/item/17597574
House,Stone,470 sq.m.,1,4,1,,,Partial Renovation,,International › Russia,"$50,000",USD,"The house is located 8 km from Stavropol, in the city of Mykhailovsk (Address: Октябрьская 259), on the sidewalk in front of the Central Post Office, next to the road. The roof has been completely changed, as well as the windows. The house has two separate gas lines, partial heating system, electricity. There are also drinking water and sewage wells. Central drinking and sewage lines pass right next to the house. If you wish, it is possible to join. The house is located in a corner location, has two gates, two entrances.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18197288
House,Cassette,27 sq.m.,1,2,1,,,Partial Renovation,,International › Russia,"$7,000",USD,"Brick house for sale in Saratov Oblast, Balashovsky District, village Gusyovka, Saratov, on Balashov Highway, it is convenient to write to the site for registration, exchange a car with a car in ArmeniaTranslated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/17575501
House,Stone,380 sq.m.,3,6,3+,,,Partial Renovation,1000 sq.m.,International › Russia,"24,000,000 ₽",RUB,"Новая Москва. Д. Красная Пахра. Московская прописка. СРОЧНО! ТОРГ!Газ природный, септик (каналызация)",Nov-24-2022_23-35,,,,https://list.am/en/item/17126956
House,Stone,100 sq.m.,1,3,1,Not available,Not available,Euro Renovation,480 sq.m.,International › Russia,"5,000,000 ₽",RUB,City of Voronezh region Povolyno. I pay the whole property together. Very urgent. Call for questions. City of Voronezh. District Authority. Address Pionerskaya 50. Can you call me on Viberine with my number?Translated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/17551782
House,Monolith,150 sq.m.,3,5,1,,,No Renovation,250 sq.m.,International › Russia,"18,000,000 ₽",RUB,A three-storey private house is for sale in Sochi. The balcony offers a beautiful view of the sea. The documents are complete. Call for details.Translated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/17689895
House,Stone,1350 sq.m.,1,4,1,Available,1 spot,Old Renovation,1350 sq.m.,International › Russia,"$50,000",USD,"Շտապ վաճառվում կամ փոխանակվում է Հայաստանում անշարժ գույքի հետ շուկայական գնից ցածր սեփական տուն հողամասով Կարսնադարի մարզում, Կրապոտկին հանրապետական Մ4 մայրուղուց գտնվում է 3 կմ հեռավորության վրա (Ճանապարհը ասֆալտապատված է) : Տունը ապահովված է խմելու և ոռոգման ջրով, էլեկտրաֆիկացված և գազաֆիկացված է: Տարածքում մեկ բնակելի տնից բացի կան մի քանի փակ շինություններ աղյուսից, որոնք կարող են ծառայել տարբեր գործունեություններ միաժամանակ կազմակերպելու համար, ունի փակ ավտոկայանատեղ և մեծ հողամաս բերքատու ծառերով և հողամաս, որտեղ կարելի է աճեցնել ելակ (ի դեպ այդ տարածաշրջանը հայտնի է ելակի աճեցմամբ), կանաչի կամ կազմակերպել ցելոֆանե կամ այլ նյութերից ջերմոցներ: Գյուղ մտնող և տուն մոտեցնող ճանապարհը ասֆալտապատ է:Срочно продается или обмень недвизимость в Армении дом с земельным участком по цене ниже рыночной в Карснадарском районе, г. Крапоткин в 3 км от республиканской трассы М4 (дорога заасфальтирована) Дом снабжен питьевой и поливной водой, электрифицирован и газифицирован. Помимо одного жилого дома на территории есть несколько закрытых кирпичных построек, которые можно использовать для одновременной организации разных мероприятий или обустройства теплиц из целлофана или других материалов. Дорога въезд в село и подъезд к дому заасфальтирована.",Nov-24-2022_23-35,,,,https://list.am/en/item/17118505
House,Monolith,550 sq.m.,2,7,3+,,2 spots,Designer Renovation,1850 sq.m.,International › Other Countries,"€850,000",EUR,"A beautiful three-story private house is for sale in the resort region of the Czech Republic, Karlovy Vary.The total area of the land: 1850 sq/mTotal area of the building: 550 sq/mThe mansion is a monolithic structure, it was commissioned in 2009. It consists of 1 underground and 2 above ground floors. Has,Entrance hallliving roomkitchen with dining room4 bedrooms, one with its own bathroom2 more bathroomsofficestudiogaming hall2 terraces and 4 open balconiesThe mansion has been completely renovated and has an elegant interior. All communications are available, there is three-phase current, a storage water tank is installed. The heating system is individual.The house is fenced, has a beautiful green yard, where fruit and decorative trees and bushes are planted. The irrigation system is automated. There is a summer kitchen in the yard.All necessary infrastructures are within reach.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18035207Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18035207
House,Stone,430 sq.m.,3,8+,3+,,,Major Renovation,1400 sq.m.,International › Russia,"22,000,000 ₽",RUB,For sale urgently.Translated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/17496799
Country House,Stone,381 sq.m.,2,7,3+,Not available,1 spot,No Renovation,,"Գրիգոր Լուսավորչի փողոց 39, Վանաձոր","$70,000",USD,For sale է exchanged in Russia stone building 7 rooms 381 sq. M. Located in the Novgorod oblast city Borovichi.We exchange with the car.Translated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/11116917
House,Wooden,60 sq.m.,2,3,1,,,Designer Renovation,,International › Other Countries,"4,800,000 ₽",RUB,"В городе Краснодар продается новый двухэтажный дом в престижном коттеджном поселке Прибрежный, Виктория (за хутором Ленина) Охраняемая территория. На берегу водохранилища. Земля 4 сотки.Вода скважина 24 метра, септик, свет - тариф переведён на сельский. 2 спальни и зал- кухня - студия. Удобства в доме. Сан. Узел совмещён. Заходи и живи. Мебель на кухне в подарок. Фотографии сделаны на стадии ремонта.Газ по меже! Новая асфальтная дорога. Дом сдан в эксплуатацию по всем канонам. Есть адрес и прописка! Прописка город Краснодар Карасунский округ! Документы готовы. Земля и дом в собственности.Двор ухоженный, залит бетон. Проведён высокоскоростной интернет, кабельное телевидение.Посажено много плодовых деревьев, малина.Собственник! Разумный торг. Viber, What's App тот же номер.",Nov-24-2022_23-35,,,,https://list.am/en/item/15636069
House,Wooden,60 sq.m.,1,2,1,,,Old Renovation,3800 sq.m.,International › Russia,"$37,000",USD,"Продам дом и магазин в Самарской области или обменяю с недвижимостью в Ереване или ближайшее роени, рассматривать можно и варианты обмен с машиной. Можно и по отдельности реально желающим.",Nov-24-2022_23-35,,,,https://list.am/en/item/18288351
House,Stone,111 sq.m.,1,2,1,,,Major Renovation,10 sq.m.,International › Russia,"1,900,000 ₽",RUB,"Վաճառվում է սեփական տունСтаврапольски край г. Благодарныйկոմունալ բոլոր հարմարություններով գտնվում է կենտրոնում...Տանը մոտ են բոլոր անհրաժեշտ կառույցները (դպրոց, մանկակապարտեզ, պոլիկլինիկա, բանկ, դեղատուն, խանութներ և այլն)գինը սակարկելի ռեալ գնորդի համար...Այլ հարցերի դեպքում զանհահարել միայն WhatsAppi կամ Viberi հեռախոսահամարներով...Продажа частного домаСтавропольский край г. Благодарный... Коммуникации со всеми удобствами... Расположены в центре дома рядом со всеми необходимыми объектами (школа, детский сад, поликлиника, банк, аптека, магазины и т. Д.)Цена договорная для реального покупателяВ случае возникновения других вопросов звоните только по номерам телефонов WhatsApp или Viber",Nov-24-2022_23-35,,,,https://list.am/en/item/17637211
House,Stone,2800 sq.m.,1,3,2,Not available,Not available,No Renovation,70 sq.m.,International › Russia,"$8,000",USD,Fruit trees - arable land - 2 houses - call for details - located in RastovTranslated from Armenian,Nov-24-2022_23-35,,,,https://list.am/en/item/17351228
House,Bricks,80 sq.m.,1,3,1,,,Old Renovation,2000 sq.m.,International › Russia,"13,000,000 ֏",AMD,"A house in the Kamishin region of Volgograd region is for sale or exchange with an equivalent house in Armenia. It is on the bank of the Volga river, it has all the amenities (permanent water, gas, electricity), for all questions you can call 9-22.Translated from Armenian",Nov-24-2022_23-35,,,,https://list.am/en/item/18202722
Country House,Wooden,30 sq.m.,1,2,1,By agreement,3 or more spots,Old Renovation,3700 sq.m.,"Улица Саманапанери 39, Армавир","700,000 ₽",RUB,Продается или обмен на машину дача с земельным участкомДом находитса Самарская облость Кинельский район д. Красный ключь,Nov-24-2022_23-35,,,,https://list.am/en/item/17725019
House,Stone,48 sq.m.,1,2,1,By agreement,Not available,No Renovation,,International › Russia,"$10,500",USD,"ՇՏԱՊ Վաճառվում է սեփական տուն Ռուսաստանում, Ռոստովի մարզի Միլլերովո շրջանի Կլյուչկովկա գյուղում։ Շրջկենտրոն Միլլերովո քաղաքից գյուղը գտնվում է 42 կմ հեռավորության վրա։Տունը 48,6 քառ. Մ է, տան դիմաց կա հող՝ 2500քառ. Մ ։Բակում կա գյուղատնտեսությամբ զբաղվելու համար նախատեսված կառույցներ՝ գոմ, հավաբուն, ճագարի և հնդկահավի բներ։ Կա նաև գետնափոր մառան, փայտանոց, ամառային խոհանոց, բակում կա նաև գործող ջրհոր։Տունն ունի սանհանգույց, ջուրը մշտական է, հոսող, ներսում պատի մեջ կառուցված է ռուսական վառարան, ունի էլեկտրականություն, գյուղի գազատար խողովակն անցնում է տան կողքով։Գտնվում է Ռոստով_Մոսկվա մայրուղու վրա։ Գյուղն ունի անտառ, գյուղի միջով հոսում է Կալիտվա գետը։Տունը փաստաթղթային խնդիր չունի։ Տան ձեռք բերումը կհեշտացնի ՌԴ քաղաքիության ստացման հարցը։",Nov-24-2022_23-35,,,,https://list.am/en/item/15792861
