Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
Country House,Stone,580 sq.m.,3,8+,3+,Not available,3 or more spots,Cosmetic Renovation,1680 sq.m.,"3-րդ փողոց 2, Արգել","$210,000",USD,"Urgent sale of a summer house in Lusakert, first line, first apartment, 3 floors + basement, sauna, indoor pool, it is possible to build an outdoor pool for an additional fee, suitable for daily rent, very close to the city, it is the first house on the main street at the beginning of the villageTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18154511
House,Stone,2850 sq.m.,4+,5,3+,,,Major Renovation,175 sq.m.,"Улица Арабкира 17, Касах","$700,000",USD,"A 4-storey luxurious house is for sale in Kasakh village. The house is fully renovated. It is provided with round-the-clock water and gas supply. The total area is 2850 square meters. Մ. It has an orchard, a swimming pool, a garage for 3 cars, a summer kitchen. All the necessary shops are nearby.The mansion is also for rent for $ 3,000 per month.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17753489
Country House,Stone,180 sq.m.,3,7,2,,,No Renovation,505 sq.m.,Kotayk › Ptghni,"$31,600",USD,"In Ptghni, Aragats ով with the view of Mount Ara, can be reached in about 15 minutes from the city.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17060994
House,Stone,460 sq.m.,3,8+,3+,By agreement,2 spots,Old Renovation,1100 sq.m.,"11-րդ փողոց 20, Կոտայք","$78,000",USD,Капитальный дом в Котайке 500метров до 7квартала г. Абовянвсё коммуникации газ свет вода канализация этажи спец монолит камень туф. Гараж на 2 машины 2огомных балкона2этажа жилые 2санузла также на первом этаже. На первом этаже большой зал. Кухня. Спальни 2этаж 4спальни и большой холл 2открытых балкона Место очень хорошее красивый вид на Арарат и атис реальному покупателю торг дом подготовлен под ремонт крыша алюминий полы бетонперекрытя бетон стены туф внимание 3слоя очень мощный дом крепкий монолит продаётся срочно дом продаётся по цене ниже рыночной стоимости после ремонта цена возрастёт в 4раза работает транспорт городской от Еревана 16 километров до Абовяна 890метровԿոդ Sd7575,Nov-24-2022_23-06,"ELectricity, water supply, natural gas, sewerage",BArbecue oven,FRidge,https://list.am/en/item/17774780
House,Stone,980 sq.m.,1,6,1,Available,1 spot,Cosmetic Renovation,740 sq.m.,Kotayk › Lernanist,"$35,000",USD,"Solid stone basalt house in Lernanist village of Hrazdan, 35 km from Yerevan, total area 120 sq. M., floor and a half, suitable for two brothers, 800 sq. M., needs renovation. Gas, electricity inside. Own water well gas. Barn tonratun dry large basement orchard. There is a very famous ski center in the village for a summer house suitable for meat.Code Ler02Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17318140
House,Stone,110 sq.m.,1,2,1,Available,3 or more spots,Major Renovation,500 sq.m.,Kotayk › Kanakeravan,"$60,000",USD,"Дача Дом в Канакераван е Зовуни, постоянно соседи проживают. Документы собственности +Кап ремонтПитьевая вода 24ч +Газ +Канализация +Ամառանոց Բնակելի տուն Զովունու Այգեգործական Քանաքեռավան ի Դաչա ներկապիտալ վերանորոգվածԿահավորվածՋուր Լույս Գազ նոր քաշածՊտղատու նորատունկ այգիqanaqeravan dacha",Nov-24-2022_23-06,,,,https://list.am/en/item/17612576
House,Stone,180 sq.m.,2,6,2,Available,1 spot,Partial Renovation,250 sq.m.,"21st Street 14, Zovuni","$148,000",USD,"New house for sale with furniture, call for detailsTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17958204
House,Stone,110 sq.m.,1,3,1,By agreement,Not available,Cosmetic Renovation,450 sq.m.,"Jrvezh 2-nd street 53, Jrvej","$120,000",USD,"Urgent sale of a 3-room house in Jrvezh, land area, 450, house 110, tuff walls 2 under 70 cm wide, ceiling bar, 3m, monolithic, doors, windows have been changed, has constant hot and cold water, gas, light, BAXI heating system, short He said that all the main works for his own house have been completely overhauled, all the prerequisites are there to build 2 floors, a road on both sides, an orchard, very urgent, call real buyers.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18374447
House,Stone,225 sq.m.,3,4,1,Available,Not available,No Renovation,1200 sq.m.,"Erevanyan street 36, Garni","$130,000",USD,"Located in the center of Garni Village. The position on the main road is very good. Sightseeing. Great place for business area. It has all its utilities. GasifiedFor detailed information, call the indicated telephone numberHURRY!Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18273251
House,Stone,80 sq.m.,1,3,1,,,Major Renovation,330 sq.m.,Kotayk › Zovuni,"$85,000",USD,"Newly renovated, beautiful yard, there is a separate beauty salon in the yard.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18374416
House,Stone,550 sq.m.,3,6,3+,,,Designer Renovation,650 sq.m.,Kotayk › Dzoraghbyur,"$530,000",USD,"A beautiful pasture house for sale in a new district. It has 3 balconies, 4 bathrooms, 5 bedrooms, a beautiful yard, the land area is 650 square meters, the house is 550 square meters, it has a study, a 190 square meter cellar. Baxi system is installed.Code 0104Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16885762
Country House,Stone,770 sq.m.,3,3,1,,,Major Renovation,600 sq.m.,Kotayk › Nurnus,"$75,000",USD,"A 3-storey, 3-room private house-summer house is for sale in the summer houses of Nurnus, 15 km from Yerevan. It is in good condition. It has all utilities, irrigation water, drinking water (permanent) It has 2 storage rooms, a garage that can also be used as a workshop. The house is fenced, has a meeting room, a swimming pool, 50 productive trees, an outdoor kitchen, the possibility of drawing gas, European windows. It is sold together with furniture. We will exchange for a car worth 5000-10000 dollars, including the remaining amount. Negotiable.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16852438
Townhouse,Stone,225 sq.m.,3,6,3+,,,No Renovation,400 sq.m.,"Պահլավունյաց փողոց 11, Ծաղկաձոր","$110,000",USD,"Semi-built townhouse for sale in Tsaghkadzor city. The house is located on the first line, has electricity, water, gas, and sewerage. Located on a paved main road, has a project, approved building permit, which expires in September 2023, it can be extended. The house was built last year in September. The surface of the house is 225 square meters with three floors. The area of the land is 400 square meters. The land has two separate addresses, the house is built on a plot of land, it is possible to build separate houses. The second floor is completely built, the third floor is unfinished.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18374396
House,Stone,200 sq.m.,2,7,1,,,Old Renovation,3000 sq.m.,Kotayk › Argel,"$98,000",USD,"House for sale in Lusakert village, has gas, light, water, sewerage, 3000 square meters of land near the houseCode KA01Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16620196
House,Stone,500 sq.m.,3,4,3+,,,No Renovation,1200 sq.m.,Kotayk › Mayakovski,"$400,000",USD,"Renovated summer house, large swimming pool, sauna, 12 cameras installed in the whole area, Profal European windows and doors, 2 balconies.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16673623
House,Stone,98 sq.m.,1,4,1,,,Major Renovation,700 sq.m.,"Գայի փողոց 14, Պռոշյան","$78,000",USD,"I am selling my own house in the village of Proshyan, house 20, Gai street, without an intermediary.The house has been completely renovated.Anna:Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16098980
House,Stone,263 sq.m.,2,4,1,Not available,2 spots,Partial Renovation,,Kotayk › Aragyugh,"10,000,000 ֏",AMD,"Բնակելի տունը երկհարկանի է, մուտքի դուռը երկաթյա, պատերը տուֆ քարից։Հողամասի մակերեսը - 4,819 քմ․Բնակելի տան մակերեսը - 263․3քմ․Օժանդակ շինություններԳոմեր ընդհանուր – 145,3քմ․Ծածկ - 36 քմ․Թոնրատուն - 9 քմ․Կոդ 5-59",Nov-24-2022_23-06,,,,https://list.am/en/item/12654287
House,Stone,160 sq.m.,2,8+,2,Available,2 spots,Old Renovation,,Kotayk › Arinj,"$160,000",USD,"Urgent two-storey private house for sale in Arinj village. Constant water, gas, electricity. On the ground floor there is a kitchen, 4 bedrooms, a bathroom, a toilet, a closed parking lot. On the second floor: Kitchen, bathroom, bedrooms, hall.The total area is 660 square meters. M:#Arinj #Arinj #Arinj village # own #owner #homeTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/11448491
House,Stone,180 sq.m.,2,4,1,Not available,1 spot,Old Renovation,1000 sq.m.,"Bagrevand street, Yerevan","$170,000",USD,"House for sale in Bagrevand, good location, convenient location, 1000 square meters of land, 180 square meters of housethe house has 2 floors, the 1st floor is a garage + basement, the 2nd floor is a residential 3-room old renovated bathroom, capital renovated, constant water, gas, sewerageLarge basement floor the size of the house.Fruit garden.Inhabited district.Call for more detailsCode 00046Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/13311319
House,Stone,150 sq.m.,2,4,1,By agreement,2 spots,Cosmetic Renovation,400 sq.m.,"Լուսավորության փողոց 10, Ձորաղբյուր","$68,000",USD,"Private house for sale in Dzoraghbyur village 400 sq. M. Land Basement 50 + 100 sq. M. Living areaLarge garage, pantry on the 2nd floor,2nd floor: 3 bedrooms, kitchen, bathroom, living room, corridorThe house has all the communal facilities, water, gas, electricity, sewerage,old repair, clean condition, the bathroom is tiled, euro doors, windows, hot and cold water, partly for sale with kitchen,is located near the main streetCall for more detailsCode 00038Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/13784568
House,Stone,185 sq.m.,2,5,2,,Not available,Partial Renovation,500 sq.m.,Kotayk › Ptghni,"$80,000",USD,"Ptxni, Ptghni, I am the ownerTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16235419
Country House,Stone,70 sq.m.,2,3,1,,,Euro Renovation,600 sq.m.,Kotayk › Dzoraghbyur,"$35,000",USD,"The house is located in Dacoraghbyur dacha. It has a well-cultivated garden with fruit trees, a 30 square meter garage, the 2nd floor is completely renovated, the windows are euro, the walls are lined with tuff.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16876339
House,Stone,500 sq.m.,2,8+,3+,,,No Renovation,600 sq.m.,"Улица Спандарян 1, Раздан","$80,000",USD,"Продаёться дом. Дом находится на ул. Шаумяна 58.Конструкция из Базальта. Крыша Цынковое железо - не протекает. Дом в отличном состочние. Общая площадь дома 500 кв/м. Жилая площадь 340 кв/м. Подвал 80 кв/м. Мансарда 80 кв/м.Вода, Газ, Электроэнергия, канализауия на територии. Удобный заезд на автомобиле. Площадь участка 600 кв/м, (6 соток) Дом постороен на одном фундаменте и под одной крышей, это информация для тех кто понимает в строительсвах дома.Прямо через дорогу Парк имени Шарля Азнавура - Сосновый лес. Не далеко р. Раздан и вся необходимая инфраструктура.Для реального покупателя торг.",Nov-24-2022_23-06,,,,https://list.am/en/item/17765192
Country House,Stone,1337 sq.m.,2,4,2,,,Partial Renovation,1003 sq.m.,Kotayk › Argel,"$65,000",USD,"A 4-room detached house with a one-story basement and an attic is for sale, located in the summer section of Argelum village, Kotayk region. The total area of the mansion is 212.3 square meters, auxiliary buildings 121.9 are built on the land area of 1.003 square meters. The mansion was built in the 1990s, the plot has a flat geometric appearance, there are fruit trees, the road is paved. The entrance door is iron, the interior doors and windows are wooden. The bathroom and the kitchen are tiled. In the living area, the floor is covered with oak parquet, the walls and ceiling are painted. The house has /average/ renovation. There is a balcony, a garage.Sale: $65,000In order to buy and view the mansion, a service contract is signed. Please have an ID with you.Code 14866Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17042437
House,Stone,648 sq.m.,2,7,3+,,,Cosmetic Renovation,1419 sq.m.,Kotayk › Argel,"$95,000",USD,"A 7-room detached house with a two-story semi-basement floor and an attic is for sale, located in Kotayk Marz, village Argelum. The total area of the detached house is 601.4 square meters, auxiliary buildings are 46.6, it is built on a land area of 1.419 square meters. The plot has a flat geometric appearance, there are fruit trees. The entrance door is iron, the interior doors and windows are metal-plastic. The bathroom and the kitchen are tiled. The house has /average/ renovation. There is a four san junction, 35 kw three phase current. Suitable for hotel complex, workshop.Sale: $95,000In order to buy and view the mansion, a service contract is signed. Please have an ID with you.Code 15160Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18119905
House,Stone,120 sq.m.,2,3,1,Not available,Not available,Cosmetic Renovation,,"Zovuni 38 street, Zovuni","$28,000",USD,A two-story apartment is for sale in Zovuni.Translated from Armenian,Nov-24-2022_23-06,,,,https://list.am/en/item/18374167
Country House,Stone,395 sq.m.,3,7,1,Available,2 spots,Old Renovation,1300 sq.m.,Kotayk › Dzoraghbyur,"$120,000",USD,"Առանձնատուն Ձորաղբյուրում։ Առանձնատունը բնակեցված չէ, ունի վերանորոգման կարիք։ Տանը կից առկա է այգի` Պտղատու ծառերով, լողավազանով։Дача в Дзорахпюре. Нужен капитальный ремонт. Трехэтажный дом с земельным участком. На участке плодовые деревья и бассейн.",Nov-24-2022_23-06,,,,https://list.am/en/item/17669791
House,Monolith,400 sq.m.,1,4,2,,,Major Renovation,,Kotayk › Jrvezh,"$580,000",USD,"----Առանձնատան ընդհանուր մակերեսը կազմում է 1000ք/մ, որից 400ք/մ շինություն----ՈՒնի բոլոր կոմունալ հարմարությունները----Կոդ A13",Nov-24-2022_23-06,,,,https://list.am/en/item/14632187
House,Stone,450 sq.m.,3,5,2,,,Cosmetic Renovation,2500 sq.m.,Kotayk › Hrazdan,"$180,000",USD,"Տունը գտնվում է Երևան֊Սևան մայրուղու Հրազդանի նախկին գաի պոստ չհասած։Ընդհանուր տարածքը 2500քմ։ Մուտքը և մայրուղու և Քաղսի գյուղի կողմից, հողատարացքում առկա են 2 ավտոտնակ, թոնրատուն, չօգտագործված անասնատուն, պտղատու ծառներ և 3 հականի տուն։",Nov-24-2022_23-06,,,,https://list.am/en/item/12509479
House,Stone,450 sq.m.,2,5,2,,,No Renovation,1500 sq.m.,Kotayk › Hrazdan,"$50,000",USD,"Private house with land for sale near Hrazdan Deer Park. The house is built of basalt stone. ""SOUL"" is set, call for other questions.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17511257
House,Stone,200 sq.m.,2,6,2,Available,2 spots,Major Renovation,400 sq.m.,"P. Sevak 14th St., Առինջ գյուղ","$155,000",USD,"The house was built in 2014, it has always been inhabited, there are fruit trees in the yard, possibly with all the property.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17902643
House,Stone,1500 sq.m.,1,4,1,By agreement,2 spots,Old Renovation,1300 sq.m.,Kotayk › Kotayk,"$42,000",USD,"Սեփական տուն հողատարածքով Կոտայքի մարզ գյուղ Կոտայքում՝ ընդհանուր մակերեսը 1500 քմ: Առկա է գազ, մշտական ջուր, եռաֆազ հոսանք, պտղատու այգի, 130 քմ շինություն, 4 սենյակ, 2 մեքենայի համար ավտոտնակ, Աբովյան քաղաքից 3 կմ հեռավորության վրա է գտնվում:",Nov-24-2022_23-06,,,,https://list.am/en/item/15039844
House,Panels,160 sq.m.,2,5,2,,,No Renovation,500 sq.m.,"Yeghishe Charents Street 1, Yerevan","$135,000",USD,"The final renovation of the private house will be completed in a month. The total area of the land is 500 sq/m, the total area of the house is 176.5 sq/m, of which 16.5 is the basement, the first floor of the private house will be a living room, kitchen, one bedroom and one bathroom, and the second floor is being built with masard 3 room and one bathroom. All earthquake-resistant norms are preserved. You can see the final appearance of the house with the pictures shown.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18357023
House,Stone,280 sq.m.,2,8+,1,,,Old Renovation,15 sq.m.,Kotayk › Kotayk,"$55,000",USD,"Продам или обменяю дом в деревне ацаван, имеется гараж, вода имеется свет имеется газ есть, земля ухоженная с плодовыми деревьями",Nov-24-2022_23-06,,,,https://list.am/en/item/18307628
House,Stone,380 sq.m.,2,8+,1,,,No Renovation,45 sq.m.,Kotayk › Kotayk,"$350,000",USD,"Продам или обменяю дом в деревне ацаван, имеет гараж на несколько машин, плодовые деревья, ухоженный сад",Nov-24-2022_23-06,,,,https://list.am/en/item/18305061
House,Stone,350 sq.m.,4+,7,2,Not available,2 spots,Partial Renovation,1700 sq.m.,"Գարեգին Նժդեհ փողոց , Քասախ","$240,000",USD,"Private house for sale in Kasakh without an intermediary. (adjacent to the kindergarten)500 m from Yerevan-Ashtarak highway. In the distance, with a wonderful view of the Ararat valley.Number of floors: 4 (including basement and attic)The area of the living area is 350 square meters.There is an enclosed orchard with 1700 sq / m terraces, completely filled with soil.Garage for 2 cars 10 m (38 sq / m)Constant water, gas and three-phase electricity.There is a fireplace: Billiard table on the basement floor.The house is covered with Ani tuff, the roof is tiled.2 bathrooms. All communications are done.Interior doors, windows, window sills are installed.Not furnished.The whole construction process is videotaped.It is possible to exchange with the apartment for an additional fee.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/11418455
House,Stone,700 sq.m.,4+,8+,3+,Not available,3 or more spots,No Renovation,3500 sq.m.,Kotayk › Tsakhkadzor,"$450,000",USD,"A large house for sale in Tsaghkadzor, the surface of the house is square meters, the surface of the plot is square meters. It is located in a special purpose recreation zone, it is very suitable for turning it into a hotel complex. Price in dollars.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18217132
House,Stone,300 sq.m.,2,5,2,Not available,2 spots,No Renovation,1800 sq.m.,Kotayk › Karashamb,"$45,000",USD,"A two-storey private house is for sale in Karashamb village, Kotayk region, the land area is 1840 square meters, a large garage for 4 cars on the ground floor, a cellar, a storage room, 4 bedrooms on the second floor, a living room-kitchen, a bathroom, a bathroom, a loft on the 3rd floor part 4 m, euro windows, plastered, electricity, gas, water for drinking and irrigation, walnut, hazelnut, apricot, apple and other trees in the garden, there is also an auxiliary building in the plot.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17275707
Country House,Stone,68 sq.m.,2,2,1,,,Partial Renovation,600 sq.m.,Kotayk › Dzoraghbyur,"$28,500",USD,"The summer house is flat, it has irrigation water, electricity, gas, there is no drinking water, the summer house is located 100 meters down from Lia market, enter the road on the right, it is called the 3rd district, it is pointless to call.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17226713
Country House,Monolith,800 sq.m.,1,2,1,Not available,2 spots,No Renovation,700 sq.m.,"Բարեկամության փողոց 17, Ձորաղբյուր","$32,000",USD,"Located 15 km from Yerevan, located in the water zone. For questions left, you can callTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17189018
House,Stone,400 sq.m.,2,8+,3+,Not available,Not available,Old Renovation,1160 sq.m.,Kotayk › Zovuni,"$180,000",USD,"Agency-commission 2%Urgent liquidation price 2-storey private house is for sale in Zovuni. The house is completely fenced. Constant hot and cold water. Electricity and gas are available. Individual heating system. There is a well-maintained yard, both fruit trees and decorative trees (fir trees) It has a spacious game room. It has a 105-square-meter studio office. Mikani bathroom. It has a summer pavilion and a summer kitchen.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17407812
House,Monolith,474 sq.m.,3,6,3+,,,No Renovation,625 sq.m.,Kotayk › Dzoraghbyur,"$170,000",USD,All the communications are available in the districtTranslated from Armenian,Nov-24-2022_23-06,,,,https://list.am/en/item/16871918
Country House,Stone,130 sq.m.,2,2,1,,,Partial Renovation,"12,000 sq.m.",Kotayk › Nurnus,"15,000 ֏",AMD,"A summer house with a large swimming pool and a beautiful yard is available for daily rent. There is a pavilion mangal in the yard. The wide and spacious garden of the summer house is designed to organize a wonderful rest. 250,000 a monthTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16211653
House,Stone,110 sq.m.,1,3,1,,,Partial Renovation,400 sq.m.,Kotayk › Goght,"$65,000",USD,"Owner:Newly built private house for sale in Goght village, Kotayk region, living area 110 sq. M. The land area is 400 square meters. Մ.The house has 3 bedrooms, kitchen, living room, bathroom and bathroom (renovated)The price is 65,000 dollars.URGENTTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17890489
Country House,Stone,1100 sq.m.,1,4,1,Not available,1 spot,Cosmetic Renovation,148 sq.m.,Kotayk › Hrazdan,"30,000,000 ֏",AMD,Own house for sale in normal condition. It is located near Tsakhkadzor. It is provided with constant gas and drinking water. It needs partial renovation. There are no less than 40 maple trees. Negotiable.Translated from Armenian,Nov-24-2022_23-06,"ELectricity, water supply, natural gas, sewerage",BArbecue oven,,https://list.am/en/item/18211744
House,Stone,10 sq.m.,2,7,1,By agreement,Not available,No Renovation,,Kotayk › Bjni,"$45,000",USD,"Վաճառվում է քարե երկհարկանի տուն Բջնի գյուղում: Տան կահավորանքը հին է ունի նաև վերանորոգման կարիք: Առջևում ունի հողատարածք և այգի պտղատու ծառերով (ընկույզ, ծիրան, պնդուկ, տանձ, խնձոր) : Ցանկության դեպքում կարող էք զանգահարել:",Nov-24-2022_23-06,,,,https://list.am/en/item/9396432
Country House,Monolith,525 sq.m.,1,2,1,,,No Renovation,450 sq.m.,Kotayk › Ptghni,"$27,000",USD,"A semi-basement monolithic detached house with an area of 75 square meters is for sale, the land area is 450 square meters. The price is negotiable. Nearby there is water (both drinking and irrigation), electricity, gas. Everything is privatized. There are building materials inside. The ceiling height of the building is 2m 96 cm. It is on the ground: 2m 30 cm. It is not wet. For more information call.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18339251
House,Stone,400 sq.m.,3,8+,2,Not available,Not available,Partial Renovation,250 sq.m.,"Tumanyan street 2, Kasakh","$76,000",USD,"A 3-storey three-story half-built private house is for sale at a price incomparably more affordable than the market one. The distance from Yerevan is only 1 kilometer. The living area of the house is 140 square meters on each floor. , the remaining 260 sq. M. Occupies the land, together 400 sq. M. Area: Has the ability to connect to all communications. Public transport passes right in front of the house.The house is for sale by the owner without an intermediary, the price is negotiable, exchange or closed. DO NOT OFFER, please call only serious real buyers.If I can not answer the phone call, write here and I will answer.Land plot land plot Kasakh kasakhum kasakh 40 sovkhoz sovkhoz sovkhoz forty 40thTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16189735
Townhouse,Panels,130 sq.m.,2,4,2,Available,Not available,Euro Renovation,900 sq.m.,"6-րդ փողոց 17, Մայակովսկի","$65,000",USD,The house is completely renovated. The windows are euro. The outer door is iron. It is also sold together with the property. Land near the house is for saleTranslated from Armenian,Nov-24-2022_23-06,,,,https://list.am/en/item/18008411
House,Stone,160 sq.m.,2,5,2,,,Euro Renovation,300 sq.m.,Kotayk › Jrvezh,"$170,000",USD,"Закрытый к/п «Сирох Сртер», респектабельнык соседи.Двухэтажный дом, второй этаж - мансардный. На первом этаже: Кухня + гостиная; 2 спальни, с/у. Второй этаж: 2 комнаты, с/у.В доме сделан хороший ремонт, есть небольшие недочеты (готова уступить в цене)В доме не курили, мебель и обстановка входит в цену.Электричество, водопровод, газ, интернет (юком), кабельное телевидение.Также рассмотрим обмен на квартиру с доплатой (в приоритете)",Nov-24-2022_23-06,,,,https://list.am/en/item/18067135
House,Stone,400 sq.m.,1,4,1,Not available,2 spots,Partial Renovation,300 sq.m.,"Մայիսյան փողոց 4, Պռոշյան","$65,000",USD,"1st line near the highway, newly built, fenced, euro windows and iron door, individual water Aparan, solid foundation հնարավորություն 2nd floor possibilityTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17431909
House,Stone,280 sq.m.,2,8+,3+,,,No Renovation,,Kotayk › Jrvezh,"$300,000",USD,"Bagrand I am an individual, I am in the process of renovation. I will provide you.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/15147029
House,Stone,108 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,650 sq.m.,"Հովհաննես Թումանյանի փողոց 18, Եղվարդ","$53,000",USD,"Private house for sale on Yeghvard, Tumanyan street, partially renovated. There is a barn, a bakery, a garage next to the house, it has a garden with fruit trees. Price is negotiable.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16804615
House,Stone,240 sq.m.,2,7,2,Available,3 or more spots,No Renovation,200 sq.m.,"1-ին փողոցի 1-ին նրբանցք 1, Պտղնի","$90,000",USD,A 2-storey private house is for sale on the 1st street in PtghniUnrepaired.Number of bedrooms: 8Translated from Armenian,Nov-24-2022_23-06,,,,https://list.am/en/item/17915698
House,Stone,252 sq.m.,2,4,1,,,Old Renovation,790 sq.m.,Kotayk › Geghashen,"$40,000",USD,"For sale or exchange with apartment.Gas, permanent water, cellar, bakery, cattle shed, chicken house, orchard with fruit trees.It is fenced, the road leading to the house is paved.Call for detailed information.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/16450538
House,Stone,200 sq.m.,2,4,2,Available,2 spots,Designer Renovation,1460 sq.m.,Kotayk › Yeghvard,"$205,000",USD,"2-storey beautiful private house is for sale in Yeghvard.Land - 1460 square meters, fencedHouse - 200 square meters + basementIt is fully repaired, provided with all the communal facilities: Gas, heating system, hot or cold water.Euro windows, tiled bathroom, wooden parquet in the rooms.1st floor - living room with entrance hall, fireplace, kitchen with dining room, 1 bathroom.2 floors - entrance hall, 3 bedrooms, 2 bathrooms, open balcony.It has a well-maintained yard with a garden of fruit trees.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceCode 0013Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/14416876
House,Stone,166 sq.m.,3,5,3+,Not available,2 spots,Designer Renovation,500 sq.m.,Kotayk › Kasagh,"$200,000",USD,"The house is located in the beginning of Kasakh community, near Yerjan-Ashtarak road. The house is newly built, provided with all communal amenities. , pavilion, parking.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.The commission of the agency is 2%, an exhibition contract is signed for the exhibitions. Please have your ID.Code 0244Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17178834
House,Stone,525 sq.m.,1,4,1,,Not available,Partial Renovation,,Kotayk › Ptghni,"$57,000",USD,"A private house of 120 sq. M. Is for sale, in the district of fruit summer houses, on the road near Yerevan, near the Bali hotel, it has gas, electricity, drinking water and irrigation. Corridor and kitchen floor is tiled, bedroom is laminate. It also has a basement of 120 square meters with a high ceiling, which can be turned into a residence or can serve as a workshop, the main work of the house has been done, needs to be repaired, has a beautiful garden with large fruit trees,Exchange with land is possible in YEREVAN!Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/14784195
House,Stone,460 sq.m.,2,6,3+,Available,2 spots,Old Renovation,1700 sq.m.,"Մասիսի փողոց 10, Ձորաղբյուր","$260,000",USD,"A 2-storey private house is for sale in Dzorabyur village or is exchanged with an apartment in Arabkir community of Yerevan, only in a new building. All utilities are available, call for detailsTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/17740306
House,Stone,800 sq.m.,1,4,1,Available,2 spots,Partial Renovation,201 sq.m.,"Bagrevand 19 street, Yerevan","$205,000",USD,"Urgently, a private house for sale on the 1st street of the newly built district of Bagrevand. The total plot is:   800 square meters. The total surface area of the house is 136 square meters. To which was added  is  2nd floor, 64 square meters, which is under renovation. There are 2 garages, fruit trees, permanent  with utilities, heating: Baxi. The front part is currently undergoing construction work to make it more comfortable. Soon, a school and a kindergarten will open closer to home. The house is for sale in order to move out of the country. For details, call WhatsApp number 099. Or exchange for a house worth up to $70,000 for an additional fee on your part. Do not advertise the house without informing the mediators, do not put more than the specified price.Partial sale is possible.Price negotiableTranslated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/15934084
House,Monolith,1100 sq.m.,3,6,1,Available,2 spots,Cosmetic Renovation,820 sq.m.,"Գևորգ Չաուշի փողոց 29, Պռոշյան","42,000,000 ֏",AMD,"Capital monolithic structure has gas, water, electricity, fenced garden, garage. It is possible to rent for 170,000 AMD per month. The house was valued at 80 million drams by Artsakhbank. Urgent sale. Exchange is possible.Translated from Armenian",Nov-24-2022_23-06,,,,https://list.am/en/item/18203936
