Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Panels,No,Not available,5,73 sq.m.,3,1,from 2.7 m,3,Closed balcony,Available,Cosmetic Renovation,"Shahumyan street, Jermuk","$20,000",USD,3-room apartment for sale in Jermuk.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/15685903
Stone,No,Not available,5,80 sq.m.,4,1,from 3 m,4,Closed balcony,,Old Renovation,Vayots Dzor › Jermuk,"$20,000",USD,"I will exchange the house with another house in Yerevan or nearby. It is in normal condition, everything is there, gas, hot water.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17016844
Stone,No,Not available,5,71 sq.m.,3,1,from 2.7 m,1,Not available,Available,Major Renovation,"Ձախափնյակ թաղամաս 3, Ջերմուկ","$31,000",USD,"3-room apartment for sale in Dzakhapnyak district of Jermuk. The apartment is fully renovated, sparsely populated. There are 2 basements. One is from the house, from the kitchen, the other from the entrance.Heating system is installed, the floor is heated.The price is final, which does not include the furniture. Other price with the furniture.I will exchange it with an apartment in Yerevan for an additional fee.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17209117
Stone,No,Not available,3,69 sq.m.,3,1,from 2.7 m,3,Closed balcony,Available,Major Renovation,"Vardanyan St, Jermuk","$37,000",USD,"The apartment is located in the center of Ajapnyak district of Jermuk city, in front of Anush hotel. The bank is full. With all utilities: Heating system, parquet is wooden, entrance door is iron, windows are euro, windows are granite. For sale with furniture. A garage with a basement the size of two garages is for rent.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16493040
Stone,No,Not available,4,48 sq.m.,2,1,from 2.7 m,2,Not available,,No Renovation,"Shahumyan street, Jermuk","$38,000",USD,"The apartment is not renovated, it is in state condition, the two-room is turned into three. The apartment is located in the center of Jermuk.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17858138
Panels,No,Available,9,52 sq.m.,1,1,from 2.75 m,8,Closed balcony,,Old Renovation,Vayots Dzor › Jermuk,"7,000,000 ֏",AMD,"The sunny balcony on the east side is suitable for sharing a bedroom, a large kitchen, a pantry (chulan) and a wonderful view in front of the newly built church of St. Gayane. Close to E-City and Yerevan bus stops.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18148766
Panels,No,Not available,4,43 sq.m.,1,1,from 3 m,1,Closed balcony,,No Renovation,Vayots Dzor › Yeghegnadzor,"$26,000",USD,Suitable for commercial and office activities.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/16976220
Stone,No,Not available,5,80 sq.m.,3,2,from 2.75 m,2,Open balcony,,Old Renovation,"Միկոյանի փողոց 18, Եղեգնաձոր","$40,000",USD,"I am selling a 3-room apartment in Yeghegnadzor, residential 2nd floor, with an old renovation, the location is very convenient from the entrance to Yeghegnadzor, near the building, four shops, a playground for children, a playground, in short, a comfortable living space and house.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18233031
Stone,No,Not available,3,56 sq.m.,1,1,from 2.6 m,2,Open balcony,,Old Renovation,"Shahumyan street 30, Vayk","$18,000",USD,"The apartment is in normal condition, the apartment is for sale together with the property, the bathroom is renovated.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16849089
Stone,No,Not available,4,13 sq.m.,1,1,from 2.5 m,4,Not available,,No Renovation,Vayots Dzor › Jermuk,"1,000,000 ֏",AMD,A one-room apartment with an area of 13 square meters is for saleFor more information callTranslated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/18226644
Stone,No,Not available,3,49 sq.m.,3,1,from 2.7 m,1,Not available,,Euro Renovation,"Շահումյան փողոց 2, Ջերմուկ","$32,000",USD,"The apartment is renovated, has a warm floor (Tupli pole), a completely warm floor under the walls of the house, with a separate entrance from the outside, has a nave from the outside, the roof above the building is pushed forward so that no snow or rain falls in front of the door and walls.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/16095882
Stone,No,Not available,5,70 sq.m.,3,1,from 2.75 m,5,Multiple balconies,,Cosmetic Renovation,Vayots Dzor › Jermuk,"$18,000",USD,"2-room apartment of a stone building + niche + closed balcony, open balcony (5 sq. M.) + separate chulan (15 sq. M.)The apartment has gas, hot and cold water. It is in good condition, renovated.It is provided with property and equipment.There is a school, a kindergarten and shops nearby. First line.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17262964
Stone,No,Not available,5,90 sq.m.,4,2,from 2.75 m,2,Closed balcony,,Old Renovation,"Ձախափնյակ թաղամաս 3/22, Ջերմուկ","$48,000",USD,"A 3-room apartment converted into 4 is urgently for sale on the 2nd floor of a 5-story stone building.A special project, the outside stairs immediately connect to the second floor.The four rooms are in satisfactory condition.Gypsum was used instead of plaster in the repair phase to ensure high quality of the years.The kitchen connects to a large and spacious balcony.The bedrooms have access to a small balcony.The parquet is of good quality, made of oak.Balconies are closed.The apartment is provided with constant cold water, gas and electricity.The bathroom needs renovation.Address - 25th building, apartment 19.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/18202742
Panels,No,Available,9,96 sq.m.,4,1,from 2.75 m,7,Closed balcony,Not available,No Renovation,"Dzakhapnyak St, Jermuk","$21,000",USD,"Call for details. The house comes with a basement, a closet, and a garage. It is also exchanged for an apartment in Yerevan for an additional fee.Translated from Armenian",Nov-25-2022_14-03,,,https://list.am/en/item/17727818
Stone,No,Not available,4,42 sq.m.,1,1,from 2.8 m,4,Not available,,Euro Renovation,"Գրիգոր Նարեկացու փողոց 1/1, Եղեգնաձոր","$11,500",USD,The apartment is sold with kitchen furniture and appliances.Translated from Armenian,Nov-25-2022_14-03,,,https://list.am/en/item/18159718
