Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
Country House,Monolith,800 sq.m.,2,4,3+,Available,3 or more spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-story house is for daily rent in Dilijan.Attention... The house is for rent both as a whole and on separate floors.The cost of the 1st floor: AMD 30,000The cost of the 2nd floor: AMD 30,000Appendix: (the yard is shared)If you want to rent only the first or second floor and want the other floor to remain empty, then according to your wish, the 1st or second floor will be closed and the daily price for 1 floor will be AMD 30,000.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,willconstant hot and cold water,central heating (baxi),dishesbedding.On the 1st floor: 1 bedroom, living room, bathroom, wardrobe, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If the whole house is rented, it can accommodate up to 10 people overnight.Check in (entrance) – 14:00Check out - 12:00Enjoy your vacation in beautiful Dilijan.Call in advance to reserve.Code DiliArtTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18011171
Country House,Stone,800 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,1500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation, 12 people without accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Daily fee:DilijanQuietTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17307524
Country House,Monolith,500 sq.m.,2,7,3+,Available,3 or more spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"100,000 ֏ daily",AMD,"A luxurious villa is for daily rent, a private house in the center of Dilijan.* 6 bedrooms* 3 bathrooms (1st floor, 2nd floor and outside)* 2 fireplaces (1st and 2nd floors)* Fireplace, Barbecue (barbecue bottle)* Pavilion (up to 30 people)* dishes, bedding* wi-fi internetCheck in - 14:00:Check out - 12:00:The house can accommodate 25-30 people without accommodation.The house can accommodate up to 15-20 people per night.Call in advance to make a reservation.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17209441
Country House,Stone,500 sq.m.,2,4,1,Available,2 spots,Designer Renovation,1000 sq.m.,6,Yes,No,Included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"A newly built magnificent cottage is for daily rent in Dilijan.* 3 bedrooms (for 6-7 people)* 1 bathroom* 1 living room with kitchen* Barbecue (barbecue bottle)* WI-FI-internet* parking* dishes, beddingCheck in - 14:00:Check out - 12:00:* Friday, Saturday, Sunday and on non-working days the price is different.* Call in advance to make a reservation.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17272765
Country House,Monolith,1000 sq.m.,3,6,3+,Available,2 spots,Major Renovation,1500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"150,000 ֏ daily",AMD,"This luxurious luxury is for daily rent, this private house, which is located in the heart of Dilijan.* 5 bedrooms (each with its own bathroom ով bathroom)* Double bed in 1 bedroom* manege, lezhanka* 6 bathrooms* Swimming pool 4x5 on 1․80 depth (heated)* sauna* Fireplace* Barbecue (barbecue bottle)* Tableware, bedding (hygiene items)* WI-FI + TV:* Up to 30 people can dine inside the house* Outdoor outdoor pavilion up to 50 people (there are dishes for a number of people)* The house can accommodate up to 13 people with accommodation, without accommodation - 50 people.From Monday to Thursday, 140,000 drams.From Friday to Sunday, 140,000-170,000 drams.Check-in: From 14:00Check-out: Until exit 12:00Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Dilijandaily rentHouseapartment:To the baseTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17335971
Country House,Monolith,500 sq.m.,2,4,3+,Available,3 or more spots,Designer Renovation,3000 sq.m.,7,Yes,No,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"A luxurious cottage is for daily rent in Dilijan.* 1 living room* 3 bedrooms* 2 bathrooms* Fireplace* barbecue* Swimming pool* Sauna* spacious yard* children's playroom* dishes, bedding* wi-fi, smart tv TVCheck in - 14:00:Check out - 12:00:* Can accommodate up to 6-7 people per night.* After the bends of Dilijan, right at the beginning.* Friday, Saturday, Sunday and on non-working days the price is different.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17209449
Country House,Monolith,800 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,1500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.A private house with a swimming pool and a sauna is for daily rent in Dilijan.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17209419
Country House,Monolith,500 sq.m.,2,4,1,Available,3 or more spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"Super luxurious villa, private house for daily rent in Dilijan.* 3 bedrooms* 2 bathrooms* Dishes* Bedding* Mangal, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with overnight stay, 12 people without overnight stay.Check in (entrance) – 14:00Check out - 12:00The price depends on the contract, the week, the number of days and the number of persons.Enjoy your vacation in beautiful Dilijan.Code JrhogherTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17773880
Country House,Monolith,500 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-story house is for daily rent in Dilijan.Attention... The house is for rent both as a whole and on separate floors.The cost of the 1st floor: AMD 30,000The cost of the 2nd floor: AMD 30,000If you want to rent only the first or second floor and want the other floor to remain empty, then according to your wish, the 1st or second floor will be closed and the daily price for 1 floor will be AMD 30,000.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,willconstant hot and cold water,central heating (baxi),dishesbedding.On the 1st floor: 1 bedroom, living room, bathroom, wardrobe, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If the whole house is rented, it can accommodate up to 10 people overnight.Check in (entrance) – 14:00Check out - 12:00Enjoy your vacation in beautiful Dilijan.Call in advance to reserve.Code AghstevTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17773879
Country House,Monolith,1000 sq.m.,3,6,3+,Available,3 or more spots,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"150,000 ֏ daily",AMD,"This luxurious luxury is for daily rent, this private house, which is located in the heart of Dilijan.* 5 bedrooms (each with its own bathroom ով bathroom)* Double bed in 1 bedroom* manege, lezhanka* 6 bathrooms* Swimming pool 4x5 on 1․80 depth (heated)* sauna* Fireplace* Barbecue (barbecue bottle)* Tableware, bedding (hygiene items)* WI-FI + TV:* Up to 30 people can dine inside the house* Outdoor outdoor pavilion up to 50 people (there are dishes for a number of people)* The house can accommodate up to 13 people with accommodation, without accommodation - 50 people.From Monday to Thursday, 140,000 drams.From Friday to Sunday, 140,000-170,000 drams.Check-in: From 14:00Check-out: Until exit 12:00Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Villa, which is given for different types of events, parties.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17345662
Country House,Monolith,1000 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-storey house is for daily rent in Dilijan.Attention ․․․ The house is given both as a whole and on separate floors.The cost of the 1st floor is 30,000 dramsThe cost of the 2nd floor is 30,000 dramsAppendix ․ (the yard is common)If you want to rent only the first or second floor and you want the other floor to be empty, then in your wish, the first or second floor will be just closed and the cost of the day for one floor will be 30,000 AMD.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,they wantconstant hot and cold water,central heating (baxi),dishes,bedding.1st floor: 1 bedroom, living room, bathroom, kamen, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If you rent the whole house, it can accommodate up to 10 people per night.Check in - 14:00:Check out - 12:00:Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Code AxstevTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17674992
Country House,Monolith,800 sq.m.,2,4,3+,Available,3 or more spots,Designer Renovation,1500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation, 12 people without accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.DachaDilijandaily rentprivate houseTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17345648
Country House,Monolith,1500 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,800 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people per night.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16673887
Country House,Monolith,500 sq.m.,2,4,2,,3 or more spots,Designer Renovation,1000 sq.m.,7,Yes,No,Included,By Agreement,Tavush › Dilijan,"45,000 ֏ daily",AMD,"A luxury private house, cottage in Dilijan is for daily rent.* 3 bedrooms* bathroom* Internet: Wi-fi* dishes* grill, grill bottle* bedding* Smart TV TV* fireplaceThe house can accommodate 6-8 people overnight.The price is contractually dependent on the week, days and number of persons.Make your stay comfortable in this house.Call in advance to reserve.Thank you for choosing us.Check-in: From 14:00:Check-out: Until 12:00Code NareTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17208664
Country House,Monolith,1000 sq.m.,3,8+,3+,Available,3 or more spots,Euro Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"A luxurious private house is for daily rent in the beginning of Dilijan, after the bends.* 3 floors* 8 bedrooms* 3 bathrooms* 2 pavilions, each for 25 people (chat room)* dishes, dishes Car:* bedding* barbecue (barbecue bottle)* Internet wi-fi* near the forest* parking* heating (BAXI system)Check in - 14:00:Check out - 12:00:The house can accommodate 18 people with accommodation, 50 people without accommodation.* 1st floor (2 bedrooms: Double (4 persons)), kitchen, living room with fireplace (fireplace)* 2nd floor (4 bedrooms, 2 triple rooms, 2 double rooms (10 people)), sofa-bed* 3rd floor (2 bedrooms, 2: Double (4 persons) living room, bathroom, sofa-bedPrice varies by number of days եզ season.Call in advance to make a reservation.Code LernayinTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17663153
Country House,Monolith,500 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,"A luxurious two-storey house is for daily rent in Dilijan.Attention ․․․ The house is given both as a whole and on separate floors.The cost of the 1st floor is 30,000 dramsThe cost of the 2nd floor is 30,000 dramsAppendix ․ (the yard is common)If you want to rent only the first or second floor and you want the other floor to be empty, then in your wish, the first or second floor will be just closed and the cost of the day for one floor will be 30,000 AMD.On the 1st floor of the house there is:2 bedroomsInternet: Wi-fi,smart tv,they wantconstant hot and cold water,central heating (baxi),dishes,bedding.1st floor: 1 bedroom, living room, bathroom, kamen, TV, refrigerator and sofa.On the 2nd floor: 1 bedroom, living room, bathroom, TV, refrigerator, TV, sofa.If you rent the whole house, it can accommodate up to 10 people per night.Check in - 14:00:Check out - 12:00:Spend your vacation in beautiful Dilijan.Call in advance to make a reservation.Luxurious two-storey cottage.Code AghstevTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17646984
Country House,Stone,1000 sq.m.,2,4,2,Available,3 or more spots,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation, 12 people without accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Villa for daily rent in Jrhogher village of Dilijan.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17646966
Country House,Monolith,500 sq.m.,2,4,3+,Available,3 or more spots,Designer Renovation,500 sq.m.,7,Yes,No,Included,By Agreement,Tavush › Dilijan,"90,000 ֏ daily",AMD,"! ACTION until 31-12-2021. Pay 80,000 drams instead of 130,000 drams.Luxurious cottages are for daily rent in Dilijan.* 1 living room* 3 bedrooms* 2 bathrooms* Fireplace* barbecue* Swimming pool* Sauna* spacious yard* children's playroom* dishes, bedding* wi-fi, smart tv TVCheck in - 14:00:Check out - 12:00:It can accommodate up to 6 people per night.After the bends of Dilijan, right at the beginning.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14180652
Country House,Stone,1000 sq.m.,3,8+,3+,Available,3 or more spots,Euro Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"Oրավարձով տրվում է եռահարկ 11 սենյականոց /8 ննջասենյակ/ առանձնատուն Դիլիջան քաղաքի սկզբնամասում՝ Դիլիջանի ոլորանների մոտ, անտառին կից, քաղաքի աղմուկից հեռու և հիանալի տեսարանով: Ունի հսկվող մեծ ավտոկայանատեղի:Նախատեսված է ընտանեկան և կոլեկտիվ հանգիստ անցկացնելու համար: Տեղադրված է BAXI համակարգ: Ապահովված է տաք և սառը մշտական ջրով, էլեկտրոտեխնիկայով:Առանձնատանը կարող են տեղավորել 18 հոգի, որից 4-ը առաջին հարկում, 10-ը` 2-րդ հարկում, 4-ը երրորդ հարկում: Երեխաների քանակը ներառված է նշված թվի մեջ:Առաջին հարկում առկա է 2 երկտեղանոց ննջարարան, խոհանոց, հյուրասենյակ բուխարիով /կամինով/, սանհանգույց: Հյուրասենյակում տեղադրված է բազմոց-մահճակալ: Խոհանոցում առկա են լվացքի և սպասքի մեքենաներ: Ապահովված է առաջին անհրաժեշտության պարագաներով, սպասքով:Երկրորդ հարկում կան 4 ննջասենյակ և մեկ հյուրասենյակ՝ խոհանոցով, սանհանգույց: Հյուրասենյակում տեղադրված է բազմոց-մահճակալ: Ննջասենյակներից 2-ը երեք տեղանոց է, 2-ը` Երկտեղանոց: Ապահովված է առաջին անհրաժեշտության պարագաներով, սպասքով: 2-րդ հարկում կարող են տեղավորվել 8-10 հոգի:Երրորդ հարկում կա 2 ննջասենյակ և մեկ հյուրասենյակ, սանհանգույց: Հյուրասենյակում տեղադրված է բազմոց-մահճակալ: Ննջասենյակները երկտեղանոց են: Ապահովված է առաջին անհրաժեշտության պարագաներով:Առանձնատանը կից կառուցված է 2 զրուցարան-խորովածանոց, որից մեկը բնության գրկում: Յուրաքանչյուրը 20-25 անձի համար, խորովածի համար բոլոր պարագաներով:Առանձնատունը տրվում է նաև առանձին հարկերով, առաջին հարկի վարձակալության գումարը /մինչև 5 հոգի/ 50 հազ. Դրամ, երկրորդ հարկը /մինչև 10 հոգի/ 65 հազ. Դրամ/, երրորդ հարկը /5 հոգի/՝ 40 հազ. Դրամ:Առաջին և երկրոդ հարկը վարձակալելու դեպքում վարձակալության գինը 70 հազ դրամ, ամբողջությամբ վարձակալելու դեպքում 100 հազ. Դրամ:",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14179869
Country House,Monolith,800 sq.m.,2,4,3+,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"45,000 ֏ daily",AMD,"A luxury private house, cottage in Dilijan is for daily rent.* 3 bedrooms* bathroom* Internet: Wi-fi* dishes* grill, grill bottle* bedding* Smart TV TV* fireplaceThe house can accommodate 6-8 people overnight.The price is contractually dependent on the week, days and number of persons.Make your stay comfortable in this house.Call in advance to reserve.Thank you for choosing us.Check-in: From 14:00:Check-out: Until 12:00Code JeliniTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17807012
Country House,Monolith,1500 sq.m.,2,4,2,Available,2 spots,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A magnificent villa is for daily rent, a private house in Dilijan.* 3 bedrooms* 2 bathrooms* Tableware* Bedding* Barbecue, barbecue bottle* Fireplace* Sauna* Swimming pool* Internet wi-fiThe house can accommodate up to 7-8 people with accommodation.Check in - 14:00:Check out - 12:00:Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.A private house with a swimming pool and a sauna is for daily rent in Dilijan.Code JrhogherTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17806974
Country House,Monolith,1000 sq.m.,1,3,1,Available,2 spots,Designer Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"# Holiday house for daily rent in DilijanDesigned for up to 16 people, with accommodation per night. The house is given in full. Includes: • internet (Wi-Fi) • TV • sound system • lighting system for one-off events • • bed linen and towels • kitchen, kitchen appliances, kitchen utensils • heating • parking • security system • well-maintained green yard • barbecue, necessary accessories, • pavilion • waterfalls •.Arrival from 14.00, departure until 11.00. Modern style holiday home. -1 bedroom: 1 large double bed, bathtub, 2nd bedroom: 1 large double bed, -living room: 1 oversized sofa bed, living room: 2 -1 sofa bed.Price depends on the contract, week, days քանակ number of people.Call in advance to make a reservation.Code DilijanTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17806958
Country House,Monolith,1000 sq.m.,2,4,2,Available,2 spots,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A private house is for daily rent in Dilijan, which was intended for 8 people. It has 3 bedrooms, 2 bathrooms, a beautiful yard with its barbecue facilities. For details, call the mentioned numbers.Sauna and swimming pool, fireplace.Check in - 14:00:Check out - 12:00:From Friday to Sunday the price may be different.Call in advance to make a reservation.Code VillasauTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17710708
Country House,Monolith,1000 sq.m.,3,6,3+,Available,1 spot,Major Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"150,000 ֏ daily",AMD,"For daily rent is this luxury, classy private house, located in the heart of Dilijan.* 5 bedrooms (each with its own private toilet and bathroom)* Bunk bed available in 1 bedroom* arena, lezhanka* 6 bathrooms* Swimming pool 4x5 1.80 deep (heated)* sauna* Fireplace* Mangal (barbecue bottle)* Dishes, bedding (hygiene accessories)* WI-FI + TV* Up to 30 people can dine inside the house* Up to 50 people in the open-air booth (there is tableware for the number of people)* The house can accommodate up to 13 people with overnight accommodation, without overnight accommodation - 50 people.From Monday to Thursday: 150,000 AMD.From Friday to Sunday: 150,000-170,000 AMD.Check-in: From entry 14:00Check-out: Until exit 12:00Enjoy your vacation in beautiful Dilijan.Call in advance to reserve.Spring is coming, Dilijan is waiting for you. Come on Dilijan.In case of long days, there will be significant discounts.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17319885
House,Stone,250 sq.m.,2,2,1,,1 spot,Major Renovation,355 sq.m.,6,Yes,No,Included,By Agreement,"Մխիթարյան փողոց 3, Դիլիջան",200 ֏ monthly,AMD,"House for rent in Dilijan, daily and long-term. Vardzov tun dilijanumTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/18151646
House,Stone,300 sq.m.,2,3,2,Available,2 spots,Major Renovation,500 sq.m.,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD061Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17912398
House,Stone,200 sq.m.,1,2,1,,,Major Renovation,500 sq.m.,,,,,,Tavush › Dilijan,"30,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD047Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17707881
House,Stone,800 sq.m.,2,3,1,Available,1 spot,Major Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"35,000 ֏ daily",AMD,Տունն ունի բոլոր կոմունալ և կենցաղային հարմարությունները:Կոդ LC006,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/11766205
House,Stone,900 sq.m.,2,4,3+,Available,3 or more spots,Major Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,The house is provided with all living and communal amenities.Code LD011Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/14721927
House,Bricks,50 sq.m.,1,3,1,Available,1 spot,Major Renovation,60 sq.m.,6,Yes,Yes,Not included,By Agreement,"Մյասնիկյան փողոց 78, Դիլիջան","15,000 ֏ daily",AMD,"An apartment is for daily rent in the center of Dilijan, on Myasnikyan street.There is free Wi-fi, refrigerator, gas stove, washing machine, barbecue, parking.Guests are provided with bedding and dishes.There are grocery stores, supermarkets, a pharmacy and banks nearby.A pavilion (besetka) is provided free of charge to those who wish.Translated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17866967
House,Stone,80 sq.m.,2,4,2,,,Major Renovation,600 sq.m.,6,Yes,Yes,By Agreement,Without prepayment,Tavush › Dilijan,"40,000 ₽ monthly",RUB,Гостевой дом расположен в Дилижане. Гостевой дом обеспечен всеми комунальными удобствами. Постоянная горячая и холодная вода. Просторная гостиная совмещенная с кухней. 3 спальня. Есть система отопления (Baxi) Доступен на длительный срок.Translated from Armenian,Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/17975490
House,Stone,180 sq.m.,2,5,1,Available,3 or more spots,Euro Renovation,1000 sq.m.,8+,Yes,No,By Agreement,By Agreement,"Orjonikidze Street, Dilijan station","5,000 ֏ daily",AMD,"ԱՄԱՆՈՐԻ ՀԱՄԱՐ ՏՈՒՆԸ ԶԲԱՂՎԱԾ Է։Տրվում է վարձով տուն Թախտա թաղամասում, Օրջոնիկիձե փողոց:1 անձը5000 դրամ:Տունն ապահովված է կոմունալ բոլոր հարմարություններով, զանգահարել նշված հեռախոսահամարներովԵլքը՝ մինչև 12,00, մուտքը՝ 13,00-ից հետո:Сдается полностью дом. В доме 5 комнат, 4 спальни и 1большая гостиная и санузел. Он обеспечен всеми коммунальными удобствами, системой отопления Baxi, есть wi-fi. Также есть парковка. За подробностями звоните по указанному телефону. Заезд в 14.00 выезд в 12.00.В случае любого гостья вы должны заплатить дополнительно.",Nov-24-2022_23-00,"TElevision, internet, air conditioner, swimming pool, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, washing machine, drying machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/17303262
Country House,Stone,80 sq.m.,1,3,1,By agreement,3 or more spots,Euro Renovation,500 sq.m.,3,Yes,No,By Agreement,By Agreement,"Kamo Street, Dilijan","40,000 ֏ daily",AMD,"House in DilijanWiFi:TV:Baxsi systemHygiene suppliesDishPavilion:MangalIntended for 5-7 personsFor details, call the specified tel. You can also call with the code 077, 098Also available by the month (long term)To get acquainted with the New Year's price list, please call or write via vayber, watcap to the indicated phone numberTranslated from Armenian",Nov-24-2022_23-00,,,,,,,,https://list.am/en/item/16648149
House,Stone,444 sq.m.,2,6,3+,Available,2 spots,Euro Renovation,,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"The second floor of a private house is for daily rent, with a separate entrance, all utilities, surrounded by nature. Along with the house, all the necessary accessories are also provided: Dishes, linens, kitchen appliances, TV and of course internet. In short, a great environment to enjoy your vacation. The house is designed is for 12-15 people, you can enjoy your family and friends vacation right here. Hurry up and enjoy the cool autumn evenings by the bonfire. The house is in nature surrounded by trees, and from the open balcony there is a view of Dimats mountain. We will also provide it in case of long-term wish. Hurry up to make a reservation for the New Year as well. December 31_5 by paying only 350,000 drams.Translated from Armenian",Nov-24-2022_23-00,"TElevision, internet, barbecue oven, gazebo","FRidge, stove, coffee maker, washing machine, water heater, iron",,,,,,https://list.am/en/item/17653458
