Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Retail Space,Stone,80 sq.m.,,,,,"Nairyan Street, Sevan town","$58,000",USD,"The first line on the central street in Xi'an is for sale. Nairyan street. Newly renovated, has a basement, a garage with its own plot, security cameras, long-term rent, exchange with a car for an additional fee.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17123261
Multifunctional Space,Stone,1300 sq.m.,,,,,Gegharkunik › Sevan,"$350,000",USD,Продается многофункциональное здание на берегу озера Севан. Территория полностью огорожена. Большой пляж. Здание 1300 кв. М. Территория 1.5 га.Также возможен обмен на недвижимость в Ереване.,Nov-24-2022_21-58,,https://list.am/en/item/17192791
Everything Else,Stone,1050 sq.m.,,,,,Gegharkunik › Sevan,"$70,000",USD,"Q. With this (service) resurrection. The land is 1050 square meters, one building is 126 square meters on 9 ""14, the other is 108 square meters on 6"" 18 square meters...: Negotiable!Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/16650974
Functioning Business,Stone,720 sq.m.,,,,,"Улица Наирян 175, Севан","$145,000",USD,"The poultry farm is an operating business, the poultry farm is designed for 5,000 floor-keeping chickens, which ensures the production of homemade eggs, the chickens have the opportunity to go outside, the plot of 14,000 square meters is completely fenced, there are 900 fruit trees on the plot, the poultry farm is equipped with European equipment, automated, feeding, water, ventilation system, heat supply, there is a 120 square meter factory of concentrated fodder with the necessary high-quality equipmentTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/18004766
Office Space,Stone,145 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Սայաթ Նովայի փողոց 12, Սայաթ-Նովա","34,000,000 ֏",AMD,"An office space is burning in the city of Sevan, there is also a basement on the 1st floor of a two-story building, fully renovated. It used to serve as a bank branch, the area is 145 square metersTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/18219328
Restaurant,Stone,390 sq.m.,,,,,"Yerevanyan highway, Սևան","$400,000",USD,"Սևանի ափին, ամենաբանուկ ավտոմայրուղուն կից, 0,8 հեկտար հողատարածքով այս շինությունը ձեր լավագույն ներդրումը կարող է լինել: Նախագծով նախատեսված հյուրանոցի և ռեստորանի կառուցումից հետո այն կդառնա հայաստանի լավագույն հանգստավայրը:This may be your most efficient investment!0.8 hectares of land next to the busiest highway on the shores of Lake Sevan. After the construction of the hotel and restaurant according to the project plan, it will become the best resort in Armenia.Это может стать Вашим самым эффективным вложением!0.8 га земли рядом с самой оживленной трассой на берегу озера Севан. После строительства гостиницы и ресторана согласно плану проекта, оно станет лучшим курортом Армении.",Nov-24-2022_21-58,,https://list.am/en/item/9338162
Agricultural Space,Panels,638 sq.m.,Not available,Not available,Other,Separate from the Courtyard,Gegharkunik › Vaghashen,"18,108,360 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Gegharkunik region, village Administrative building in Vaghashen, 637.6 sq. M., cattle barn - 1,234.6 sq. M., the land is 0.1716 ha, one-storey panel building, part of the roof is made of tin, part of it is without roof and tuff stone building, two-storey, the second floor is without roof.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17985138
Everything Else,Stone,"12,000 sq.m.",,,,,"Lchap-Norashen highway, Tsovazard","$160,000",USD,"Lchashen community,(The location of the property is indicated in the pictures)Ready-made cabins without interior work,20 pcs.Buildings - 1280m2,There is three-phase current,It is a great option to serve as a beach,The period of operation until 2033,however, it can be extended by signing a contract with ""Sevan National Park"" SNOC.PRICE is negotiable.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17673225
Agricultural Space,Stone,"10,000 sq.m.",,,,,"Վարդենիսի փողոց, Տորֆավան","$185,000",USD,"Existing business land. 10 hectares. The land is located on the bank of Masrik river, it is possible to cultivate everything. The soil is of high quality (slippery, peat) It has an irrigation system (about 5-6 km of 6-inch iron pipes, a separate power plant, a transformer, 2 pumps of 55 kW. Drainage system. Potatoes and grain have been cultivated before. It has a guard post and a storage of 12x12 meters.The price includes equipment for potato cultivation: Cover, sprayer, etc. If processed well, the mentioned price can be removed in 2-3 years.ONLY REAL BUYERS CALL!NOT FOR RENT!10 hectaresTranslated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17602773
Retail Space,Stone,125 sq.m.,,,,,Gegharkunik › Geghamasar,"$60,000",USD,"An operating grocery store with an area of 55 square meters is for sale, there is an unfinished residential house with an area of 70 square meters. In front of the existing store there is a gas station on the side of the road. For details you can write the mentioned vaiber or whatsap.Translated from Armenian",Nov-24-2022_21-58,,https://list.am/en/item/17735422
Retail Space,Stone,70 sq.m.,,,,,"Nalbandyan street, Sevan town","15,000,000 ֏",AMD,"Помещение находится на улице Налбандяна -45, на первом этаже пятиэтажного каменного жилого дома: Торговый зал -55, офис -10, санузел -2, склад -3, фасад -15 м, смотрит на юг...",Nov-24-2022_21-58,,https://list.am/en/item/14243205
Warehouse,Stone,94 sq.m.,Not available,Not available,First Line,Separate from the Street,Gegharkunik › Gavar,"$9,000",USD,"A plot of land in the city of Gavar is for sale. With a total area of 94 square meters, on the first floor of the 2nd building of the 2nd cul-de-sac of Azatutyan, with a separate entrance, it has an iron door. It is suitable for both apartment and commercial premises. Unrepaired.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18691057
Everything Else,Cassette,6 sq.m.,,,,,Gegharkunik › Chambarak,"600,000 ֏",AMD,"Euro Pavilion,Dimensions: 180*320 cm, height 200 cm.Used as a draft beer station,For more information call:Booth, Kiosk, Pavilion, DomeTranslated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18393376
Retail Space,Stone,50 sq.m.,Not available,Not available,First Line,Common from the Street,"Nalbandyan street, Sevan town","14,000,000 ֏",AMD,Commercial space for sale.Translated from Armenian,Dec-15-2022_21-16,Outdoor parking,https://list.am/en/item/16781834
Functioning Business,Stone,100 sq.m.,,,,,Gegharkunik › Sevan,"$65,000",USD,"Urgent sale in the center of Sevan city. Two separate entrances, it is possible to make 2 shops, it also has a rest room and 2 bathrooms. Be very quick. Negotiable. Only real buyers should callTranslated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18519893
Functioning Business,Stone,818 sq.m.,Available,Not available,First Line,Separate from the Street,Gegharkunik › Chambarak,"13,500,000 ֏",AMD,"We are urgently selling a one-story country house in a park village with all utilities, if desired, we will leave the entire property to the beloved buyer.This country house is a ready-made business plan for operating a ""GUESTHOUSE"". For viewing or other questions, you can call the specified number at any time of the day.Translated from Armenian",Dec-15-2022_21-16,"Outdoor parking, covered parking, garage",https://list.am/en/item/18669592
Functioning Business,Cassette,35 sq.m.,Not available,Available,First Line,Common from the Street,"Գայի փողոց 81, Գագարին","$8,000",USD,"The cover is for sale with everything in aluminum letters. With honor. The sheet metal cover is in new condition. For details, call HurryupTranslated from Armenian",Dec-15-2022_21-16,Outdoor parking,https://list.am/en/item/18688708
Hotel,Panels,2500 sq.m.,Not available,Not available,Other,Common from the Courtyard,"Sevani street, Yerevan","$2,800,000",USD,"A 4-storey hotel complex is for sale. On the shore of Lake Sevan, it has all utilities. It has its own beach. A spacious yard.The complete buildings are ready, the works inside are unfinished.Separate buildings:Guard houselaundry roomthe boiler houseI will listen to offers for possible exchange.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18378329
Multifunctional Space,Stone,500 sq.m.,,,,,"Նաիրյան փողոց 1, Սևան","$50,000",USD,"Վաճառվում է կոմեռցիոն տարածք Սևան քաղաքի ամենաբանուկ հատվածումՆախկին զիմ զավոդի հարևանությամբ ՝ քաղաքապետարանի հարևանությամբՀարմար է ցանկացած բիզնես գործունեության համար ՝Գինը պայմանագրային ։Հարցերի և առաչարկների համար զանգահարեք շատ շտապCommercial space for sale in the busiest part of Sevan cityNext to the former winter factorySuitable for any business activityThe price is negotiable.For questions and comments, call at your earliest convenienceПродается коммерческое помещение в оживленной части города СеванРядом с бывшим зимним заводомПодходит для любой коммерческой деятельностиЦена договорная.По вопросам и комментариям звоните в ближайшее время",Dec-15-2022_21-16,,https://list.am/en/item/18526244
Building,Stone,465 sq.m.,Not available,Not available,First Line,Separate from the Street,Gegharkunik › Shoghakat,"$49,700",USD,"The property is located in the central part of Shorzha, right next to the park, suitable for building a guest house and carrying out various activities, the roof is completely newly renovated.The distance from Lake Sevan is 300 meters.Translated from Armenian",Dec-15-2022_21-16,Outdoor parking,https://list.am/en/item/18416818
Everything Else,Stone,132 sq.m.,Not available,Not available,First Line,Common from the Street,"Улица Наирян, Севан","$12,800",USD,"На 2 этаже, 132 кв. МНаиряна 62,улица.Уместен Торг.",Dec-15-2022_21-16,,https://list.am/en/item/18399956
Multifunctional Space,Stone,85 sq.m.,,,,,"Nairyan Street, Sevan town","$42,000",USD,"A commercial space is for sale on the 1st floor of a 5-story stone building, which is located in the square (garage) district, right next to the church. Available: Gas, water, electricity. It also has a back entrance, a bathroom.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18416500
Retail Space,Stone,100 sq.m.,By agreement,Not available,First Line,Common from the Street,"Դեմիրճյան փողոց 4/3, Սևան","$64,000",USD,"A commercial space is for sale URGENTLY in the center of Sevan city.It has two separate entrances and can be converted into two separate shops. It also has a lounge and two bathrooms. Partial sale is also possible.Negotiable, ONLY real buyers call.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18712983
Retail Space,Stone,327 sq.m.,Not available,Not available,First Line,Common from the Street,Gegharkunik › Sevan,"$70,000",USD,"Urgent! Commercial area Located in the city of Sean, 327 square meters, European windows, high ceilings. There is Luys, Water, gas pipe nearby: 110 sq. M. Renovated, there is a car spare parts shop. 3 separate entrances, which allows you to divide into parts and carry out a separate business in each part. Gas station, car wash, khodovik, vulcanization are nearby. Great place to do business in the automotive industry. Price is negotiableTranslated from Armenian",Dec-15-2022_21-16,Outdoor parking,https://list.am/en/item/17524963
Retail Space,Stone,9 sq.m.,,,,,Gegharkunik › Sevan,"$27,000",USD,Находиться в самом центре города Севана. Удобно для любого бизнеса. Очень хорошое место. Улица Горцаранаин2/64,Dec-15-2022_21-16,,https://list.am/en/item/18468750
Retail Space,Stone,220 sq.m.,Available,Not available,First Line,Common from the Street,"Սայաթ Նովա փողոց, Սևան","$85,000",USD,"A building is for sale in the city of Sevan, on the first line, in the central part. For detailed information, call the indicated phone number.Translated from Armenian",Dec-15-2022_21-16,Outdoor parking,https://list.am/en/item/18652966
Everything Else,Cassette,10 sq.m.,,,,,Gegharkunik › Sevan,"450,000 ֏",AMD,Կոֆեյի բուտկա կոֆե շոփ շարժական,Dec-15-2022_21-16,,https://list.am/en/item/17036662
Restaurant,Stone,144 sq.m.,,,,,Gegharkunik › Martuni,"$120,000",USD,"Cafe for sale, 144 sq. M. , in Martuni, near the bus station and the Martuni-Vardenis road.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18396784
Industrial and Manufacturing,Stone,2200 sq.m.,,,,,Gegharkunik › Gavar,"7,298,460 ֏",AMD,"The property is the collateral of the Bank, which is in the Bankruptcy auction.Gegharkunik region, village Noratus, Hovhannes Shiraz str. Grain warehouse at 45, 309.5 / 271.2 sq. M., the land is 022 hectares, there is electricity.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/15637193
Functioning Business,Stone,70 sq.m.,,,,,"Nairyan Street, Sevan town","$50,000",USD,"A space for sale or rent (as a dental clinic) at 165/28 Nairyan Street, Sevan Municipality, has all utilities, is currently being operated as a dental clinic, there is a license for the space, call for details.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18563560
Office Space,Stone,144 sq.m.,,,,,"Sayat Nova street, Sevan town","33,000,000 ֏",AMD,"The plot is located on the first floor of a two-story building, there is also a basement floor, completely renovated, the total area is 144.06 m2.Previously used as a bank branch, it is also suitable for use as an office or other similar activities.Translated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18554288
Multifunctional Space,Stone,1300 sq.m.,,,,,"Khaghagutyan street 1, Sevan town","93,000,000 ֏",AMD,"4 buildings, 3 buildings have two floors, one has 1 floor, the total area is 1300 square meters, and the land area is 4460 square meters, the buildings were built in 1987. Gas, water, electricity are available, it can be used for workshop, hotel, apartments, for other questions you can callTranslated from Armenian",Dec-15-2022_21-16,,https://list.am/en/item/18548275
Hotel,Monolith,"20,000 sq.m.",,,,,Gegharkunik › Sevan,"$2,800,000",USD,"Продаётся дом отдыха на берегу озера Севан. 5 га собственной земли с собственным пирсом и 1 га в долгосрочной аренде. З здания, общей площадью 20 тыс кв метров. Требуется ремонт или реконструкция. Возможно реконструкция под апартаменты и зону отдыха!Звонить с 12:00 по 22:00",Dec-15-2022_21-16,,https://list.am/en/item/18500863
Multifunctional Space,Stone,5500 sq.m.,,,,,Gegharkunik › Martuni,"$110,000",USD,"Помещения 500м23 каменых биседкиСобственная подстанцияГаз, Вода, отопленияЗемля 50 сотокТорг реальному покупателюОбмен на квартиру в Ереване с вашей доплатойТак же росмотрю долгосрочную аренду!",Dec-15-2022_21-16,,https://list.am/en/item/18481241
Industrial and Manufacturing,Stone,3000 sq.m.,,,,,Gegharkunik › Gavar,"$180,000",USD,Трех этажный каменный дом с цокольным этажом всекоммуникации звоните...,Dec-15-2022_21-16,,https://list.am/en/item/18479680
