Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Links,The House Has,Parking,Appliances,Window Views
Monolith,Yes,Available,20,60 sq.m.,2,1,from 3 m,14,Open balcony,No Renovation,"Chavchavadze street, Vanadzor","$135,000",USD,"Продаётся квартира в Новостройке в БАТУМИ, рядом с морем,60,4кв/мэтаж-14 /20дом уже готов в феврале можно получить права собственностьиоплата можно в начале 30% потом до февраля 70%.Идеальные условия,белый каркас под малярку,стяжка, водопровод, канализациа, электричество, входная дверьв доме есть паркинг,на первом этаже- супермаркет; ресторан-кафена 20-ом этаже фитнес-бассейн + парная для жителей домаДля вопросов пишите или звоните",Dec-15-2022_22-57,Not available,https://list.am/en/item/14252969,,,,
Monolith,Yes,Available,5,25 sq.m.,1,1,from 2.7 m,2,Closed balcony,Euro Renovation,International › Russia,"$60,000",USD,"A newly built apartment in the city of Krasnodar with all the property and equipment is for urgent sale. Panorama, stained glass windows, for sale with the whole property. The house is newly renovated and the walls and ceiling are completely soundproofed, which is very important in Russia. The building was built in 2018. Everything is done very thoroughly. The entire property is new and under warranty! Dear compatriots, I will also exchange for an apartment in Yerevan, preferably in a small center or in the community of Erebuni, but please, a similar price and not a bombed-out house. The house is located at 91 Leonida Lavrova street, Krasnodar. Oz moli is very close, 3 minutes by car. I will deal with buying and selling issues.I will exchange Krasnodar very urgentlyTranslated from Armenian",Dec-15-2022_22-57,Available,https://list.am/en/item/18612200,"Intercom entry, concierge, playground",Outdoor parking,"Fridge, stove, washing machine","Yard view, street view, city view"
Panels,Yes,Available,14,50 sq.m.,2,1,from 2.6 m,6,Open balcony,No Renovation,International › Georgia,"$52,000",USD,"Квартира находится в Батуми. Новая линия, 100 метров от моря. Рядом есть парк, казино и супермаркеты. Есть видео, при необходимости могу скинуть. Дом до конца года должен быть сдан в эксплуатацию. В квартире, по проекту белый каркас.",Dec-15-2022_22-57,Not available,https://list.am/en/item/18585341,,,,
Monolith,Yes,Not available,3,37 sq.m.,1,1,from 2.7 m,3,Closed balcony,Cosmetic Renovation,International › Russia,"5,350,000 ₽",RUB,I am selling a 1-room apartment in Moscow.Translated from Armenian,Dec-15-2022_22-57,Available,https://list.am/en/item/18487380,,,,
Monolith,Yes,Available,14,37 sq.m.,1,1,from 2.8 m,10,Closed balcony,Euro Renovation,International › Russia,"$90,000",USD,It is an apartment with a very convenient location. Exchange for an apartment or own house in YerevanВИДНОЕ. MOSCOW.Translated from Armenian,Dec-15-2022_22-57,Available,https://list.am/en/item/18475064,,,,
Monolith,Yes,Available,23,50 sq.m.,3,1,from 3 m,4,Open balcony,Designer Renovation,International › Georgia,"$100,000",USD,"For sale or rent (long-term contract only) apartment in Batumi on Kobaladze street, 3 rooms, 50 square meters with all the property renovated with designer solutions, the distance from the sea is 150 meters, an elite building has high-quality service (without tax payment) 4 elevators on the 4th floor of 23 floors, located in the city Aqua bag in the heart.Translated from Armenian",Dec-15-2022_22-57,,https://list.am/en/item/18532605,,,,
Bricks,Yes,Available,8,61 sq.m.,2,1,from 2.75 m,4,Multiple balconies,Euro Renovation,International › Russia,"5,500,000 ₽",RUB,"Продается 2-х комнатная квартира в России, в г. КРАСНОДАРЕ на 4-ом этаже 8-и этажного дома. Есть ремонт, частично мебелирован, 3 кондиционера, центральное отопление, закрытые бальконы с обеих сторон дома. Светлая, хорошая, уютная квартира. Монолитно-кирпичный дом от надежного застройщика. Все центральные коммуникации, лифт. В 5 минуты пешком ЛЕНТА, рядом остановка общественного транспорта, школа.ВОЗМОЖНО ОБМЕНА С ОТРЕМОНТИРОВАННОЙ ХОРОШЕЙ КВАРТИРОЙ В г. ЕРЕВАНЕ.",Dec-15-2022_22-57,Available,https://list.am/en/item/18673796,"Intercom entry, playground",Covered parking,"Air conditioner, fridge, stove",Yard view
Monolith,Yes,Available,16,85 sq.m.,3,2,from 2.8 m,3,Closed balcony,Designer Renovation,International › Russia,"15,000,000 ₽",RUB,"Apartment for sale in Moscow, city Видное.Translated from Armenian",Dec-15-2022_22-57,Available,https://list.am/en/item/18713158,"Intercom entry, concierge, playground",Outdoor parking,"Air conditioner, fridge, stove, dishwasher, washing machine","Yard view, street view"
Bricks,Yes,Available,10,30 sq.m.,1,1,from 2.8 m,2,Closed balcony,Major Renovation,International › Russia,"3,450,000 ₽",RUB,"Шикарная квартира с дорогим ремонтом.Дом кирпичный 2018 года постройки.Квартира студия площадью 30,4 кв. М.К квартире выполнен ремонт качественными дорогими отделочными материалами:В комнате: Ламинат + кафель (полы с подогревом), многоуровневый потолок со встроенными светильниками, в центре эксклюзивная люстра выполненная под заказ, мебель (входит в стоимость)С. У.: Кафель Kerama Marazzi, дорогая дверь с витражом.Качественная железная входная дверь.Окна пластик.В квартире остается практически вся.Торг возможен после просмотра.",Dec-15-2022_22-57,Available,https://list.am/en/item/18651599,"Intercom entry, playground",Outdoor parking,"Air conditioner, fridge, stove",Street view
Monolith,No,Available,8,96 sq.m.,4,1,from 2.7 m,2,Open balcony,Partial Renovation,International › Russia,"11,900,000 ₽",RUB,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Московское ш. , 262к3Срочно.Продаём отличную просторную 4х к. Квартиру: 3 изолированные комнаты (14, 16 и 18 кв. М), огромная гостиная 30 кв. М. (увеличили коридор за счет перемещения перегородки от комнаты) Кухня 15м. В квартире выполнена предчистовая отделка (выровнены все стены под маяки), сделаны ванная комната и туалет. Остались только косметические работы. Закуплены новые двери (есть на фото), новая сантехника (пока не установлена) Есть неиспользованные стройматериалы. Можем оставить. Также есть мебель, шкафы, детская, кухня, что то б. У, что то абсолютно новое (можем дополнительно продать по заранее согласованной цене) Собственник 1 (юр. Лицо) Прописаннных нет. Никаких обременений. Прямая продажа. Любые сертификаты субсидии и другие программы приобретения жилья. Квартира уникальная. Такой планировки больше нет, она единственная такая во всем жилом комплексе. Малоэтажный дом, что сейчас редкость. Район развит, есть абсолютно все для прекрасной жизни. Любые магазины, детские сады, школа с бассейном, развивающий детский центр, огромное количество детских площадок. Рядом Колпино Пушкин Павловск, парки для семейных прогулок аэропорт, станции метро Звёздная Купчино, Шушары. Агентов не беспокоить. Все вопросы по сделке пока только в сообщениях.",Dec-15-2022_22-57,Available,https://list.am/en/item/18541703,,,,
Monolith,Yes,Available,32+,30 sq.m.,1,1,from 3 m,32+,Open balcony,Major Renovation,International › Georgia,"$95,000",USD,"Продается квартира бизнес-класса с видом на море и на город в Батуми, Грузия. Жилой и гостиничный комплекс Alliance Palace Courtyard by Marriott от компании застройщика Alliance Group Batumi. Sherif Khimshiashvili street 5. В жилом и гостиничном комплексе есть круглосуточная стойка регистрации (ресепшен), крытый бассейн, ресторан, казино и спа-комплекс. Квартира общей площадью 30.1 квадратных метра, расположенная на 33 этаже. В квартире выполнен качественный ремонт. Установлена качественная мебель и бытовая техника. Дом расположен рядом с Домом Юстиции Грузии. Через дорогу расположены рестораны Sunset Batumi и Украиночка. Неподалеку расположен МакДональдс Батуми и Батуми Молл. Набережная Батуми с танцующими фонтанами в шаговой доступности. Рядом остановка общественного транспорта.",Dec-15-2022_22-57,Available,https://list.am/en/item/18668953,,,"Air conditioner, fridge, stove, washing machine",
Monolith,Yes,Available,12,33 sq.m.,1,1,from 2.7 m,9,Open balcony,Euro Renovation,International › Georgia,"$38,000",USD,"1-room apartment in Batumi, Euro-renovated - located in the city of Batumi, Georgia - on the 4th floor of a 180-story buildingTranslated from Armenian",Dec-15-2022_22-57,Available,https://list.am/en/item/18364808,,,,
Bricks,Yes,Available,13,29 sq.m.,1,1,from 2.8 m,3,Open balcony,No Renovation,International › Russia,"$215,000",USD,"Продам квариру бизнес класса с видом на парк в центре города Сочи!Планировка свободная, материал стен монолит-кирпич. Цена ниже застройщика на 20 000$",Dec-15-2022_22-57,,https://list.am/en/item/18088875,,,,
Monolith,Yes,Available,10,42 sq.m.,1,1,from 2.8 m,7,Closed balcony,Euro Renovation,International › Russia,"$66,500",USD,"FOR SALE or EXCHANGE (with a 2-room apartment in Yerevan) a new 1-room apartment in the ""Incity Park"" residential complex (address: Г. Краснодар, Командорская ул.) With a very comfortable design, a spacious room, a large glazed and isolated balcony. Modern renovation. The vicinity of the building is landscaped, there are indoor children's playgrounds for your child. Passenger and freight elevators are available. In the area there is an alley with a fountain, in the yard there are also sports playgrounds, barbecue grill and pavilions (беседка) There is always a place for a car, even in the evening. The area is actively developing, there are public transport stops, shops near the building. Galitsky Park is 10 minutes away by car.Those interested can call the phone number indicated for photos of the house.Translated from Armenian",Dec-15-2022_22-57,Available,https://list.am/en/item/18612119,"Intercom entry, playground",Outdoor parking,"Air conditioner, fridge, stove, washing machine",Yard view
Monolith,Yes,Available,12,50 sq.m.,2,1,from 2.8 m,11,Closed balcony,Major Renovation,International › Russia,"6,500,000 ₽",RUB,"Փոխանակվում է 1 սենյականոց բնակարան Երևանում գտնվող բնակարանի հետ:Ընդհանուր մակերեսը` 50 քմ:Գտնվում է 12 հարկանի շենքի 11-րդ հարկում:Բնակարանը տեղակայված է «Высокие Жаворонки» միկրոշրջանում:Հասցե` Մոսկովյան շրջան, 11-րդ քաղաքային մաս, գյուղ Малые Вязёмы, շենք 4:Շենքի շքամուտքում տեղադրված է դոմոֆոն: Նախասրահում կա մանկասալյակի համար հատկացված տարածք և դռնպահի (консьерж) սենյակ:2 վերելակ` Մարդատար և բեռնատար:Շենքը հագեցած է կենտրոնական ջեռուցմամբ: Ունի ջուր, էլեկտրականություն, կոյուղի, ինչպես նաև աղբատար խողովակ, օդափոխման և հակահրդեհային համակարգ:Обменяется 1-комнатная квартиры на квартиру в Ереване.Общая площадь: 50 квадратных метров.Расположена на 11 этаже 12-этажного дома.Квартира находится в микрорайоне ""Высокие Жаворонки"".Адрес: Московская область, 11-й городской округ, д. Малые Вяземы, д. 4.На крыльце дома установлен домофон. В вестибюле есть колясочная и комната консьержа.2 лифта: Пассажирский и грузовой.Инженерные коммуникации центральные:Электроснабжение, водоснабжение, канализация, отопление, а также мусоропровод, система пожаротушения вентиляции.",Dec-15-2022_22-57,Not available,https://list.am/en/item/18585736,Intercom entry,,,
Monolith,Yes,Available,32+,33 sq.m.,1,1,from 3 m,32+,Open balcony,Euro Renovation,International › Georgia,"$51,500",USD,"ОписаниеАпартаменты с очаровательным видом на море. Комплекс «ORBI City» расположен в лучших локациях города.Квартира находится на 47 этаже, блок «С». Из окон апартаментов – вид на море. Квартира с евроремонтом, полностью обустроена мебелью и техникой (холодильник, кондиционер, телевизор, кабельное TV, интернет) Так же имеется парковка.«ORBI City» - это крупнейший жилой комплекс гостиничного типа. Комплекс расположен на первой линии. Рядом находятся рестораны, кафе, магазины, торговые центры, банк, Батуми Молл, Дом Юстиции, а также главные достопримечательности города поющие фонтаны на озере Ардагани. До бульвара и пляжа 5 минут пешком. «ORBI City» предоставляет сервис охраны и консьержа.«ORBI City» выделяется своей инфраструктурой, которая располагает большим разнообразием объектов для отдыха и развлечений. Инфраструктура «ГОРОД В ГОРОДЕ» включает: Торговый центр с всемирно известными брендами, конгресс-холл, рестораны, бассейны, SPA-центры, детские зоны развлечений, кинотеатры и террасы с видом на море.Информация по квартиреKомнат1Общая площадь33.00 кв. М + 8 m. BaлkoнРемонт под ключСанузелсовмещённыйЭтаж / Этажей:47 / 47Место парковк иестьЛифт естьСигнализация естьОхрана естьТип домановостройкаГод постройки дома2019Расстояние до моря~280 мВ квартире пока еще никто не жил.",Dec-15-2022_22-57,,https://list.am/en/item/18558174,,,,
Bricks,No,Available,9,57 sq.m.,3,1,from 2.8 m,9,Closed balcony,Designer Renovation,"Northern Avenue, Yerevan","$180,000",USD,"3 комнатная квартира в Москве.В монолитно кирпичном здание.Открытие новой станции метро напротив дома, в этом году.Возможен обмен на недвижимость в Ереване.Хороший ремонт, свежие фотографии.Сдана в аренду за 65.000 рублей.Установлены, 3 ех слойные стеклопакеты, сигнализация, теплый пол везде где каменный пол. Тамбур, скандинавская кухня ручной работы.В доме достойные соседи.Район с супер развитой инфрастуктурой.Хороший вид из окон, в сторону улицы и двора.На десятом этаже находится тех, этаж, возможна привотизация в дальнейшем!",Dec-15-2022_22-57,,https://list.am/en/item/17464593,,,,
Bricks,Yes,Available,8,44 sq.m.,1,1,from 2.8 m,4,Closed balcony,Designer Renovation,International › Russia,"4,800,000 ₽",RUB,"Квартира находится в городе Ставрополь, в элитном закрытом охраняемом жилом комплексе - ЖК Суворов. Внутри двора детская площадка, рядом с жк есть детский сад и школа.Квартира после ремонта, никто в ней не жил. В ней есть индивидуальное отопление, необходимая новая техника и мебель.Меняю на квартиру в Ереване. Землю не рассматриваю.",Dec-15-2022_22-57,,https://list.am/en/item/18543082,,,,
