Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Parking,Appliances,Window Views,The House Has,Links
Panels,No,Available,9,67 sq.m.,2,1,from 3 m,9,Closed balcony,Cosmetic Renovation,"Ձորք թաղամաս 9, Կապան","$23,000",USD,"A 2-room apartment in Dzork district is for sale URGENTLY: 9/33. Partially renovated, with European windows, gasified. The price is $23,000.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17783994
Stone,No,Not available,5,80 sq.m.,3,1,from 3 m,1,Closed balcony,Cosmetic Renovation,"Syuniq street 130, Goris","$41,000",USD,"3 rooms. Apartment. It is sunny. It is a very warm house. It has all the comforts. It is a closed balcony which also serves as a bedroom. 2 rooms are currently habitable, the other 1 room has a separate entrance and works as a hairdressing salon in which there is a hot and cold water. Suitable for various businesses. Has many possibilities.The apartment has 2 basements, big and small. There are supermarkets, schools, kindergartens in the neighborhood.URGENT, the rest of the questions by calling.Translated from Armenian",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/17186538
Stone,No,Not available,5,60 sq.m.,2,1,from 2.75 m,3,Multiple balconies,Cosmetic Renovation,"Լեռնագործների փողոց 15, Քաջարան","25,000,000 ֏",AMD,"URGENT:The house is located in the center of the city (in the heart) on Lernavostirneri street, in front of the house of culture (club), near the school, kindergarten, fountain.There is a pharmacy, a shop, a bank under the building.The building is insulated, the roof is repaired, the entrance (padezd) is repaired, the external walls (with penoplex) are heat-sound insulated and decorated (warm in winter, breezy in summer, also muffles sound)The location of the house is very good, facing the sun (sunrise-sunset)The house has open and closed balconies with beautiful views.The house has 2 rooms, but it is possible to add 1 more room.""It's a lucky HOME"".For more information call.Thank you.Translated from Armenian",Nov-25-2022_14-05,Available,OUtdoor parking,,,PLayground,https://list.am/en/item/18005778
Stone,Yes,Not available,1,150 sq.m.,3,1,from 2.5 m,1,Closed balcony,Major Renovation,Syunik › Sisian,"$28,000",USD,Call for detailsTranslated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/16557964
Stone,No,Not available,4,64 sq.m.,2,1,from 3 m,3,Multiple balconies,Cosmetic Renovation,Syunik › Kapan,"$55,000",USD,"A two-room apartment is for sale at Shahumyan 2 (building 48) The ceiling height is 3m. It has an open and closed balcony. The closed balcony can be used as a3rd room.! For rent, not for daily rent.It will be negotiated after the real buyer sees the apartment.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16614226
Stone,No,Not available,3,44 sq.m.,2,1,from 2.8 m,3,Open balcony,Cosmetic Renovation,Syunik › Agarak,"$15,000",USD,"The apartment is for sale by the owner, the pipes have been changed, a geyser has been installed. The apartment is located in the center, close to the school, the kindergarten and other necessary public places. It is possible in the program.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17550090
Stone,No,Not available,5,45 sq.m.,1,1,from 2.75 m,5,Closed balcony,No Renovation,"Սպանդարյան փողոց 82, Սիսիան","$10,000",USD,"The apartment has a built-in bedroom (with a separate window and door) Not gasified, but many apartments in the entrance are gasified. It is located in Near 2 kindergartens.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18064654
Stone,No,Not available,3,47 sq.m.,2,1,from 2.5 m,3,Closed balcony,Euro Renovation,Syunik › Sisian,"$20,000",USD,Apartment for sale in the city center; The apartment is completely renovated. It has a BAXI heating system. The apartment can be sold together with the property for an additional feeTranslated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18376085
Stone,No,Not available,3,28 sq.m.,1,1,from 3.5 m,1,Multiple balconies,Euro Renovation,Syunik › Sisian,"5,000,000 ֏",AMD,An apartment in Syunik is for sale urgently.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/14019854
Stone,No,Not available,4,3800 sq.m.,1,1,from 2.75 m,3,Multiple balconies,Partial Renovation,"Գայի փողոց 1, Քաջարան","$11,500",USD,"1-room apartment for sale in Syunik region, call Kajaran Khanjyan 10, 41 apartment for details. URGENTTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17723065
Panels,No,Available,9,100 sq.m.,3,1,from 2.8 m,4,Open balcony,Major Renovation,"Ստեփանյան փողոց 12, Կապան","35,000,000 ֏",AMD,The apartment is for sale with propertyThe floor and the ceiling is capitally renovatedTranslated from Armenian,Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/16559357
Stone,No,Not available,5,100 sq.m.,4,1,from 2.75 m,5,Open balcony,Major Renovation,"Ստեփան Շահումյանի փողոց 25, Կապան","$70,000",USD,"The apartment has hot and cold water (baxi system), the floor is parquet, the interior doors are wooden, the entrance door is iron. There are water yards, 3 storage rooms. If desired, it will be sold together with furniture and equipment for an additional fee.Kindergarten, school, shops, banks are nearby, it is next to Tashir pizza.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/16702242
Stone,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Not available,Cosmetic Renovation,Syunik › Goris,"$38,000",USD,"The apartment is located in Sal Kar district, on the 5th floor of a 5-story building. Number of rooms from 3 to 4. The apartment is renovated. It is a sunny, warm apartment. There is a storage room in the hallway. The roof is in good condition.Translated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/18055025
Panels,No,Available,9,70 sq.m.,2,1,from 2.8 m,4,Closed balcony,Old Renovation,Syunik › Kapan,"$35,000",USD,"The apartment is in good condition, 2 rooms - 3 rooms. Davit-Bek districtTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16858211
Panels,No,Not available,4,60 sq.m.,2,1,from 2.75 m,3,Open balcony,Cosmetic Renovation,"Ստեփան Շահումյանի փողոց 61, Սիսիան","$22,000",USD,"Apartment for sale, located in Sisian, address: 72 Shahumyan apt. 5 (8 padies) It has been turned into 2 rooms into 4 rooms.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16944322
Panels,No,Not available,7,32 sq.m.,2,1,from 2.8 m,1,Not available,Major Renovation,Syunik › Goris,"$15,000",USD,"2-room apartment is for sale in a dormitory, on the high 1st floor it has a basement. It is possible to sell without property, capitally renovated, has constant hot and cold water.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16952838
Stone,No,Not available,5,35 sq.m.,2,1,from 2.7 m,2,Closed balcony,No Renovation,Syunik › Goris,"$18,000",USD,"For rent at the momentIt is given, for sale only real buyers call, permanent hot-cold water, gas supply, new water pipes, windows of water production, apart from the apartment, a separate building is provided.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/11258398
Stone,No,Not available,5,68 sq.m.,3,1,from 2.8 m,1,Closed balcony,Old Renovation,"Shahumyan street 31, Kapan","$46,000",USD,"A 3-room apartment on the 1st floor of a 5-story stone building is for sale. The apartment has a heating system, all windows are of European manufacture, the outer door is made of iron. The apartment is sold with the property.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/18336698
Stone,No,Not available,4,50 sq.m.,1,1,from 3 m,4,Open balcony,Major Renovation,Syunik › Goris,"11,000,000 ֏",AMD,"1 room turned into 2, heating system, European windows, open balcony, with furniture and appliances, has a basement. Negotiable.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/16997342
Stone,No,Not available,3,42 sq.m.,1,1,from 2.5 m,2,Open balcony,Partial Renovation,"Getapnya street, Goris","7,000,000 ֏",AMD,"A one-room sunny apartment is for sale in the Getapnya district of Goris. For details, call the indicated phone number.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18180250
Panels,No,Not available,3,75 sq.m.,3,1,from 2.5 m,3,Multiple balconies,Cosmetic Renovation,"Charents street, Agarak","$16,000",USD,There is an open and closed balcony.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17856658
Stone,No,Not available,4,60 sq.m.,3,1,from 2.7 m,1,Open balcony,Euro Renovation,"Ավանգարդ փողոց, Գորիս","$35,000",USD,"The apartment is in perfect condition, it has a basement, there is also 20 square meters of land intended for the construction of a garage. The price is negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18032988
Stone,No,Not available,5,100 sq.m.,4,1,from 2.8 m,2,Open balcony,No Renovation,"Որոտան փողոց 1, Սիսիան","$25,000",USD,"A 4-room apartment is for sale in Sisian. For viewing, call the indicated numberTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18148227
Stone,No,Not available,4,90 sq.m.,4,1,from 2.75 m,2,Open balcony,Euro Renovation,"Charents street, Agarak","20,000,000 ֏",AMD,"Capital, renovated 4-room apartment for sale, has constant hot and cold water, air conditioner, TV, refrigerator, washing machine, fully furnished, open economic balcony, basement. Price with property and appliances 20000000 AMD.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16100591
Panels,No,Not available,5,264 sq.m.,4,3+,from 2.75 m,2,Multiple balconies,Major Renovation,"Shinararneri street, Kapan","$80,000",USD,"Կապանում վաճառվում է 5 հարկանի (Չեխ / պրոեկտ) շենքի՝ 2 հարկում գտնվող 4 սենյականոց (ձևափոխված 3) արևկող բնակարանն (92մ2) ու 1ին հարկում գտնվող կոմերցիոն տարածքը (172մ2) ։Բնակարարանը վերանորոգված է, մանրահատակը և դռները որակյալ փայտից են ։ Բնակարանը ունի երկու բաց պատշգամբ։ Տեղադրված է անհատական ջեռուցման համակարգ։Տան ներքևում՝ 1ին հարկում, կա ավտոտնակ, ընդարձակ կոմերցիոն տարածք, որը կարելի է միացնել բնակարանին՝ կամ օգտագործել տարաբնույթ կոմերցիոն նպատակներով: Բակին կից՝ բնակարանի առջև, ունենք հողամաս (400 մ2), որում առկա է օժանդակ շինություն (30 մ2) ու շատ պտղատու ծառեր։ Բնակարանն առանձին արժե 40000$։",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/10756052
Stone,No,Not available,5,60 sq.m.,2,1,from 2.7 m,1,Closed balcony,Old Renovation,"Улица Сюника 140, Горис","$28,000",USD,Квартира на 1 этаже,Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/17740319
Stone,No,Not available,5,63 sq.m.,2,1,from 2.75 m,4,Open balcony,Euro Renovation,"Улица Воротана 3А/3, Сисиан","$25,000",USD,The apartment is renovated and furnished. It is sold with all the property and equipment.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18333323
Stone,No,Not available,3,50 sq.m.,2,1,from 2.7 m,2,Open balcony,Old Renovation,Syunik › Sisian,"$13,500",USD,"Attention2-room apartment for sale, with an open balcony, from where you can see a beautiful view (Yerevan park)The apartment is located in the riverside district, on Charents street.The apartment is in good condition, gas-fired and sunny.It is also available for rent for AMD 45,000Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18331017
Stone,No,Not available,3,65 sq.m.,3,1,from 2.8 m,1,Closed balcony,Cosmetic Renovation,Syunik › Sisian,"$27,000",USD,"Q ․ A 3-room apartment is for sale in Sisian, at Khanjyan 5/13. Renovated, permanent hot and cold water, gas, shower, closed balcony, entrance from the opposite side of the building. Suitable for a shop, a beauty salon. Price $ 27,000, negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16984422
Stone,No,Not available,5,120 sq.m.,3,1,from 3 m,1,Multiple balconies,Old Renovation,Syunik › Sisian,"$30,000",USD,"Բնակարանը ապահոված է մշտական ջրով, գազ, լույս, եվրոպատուհաններ։ Բարձր է առաջին հարկի համար, ունի նկուղ, բաց և փակ պատշգամբ։ Հարմար է օֆիսների, գեղեցկության սրահի, հագուստի և մթերային խանութների և այլ տիպի տարածքների համար։ Մոտիկ է բոլոր խանութներին, կենտրոնական հատված է, փողոցին կից։Գինը 30 000$' սակարկելի։ Որոտան 4/2",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18141729
Panels,No,Not available,5,64 sq.m.,3,1,from 3 m,4,Closed balcony,Old Renovation,Syunik › Kajaran,"80,000 ֏",AMD,"URGENT!A 3-room apartment for rent near the city of Kajaran. (in Zeiva, aka Barekavan)1st building, 4th floor (penultimate floor) The apartment is in normal condition, the most important thing is that it is sunny.The military service is also close. Call only people who are dutiful (paying on time), clean, and decent.For details, call the indicated phone number, I will gladly answer your questions.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17350774
Panels,Yes,Not available,4,110 sq.m.,4,2,from 3 m,4,Open balcony,Major Renovation,"Garegin Nzhdeh street, Goris","$65,000",USD,"4-room apartment is for sale in Goris, on Sero Khanzadyan 3 (near the university), on the 4th-5th floors of a 4-storey building.The area is 110 square metersCeiling height: 3 mThoroughly reconstructedIndividual heating system, like a water heaterIron entrance doorWindows of European production3 bedroomsLiving room:2 bathroomsOpen balcony with a wonderful view of GorisKitchen3 basementsLand adjacent to the building to build a garageAll the necessary communications are nearby: University, school, kindergarten, shops, entertainment places.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17699295
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,2,Closed balcony,Euro Renovation,"Անկախության փողոց 7/4, Գորիս","$25,000",USD,"Продаётся и 2-ух комнатная квартира. Дом находиться на улице В. Мамиконян дом 164. Վաճառվում է 2 սենյականոց արեվկող բնակարան Գորիս քաղաքում, Վ. Մամիկոնյան 164 շենք. (ԱՏԵԿԱ) : Նոր Կապիտալ վերանորոգված։Baxi:",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17590616
Stone,No,Not available,4,60 sq.m.,3,1,from 2.8 m,1,Closed balcony,Euro Renovation,"Papyan street 15, Kapan","20,000,000 ֏",AMD,"The apartment has a heating system, a basement, it is sold with partial property and equipment, the price is 20000000, in case of vacancy, we will negotiate the price, it is not for rent.Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/17249658
Stone,No,Not available,5,77 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Old Renovation,Syunik › Agarak,"$30,000",USD,"A 3-room apartment on the 5th floor of a 5-story stone building is urgently for sale in AGARAK city / Meghri region. The apartment is in good and clean condition. It has constant hot and cold water (water tank/Ariston/), open and closed balcony, sunny on one side. It has a storage room. There is a very close school, grocery and thrift stores in the area. The apartment is sold together with the entire property. NEGOTIABLE.THE APARTMENT IS ALSO FOR RENT.Translated from Armenian",Nov-25-2022_14-05,Available,OUtdoor parking,"FRidge, stove","YArd view, street view, city view",,https://list.am/en/item/16244253
Stone,No,Not available,5,66 sq.m.,3,1,from 2.75 m,4,Closed balcony,Old Renovation,"Shahumyan street, Kapan","16,000,000 ֏",AMD,The apartment is for sale partly with propertyTranslated from Armenian,Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/17631799
Panels,No,Available,9,98 sq.m.,3,1,from 2.75 m,5,Multiple balconies,Old Renovation,"Դավիթ Բեկ փողոց 10, Կապան","22,000,000 ֏",AMD,"The apartment is sold partially furnished. It has 2 open balconies and 1 closed balcony, facing the sun.You can write or call for details.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18000946
Panels,No,Not available,5,92 sq.m.,4,1,from 2.7 m,5,Multiple balconies,Partial Renovation,Syunik › Sisian,"8,800,000 ֏",AMD,"4-room apartment for sale in Sisian, euro windows, warm, comfortable. URGENT: NEGOTIABLETranslated from Armenian",Nov-25-2022_14-05,By agreement,,,,,https://list.am/en/item/17274495
Panels,No,Available,9,54 sq.m.,2,2,from 2.7 m,3,Closed balcony,Cosmetic Renovation,"Ռաֆայել Մինասյան փողոց 20, Կապան","15,000,000 ֏",AMD,The closed balcony can be used as a3rd room.The apartment has a large pantry.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/16633878
Monolith,No,Available,9,50 sq.m.,2,1,from 2.8 m,2,Open balcony,Major Renovation,Syunik › Kajaran,"10,000,000 ֏",AMD,"Վաճառվում է 2 սենյականոց բնակարան ք. Քաջարանում, Խանջյան 2 հասցեում։Կապիտալ վերանորոգված է, վաճառվում է խոհանոցի կահույքի հետ միասին։Արևկող է, ունի բաց պատշգամբ:",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16194203
Panels,No,Available,9,66 sq.m.,2,1,from 3 m,6,Closed balcony,Cosmetic Renovation,Syunik › Kapan,"$25,000",USD,"Квартира находится по адресу ул. Дзорк, дом 8 на 6 этаже 9 дома. Рядом находится школа. Есть две кладовки. Квартира просторная.",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18200849
Stone,No,Not available,5,50 sq.m.,2,1,from 2.7 m,5,Not available,Cosmetic Renovation,Syunik › Kapan,"$21,500",USD,"Apartment for sale, 1 room turned into 2, Shnararner 15/34, cosmetically renovated, boxy, for sale with partial property. Price is negotiable.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16886543
Panels,No,Available,12,85 sq.m.,3,2,from 2.7 m,11,Multiple balconies,Cosmetic Renovation,"Baghaberd district, Kapan","10,500,000 ֏",AMD,"Վաճառվում է 3 սենյականոց բնակարանՇատ արևկողԸնդարձակՀարմարավետ բնակարանԱնմիջապես կանգառի վերևումԲաղաբերդ 2ա շենքումՆոր է մասնակի կոսմետիկ վերանորոգվել:Продоется 3-комнатная квартираОчень солнечная, просторная, уютная квартира, прямо над автобусной остановкой в доме Багаберда 2аСделан частичный косметический ремонт.3-room apartment for saleVery sunny, spacious, cozy apartment, right above the bus stop station in Baghaberd 2а house.",Nov-25-2022_14-05,,,,,,https://list.am/en/item/14233245
Stone,No,Not available,2,137 sq.m.,4,2,from 2.75 m,2,Multiple balconies,Major Renovation,Syunik › Sisian,"$60,000",USD,"A small residential house (apartment) at Israelyan address is for sale. The apartment building is located in the city center. It is very convenient and can serve as a guest house or as an office where business plans will be implemented. It is sunny. The windows are of European manufacture, the doors have been changed: The entrance door is metal, the staircase is from the inside. Has all utilities.It is also available for rent.For offices: 150,000 dramsindividuals - 100,000 dramsCode B-0002Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18051275
Panels,No,Not available,5,107 sq.m.,4,1,from 2.8 m,3,Multiple balconies,Cosmetic Renovation,Syunik › Meghri,"15,000,000 ֏",AMD,"Apartment for sale in the city of Meghri, in the building of Zoravar Andranik 36 (PMCA)5/3 floor107 square metersNegotiableTranslated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/18013260
Stone,No,Not available,5,60 sq.m.,2,1,from 2.75 m,5,Open balcony,Partial Renovation,"Vorotan street, Yerevan","$22,000",USD,"A 2-room apartment is for sale on Vorotan Street in Sisian.The roof is newly renovated, with a private water line, a spacious kitchen with a closed balcony, the living room also has a niche (ниша) Bathroom and kitchen fully renovated.The apartment is bright on both sides. For sale with property, equipment and without.Call the indicated phone numbersTranslated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/18221530
Stone,No,Not available,5,80 sq.m.,3,1,from 2.8 m,3,Not available,Old Renovation,Syunik › Goris,"$40,500",USD,The apartment is in normal condition.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/17749057
Stone,No,Not available,5,68 sq.m.,3,1,from 2.75 m,1,Not available,Major Renovation,Syunik › Goris,"15,000,000 ֏",AMD,"The house faces the sun. Iron door, has Land, Basement.Translated from Armenian",Nov-25-2022_14-05,Not available,,,,,https://list.am/en/item/17746263
Stone,No,Not available,4,56 sq.m.,2,1,from 3 m,2,Open balcony,Cosmetic Renovation,"Shahumyan street, Kapan","16,000,000 ֏",AMD,"Together with the property and equipment, without property we will agree... The apartment is a Stalinist project, the entrance door is new, iron... The windows are European...Translated from Armenian",Nov-25-2022_14-05,Available,OUtdoor parking,"FRidge, stove, washing machine","YArd view, street view, city view, park view",PLayground,https://list.am/en/item/16227026
Panels,No,Not available,5,76 sq.m.,4,1,from 3 m,1,Not available,Partial Renovation,"Vorotan Str, Sisian","10,000,000 ֏",AMD,Negotiable. Call the mentioned mobile phone number for details.Translated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/15694517
Stone,No,Not available,5,71 sq.m.,3,1,from 2.75 m,2,Multiple balconies,Old Renovation,"Ստեփան Շահումյանի փողոց 19, Կապան","$40,000",USD,Those interested can go and have a look at the siteTranslated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/18261738
Panels,No,Not available,4,73 sq.m.,3,1,from 2.8 m,4,Open balcony,Euro Renovation,Syunik › Sisian,"15,500,000 ֏",AMD,"The apartment is located in Sisian, in the building of 8 padiezdan. Baxi, sushilka, kitchen furniture, the balcony is newly built (with kazirokov), the entrance door is iron (heavy), gas, telephone, internet, the patio windows are euro, clean, bright, warm room, the store is attached to the entrance, the back has a basement! If desired, the property is negotiable!Translated from Armenian",Nov-25-2022_14-05,Available,,,,,https://list.am/en/item/18091974
Stone,No,Not available,4,84 sq.m.,3,1,from 2.8 m,3,Closed balcony,No Renovation,"Улица Воротана 3А/3, Сисиан","$18,000",USD,"Квартира находеса 0 састаяне, без ремонта. Внутриние измеиеие стен можно делать сами...",Nov-25-2022_14-05,,,,,,https://list.am/en/item/16214086
Stone,Yes,Not available,3,230 sq.m.,6,2,from 3 m,3,Open balcony,Euro Renovation,"Փարամազի փողոց 14, Մեղրի","40,000,000 ֏",AMD,"A 6-room apartment of 230 sq/m is for sale in the city center, the apartment has 4 bedrooms, two living rooms, two entrances. General and separate. It is sold with kitchen furniture. The roof has the possibility of one floor. It has a 33 sq/m open balcony and a 15 sq/m pantry. For questions, call the indicated number. The price is 40 million drams or equivalent dollars. No bargaining.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/17697273
Stone,Yes,Not available,4,170 sq.m.,5,3+,from 3 m,4,Multiple balconies,No Renovation,"Artsakhyan avenue 10, Goris","$33,000",USD,There is a nut without repairing the parquetTranslated from Armenian,Nov-25-2022_14-05,,,,,,https://list.am/en/item/15622119
Stone,No,Not available,3,63 sq.m.,3,1,from 2.7 m,1,Not available,Old Renovation,Syunik › Sisian,"3,500,000 ֏",AMD,"The property is the property of the Bank as a result of the pledge.Syunik region, c. Sisian Shahumyan street 78-16a apartment, 62.6 sq. M., on the ground floor of a three stored building, three rooms, walls are made of stone, mezzanine is covered with panels, foundation is made of concrete, windows are of European production, entrance door is made of metal, interior doors are made of wood water, electricity Electricity, gas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-25-2022_14-05,,,,,,https://list.am/en/item/8419106
Stone,No,Not available,4,66 sq.m.,3,1,from 2.7 m,4,Closed balcony,Old Renovation,"Orbelyanner street, Goris","$30,000",USD,"The apartment is located on Bakuntsi street, it is equipped with gas, with old repairs.Code 3 358Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/18245121
Stone,No,Not available,3,68 sq.m.,3,1,from 2.7 m,2,Open balcony,Old Renovation,"Orbelyanner street, Goris","$28,000",USD,"The apartment is located in Getapnya district, it is spacious, old renovated.Code 3 346Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/17405615
Stone,No,Not available,3,64 sq.m.,2,1,from 2.7 m,1,Closed balcony,Old Renovation,"Orbelyanner street, Goris","$13,000",USD,"It is in state condition, there is no gas. The bathroom needs to be repaired, the parquet is normal. Has a basement! Entrance door wooden, iron.Code 2 63Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/17684351
Stone,No,Available,9,35 sq.m.,2,1,from 2.7 m,6,Not available,Major Renovation,"Orbelyanner street, Goris","$30,500",USD,"The apartment is located in Shengavit district, on the road leading to the horse race. It is capitally renovated; For sale with property.Code HH 104Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/17401319
Stone,No,Not available,5,83 sq.m.,3,1,from 2.7 m,3,Open balcony,Partial Renovation,"Orbelyanner street, Goris","$26,000",USD,"The apartment is partially renovated, the entrance door is of European production, the rooms are fully renovated, it is gasified, has an open balcony, it is fully furnished with a pleasant view. PossibleFor Sale: Partial or Full Property.Code N3 321Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/17401256
Panels,Yes,Available,9,100 sq.m.,4,1,from 2.75 m,4,Closed balcony,Cosmetic Renovation,"Davit Bek street, Kapan","$59,000",USD,"For sale in Kapan, converted into 3, 4-room natural.The bathroom is fully renovated (bathroom-toilet separately) The common apartment has been cosmetically renovated.The furniture is new. The refrigerator is new.The apartment is provided with a heating system.It has 2 huts, 2 bedrooms, 1 living room, as well as a closed balcony, which serves as a room.For the rest, call the mentioned phone number.Price is negotiable.Translated from Armenian",Nov-25-2022_14-06,By agreement,,,,,https://list.am/en/item/16122481
Panels,No,Available,9,81 sq.m.,3,1,from 3 m,9,Open balcony,Major Renovation,"Բաղաբերդ թաղամաս 9, Կապան","13,000,000 ֏",AMD,"The apartment is sunny, all the pipes and wires are new, it has an individual heating system, there is a garden with fruit trees in front of the building, there is a storage room on the floor. It has been completely renovated and has not been inhabited since then. It is located near the kindergarten. The courtyards and the roof of the building have been completely renovated.Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/18096371
Stone,Yes,Not available,5,62 sq.m.,3,1,from 3 m,3,Not available,Euro Renovation,"Syuniq street, Goris","$45,000",USD,"3-room apartment on the 3rd floor of a 5-storey building for sale. The house is a two-sided projectile. The windows of the house are of European production, It has a spacious basement. A 2-storey garage is for sale with the house. The garage is 11.5 m long and 3.70 m wide. Designed for parking 2 cars. There is a 5x5 garden next to the garage, from where we go up the stairs to the 2nd floor. The mentioned floor can be used as a storage room. The garage is suitable for business activities, the roof of the garage is made of zinc sheet. It has constant water and electricity.Translated from Armenian",Nov-25-2022_14-06,Available,,,,,https://list.am/en/item/12515295
Stone,No,Not available,3,56 sq.m.,3,1,from 2.7 m,3,Multiple balconies,Cosmetic Renovation,"Syunik St, Goris","$10,000",USD,Apartment in Shinuhayr villageTranslated from Armenian,Nov-25-2022_14-06,Not available,,,,,https://list.am/en/item/14329810
Stone,No,Not available,2,76 sq.m.,3,1,from 2.7 m,2,Closed balcony,Partial Renovation,Syunik › Sisian,"$18,000",USD,"K. Sisian on Teryan streetApartment for sale, 76 square meters. M, located on the 2nd floor of a 2-story tuff building. The apartment is partially renovated. Installed euro door, euro windows. The apartment is sunny, has all utilities.Code 0002Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/18212935
Panels,No,Available,9,104 sq.m.,4,1,from 3.2 m,4,Closed balcony,Cosmetic Renovation,"Ստեփան Շահումյանի փողոց 6, Քաջարան","18,000,000 ֏",AMD,"4-room apartment is for sale on Shahumyan street, 104 sq. M. Մ. Located on the 4th floor of a 9-storey building. The apartment is in cosmetically renovated condition. Iron door, euro windows are installed. It is provided with constant water and gas supply. It is heated by BAXI heating system. The bathroom is tiled. The apartment is for sale together with the whole property.Translated from Armenian",Nov-25-2022_14-06,,,,,,https://list.am/en/item/17681296
Stone,No,Not available,3,96 sq.m.,3,1,from 2.7 m,3,Not available,Cosmetic Renovation,"Getapnya street, Goris","$45,000",USD,"STATEMENT:A 3-room apartment with a total area of 96 square meters is for sale in the central part of Goris, on Garegin Nzhdehi street.ℹ The apartment has constant hot and cold water, the roof is in good condition, it is sunny. The windows have been changed, the entrance door is iron.It has a large garage.Kindergarten, school, food and clothing stores, pharmacy, bakery are located near the apartment. Not for rent.The price is AMD 45,000. Negotiable.For more information callAttention, don't write questions in the comments. A phone number is indicated for questions.Tel.:Translated from Armenian",Nov-25-2022_14-06,Available,,,,,https://list.am/en/item/17368520
