Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
Country House,Stone,1000 sq.m.,2,3,2,Major Renovation,2000 sq.m.,Kotayk › Zovuni,"60,000 ֏ daily",AMD,"Аренда дома-дача двухетажни дом 60,000 AMD per daytwo-story private house3 bedrooms2 kitchens2 bathroomsSwimming poolSaunaDesigned for 20-25 people11:00-22:00hot and cold waterWiFi:Bluetooth speakerDishBarbecue bottle100,000 per nightАренда дом От центра 10 кмTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/15943263
House,Stone,140 sq.m.,1,5,1,Euro Renovation,1000 sq.m.,"Առինջի 17-րդ փողոց 69, Առինջ","$2,000 monthly",USD,"Сдаётся в аренду частный дом в окрестности Еревана, с мебелью и техникой.16 +",Nov-24-2022_22-33,Available,2 spots,,,5,Yes,No,Included,By Agreement,https://list.am/en/item/17495528
House,Stone,288 sq.m.,2,5,2,Major Renovation,1000 sq.m.,"Orbeli Brothers street, Ծաղկաձոր","60,000 ֏ daily",AMD,"The house is designed for up to 10 people. There are all the necessary accessories, such as barbecue, wifi, etc.*has 5 bedrooms*Dear customers, discounts apply depending on the number of days.Translated from Armenian",Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17200141
Country House,Stone,80 sq.m.,1,3,3+,Major Renovation,650 sq.m.,Kotayk › Argel,"30,000 ֏ daily",AMD,"For daily rent, Long-term, recreation area with communal facilities, there is a sauna, call for detailsTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18199733
House,Stone,454 sq.m.,2,4,3+,Designer Renovation,3300 sq.m.,Kotayk › Dzoraghbyur,"$7,000 monthly",USD,"Your dream home, just 15 minutes from the center of Yerevan, in the village of Dzoraghbyur.The house has:Indoor poolsaunaJacuzzi:GymIndependent heating անքի Electricity supplydrinking water from its own deep wellair conditioning and air conditioningprofessionally furnished cinema4 bedrooms6 bathroomslaundryHigh speed (400 Mbps) internet, excellent coveragesecurity systemtennis courtchildren's playgroundopen and closed parking lotsmany other amenitiesCode SV095Translated from Armenian",Nov-24-2022_22-33,,Not available,,,5,Yes,No,Not included,1 month,https://list.am/en/item/17794306
House,Stone,450 sq.m.,3,4,3+,Designer Renovation,750 sq.m.,"Սարալանջի 1-ին փողոց 11, Ծաղկաձոր","60,000 ֏ daily",AMD,Ani Resort Tsaghkadzor• 4 bedrooms• 4 bathrooms• 8 people (+ 1)• large living room• grill separately• wifi• spacious yard• garage• free parking• 4 balconies• kitchen equipped with everythingAni Resort Tsaghkadzor is located next to (Golden World) The cottages have all the amenities to make your vacation complete.• large living room• grill separately• wifi• spacious yard• garage• free parking• 4 balconies• kitchen equipped with everythingAni Resort Tsaghkadzor is located next to (Golden World) The cottages have all the amenities to make your vacation complete.Translated from Armenian,Nov-24-2022_22-33,,1 spot,,,8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/18014207
House,Monolith,200 sq.m.,3,6,2,Euro Renovation,100 sq.m.,Kotayk › Nor Hachen,"250,000 ֏ monthly",AMD,"Three-storey private house in the center of Nor Hachn.Baksi, European restaurantsThe first floor is a basement, the other two are residential.Translated from Armenian",Nov-24-2022_22-33,Not available,1 spot,,,6,Yes,No,Not included,1 month,https://list.am/en/item/18056870
House,Stone,200 sq.m.,3,5,2,Major Renovation,1300 sq.m.,"Կոտայքի փողոց 1, Բյուրեղավան","50,000 ֏ daily",AMD,"3-storey holiday home for daily rent in Nurnus with overnight stayDesigned for 4 seasons, with all amenities.-1st floorGame room, billiards, hookah, sofa 2 soft chairs2nd floorLiving room: Multi-purpose room, table, TVkitchen(all necessary kitchen utensils are available), kettle, blender, micro-heater, refrigeratorBathroom: Dresser, washing machine, toiletries and towels3rd floor3 bedrooms 11 + 3 people can stay overnight, bathroom: Dresser, toiletries and towelsBaxi, Wi-Fi, ParkingBeautiful garden, children's playground, campfire, swimming pool with table, barbecues, grill (necessary accessories available), hammock, swing, table tennisA maximum of 25 people can spend the day and a maximum of 12 people can spend the night.Check-in time is 14:00, check-out time is 12:00Overnight: 70,000 AMDKhash orders are additionally accepted.Orders for the New Year holidays are also accepted.Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,"TElevision, internet, swimming pool, fireplace, billiard, gazebo, alarm system","FRidge, stove, microwave, washing machine, water heater, iron, hair dryer",8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/17271230
Country House,Stone,170 sq.m.,2,2,2,Major Renovation,1200 sq.m.,Kotayk › Argel,"90,000 ֏ daily",AMD,"LIGHTED SUMMER LIGHT FOR DAILY - PROHIBITION! WITHOUT NIGHTRELATED ONLY TO FAMILIESWith all amenities:Indoor swimming pool in the yard, heated for any season of the yearSauna (HAMAM)Pavilion for 12-24 peopleTranslated from Armenian",Nov-24-2022_22-33,,1 spot,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17875507
House,Stone,400 sq.m.,3,4,2,Major Renovation,3000 sq.m.,"Zoravar Andranik street, Yerevan","$3,000 monthly",USD,"Տրվում է վարձակալության 4 սենյականոց առանձնատուն Պտղնիում: Առկա են կոմունալ բոլոր հարմարությունները:Сдается трёхэтажный особняк в 20 минутах езды от центра Еревана (срок аренды от 6 месяцев) В доме созданы все необходимые условия для комфортного проживания и работы (для небольших IT-компаний и групп специалистов иной деятельности) Каждый этаж 120 кв. М. Возможность размещения до 12 человек. Можно с питомцами (рассматривается возможность создать условия содержания)К Вашим услугам просторная, уютная гостиная с камином, биллиардная, четыре спальни, паркинг, гараж, сауна, бассейн, оборудованная шашлычная зона, терраса, сад с плодовыми деревьями (3000 м), wi-fi, бытовая техника, полный комплект посуды, постельные принадлежности. Собственная система отопления. Из окон и балконов комнат открывается прекрасный вид. По Вашему желанию может приходить женщина для уборки дома и приготовления вкусных армянских (и не только) блюд.Крытая терраса от дождя и солнца, где можно покушать или скоротать вечерок в непринужденной обстановке, наслаждаясь живописным видом и свежим воздухом.Капитальный ремонтТрёхэтажный каменный дом в Птгни, 400 кв. М. , 2 ванные, большой участок, капитальный ремонтКотайк ПтгниԿոդ 019348",Nov-24-2022_22-33,,3 or more spots,,,6,Yes,No,Not included,1 month,https://list.am/en/item/17547860
Country House,Stone,120 sq.m.,1,3,1,Major Renovation,3500 sq.m.,Kotayk › Zovuni,"300,000 ֏ monthly",AMD,"Fruit garden. The house is fully furnished, hot and cold water, swimming pool in the summer, fenced, Internet, 119 channelsTranslated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17520770
Country House,Stone,1400 sq.m.,3,7,3+,Designer Renovation,1000 sq.m.,"Gai Street, Yeghvard","80,000 ֏ daily",AMD,"! Starting from AMD 70,000.Possible and long-term.12 km from Yerevan.Up to 11 double rooms.Also suitable for software companies, for work and living.4 modems are installed.Internet 100-300 megabits, optional.The cost is $5500-7000 depending on the number of people, up to 22 people.A summer house for daily or long-term rent, K. Yeghvard, at Khanjyan 3 (or at the beginning of Gai street) (12 km from Davitashen)8 bedrooms for up to 16 people, 7 bathrooms, outdoor pavilion for up to 50 people.11 bedrooms (22 people) possible for long termGreat location and lighting for various ceremonies.Book in advance.Sahakyan guest houseOn the 1st floor:* spacious kitchen (with equipment for 12 people (ugalok)) freezer, refrigerator, gas stove, oven, microwave oven,* an event room for 18-20 people, with a speech device,* 2 bedrooms, double,* 1 bathroom.* outside: BBQ with bottles, separate toaster, meat hanger,swimming pool filtered: 4x8 m, depth 1.30-1.80 m and bathroom.On the 2nd floor:* 2 double bedrooms,* 1 bathroom,* glass-enclosed balcony of 65 square meters, designed for up to 40 people,On the 3rd floor:* kitchen,* 4 bedrooms, each with its own bathroom and double bed,* recreation pavilion* open balcony 65 square meters, view of Aragats and Mount Ara.The bedrooms have a wardrobe, a wardrobe and a wooden table with its chairs.* The price starts from 80,000-200,000 depending on the number of guests, overnight stay, day of the week and provided dishes (up to 45 people)* Also, dishwasher, waiter and cook are provided for an additional fee.Please call only for family or similar gatherings.Without overnight stay, the price includes:* The yard,* summer and indoor kitchen,* the pool,* hall closed with glass,* 2 rooms on the 1st floor,* 2 bathrooms* barbecue (with bottles),* refrigerators,* player with bluetooth.Suitable for birthdays, anniversaries, weddings (small), corporate and similar ceremonies.*Outdoor pavilion for up to 54 (or 70) people under cover, or significantly more in open space,*glass-enclosed pavilion for 20-40 people (65 square meters)All necessary facilities are available:* entire area with festive lighting and Wifi coverage*permanent light (there is a dvijok)* pool with filterable, light effects* furniture made in design style (tables, chairs, etc.)* grill (with bottles) and toaster* Uzbek pilaf, ukha cooking pot with its own oven* dishes* gas stove (2 ovens)* 2 refrigerators and 1 freezer* cold and hot water constant* toilet, bathroom* Ping-pong* player, TVs (smart) etc.For details and more pictures, write to viber, WhatsApp, the given website ore-mail: stepansahakyan94@mail.ru Mail (I will answer as soon as possible) or call.The entire road is paved, there are grocery stores in the area, 2 km tel. There is a Yerevan City supermarket.* Instagram: #sahakyansgarden_hyuratun* Swimming pool 8x4m, 1.30-1.80m deep* LOCATION: 40.326189, 44.483905 (place in the map application)THANK YOU FOR CHOOSING US.It has nothing to do with the statement.Daily rent house private house apartment in Hayat Bassein dacha Eghvard Abovyan Zovuni, Dzoraghbyur, waterfall, Dzaghkadzor holiday house guesthouse hotel motel motel hotel motel pool for rentTranslated from Armenian",Nov-24-2022_22-33,,,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/14344677
Country House,Stone,70 sq.m.,2,3,2,Major Renovation,600 sq.m.,"2-րդ շարք 28, Ձորաղբյուր","30,000 ֏ daily",AMD,"Двухэтажный каменный дом в Дзорахбюре (2-й ряд), 70 кв. М. , 2 санузла, капитальный ремонт.30.000 драм в день без ночевки. Предусмотрена как посуточная аренда, так и долгосрочная. При долгосрочной аренде цена договорная.ЦЕНА ЗАВИСИТ ОТ КОЛИЧЕСТВА ЛЮДЕЙ И ОТ ДНЯ НЕДЕЛИ - 30.000 ДРАМ В ДЕНЬ. ДЛЯ БРОНИРОВАНИЯ ЗВОНИТЬ ЗАРАНЕЕ.Сдается в аренду 2-этажний особняк в Дзорахбюр всего в 5 км от Еревана.Имеются 2 спальни, гостиная, кухня со всеми удобствами, 1 санузел в доме и 1 во дворе, камин в гостиной. Дом отапливается, все бытовые и коммунальные удобства предоставляются.Во дворе есть бассейн, мангал и беседка на 20 персон. Летняя кухня.Цена указана без ночевки, для подробностей звонить (WhatsApp / Viber)Ждем вас на нашей прекрасной даче.ԳԻՆԸ ՍԿՍԱԾ 30000 ԴՐԱՄԻՑ ԿԱԽՎԱԾ ԱՆՁԱՆՑ ՔԱՆԱԿԻՑ ԵՎ ՇԱԲԱԹՎԱ ՕՐԻՑՏՐՎՈՒՄ Է ՄԻԱՅՆ ԸՆՏԱՆԻՔՆԵՐԻՆԱՄՐԱԳՐՄԱՆ ՀԱՄԱՐ ԶԱՆԳԱՀԱՐԵԼ ՆԱԽՕՐՈՔՕրավարձով է տրվում առանձնատուն Ձորաղբյուրում։Ունի 2 ննջասենյակ, հյուրասենյակ, խոհանոց իր բոլոր հարմարություններով, 2 սանհանգույց:Տունը ջեռուցվում է, ապահովված է նաև կենցաղային և կոմունալ բոլոր հարմարություններով։Ունի շատ գեղեցիկ բակ, լողավազան, բուխարի․․․Տաղավար նախատեսված 20 անձի համար։Գինը նշված է առանց գիշերակացի, մանրամասների համար զանգահարել։Սիրով սպասում ենք Ձեզ մեր գեղեցիկ ամառանոցում:Օրավարձով առանձնատունօրավարձով տունվարձով տունԵրևանից ընդամենը 5կմ հեռավորության վրա",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17341150
Country House,Stone,500 sq.m.,2,5,3+,Major Renovation,200 sq.m.,Kotayk › Dzoraghbyur,"$3,000 monthly",USD,"A 2-storey private house with beautiful designer solutions is for rent, located in Dzoraghbyur.On the first floor there is a beautifully furnished living room, kitchen, hall and bathroom.On the 2nd floor: 3 bedroomsAll furnished with comfortable furniture.It is heated by a gas boiler and cooled by air conditioners.Bathrooms and kitchen are tiled.The house is equipped with furniture and appliances.Internet connection available.It is fencedA beautiful yard with a grill, a pond and a summer pavilion.It has a sauna.The price depends on the number of days and overnight stay.Book in advance.100,000 dirhams per day is also availableTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18349669
Country House,Stone,1000 sq.m.,2,3,2,Designer Renovation,1000 sq.m.,Kotayk › Arzni,"80,000 ֏ daily",AMD,"A luxurious country house is for daily rent in Arzni, 15-20 km from Yerevan. The mansion is intended for up to 40 people to spend comfortable family or friendly events or rest. The guest house is equipped with all facilities.Swimming pool5 bedrooms2 bathrooms2 kitchensNew dishesHot and cold water2 boothsBig mangalParadise gardenClean AirParking lotWiFi:Dynamic100,000 on Saturday and SundayCall to bookOwn houseDachaTranslated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17881473
House,Stone,300 sq.m.,1,2,1,Designer Renovation,3000 sq.m.,"Zoravar Andranik avenue, Hrazdan","70,000 ֏ daily",AMD,"Green Garden:The house is presented in more detail in the video:The house is intended for 5-6 people.It has two bedrooms, a large living room, a kitchen (equipped with all utilities), a bathroom.The yard is green.Outside there is a swimming pool, a large pavilion (up to 25 people), a coffee table (up to 4 people), a barbecue (there are all the necessary facilities for barbecue), a crib.For details, please call, mentioning the name of the version - Green Garden.Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,4,Yes,No,Included,By Agreement,https://list.am/en/item/16697536
House,Stone,450 sq.m.,3,4,3+,Designer Renovation,250 sq.m.,"Մայիսյան փողոց 27, Ծաղկաձոր","80,000 ֏ daily",AMD,"Diamond villa:You can watch the full description of this version in the video:This luxurious three-storey private house in the center of Tsakhkadzor has four bedrooms, three bathrooms, a Jacuzzi. Equipped with all utilities. Designed for 14 people.To make a reservation, call the mentioned phone numbers.Translated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,8+,No,No,By Agreement,By Agreement,https://list.am/en/item/16563681
House,Stone,200 sq.m.,2,5,2,Major Renovation,600 sq.m.,"Arzni Highway, Abovyan","900,000 ֏ monthly",AMD,A private house is for rent in Arzni with all its amenities.Translated from Armenian,Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,Not included,1 month,https://list.am/en/item/14389971
House,Stone,540 sq.m.,3,4,3+,Major Renovation,1200 sq.m.,Kotayk › Dzoraghbyur,"150,000 ֏ daily",AMD,"Canyon Yerevan Villa 1:Shkez private house in Dzoraghbyur, which has 6, bathroom, kitchen, living room. The kitchen is equipped with all the necessary appliances and utensils. All bathrooms are equipped with hygienic products. It has a swimming pool, pavilion, trampoline outside, and billiards, tennis, small pool, exercise mat inside. Designed for 16 people.The specified price is valid for up to 35 persons without overnight accommodation.For details, please call, mentioning the name of the option: Canyon Yerevan Villa 1.Code CanYerevTranslated from Armenian",Nov-24-2022_22-33,Available,1 spot,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16942172
House,Stone,54 sq.m.,1,2,1,Major Renovation,300 sq.m.,"Orbeli Brothers street, Ծաղկաձոր","18,000 ֏ daily",AMD,"Volcano:Comfortable cottages in Tsakhkadzor.The cottage is designed for 6 people. It has two bedrooms, a very comfortable living room, a full kitchen. Equipped with all utility and technical facilities.There is a barbecue in the yard.For more information call...# Tsaghkadzor # Caxkadzor # qotej # cottage # Vulcane:Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,6,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16576665
House,Stone,330 sq.m.,4+,4,3+,Designer Renovation,1200 sq.m.,Kotayk › Tsakhkadzor,"130,000 ֏ daily",AMD,"New Year's prices are now available.A luxurious three-story villa in the very center of Tsaghkadzor. It has its own yard, fenced area with its own garden. Outdoor summer house.The villa consists of three floorsFirst floor1 bedroom - 4 single bedsSwimming pool + Sauna + Dressing room + BathroomSecond floorSpacious living room + Kitchen + Balcony + Entrance to the yardThird floor3 bedrooms (All have double beds)Fourth floorBilliardsOn weekends, the villa is available for a minimum of 2 days. Near the end of the week, if there are no reservations, it can be provided for one day.Code Panorama Deluxe:Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17798924
House,Stone,275 sq.m.,2,4,1,Major Renovation,1100 sq.m.,Kotayk › Tsakhkadzor,"70,000 ֏ daily",AMD,"Mher Villa:New Year's prices are now available.A detached house in Tsaghkadzor, which has 4 bedrooms, a large living room kitchen, a bathroom, a pavilion for 20 people, a barbecue, an outdoor kitchen, an open terrace, a green yard, a hydromassage bath. Designed for 12 people.Tsaghkadzor, private house in Tsaghkadzor, private house for 12 people.For details, please call quoting the option name: Mher Villa.Code MhervillTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,No,Yes,By Agreement,By Agreement,https://list.am/en/item/16941245
House,Stone,185 sq.m.,2,4,1,Designer Renovation,325 sq.m.,"Mher Mkrtchyan street, Ծաղկաձոր","35,000 ֏ daily",AMD,"Rich MonarchNew Year's prices are now available.Cottages for 4-5 people in Tsaghkadzor. In the same yard there is an indoor swimming pool, a sauna and a game room (billiards, tennis) The price includes the cottage and the playroom, an additional fee is required to use the pool and sauna. The cottages are very comfortable. Don't miss such an offer.For details, please call quoting version name: Rich Monarkh.Code RichMTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16602801
House,Stone,250 sq.m.,2,3,2,Designer Renovation,460 sq.m.,"Mher Mkrtchyan street, Ծաղկաձոր","99,000 ֏ daily",AMD,"The house has 3 bedrooms, a large living room, a kitchen, a bathroom, an open balcony, a green yard, a hydromassage bath. Designed for 6 people.Tsaghkadzor, private house in Tsaghkadzor, private house for 6 people.For details, please call quoting the option name: Karen Luxe.Code KaLUXvilTranslated from Armenian",Nov-24-2022_22-33,Available,2 spots,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16911285
House,Stone,74 sq.m.,1,1,1,Designer Renovation,1300 sq.m.,Kotayk › Tsakhkadzor,"20,000 ֏ daily",AMD,"Lux flatThe apartment for daily rent is located in an apartment building. It has a small kitchen area, a bathroom, a living room that can be used as a bedroom. The kitchen is equipped with all the necessary appliances and dishes, and the bathroom is equipped with hygienic products. The apartment is designed for 2 people.Code LuxFlatTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,2,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18084551
House,Stone,54 sq.m.,1,3,1,Major Renovation,300 sq.m.,"Orbeli Brothers street, Ծաղկաձոր","18,000 ֏ daily",AMD,"Vulcane:Comfortable cottages in Tsakhkadzor.The cottage is designed for 6 people. It has two bedrooms, a very comfortable living room, a full kitchen. Equipped with all utility and technical facilities.There is a barbecue in the yard.For more information call...# Tsaghkadzor # Caxkadzor # qotej # cottage # Vulcane:Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16573916
House,Stone,200 sq.m.,2,3,2,Designer Renovation,1200 sq.m.,Kotayk › Tsakhkadzor,"46,000 ֏ daily",AMD,"Imperial 1:A large detached house with a fireplace in the center of Tsaghkadzor, which has 3 bedrooms, a large living room and a spacious kitchen. The kitchen is equipped with all necessary appliances and utensils. The version has 2 bathrooms, one with a bathtub, the other with a shower. All bathrooms are equipped with hygienic products. The house is designed for 6 people.For details, please call, specifying the name of the version: Imperial 1.Code imp 1Translated from Armenian",Nov-24-2022_22-33,Available,Not available,,,5,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17445865
House,Stone,88 sq.m.,2,2,2,Designer Renovation,160 sq.m.,Kotayk › Tsakhkadzor,"45,000 ֏ daily",AMD,"President:The house is located in Tsaghkadzor, it has 2 bedrooms, a spacious living room. The kitchen is equipped with all the necessary appliances and utensils. The house has 2 bathrooms, both are equipped with hygienic products. The house is designed for 6 people.Tsaghkadzor, private house in Tsaghkadzor, private house for 6 people.For details, call, specifying the name of the option: President.Code PresvillTranslated from Armenian",Nov-24-2022_22-33,Available,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16937000
House,Stone,220 sq.m.,2,4,2,Designer Renovation,1200 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,"Provence Villa in TsakhkadzorThe mansion is presented in more detail in the videoA luxurious private house in Tsaghkadzor is for daily rent.Overlooking the mountains and the city, the villa has 3 bedrooms, a kitchen-dining room, a living room, a balcony view, an attic that serves as a movie theater. The kitchen is equipped with all necessary appliances and utensils. The villa has 2 bathrooms, one with a bathtub and the other with a shower. All bathrooms are equipped with hygienic products. Designed for 8 people.Tsaghkadzor, private house in Tsaghkadzor, private house for 8 persons.For details, please call, specifying the name of the option: Provence Villa in Tsakhkadzor.Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,8+,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/17210884
House,Stone,380 sq.m.,3,5,3+,Designer Renovation,310 sq.m.,"Պահլավունյաց փողոց 2-րդ փակուղի 3, Ծաղկաձոր","70,000 ֏ daily",AMD,"Luxor Villa GardenThe prices of New Year's packages are already available, please call the indicated numbers.Luxury 3-storey villa in Tsaghkadzor.It has 5 bedrooms, each with its own bathroom.Great for occasions and parties. Accommodates 15 people overnight. If desired, rollaway beds can also be provided.Search tag: Luxor, luxor in TsaghkadzorYou can call for details.Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16507373
House,Stone,240 sq.m.,2,3,3+,Designer Renovation,1370 sq.m.,Kotayk › Tsakhkadzor,"160,000 ֏ daily",AMD,"Santa MonicaComfortable two-story villa in Tsaghkadzor. You will have a good rest here, the house has quality renovation, modern design. Furniture and all technical facilities. The house is suitable for various events. A beautiful view of the garden opens from the balcony. There is a gazebo for 40 guests and a children's swing in the yard. There is also a comfortable bench, barbecue, barbecue and all the necessary apartments. The house itself has 3 bedrooms, each room has a bathroom and one bathroom on the first floor, 2 full kitchens with necessary appliances and a spacious living room with comfortable seating and a fireplace.To show on the mapCode SantaMon:Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18340138
House,Stone,450 sq.m.,3,6,3+,Designer Renovation,750 sq.m.,Kotayk › Tsakhkadzor,"80,000 ֏ daily",AMD,"Harmony Villa GardenThe mansion is located in Tsaghkadzor, it has 3 horse complexes each designed for 5 people. It has 3 kitchens, 3 living rooms, 3 bathrooms. Outside, it has a large built-in swimming pool, a pavilion for 35-40 people.Tsaghkadzor, private house in Tsaghkadzor, private house for 15 people.For details, please call, mentioning the name of the option: Harmony Villa Garden.Code HarmvillTranslated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16954272
House,Stone,78 sq.m.,1,2,1,Designer Renovation,218 sq.m.,"Mher Mkrtchyan street 54, Ծաղկաձոր","30,000 ֏ daily",AMD,"WoodStone 1:The cottage is presented in more detail in the video:These two-room cottages have single and double beds. It has a spacious living room and kitchen with all its amenities.It has a pavilion and barbecue for organizing parties outside. Designed for 4 people.Tsakhkadzor, cottage In Tsakhkadzor, cottage for 4 people.For details, please call, mentioning the version name: WoodStone 1.Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,4,Yes,No,By Agreement,By Agreement,https://list.am/en/item/16507200
House,Stone,110 sq.m.,3,2,2,Major Renovation,560 sq.m.,Kotayk › Tsakhkadzor,"45,000 ֏ daily",AMD,"Robert 5:The house is presented in more detail in the video:The house is located in Tsakhkadzor, which has 2 bedrooms, 2 living rooms with a fireplace, 2 bathrooms equipped with hygienic means, a kitchen equipped with all the necessary appliances, dishes, an open balcony, a pavilion, a barbecue, a green yard. Designed for 9 people.For details, please call, mentioning the name of the version - Roberto 5.Code Rob5Translated from Armenian",Nov-24-2022_22-33,By agreement,Not available,,,5,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/16978834
House,Stone,1200 sq.m.,3,8+,2,Cosmetic Renovation,800 sq.m.,Kotayk › Byureghavan,"70,000 ֏ daily",AMD,"Private house for rent. It has a swimming pool, game room (billiards, tennis), garden, all utilities. MonthlyTranslated from Armenian",Nov-24-2022_22-33,,,,,8+,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17815010
House,Stone,350 sq.m.,3,7,3+,Designer Renovation,1000 sq.m.,"Վլադիմիր Հարությունյան փողոց 3, Ծաղկաձոր","$2,000 monthly",USD,"Аренда квартирАренда домовАренда квартирыՎարձով բնակարանՎարձով տունԱռանձնատունը գտնվում է Ծաղկաձորի Կեչարիս եկեղեցու մոտակայքում, ունի բոլոր հարմարությունները, մշտական տաք և սատը ջուր, ջեռուցում, 4 ննջարան, 2 հյուրասենյակ, խոհանոց, 5 սանհանգույց: Հարմար է ընտանիքներով հանգստի համար, տրվում է նաև օրավարձով ՝ 80.000 դրամ օրական, մինիմալ 2 օր: Ամսական 2000 $:Дом расположен возле церкви Кечарис в Цахкадзоре, есть все удобства, постоянная горячая вода, отопление, 4 спальни, 2 гостиные, кухня, 5 санузлов. Он подходит для отдыха с семьями, также сдается в аренду посуточно 80 000 драм в сутки, минимум 2 дня. 2000$ в месяц.",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/17529547
Townhouse,Stone,2500 sq.m.,1,1,1,Major Renovation,2200 sq.m.,"Zovuni 16 street, Zovuni","140,000 ֏ daily",AMD,"A beautiful private house in Zovuni is for daily rent, the price includes only the yard.It also has a sauna.It is designed for up to 25-30 people, also for weddings or other ceremonies.For details and reservation, call in advance.Or write, I will gladly answer.Translated from Armenian",Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18171864
House,Stone,120 sq.m.,1,4,1,Major Renovation,4000 sq.m.,Kotayk › Nurnus,"400,000 ֏ monthly",AMD,"Վարձով է տրվում մեկ հարկանի քարե տուն Նուռնուսում։ Երևանի կենտրոնից ընդամենը 25ԿՄ։Տունը կահավորված է, ունի 3 ննջարան, մշտական տաք և սառը ջուր, սպասք, լվացքի մեքենա, սառնարան։Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Translated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,,,4,Yes,No,Not included,By Agreement,https://list.am/en/item/18374427
House,Stone,93 sq.m.,3,3,1,Designer Renovation,120 sq.m.,"3rd microdistrict, Abovyan","16,000 ֏ daily",AMD,"Daily rent Directly at the beginning of the city  Supplied with dishes, Linens, Kitchen utensils, Bathroom utensils  Next to Supermarket, shops, park and bus stop Two Bedrooms  One Living Room  Kitchen and Bathroom  Call the given number for BookingHouse for daily rent furnished with all facilitiesUtility with all amenitiesServiced with everythingTo make a reservation, call the indicated phone numberTranslated from Armenian",Nov-24-2022_22-33,Available,3 or more spots,"TElevision, internet, air conditioner, swimming pool, fireplace, barbecue oven","FRidge, stove, microwave, coffee maker, washing machine, water heater, iron, hair dryer",8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/18171932
Country House,Stone,86 sq.m.,1,2,2,Major Renovation,2500 sq.m.,Kotayk › Hatsavan,"45,000 ֏ daily",AMD,Дом расположена в 15 км от города 20 минут езды. Все удобства для жилья Постоянно горячая вода вайфай бассейн и терраса красивые сад и фруктовые деревья. Мангал для шашлычка. Отличное место для хорошего отдыха. Сдаётся кратковременное и долговременная.,Nov-24-2022_22-33,,,,,,,,,,https://list.am/en/item/18374362
