Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Facilities,Service Lines,Appliances,Links
House,Stone,100 sq.m.,1,4,2,,,Major Renovation,,Yerevan › Nork-Marash,"$155,000",USD,"Ընդհանուր մակերեսը 600քմ, առանձնատան մակերեսը 100քմ, ունի գեղեցիկ բակ, լողավազան:Առանձնատունը կապիտալ վերանորոգված է, սանհանգույցը սալիակապատ է, ունի անհատական ջեռուցման համակարգ, պատուհանները եվրոպական արտադրության են:",Nov-24-2022_23-14,,,,https://list.am/en/item/15815601
House,Stone,240 sq.m.,2,8+,3+,Not available,2 spots,No Renovation,580 sq.m.,Yerevan › Davitashen,"$220,000",USD,"A new two-storey private house is for sale in Davtashen, each floor is 120 square meters, the front part is 18 metersThe house is for sale without interior decoration1st floor: Living room, kitchen, 1 bedroom, bathroom2nd floor: 4 bedrooms, 1 dressing room, 2 bathrooms, one of which is a bedroom2 open balconiesIron door.Basement: 120 sq. M.Beautiful yard, summer kitchen, bathroom.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17899320
Townhouse,Monolith,546 sq.m.,3,8+,3+,,3 or more spots,Designer Renovation,2000 sq.m.,Yerevan › Nor Nork,"$1,100,000",USD,"3-storey private house of 546 sq. M. Is for sale. Area and 2000 square meters. Land near the house, located in the 3rd block of Nor Nork. This bright private house is fully renovated. The private house has 5 bedrooms, 7 bathrooms, a kitchen, the private house is fenced. Electric wires, electric wires, water pipes are new. The house is furnished with the necessary equipment. Euro windows are installed, iron door, the floor is tiled աց heated. It has built-in closets. It is provided with constant water and gas. Heating is provided by a gas boiler. For your comfort in the yard of the private house there is an ax, a barbecue, a swimming pool. Underground and outdoor parking is provided for cars. The place is quiet and quiet. There is cable TV and internet. The house has cameras անվտանգության there is a security system.Code SV501Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17991952
House,Monolith,2850 sq.m.,4+,8+,3+,Not available,3 or more spots,No Renovation,3200 sq.m.,"Babayan street, Yerevan","$4,500,000",USD,"Private house for sale in Monument, total area: 2850 m2 + 600 m2 terrace, used roof with fireplace, summer kitchen, elevator. Land area: 3200 square meters, parking space: 215 square meters. Taxes: 4. Interior works: Plastered, heated floor, necessary communications, electrical wiring, elevator.Code SV541Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18111718
House,Stone,1000 sq.m.,3,8+,3+,,3 or more spots,Major Renovation,1000 sq.m.,"Nar-Dos street, Yerevan","$1,500,000",USD,"Private house for sale or rent, which can also be used as a hotel. It has 10 bedrooms, each bedroom has its own fully renovated bathroom. 1000 square meters of land, 1000 square meters of building.Total 12 bathrooms 400 square meters. Warehouse 5.5 m. In height. Also exchange by you at additional cost. Minimum term 6 months$1,500,000Code SV508Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18008302
House,Stone,116 sq.m.,2,4,2,,,Partial Renovation,300 sq.m.,"Shahumyan 4th Street 1st lane, Yerevan","$80,000",USD,Տունը ամբողջովին գազաֆիկացված է ունի մշտական ջուր և ավտոտնակ,Nov-24-2022_23-14,,,,https://list.am/en/item/17341165
House,Stone,164 sq.m.,2,5,2,,,Major Renovation,205 sq.m.,Yerevan › Nor Nork,"$250,000",USD,"Private house with all amenities, hot and cold waterTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17084525
House,Stone,540 sq.m.,2,8+,1,By agreement,3 or more spots,Old Renovation,130 sq.m.,"Dro street 85, Yerevan","$117,000",USD,"The house consists of two floors. The first floor has a yard with fruit trees, a swing for children, a large barbecue grill. Parking space for three cars inside the gates. The house was renovated 10 years ago, it is in a clean condition. There are two bathrooms, one outside and one inside. Permanent hot and cold water, natural gas, sewage works without interruption. No dividing walls with neighbors, with a separate fenced area. The second floor needs interior decoration, the entrance is separate, it is not inhabited.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16703503
House,Stone,900 sq.m.,1,2,1,Not available,1 spot,Partial Renovation,,"Hovsep Emin street, Yerevan","$230,000",USD,The old noble house is for sale. Emin... 1 bedroom... 3 rooms... Mak 900 sq. 0 mine... Old stone building... Container for sale. For demolition...Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/12442429
House,Stone,70 sq.m.,1,3,1,,Not available,Old Renovation,320 sq.m.,"Zakaria Sarkavag street, Yerevan","$62,000",USD,House for sale. 1 room... 3 rooms... Apartment mak 70 sq. M. 250 square meters of land... Old renovated. Old renovation literally. Fruit trees.Code 5458Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/14359530
House,Stone,83 sq.m.,1,2,1,Available,Not available,No Renovation,,"Nor Aresh 38 street, Yerevan","$28,000",USD,"Noble house for sale, Nor Aresh 39. 1 bedroom, 2 rooms... Living area 35 square meters... Total area 83 square meters... NOT RENOVATED. SMALL YARD... CEILING BAGDAT... GAS... POSSIBILITY TO ADD.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/12837739
House,Stone,150 sq.m.,1,3,1,,,Major Renovation,,"Haghtanaki 1 street, Yerevan","$80,000",USD,"Houses for sale, newly built 4 villages. 3 rooms... Living area 58.1 sq. In addition, 150 sq. Renovated. Power lines blew. Strange in the back. The sale of goods... PARISPAT...Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/14849664
House,Stone,800 sq.m.,1,4,1,,Not available,Old Renovation,800 sq.m.,"Sari Tag 3 street, Yerevan","$40,000",USD,Saritagh house for sale. 1 respect. 5 rows... Apartment 200 sq. M. Urinary condition. 3 rooms... Storeroom. Landscaping... Gas communication.Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/14835003
House,Stone,250 sq.m.,1,4,2,,1 spot,Major Renovation,110 sq.m.,"Գ-1 թաղամաս 1, Երևան","$165,000",USD,A completely renovated 1-story private house is for sale. For more information call:Code 55219Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/15041770
House,Stone,200 sq.m.,1,3,1,Available,Not available,Major Renovation,200 sq.m.,"Jughayi street 1, Yerevan","$300,000",USD,"In the 1st block of Nor Nork An operating business is for sale, together with a private house.The total area is 110 square meters + the side area is 40 square meters. Home For sale together with furniture and equipment, laminate flooring, baxi, euro windows, shopFor sale together with the whole product and property. The business has been operating for about 20 years. It is possible to build a 2nd floor. For more details, call the indicated phone number.Translated from Armenian",Nov-24-2022_23-14,,NAtural gas,"FRidge, stove, washing machine",https://list.am/en/item/17395237
Country House,Stone,65 sq.m.,1,3,2,By agreement,1 spot,Partial Renovation,700 sq.m.,"Նորագավիթի 12-րդ փողոց 20/1, Երևան","25,000,000 ֏",AMD,"The mansion is old, but partially renovated. It has 2 bedrooms, living room, kitchen, bathroom, basement and attic. There are 2 bathrooms, one outside with its own separate bathroom and the other inside. Orchard 700 square meters. On the plot, there is a garage for one car, but there is public parking for 2 cars outside and 2 more cars can be parked inside and in the yard. The building is old, but made of stone, it is quite warm, the rooms are cooled with an air conditioner in summer, and the house is heated with gas. The kitchen, bathroom and one of the bedrooms have been recently renovated. All communications are available, the house is located in S. 150 meters from Gevorg Church. Call for questionsTranslated from Armenian",Nov-24-2022_23-14,,"ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/18304145
House,Stone,600 sq.m.,1,4,2,,,Major Renovation,600 sq.m.,Yerevan › Davitashen,"$200,000",USD,Newly built houseTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/17484615
House,Stone,1000 sq.m.,4+,8+,3+,By agreement,3 or more spots,Major Renovation,1300 sq.m.,"Pirumyanner street 10/3, Yerevan","$1,400,000",USD,"No commission. Luxurious and beautiful detached house for sale in Davitashen district. 4-storey detached house, newly built.Total area: 2300 square metersLand area: 1300 square metersConsists of 10 or more roomsGarage for 7 to 8 carsOn the 1st floor there are: 1 bedroom, 2 living rooms, 1 kitchen, 1 bathroom, jacuzzi, sauna, laundry room.On the 2nd floor there are 5 bedrooms, 1 kitchen, 1 bathroom, 5 open balconies.On the 3rd floor there are: 3 bedrooms, 1 living room, 1 kitchen, 1 bathroom.On the 4th floor there is a table, billiards, wine cellar, storage room.Courtyard outdoor pool with waterfall.It has a separate summer house, kitchen, laundry room, bathroom, fireplace.It has a beautiful green yard.The balconies offer a beautiful view.The courtyard of the mansion is also very well-maintained and beautiful: A chat room with its grill, a green garden with decorative trees.The house is fenced, fire and security systems are installed.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17144021
House,Stone,165 sq.m.,2,5,2,Available,Not available,Major Renovation,400 sq.m.,"Admiral Isakov Avenue, Yerevan","$120,000",USD,Newly built private houseHeating SystemAir conditionerWell-kept yardAuxiliary building: 70 square meters. M.Code A0019Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18284977
House,Monolith,246 sq.m.,2,5,3+,,,Partial Renovation,150 sq.m.,Yerevan › Davitashen,"$139,750",USD,"Unprecedented price, beautiful architecture and interior comfortTotal land area 248 m2Construction area 215 m2 + roof terrace 101 m2, net living area - 177 m21st floor - living room-kitchen, bathroom, boiler room-laundry room, pantry.2nd floor - 4 bedrooms, 2 bathrooms, 2 closets.3rd floor: Roof terrace, entertainment areaAdjoining plot of land 150 m2, parking space for at least 2 cars, yard at the back and front.The mansion will be handed over, completely preserving the architectural appearance from the outside,from the inside, all walls and floors leveled. Electricity, water supply and drainage installed.We carry out the construction in a phased payment method.Within 6-8 months.The project will be implemented at 26 Davtashen (Zovuni) street.Thank you, best regardsFigura concept:Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18311778
House,Stone,96 sq.m.,1,3,1,Available,2 spots,Major Renovation,700 sq.m.,Yerevan › Malatia-Sebastia,"$130,000",USD,"Code 5012Own house for sale in Tichina1-storey fully renovated apartment. It is provided with all utilities, constant hot and cold water, individual heating system, sewage, gasified.The house is fully furnished.There are 2 bedrooms, bathroom, living room, kitchen.Has a nice yard with fruit trees.The house is sold with all the furniture and appliances.Call for more details.*Agency commission is 2% of sale price. To see similar agency announcements, you can visit our page by clicking on the logo photo.*Agency commission is 2% of sale price.To see similar agency announcements, you can visit our page by clicking on the logo photo.Translated from Armenian",Nov-24-2022_23-14,"BArbecue oven, gazebo","ELectricity, water supply, natural gas, sewerage","AIr conditioner, fridge, stove, dishwasher, washing machine, drying machine",https://list.am/en/item/18109330
House,Stone,147 sq.m.,1,3,1,By agreement,Not available,Designer Renovation,70 sq.m.,"Նոր Արեշի 25-րդ փողոց 1, Երևան","$100,000",USD,"Very good house with separate yard has the possibility of a second floor, solid concrete walls, ceiling, thick concrete walls, warm houseTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/13520120
House,Stone,600 sq.m.,3,7,3+,Not available,2 spots,No Renovation,500 sq.m.,"Ղափանցյան փողոց 125, Երևան","$255,000",USD,"The outer walls of the house are built with double-layer pumice stone, completely with a 10 cm thick thermal insulation layer, on the first floor there is a living room, a kitchen, from which a door opens to the backyard of the house, a bathroom, a bedroom, a laundry room, and a parking space for two cars. On the second floor, there are 4 bedrooms with their own bathrooms, built-in wardrobes, and the third is a full marble floor.It has water, partially built indoor water and air network, sewerage, rain removal from the yard.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18114057
House,Stone,276 sq.m.,3,4,2,Available,3 or more spots,Euro Renovation,130 sq.m.,"Vahagni street, Yerevan","$330,000",USD,"House for sale in Vahagn district. The total area of the house is 276 square meters.The house is provided with all the amenities. It has 3 bedrooms, a pantry, a spacious garden with its beautiful park, a cinema as well as 130 square meters of land.Call the listed phone numbers for details.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16321676
House,Wooden,254 sq.m.,2,8+,1,,,Old Renovation,410 sq.m.,"Nar-Dos street, Yerevan","$220,000",USD,"A two-storey private house is for sale on the street near Nar-Dos, it has a yard, a balcony, a garden with flowers, a garage for a car, the rooms of the house with separate doors are suitable for any activity. The water pipes have been changed. The house is in old condition and needs renovation. Only Real buyers will call.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17920109
House,Bricks,60 sq.m.,1,1,1,Available,Not available,Cosmetic Renovation,,"Khorenatsi street, Yerevan","17,000,000 ֏",AMD,"House Khorenatsi str.Near the PPS regiment (SILK)40,000 USD OR 17,000,000 RA AMDTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17965986
House,Stone,300 sq.m.,3,8+,3+,Available,2 spots,Cosmetic Renovation,300 sq.m.,"Nor Aresh 8-th street, Yerevan","$300,000",USD,For sale urgently300 square metersTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/17891513
House,Monolith,365 sq.m.,3,5,3+,,2 spots,Major Renovation,650 sq.m.,"Vahagni street, Yerevan","$900,000",USD,"A 3-storey luxurious house is for sale in one of the best districts of Yerevan, Vahagni, the total area of which is 365 square meters, and the land is 650 square meters.• The house is fully renovated, only high quality construction materials were used during the construction works, raw materials - a lot of attention was paid to the place, location and lighting of the building.• The house has 4 bedrooms with their bathrooms, 1 kitchen with modern furniture and granite floor.• The floors are covered with wooden parquet ես press granite, the bathrooms are tiled.• On the first floor there is a lounge, a laundry room, a sauna with its own bathroom.• The house also has a garage for 2 cars, a security system, a well-maintained green yard and beautiful night lighting.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code KR288Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17337036
House,Stone,117 sq.m.,1,5,1,,,Old Renovation,102 sq.m.,Yerevan › Arabkir,"$118,000",USD,"The house is next to the bridge from Komitas to Davtashen. The house has a basement, storage room, garage, balcony for a large bisette.2 floors.142 sq. M. Residential house այլ next to another area 88.50 sq. M.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17928043
House,Stone,70 sq.m.,2,2,1,,,Euro Renovation,80 sq.m.,"Saryan Street, Yerevan","$160,000",USD,"The apartment is located near Saryan Leo crossroads. Under the cond.It has permanent water, two floors with separate entrances. Has the opportunity to increase the internal tax.It is close to everything. Urgent therefore sold at this priceTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17542232
House,Stone,90 sq.m.,1,3,1,Not available,Not available,Euro Renovation,50 sq.m.,"Janibekyan Street, Yerevan","$95,000",USD,"A private house with an area of 90 square meters is for sale at a price lower than the market price. All the communal facilities are available, it has a small plot of land. Call for details.Code AJ 110Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17447818
House,Stone,230 sq.m.,2,3,2,Not available,2 spots,Cosmetic Renovation,230 sq.m.,"Սևաստոպոլյան փողոց 10, Երևան","$185,000",USD,"CODE 7149:Arabkir, Blur district1-storey private houseThe total area is 230 square metersThere is a small yard in the back of the house,There is a shed in the yard, a garageFor more information callTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17843665
House,Stone,446 sq.m.,2,5,2,By agreement,2 spots,Partial Renovation,350 sq.m.,"Մյասնիկյան պողոտա 16, Երևան","$75,000",USD,"A spacious and bright 2-storey house is for sale on Myasnikyan Avenue.• On the 2nd floor there are 4 bedrooms, a living room, a studio style kitchen, a bathroom.• On the 1st floor there is an equally spacious basement.• On the 1st floor there is an area with 0 separate entrance, which is intended for 1 room, kitchen and bathroom.• There is a bathroom in the yard of the house.• The house is partially renovated, individual heating system is installed, European windows.• The house has a separate entrance, a spacious yard and 2 parking spaces.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code SKP128Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17516118
House,Monolith,300 sq.m.,3,6,3+,By agreement,2 spots,No Renovation,500 sq.m.,"Դավթաշենի 6-րդ փողոց 33/2, Երևան","$380,000",USD,"500 sq. M. Is for sale in the newly built residential district of Davitashen, next to Armenia TV. With land and 255 sq. M. Residential building with a unique terrace.The advantages of the district and private houses are:• Unique and distinctive design.• Separate blockchain approach.• Fenced district with a well-maintained yard.• Each private house has 500 m of land, garage.• 255 sq. M. Living space + terrace.• Wonderful view of Mount Ararat.• High seismic resistance.• Garage, basement, cellar are provided on the 1st floor.• 2nd floor: 1 bedroom with its own bathroom, separate bathroom, living room, kitchen, exit to the yard, open balcony.• 3rd floor: 3 bedrooms, 2 bathrooms, 3 open balconies.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code KR228Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17357006
House,Stone,440 sq.m.,2,8+,3+,Available,2 spots,Designer Renovation,1016 sq.m.,"Vahagni street, Yerevan","$880,000",USD,"In Vahagni, one of the best elite districts of Yerevan, a luxurious and unique 2-story private house with its spacious basement is for sale.• The house consists of 2 floors.On the 1st floor there is a living room, kitchen, 1 bathroom.On the 2nd floor: 3 bedrooms, 2 bathrooms, 1 laundry room.It also has a basement floor, where there is 1 spacious living room, 2 bedrooms, 1 bathroom.• The house has been completely renovated, European windows have been installed.• Heating and cooling is done through a centralized system.• The floors are covered with high quality laminate.• Bathrooms are fully tiled and equipped with quality sanitary ware.• The yard is landscaped, there is a swimming pool.• The house also has a garage for 2 cars.• There is a security service in the district, the streets are clean and well-maintained, garbage collection is carried out. There are mansions of various styles, townhouses, an artificial pond called ""Shunt"", the Ararat Valley Club with a swimming pool, large and small golf courses, tennis courts and a playground.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service provision without commission.Code RPC058Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18313720
House,Stone,700 sq.m.,1,5,1,By agreement,Not available,Euro Renovation,500 sq.m.,Yerevan › Davitashen,"$140,000",USD,The house is renovated. Has a basement orchard. There is a pot of bucks. There are separate buildings at the end of the plot. It is 150 meters away from the bus stop. The house is 196 sq. Is located at the intersection of 2 and 8 streets.Translated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18132341
Townhouse,Stone,430 sq.m.,2,6,2,Not available,1 spot,Major Renovation,,"Hovhannes Shiraz street, Yerevan","$450,000",USD,"3-storey newly built private house is for sale in Ajapnyak.The house is fully repaired, the windows are euro, it has all the utilities.There are 3 bathrooms.Climate control system, security system, garageSpecial note! Only buyers who want to buy an apartment through the agency will call.The apartment is displayed under a real estate display contract:Please have your ID.Service commission - 2% of the sale priceCode A679Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/9751252
House,Stone,600 sq.m.,1,6,3+,Available,3 or more spots,Major Renovation,600 sq.m.,"Vratsakan 2-nd lane, Yerevan","$190,000",USD,"A private house is for sale in Georgian 2nd alley.It is located in one of the busiest districts of Komitas Avenue. It is very close to SAS and Yerevan City supermarkets.The total area is 600 sq / m, of which 120 sq / m is residential.The house consists of:One 3-room,one 2-room,one of the renovated 1-room apartments ևfrom a large orchard.All the apartments are provided with constant water, gas, BAXI heating systems and all other communal facilities.* It is allowed to build a three-storey building in this area *The number has WhatsAppHouse in KomitasPrivate house in Komitascommittee:Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17885010
House,Stone,300 sq.m.,3,8+,3+,,,Partial Renovation,360 sq.m.,"Mush District, Yerevan","$275,000",USD,"The mansion is located in the elite Mush district, right next to Yerevan Park (Dalma Gardens)Yerevan is the fastest growing part of the city, as a result of which real estate prices will increase even more. Many apartment buildings are being built in the area.The house has a flat roof intended for a terrace.The first floor is a semi-basement, totaling 100 square meters, of which 45 square meters is a garage, the rest can be both residential and industrial space. There is a bathroom.Second floor: Large living room, kitchen, corridor and bathroom.Third floor: 4 bedrooms, closet, dryer and 2 bathrooms.The building is quite solid and was built in 2020.Electricity, water, gas are available.All roads are asphalted.The distance from Republic Square is 5.5 km.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18350450
House,Monolith,115 sq.m.,2,4,2,Not available,Not available,No Renovation,215 sq.m.,Yerevan › Avan,"$115,000",USD,"Address: Arinj, V. Teryan 9th street.The private houses are handed over from the outside, with doors and windows, the rooms are separated from the inside, the electricity is installed, plastered, the land is fenced, with all the main communications.We will have finished houses from October.If desired, the house can be handed over with interior decoration.Credit or cash? At least 30% down payment.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17455146
House,Stone,100 sq.m.,1,4,1,,,Euro Renovation,360 sq.m.,Yerevan › Shengavit,"$128,000",USD,A newly built house in Nerkin Charbakh with a solid foundation has a basement of 100m for sale with furnitureFor more information callTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18295796
House,Stone,604 sq.m.,3,8+,3+,,,Euro Renovation,1000 sq.m.,"Շրջանցիկ Թունել փողոց 57/3, Երևան","$450,000",USD,"VERY URGENT, below market price. 2-storey detached house for sale in Yerevan, on Bypass Tunnel Street (Koreai Dzor) The building area is 604 sq/m, the plot area is 1000 sq/m. The 1st floor is euro-renovated, and the 2nd floor is partial. It also has a basement and an attic. In the yard there are 2 swimming pools (also for children), a sauna with its bathroom, a summer pavilion with all its facilities. Only real buyers should call. NegotiableTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/15331208
House,Stone,100 sq.m.,2,4,2,Available,Not available,Old Renovation,269 sq.m.,"Vahe Vahyan street 29, Yerevan","$95,000",USD,"Շտապ վաճառվում է սեփական տուն, 2 հարկանի, ունի երկու մուտք երկու ուղղահայաց փողոցներից / Վահե Վահյան և Հրաչյա Ներսիսյան/։ Ամեն հարկը ունի առանձին մուտք իր սանհանգույցով, խոհանոցով և շատ հարմար է վարձով հանձնելու համար կամ երկու տարբեր ընտանիքների ապրելու համար։ Ունի երկու մեքենայի կայանման տեղ։ Ունի փոքր պարտեզ ծիրանի ծառով և խաղողով։ Առկա է առանձին օժանդակ կառույց /45 մ․ քառ․/։ ԳԻՆԸ ՊԱՅՄԱՆԱԳՐԱՅԻՆ։Срочно продается дом, 2-х этажный, имеет два входа с двух параллельных улиц /Ваге Вагян и Грачья Нерсисян/. Каждый этаж имеет отдельный вход со своим санузлом и кухней, что очень удобно для сдачи в аренду или для проживания двух отдельных семей. Есть парковочное место на две машины. Небольшой сад с абрикосовым деревом и виноградником. Есть отдельное помещение/ 45 м. ЦЕНА ДОГОВОРНАЯ.",Nov-24-2022_23-14,,,,https://list.am/en/item/17889621
House,Monolith,220 sq.m.,1,4,2,Available,2 spots,Major Renovation,430 sq.m.,Yerevan › Kentron,"$749,999",USD,"Capital built detached house in a small center for sale, call for detailsCode 50482Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18330424
House,Stone,260 sq.m.,3,4,2,Not available,1 spot,Partial Renovation,190 sq.m.,"Tairov street 1, Yerevan","$120,000",USD,"Վաճառվում է 3 հարկանի սեփական տուն Երևանի կենտրոնական ավտոկայանի և Հաղթանակ կամրջի միջնամասում: Առկա է նաև նկուղ և պտղատու ծառերով հողատարածք:Продается 3-х этажный частный дом в центре Еревана среди моста ""Победа"" и Центральный автовокзала. Есть подвал и земельный участок с фруктовыми деревьями. Посмотрите проект и картинки.3-storey private house is for sale in the middle of Yerevan և Victory Bridge. There is a basement and a plot of land with fruit trees. Look at the project and pictures.",Nov-24-2022_23-14,,,,https://list.am/en/item/16166295
House,Stone,120 sq.m.,1,4,1,By agreement,1 spot,Old Renovation,600 sq.m.,"Nor Aresh 35th street, Yerevan","$105,000",USD,Old renovation under the house basement agents please do not call under any conditionsTranslated from Armenian,Nov-24-2022_23-14,,,,https://list.am/en/item/18137209
House,Monolith,240 sq.m.,3,5,3+,Not available,3 or more spots,Partial Renovation,400 sq.m.,Yerevan › Avan,"$200,000",USD,"Very urgent 3-storey private house in the elite district of modern style. House area 240 square meters, land area 400. The house will be handed over to the buyer without cosmetic repairs, all the communications are available. There are hidden construction acts. Call for any other questions, we will be happy to answer all your questions.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17218272
House,Stone,145 sq.m.,3,6,3+,Available,1 spot,Major Renovation,20 sq.m.,"Դավթաշեն 1-ին թաղամաս 2/11, Երևան","$169,000",USD,"DAVTASHEN Hills, the new standard for your comfortable lifestyle️ From Anmijapet Developer Get beautiful newly built houses in Davitashen with the best conditions.According to the project, the construction up to the roof will be completed by the end of 2022.Each house will be 3-storey, with a separate ownership certificate, with an area of 145 square meters.The first floor is 58 square meters, the second floor is 58 square meters, the third floor is 29 square meters.There will be a yard, a cultivated plot and a parking lot next to the building of the house.The houses will be equipped with utilities and will be completely renovated.5 houses will be built according to the project, you can see the typical project of the houses in the picture.The cost of each house is $169,000.Before the end of the construction, we will accept buyers and we can sign a contract with a Notary.For more information callTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17918212
House,Bricks,88 sq.m.,2,3,2,,,Major Renovation,88 sq.m.,Yerevan › Shengavit,"$33,000",USD,"Yerevan line company offers you construction of quick-build houses with a metal base on the customer's plot.The cabins have:High degree of heat resistance and earthquake resistance.The price of 1 square meter starts from AMD 140,000.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/18346688
Townhouse,Monolith,160 sq.m.,2,4,3+,Not available,2 spots,No Renovation,212 sq.m.,"Petros Duryan district 5th street, Avan","$140,000",USD,"--ԳԻՆԸ ԳՈՐԾՈՒՄ Է ՄԻՆՉԵՎ ԸՆԹԱՑԻԿ ՏԱՐՎԱ ԱՎԱՐՏԸ -----Թաղամասը գտնվում է Երևանի կենտրոնից 9,5կմ, ՄԵԳԱՄՈԼ-ից ընդամենը 4,5 կմ, իսկ Ավանի Երևան Սիթի սուպերմարկետից՝ 1,5 կմ հեռավորության վրա։Շինության բնակելի մակերեսը - շուրջ 160 ք. ՄՏանիքի օգտագործվող հատվածը /терраса/ - շուրջ 90 ք. ՄԸնդհանուր հողատարածք - մինչև 175 ք. Մ / 7մx25մ/ՀԱՆՁՆՎԵԼՈՒ Է՝ ️Պարսպապատված:Արտաքին պատերը երեսապատված՝ համապատասխան եռաչափ տեսքի։Արտաքին դռներն ու լուսամուտները տեղադրված:Ներքին բաժանումները արած, պատերը գաջված:Продаются двухэтажные таунхаусы в Ереване / район Аван /, Армения.Жил. Площадь – 160 к. М,Терраса на крыше – 90 к. М,Общая площадь участка – 175 к. М.Таунхаусы сдадутся с облицовкой как показано на 3D, с внешними дверями, окнами и заборами в законченном состоянии. Внутри без отделки.Звоните: Viber, WhatsApp, TelegramԳործում է եկամտային հարկի վերադարձի օրենքը:#Տուն #տներ #կառուցում #վերանորոգում #townhouse #Таунхаус #շինարարությունTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17120649
Townhouse,Monolith,260 sq.m.,3,6,3+,,,Partial Renovation,292 sq.m.,Yerevan › Avan,"$160,000",USD,"Directly from the developerIt is located in Duryan district.Gas, water and electricity are availableParking for 3 carsopen roof and land for free.260 square meters of living spaceIt has a wonderful view of Masis mountain, Aragats mountain and the citytown housetown housetownhousetownhousetown housetown housetownhouseTranslated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/17876636
House,Stone,144 sq.m.,1,3,1,Not available,Not available,Old Renovation,330 sq.m.,"Erkatughayinneri 6-th street, Yerevan","$72,000",USD,"There is a separate one-room building in the yard, next to the residential house, which is currently used as a workshop. The roof of the house is high and can be used for different purposes. There is a basement in the area. The house has three-phase electricity. Energy, permanent water and gas.Translated from Armenian",Nov-24-2022_23-14,,,,https://list.am/en/item/16842310
