,Construction Type,New Construction,Elevator,Floor,Number of Rooms,Number of Bathrooms,Floor Area,Ceiling Height,Balcony,Renovation,Address,Price,Currency,Description
254,Stone,No,Not available,4 / 5,3,1,60 sq.m.,from 3 m,Open balcony,Major Renovation,"Mesrop Mashtots Avenue, Yerevan","$210,000",USD,"(BITCOIN)Վաճառվում է հիանալի բնակարան քաղաքի սրտում, Կասկադի հարևանությամբ, լավագույն շենքերից մեկում, 5 հարկանի քարե Ստալինյան շենքի 4-րդ հարկում: Բնակարանը կապիտալ ևրովերանորոգված է։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է բարձրակարգ սալիկներով և լամինատով: Բնակարանը կահավորված է գերժամանակակից գույքով և տեխնիկայով: Ջեռուցվում է գազի կաթսայով։ Սանհանգույցը սալիկապատված է իսպանական արտադրության սալիկներով: Բնակարանը ունի բաց պատշգամ, որից բացվում է գեղեցիկ տեսարան դեպի Մոսկովյան փողոց(Վաճառքը հնարավոր է նաև BITCOIN-ով:)Բնակարանը ցուցադրվում է անշարժ գույքի ցուցադրման պայմանագիր կնքելուց հետո:Ծառայության մատուցման միջնորդավճարը վաճառքի գնի 2%:"
255,Stone,No,Not available,3 / 5,3,2,95 sq.m.,from 3 m,Open balcony,Old Renovation,"Komitas Avenue, Yerevan","$126,000",USD,"3-room apartment is for sale on Arabkir, on Komitas avenue, on the 3-rd floor of 5-story stone building of Stalinyan / concrete roof / project. The entrance to the building is from the yard. The building is covered from the outside.The entrance door of the apartment is metal, the inside is made of oak, the parquet is made of oak, the height of the ceiling is 3.2 m, it has 4 external windows. The location of the windows is yard and street (Komitas ave) The apartment is moderately renovated (clean, sparsely populated) It is heated with electricity. With the stove, it 's awesome. There is an open balcony along the entire length of the apartment (overlooking Komitas Ave.), a balcony and a separate storage room. The bathroom is separate. The total area of the apartment is 95 square meters.There is a garage in the yard, sale is also possible with a garage.$ 105,000 Komitas Avenue, YerevanCode- N295:Stalin / with concrete cover / Stalin / with concrete cover /Translated from Armenian"
256,Panels,No,Available,8 / 9,3,1,71 sq.m.,from 2.75 m,Open balcony,Major Renovation,Yerevan › Ajapnyak,"$75,000",USD,"A two-room fully renovated apartment is for sale in 17th district, Ajapnyak, on the 8th floor of a 9-storey panel building on Nazarbekyan street.The area of the apartment is 71 square meters. It is provided with constant hot and cold water, has an individual heating system.The entrance door is metallic, the interior doors are high quality wooden, the bathroom is modern tiled, the floor is parquet.The apartment is furnished with built-in closets. The price also includes a 22 square meter garage.For details, please call.Translated from Armenian"
257,Stone,No,Not available,3 / 4,3,1,86 sq.m.,from 3 m,Open balcony,No Renovation,"Tigran Mets Avenue, Yerevan","$115,000",USD,"#BITCOIN:2-3-room clean apartment of 86 sq. M. Is for sale. On the 3rd floor of a 4-storey stone Stalin building* metal door, euro windows, bathroom and tiled bathroom* The floor is parquet-tiled, bright, projecting position, open-closed balcony, heating system,* A building designed by Stalin.Trading is also possible with BITCOIN (crypto exchange)The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceFor more details you can call the mentioned phone numbers.Translated from Armenian"
258,Monolith,Yes,Available,3 / 18,3,1,68 sq.m.,from 3 m,Open balcony,Euro Renovation,"SasnaTsrer street, Yerevan","$138,000",USD,"3 rooms, 18/3 floor, 68 sq. M., DAVTASHEN SASNA TSRERI street, NEWLY BUILT, repaired, euro windows, new tiled bathroom, heating system, kitchen studio, 2-bedrooms, open balcony, furniture + appliances. Code 3.04.164Translated from Armenian"
259,Stone,Yes,Available,3 / 7,1,1,41 sq.m.,from 3 m,Closed balcony,Major Renovation,Yerevan › Arabkir,,unknown,1 room apartment in a new building is for sale. It is capitally renovated.Translated from Armenian
260,Stone,No,Available,1 / 11,3,1,85 sq.m.,from 2.75 m,Not available,Major Renovation,Yerevan › Kentron,"$185,000",USD,"Koghbatsi street, small centerThe apartment has a heated floor, air conditioners, heating system, security system, iron door, euro windows, the entrance to the basement is 10 sq. M., which can be used as a pub, the apartment is for sale with furniture and appliances.Translated from Armenian"
261,Stone,No,Not available,4 / 4,3,1,89 sq.m.,from 3 m,Multiple balconies,Major Renovation,Yerevan › Kentron,"$175,000",USD,"Code 5 + 33673:3-room apartment for sale in Center. The apartment is located in a stone building of Stalin's design, renovated. Iron entrance door, parquet flooring, euro windows, tiled kitchen and bathroom.The apartment has an open and closed balcony, heating system, air conditioner.Sold with furniture and appliances.Translated from Armenian"
262,Stone,No,Not available,4 / 4,3,1,64 sq.m.,from 2.8 m,Not available,Major Renovation,"Davit Bek street, Yerevan","$59,000",USD,The apartment is fully renovated.The house has 3 bedrooms and a living room. The heating system is available. The windows have been changed. For sale together with the kitchen furniture. Water yard 300 liters Large spacious yard is installed. The roof is renovated. I am the ownerTranslated from Armenian
263,Stone,No,Not available,3 / 5,4,1,91 sq.m.,from 3 m,Multiple balconies,Major Renovation,Yerevan › Arabkir,"$187,000",USD,"Apartment for saleArabkir, Komitas Ave• 91 square meters area• 4 rooms5/3rd floor/stone/•thoroughly reconstructed•property/equipment• European windows/doors•Heating System•several balconies• sunnyTranslated from Armenian"
264,Monolith,Yes,Available,3 / 6,2,1,40 sq.m.,from 3 m,Closed balcony,Major Renovation,"Verin Antarayin street, Yerevan","$100,000",USD,"Community: Great centerArea: 40 square metersRooms: 2:Taxes: 3/6Condition: Capitally renovated, uninhabitedBuilding type: MonolithBathroom: 1Bedroom: 1Living room: 1Kitchen: 1Balcony: 1It has a beautiful view of the Cascade, a bright apartment on the side. Ceiling height 3 m.All utilities are available.The apartment is for sale without property.Code GS 545:Translated from Armenian"
265,Stone,No,Not available,2 / 5,2,1,58 sq.m.,from 3 m,Open balcony,Major Renovation,"Tigran Mets Avenue, Yerevan","$85,000",USD,"2-room apartment for sale on Tigran Mets Avenue, on the 2-nd floor of a 5-storey building built by Stalin's design, Iron entrance door, European-made windows, laminate floor, Tiled bathroom, Gas, Permanent hot and cold water, Individual heating system, Open balcony, near the bus stop.The commission fee of the agency is 2%, an exhibition contract is signed for the exhibition of the apartment. Please have your ID.Translated from Armenian"
266,Panels,No,Available,3 / 16,4,2,100 sq.m.,from 2.7 m,Not available,Major Renovation,"Aygestan 10th street, Yerevan","$183,000",USD,"Այգեստան փողոցում վաճառվում է 4 սենյականոց բնակարան 100 ք. Մ. Մակերեսով, որը գտնվում է 16 հարկանի շենքի 3-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է: Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչներ, հատակը ծածկված է որակյալ մանրահատակով: Ջեռուցվում է ջեռուցման համակարգի միջոցով: Սանհանգույցը և լոգարանը սալիկապատված են, հագեցած են սանտեխնիկայով:"
267,Monolith,No,Available,12 / 12,2,1,65 sq.m.,from 2.7 m,Closed balcony,Partial Renovation,"Gai avenue, Yerevan","$66,000",USD,"Nor-Nork 2nd block, The roof is in good condition, the apartment is partially renovated, has a beautiful view, an iron door, a functioning fireplace, It has an area on the roof that can be used as an apartment, it also has a stone garageTranslated from Armenian"
268,,,,,,,,,,,,,,
269,Panels,No,Available,4 / 9,2,1,65 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Bagratunyats Avenue, Երևան","$75,000",USD,2 rooms for sale. Bn. Capital renovated heating system along with furniture and appliances.Translated from Armenian
270,Stone,Yes,Available,5 / 5,3,1,75 sq.m.,from 2.8 m,Not available,Major Renovation,"Manandyan Street, Yerevan","$78,000",USD,"3 rooms for sale. Bn. Completely renovated near the square. Closed and open balcony, windows of European production, heating system. /Translated from Armenian"
271,Stone,No,Not available,5 / 5,1,1,35 sq.m.,from 2.75 m,Open balcony,Major Renovation,"Nalbandyan street, Yerevan","$175,000",USD,"1 room apartment is for sale, capitally renovatedOn the 5th floor of a 5-storey building, with an area of 35 square meters.It has an open balcony, it is for sale together with the property and equipment.It is a bright apartment on the side.Translated from Armenian"
272,Monolith,Yes,Not available,2 / 4,2,1,47 sq.m.,from 3 m,Open balcony,No Renovation,Yerevan › Nork-Marash,"19,800,000 ֏",AMD,"Casa di Famiglia residential complex.The price of 1 square meter starts from $900.There are apartments of 41, 45, 47, 49, 67, 80, 115, 130 square meters.Underground parking.$10,000 for 1 bedroomStart of construction 30.08.2022End 30.08.2023The residential building will be located on the 5th street of Nork on the 1st line. From the first floor of the building there is a wonderful view of Mount Ararat and the city of Yerevan. Nearby are:Shops 100 meters, supermarket 300 meters, school 100 meters, city transport stops 50 and 150 meters. Norki Church 300 meters.The distance from Republic Square is 3 km.The building will be handed over as follows.The inner walls are built,windows and exterior door installed,The entrance to the building is renovated, the yard is improved.The building will have a separate yard.The sale is carried out by the developer.Currently, the apartments are being booked.Translated from Armenian"
273,Stone,No,Not available,3 / 5,1,1,40 sq.m.,from 3 m,Open balcony,Major Renovation,"Hakob Hakobyan Street, Yerevan","$70,000",USD,"One-room apartment for sale in Stalin, Naghaghidze, the floor is laminate, the kitchen is tiled, the windows are of European production, it is on the right side, it has an open balcony;Ad number: N177:Translated from Armenian"
274,Stone,No,Not available,2 / 4,1,1,38 sq.m.,from 2.7 m,Closed balcony,Partial Renovation,"Fuchik street, Yerevan","$41,000",USD,"Partially renovated, parquet, corridor, kitchen and bathroom tiled, windows of European production, gas, hot / cold water, electric wires and pipes changed, m / d iron.Translated from Armenian"
275,Stone,No,Not available,4 / 5,1,1,47 sq.m.,from 2.8 m,Closed balcony,Major Renovation,Yerevan › Nor Nork,"$56,000",USD,"Code: 10 + 10833A 1-2 room converted, fully renovated apartment is for sale in Nor Nork, in the 4th block, on Gyulikekhvyan street. The apartment is located on the 4th floor of a 5-storey stone building. It has a closed balcony. The entrance door is metallic, the windows are of European production, the floor is laminate.He is on the side.Translated from Armenian"
276,Panels,No,Available,8 / 9,3,1,89 sq.m.,from 2.75 m,Closed balcony,Old Renovation,"Zakaria Sarkavag street, Yerevan","65,000 ֏",AMD,"A 34-room apartment is for sale in Kanaker, a headquarters for sale. Please do not call the agents.Translated from Armenian"
277,Stone,No,Not available,4 / 4,3,1,103 sq.m.,from 3 m,Multiple balconies,Old Renovation,"Tumanyan street, Yerevan","$160,000",USD,"A 3-room apartment with a sunny position is for sale in a stone building of the Stalinist project, on Tumanyan Street. The apartment is in state condition. There is constant water, gas. The floor is covered with parquet.Translated from Armenian"
278,Panels,No,Available,8 / 10,1,1,40 sq.m.,from 2.7 m,Not available,Major Renovation,"Yervand Kochar street, Yerevan","$71,000",USD,"Կապիտալ վերանորոգված, եվրո/դռ. ԵՒ պատուհան. , մշտական ջուր, գազ, կոնդիցիոներ, վերելակ։"
279,Panels,No,Available,2 / 9,2,1,72 sq.m.,from 2.8 m,Closed balcony,Euro Renovation,"Ghapantsian street, Yerevan","$77,000",USD,"2-room apartment for sale, together with property and equipment.The apartment is fully renovated, has BAXI heating system.Windows of European production.Translated from Armenian"
280,Stone,No,Not available,5 / 5,3,1,63 sq.m.,from 2.75 m,Not available,Cosmetic Renovation,"Margarian street, Yerevan","$66,000",USD,"CODE 6981:2-turned 3-room apartment with an area of 62 square meters is for sale, located on Margaryan street, on the 4-th floor of a 4-storey building.The apartment is fully repaired, individual heating system is installed, euro windows, the floor is covered with laminate։ tiles.The bathroom։ the kitchen is covered with European tiles են they are equipped with sanitary ware. The rooms and the kitchen are furnished են are provided with household appliances.There is a closed balcony.Parks, banks, shops, schools, cafes and transport stops are nearby.Translated from Armenian"
281,Panels,No,Available,7 / 9,2,1,48 sq.m.,from 2.7 m,Closed balcony,No Renovation,"Garegin Nzhdeh Street, Yerevan","$50,000",USD,"1-2 rooms for sale. Apt. Good condition, near the bus stop. /Translated from Armenian"
282,Stone,No,Not available,1 / 5,2,1,78 sq.m.,from 3 m,Not available,Major Renovation,"Tamanyan street, Yerevan","$250,000",USD,"2-room apartment for sale, 78 sq. M. Մ. Located on Tamanyan street, in Cascade, on the 1st floor of a 5-storey stone building. The apartment is fully renovated. Iron door, euro windows are installed, the floor is covered with laminate. It is heated by a gas boiler. The bathroom is tiled, equipped with sanitary ware. From the bedroom window opens a beautiful view of Casca Park. For sale together with kitchen furniture and built-in cabinets.In case of questions related to the apartment or to get acquainted with other properties, please call the mentioned phone number.Sincerely, PROJECT Real Estate Agency.Translated from Armenian"
283,Stone,No,Not available,1 / 5,4,1,83 sq.m.,from 2.75 m,Not available,Partial Renovation,Yerevan › Malatia-Sebastia,"37,000,000 ֏",AMD,"A 4-room apartment is for sale in Araratyan 1st block. It is renovated, has European windows, metal doors, heating system, built-in closets, basement. At the back of the house there is a small garden with fruit trees and a flower garden. We can exchange it with a private house for a surcharge. (Actually 90 square meters + basement)Translated from Armenian"
284,Panels,No,Available,1 / 9,4,1,82 sq.m.,from 2.7 m,Closed balcony,Partial Renovation,"Khaghag Don street, Yerevan","$67,000",USD,"Վաճառվում է բնակարան Խաղաղ Դոնի փողոցում ` 9 Հարկանի պանելային շենքի բարձր 1-ին հարկում, Բնակարանի մուտքի դուռը երկաթյա, Լուսամուտները եվրոպական արտադրության, Նախասրահի և խոհանոցի հատակը ծածկված է սալիկներով, Հյուրասենյակի և ննջասենյակների հատակը ծածկված է լամինատով, Սանհանգույցը սալիկապատ, Գազ, Մշտական տաք և սառը ջուր, Անհատական ջեռուցման համակարգ, Նկուղ, Բնակարանը ունի նաև մոտ 60Քմ հողատարածք:"
285,Stone,No,Not available,4 / 4,4,1,98 sq.m.,from 2.7 m,Open balcony,Partial Renovation,"Vardanants Street, Yerevan","$140,000",USD,"Վերանորգված, եվրոպատուհաններ, մանրահատակ, ջեռուցման համակարգ, սանհանգույցը և խոհանոցը սալիկապատ, կահույքով"
286,Panels,No,Available,5 / 9,1,1,47 sq.m.,from 2.75 m,Closed balcony,Old Renovation,Yerevan › Ajapnyak,"$43,000",USD,"Բնակարանը ունի երկաթյա դուռ, մանրահատակ, փակ տնտեսական պատշգամբ, սանհանգույցը հին սալիկապատ, պետական բնակելի վիճակ, գազ, մշտ․ ջուր, կանգառին մոտ։"
287,Monolith,Yes,Available,8 / 15,3,1,81 sq.m.,from 3 m,Open balcony,No Renovation,"David Anhaght street, Yerevan","51,000,000 ֏",AMD,Davit Anhaght streetNew building15/8 floor3-room81 sq. M.Plaster:Open balconyBeautiful viewTranslated from Armenian
288,Stone,No,Not available,2 / 4,5,1,256 sq.m.,from 2.7 m,Multiple balconies,Old Renovation,Yerevan › Kanaker-Zeytun,"$85,000",USD,"Կոդ՝ M-20505Վաճառվում է 5 սենյականոց բնակարան Քանաքեռում՝ 3 հարկանի քարե շենքի 1-ին հարկում: Բնակարանը պետական վիճակում է: Մուտքի դուռը՝ երկաթյա, պատուհանները՝ փայտյա, հատակը՝ մանրահատակ: Սանհանգույցը՝ առանձին, էլ. Լարերը՝ փոխված: ՈՒնի քարե ավտոտնակ, փակ և բաց լոջաներ, խորդանոց մուտքում և բնակարանում, մշտական ջուր և գազ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An apartment for sale in Qanaqer. The rooms' quantity is 5 (a hall and 4 bedrooms) The apartment is in the state condition and is located on the ground floor of the 3-storey stone building. The entrance door is iron-made, the windows are wooden, the floor is covered by parquet. The bathroom is separate, the electric wires are newly changed. The apartment has a stone garage, balconies, storage-room (in the apartment, in the entry) and is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You."
289,Monolith,Yes,Available,4 / 6,4,2,121 sq.m.,from 3 m,Open balcony,No Renovation,"Leningradyan street, Yerevan","$145,000",USD,"For sale: 4 rooms. Apartment M. In the community of Sebastia, in a newly built building, the apartment is in zero condition, it has double-sided windows, it faces the sun, it has two bathrooms, there are all the necessary facilities nearby;Translated from Armenian"
290,Stone,No,Not available,5 / 5,3,1,76 sq.m.,from 3 m,Closed balcony,Major Renovation,Yerevan › Kentron,"$150,000",USD,"Code 3 + 31918:3-room apartment is for sale on Baghramyan avenue. The apartment is fully renovated. It is located in a stone building of Stalin's design. The entrance door is iron, the floor is laminate, the windows are euro, the bathroom is tiled.The apartment has a balcony, air conditioner, heating system.For sale together with furniture and equipment.Translated from Armenian"
291,Monolith,Yes,Available,15 / 16,6,3+,165 sq.m.,from 3 m,Multiple balconies,Designer Renovation,"Amiryan Street, Yerevan",,unknown,"Code 12765 3 3-room apartments are for sale in Kentron community, on Amiryan street. Located on the 15th floor of a 16-storey new building. The total area is 165 square meters. It is capitally renovated, provided with all the communal amenities. There is an open balcony. All the necessary shops are nearby.Translated from Armenian"
292,Stone,No,Not available,4 / 4,1,1,48 sq.m.,from 2.75 m,Open balcony,Major Renovation,"Orbeli Brothers street, Yerevan","$60,000",USD,"The apartment is in normal condition, gas, constant hot and cold water, it is a very warm apartment. The apartment overlooks Mount Ararat and Aragats. It has an open balcony. The apartment is located on Orbeli streetTranslated from Armenian"
293,Panels,No,Available,9 / 16,4,2,100 sq.m.,from 2.75 m,Multiple balconies,Major Renovation,"Նորաշեն թաղամաս, Երևան","$81,000",USD,"Շտապ վաճառվում է արևկող ու ընդարձակ 4 սենյականոց բնակարան Երեւանում, Նորաշեն, (16 թաղամաս), 2րդ շղթայում, 16 հարկանի շենքի 9-րդ հարկում.Կապիտալ վերանորոգված է, հոսանքի, ջրի, կոյուղու գծերը ամբողջությամբ, ինչպես նաեւ հատակը, առաստաղը, պատերը և պատուհանները փոխվել են նորով:Նոր խոհանոցի կահույք (դոմուս)Վերանորոգվել է բարձրորակ շինանյութով ու երկարատեւ ապրելու համար:Հիմնովին վերանորոգվել են 2 սանհանգույցները, տեղադրված է նոր լոգարան, զուգարանակոնք, լվացարան, տաք հատակ։Տունը ապահովված է մշտական ջրով, գազով, ինտերնետով։ ջեռուցումը - Բաքսի, բոլոր սենյակներում։Շենքում գործում է 2 վերելակ (նոր և հին), շենքի մուտքը վերանորոգված է, տեսակսկվում է։2 կողմից նոր վերանորոգված այգիներ են խաղահրապարակով, շատրվաններով և գեղեցիկ արահետներով: Մոտակայքում գտնվում են խանութներ, մանկապարտեզներ, դպրոցներ։ Վաճառքը կարելի է դիտարկել նաեւ կահույքի հետ միասինСрочно продается солнечная просторная 4х комнатная квартира в Ереване, район Норашен (16-Квартал), вторая цепочка.Квартира находится на 9м этаже 16-этажного жилого дома.Был произведен капитальный ремонт, включая всю электрику, канализацию, водопроводы, полы, стены, потолки, окна (установлены евро окна), новая кухонная мебель (Домус) Все делалось для себя, в лучшем виде.Были с нуля ремонтированы 2 санузлы, установлена ванна, теплый пол в ванной комнате.Постоянная вода, газ, интернет.Отопление - газовое, система Бакси (Baxi), во всех комнатах.Также в доме недавно был установлен новый лифт, ремонтирован подъезд (входная зона), и дворы с обеих сторон дома, с детскими площадками, игровыми и прогулочными зонами, фонтанами, парком, все очень современно и красиво.Рядом с домом магазины, школы и садики, все в шаговой доступности.Можем рассмотреть продажу с мебелью.A very warm and sunny spacious 4-room apartment is urgently for sale in Yerevan, Norashen district (16 Kvartal), second chain.The apartment is located on the 9th floor of a 16-floor residential building.General renovation was made, including all electricity, sewage, water pipes, floors, walls, ceilings, windows (installed European windows), new kitchen furniture (Domus) Everything was done for myself, in the best way.2 bathrooms were renovated, a bathtub was installed, a warm floor in the bathroom.Permanent water, gas, internet.Heating - gas, Baxi system, in all rooms.Also, a new elevator was recently installed in the house, the entrance area was renovated, and the yards on both sides of the house, with children's playgrounds, play and walking areas, fountains, a park, everything is very modern and beautiful.Near the house are shops, schools and kindergartens, everything is within walking distance.We can consider selling with furniture."
294,Stone,No,Not available,5 / 5,2,1,100 sq.m.,from 2.75 m,Multiple balconies,Euro Renovation,"Nansen street 15, Yerevan","$69,000",USD,"It has an additional part of 49 sq. M., the roof is repaired.The windows have been changed, the iron door, the water pipes, the plumbing have been completely changed.Heating system is installed.It is for sale with property, it is possible without property.Zero nine eight sixty-six sixty-six eighty-six.Translated from Armenian"
295,Monolith,Yes,Available,7 / 9,3,1,92 sq.m.,from 2.8 m,Open balcony,Major Renovation,"Tsarav Aghbyuri Street, Yerevan","$115,000",USD,"A spacious 3-room fully renovated apartment is for sale on Tsarav Aghbyur street, in a newly built residential district.• The apartment was put into operation in 2016 and has not been inhabited.• The apartment has an open balcony with a wonderful view.• Iron entrance door, euro windows, high quality interior doors are installed.• The floors are covered with oak parquet and the bathroom is tiled.• If desired, parking is provided at an additional cost.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceTranslated from Armenian"
296,Panels,No,Available,4 / 16,3,1,82 sq.m.,from 2.75 m,Not available,Major Renovation,"Aygestan 9th street 69, Yerevan","$116,000",USD,"A 3-room apartment is for sale behind the John Kirakosyan school (former school after Derzhinsky)• The apartment is fully renovated, iron entrance door, European windows are installed.• Heating is provided by individual heating system, there is an air conditioner.• The floors are covered with oak parquet.• Bathroom and bathrooms are tiled.• The window offers a beautiful view of Mount Ararat.• The apartment is for sale with all the property and equipment.• The elevator of the building has been changed.For other details, write or call the mentioned numbers.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale price.Translated from Armenian"
297,Panels,No,Available,6 / 9,1,1,46 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Toumanyan block, Yerevan","$57,000",USD,"Code 3 + 101423:A 1-2 room converted apartment is for sale in Tumanyan district. The apartment has a closed balcony, heating system, air conditioner. Iron entrance door, European windows, oak parquet floor. For sale together with kitchen furniture and appliances. He is on the side.Translated from Armenian"
298,Stone,No,Not available,1 / 4,3,1,116 sq.m.,from 3 m,Open balcony,Cosmetic Renovation,"Abovyan street, Yerevan","$150,000",USD,"An apartment is for sale on Abovyan street.The apartment is located on the 1st floor of a 4-storey building.The building is a Kare Stalin project.The first and second floors are separated and converted into two apartments.It has an open balcony, railings, heating system, constant water, gas.Translated from Armenian"
299,Panels,No,Not available,1 / 5,3,1,76 sq.m.,from 2.75 m,Closed balcony,Old Renovation,"Mazmanyan Street, Yerevan","$67,000",USD,"The apartment has a stone garage, two basements, natural gas, permanent water, heating system, euro windows, the bathroom is tiled, the entrance door is made of iron, it is located on both sides, near the bus stops.Translated from Armenian"
300,Monolith,Yes,Not available,5 / 5,3,1,76 sq.m.,from 3 m,Multiple balconies,Euro Renovation,"Vilnyus street 13/6, Yerevan","$70,000",USD,"The apartment is provided with a heating system, the floor is wooden parquet, the interior doors մեկի the furniture of one of the bedrooms is wooden. There is one closed and one open balcony, the latter is closed with an electric blind. There is a parking lot on the first floor of the building, the building was put into operation in 2014. In. For sale together with furniture and equipment. The price is final.Translated from Armenian"
301,Panels,No,Available,5 / 9,3,1,86 sq.m.,from 2.8 m,Closed balcony,Euro Renovation,Yerevan › Kanaker-Zeytun,"$95,000",USD,"Kanaker-Zeytun - Armen TigranyanI am selling a 3-room, projected, 4-room apartment (windows to the south-south-west), converted into 4-room, with furniture and appliances. There is built-in furniture in the kitchen, in the lobby, everything is left in the big bedroom. If you wish, for an additional fee (7000) you can buy a garage, which is located right next to the house, right on the wall of the house. Good infrastructure. Victory Park is within walking distance of 4 minutes. Stop Նոր ""Nor Zovk"" and ""Carrefour"" supermarket 2 minutes, to ""Yerjan City"" 10 minutes, there are other grocery stores, household goods, appliances shop nearby.Translated from Armenian"
302,Stone,No,Not available,2 / 5,3,1,80 sq.m.,from 3 m,Not available,Old Renovation,"Ալեկսանդր Սպենդարյանի փողոց 6, Երևան","$175,000",USD,"#BITCOIN:Great option. 2-3-room apartment for sale in the heart of Yerevan 80 sq. M. Մ. Area, on the 2nd floor of a 5-storey Stalin building.* The apartment has a closed balcony, which can be opened* The apartment is old renovated.* Windows of European production, the floor is covered with parquet.* The apartment has an excellent floor, two-sided position, windows to Spendaryan* Metal garage with extra charge.* Hurry up to get this wonderful apartment, we look forward to hearing from you.(Sale is also possible with BITCOIN.)The apartment is displayed after signing a real estate display contract.Service commission 2% of the sale price.Translated from Armenian"
303,Panels,No,Not available,5 / 5,1,1,36 sq.m.,from 2.7 m,Not available,Partial Renovation,"Aeracia street, Yerevan","$36,000",USD,"Urgent 1 room turned into 2 apartment is for sale on Aeratsia street, on the 5-th floor of a 5-storey building, 36 sq. M. The entrance door is metallic, the electric wires and water pipes are changed, the windows are of European production, the floor of the corridor-kitchen is tiled, the bathroom is tiled / Czech. , has gas supply, has a gas boiler.The apartment is partially renovated.CODE 1-109:Translated from Armenian"
304,Monolith,Yes,Not available,1 / 4,4,2,145 sq.m.,from 2.8 m,Not available,Major Renovation,"Lvovyan street, Yerevan","$185,000",USD,"Code- NZ192:Apartment for saleNor Nork, Lvovyan str.• 145 square meters• 4 rooms• 4 / 1st floor / newly built /_•thoroughly reconstructed• Property and equipment• Euro windows• heating• 2 bathrooms• Open balcony• Separate parking - $ 10,000Translated from Armenian"
305,Stone,No,Not available,1 / 5,2,1,52 sq.m.,from 2.75 m,Closed balcony,Major Renovation,"Fuchik street, Yerevan","$56,000",USD,"Ajapnyak, Fuchik streetOn the HIGH 1st floor of a 5-storey stone building,52 sq. M., 2 rooms,The apartment is renovated,There is a heating system,Adjacent is an orchard, it is possible to open a separate entrance.Translated from Armenian"
306,Panels,No,Available,7 / 9,4,1,87 sq.m.,from 2.75 m,Multiple balconies,Major Renovation,Yerevan › Davitashen,"$85,000",USD,"Code: 4 + 405104-room fully renovated apartment is for sale in Davitashen, 2nd district. The apartment is located on the 7th floor of a 9-storey panel building. It has an open and closed balcony.The entrance door is metallic, the windows are of European production, the parquet is oak.Heating system is installed.Translated from Armenian"
307,Monolith,Yes,Available,16 / 23,4,2,175 sq.m.,from 3 m,Open balcony,Designer Renovation,"Vardanants Street, Yerevan",,unknown,"Կապիտալ դիզայներական ոճով վերանորոգվածգեղեցիկ տեսարան,ջեռուցման համակարգկոնդիցիոներսանհանգույցը սալիկապատված բարձրորակ նյութերովլոգախցիկ բոլոր հարմարություններովշքեզ բնակարան քաղաքի սրտում կա նաև ավտոտնակ"
308,Stone,No,Not available,2 / 5,1,1,40 sq.m.,from 2.75 m,Open balcony,Major Renovation,"Tpagrichner Street, Yerevan","$120,000",USD,Apartment for sale1 roomOn the 2nd floor of a 5-storey stone buildingThe apartment is fully renovatedfor sale together with the propertyhas an open balconyTranslated from Armenian
309,Stone,No,Not available,5 / 5,3,1,80 sq.m.,from 2.7 m,Closed balcony,No Renovation,"Shopron street, Yerevan",,unknown,"State conditionPermanent water, gasSide:UrgentTranslated from Armenian"
310,Panels,No,Available,5 / 9,1,1,44 sq.m.,from 2.8 m,Not available,Partial Renovation,"Vagharsh Vagharshyan street, Yerevan","$55,000",USD,"Urgent! One room apartment is for salePartly renovated Floor: Parquet, tiled bathroomWindows of European productionHas individual heating system,He is on the side.For more information callAdvertisement number -N325:Agency:Translated from Armenian"
311,Monolith,Yes,Available,10 / 14,4,3+,170 sq.m.,from 3 m,Open balcony,Major Renovation,"Dzorapi street, Yerevan","$380,000",USD,"4-room apartment on Dzorap street for sale. There are 3 bathrooms, 3 open balconies, air conditioner, heating system. Renovation: Capital with European solutions. There is an elevator in the building, for sale together with property and equipment. It is possible to sell with 2 parking spaces for an additional fee.Leave your message or call the mentioned phone number for details.Translated from Armenian"
312,,,,,,,,,,,,,,
313,Monolith,Yes,Available,10 / 18,3,2,145 sq.m.,from 3 m,Multiple balconies,No Renovation,"Abovyan street, Yerevan",,unknown,"3.4 and 5-room apartments are for sale on Abovyan Tumanyan crossroads, newly built elite building, interior decoration works are unfinished, there are 145-250 square meters apartments, call for details.Translated from Armenian"
