Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Retail Space,Stone,50 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Charentsavan,"$75,000",USD,"A fully renovated area is for sale in Charentsavan, in a very busy place, it is leased for a long time and provides a stable income, in case of purchase the rent continues.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17638067
Multifunctional Space,Stone,80 sq.m.,,,,,Kotayk › Abovian,"$75,000",USD,"Urgent. The store is located in c. For details of the current business in the vicinity of Abovyan Stadium, call: NegotiableTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18062072
Retail Space,Stone,55 sq.m.,,,,,"2-րդ թաղամաս 7, Չարենցավան","$60,000",USD,"Renovated, with bathroom, on the roadTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18370209
Functioning Business,Stone,1640 sq.m.,,,,,Kotayk › Garni,"$296,000",USD,"Recreation area with an area of 1640 square meters near Geghard Monastery, in Goght communityThere are 3 pavilions for 20 people, one pavilion for 40 people, a stone building with an area of 70 square meters, two bathroomsThe land is suitable for building a restaurant complexCode 0100265Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17616208
Functioning Business,Stone,1200 sq.m.,Available,Not available,Other,Common from the Street,Kotayk › Teghenik,"$285,000",USD,Vacation zone for sale. For more information callTranslated from Armenian,Nov-24-2022_17-55,OUtdoor parking,https://list.am/en/item/18122550
Functioning Business,Stone,5787 sq.m.,Available,Not available,Second Line,Separate from the Street,Kotayk › Abovian,"275,000,000 ֏",AMD,"Livestock farm with its own licensed slaughterhouse and animals for saleThe farm has a security system with 27 cameras, three-phase running water and constant waterhas 5 barns, 4 of which are pigsty 700m2, 1 cow barn 550m2, residential house for employees 40m2, warehouse 30m2, chicken coop 20m2, rest room 18m2, pavilion 70m2, director's room 45m2, residential house as summer house 140m2 with its 450m2 plot, toilet with bathroom newly built and repaired.Total 1400m2 buildingHam - 60 pcswild boar - 3 pcsdifferent sizes of cups - 80-100 pcs1 English thoroughbred horsesolar energy station-5.7kvfree land area 3260m2It is possible to exchange with the apartment for an additional fee on your partthe license of the slaughterhouse is indefiniteI will listen to reasonable suggestionsCan be closed with 50% down paymentIt is possible to partially only the cowshed with its communications 515m2Farm farm barn barnsTranslated from Armenian",Nov-24-2022_17-55,OUtdoor parking,https://list.am/en/item/15435814
Functioning Business,Stone,2000 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Yeghvard,"$140,000",USD,"Code ID3496Exclusive saleA farm with an area of 2000 square meters is for sale. There are 3 buildings, an aviary, a private house, three-phase electricity, constant water, gas.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17337030
Automotive Service,Stone,615 sq.m.,,,,,"4-րդ թաղամաս 3, Չարենցավան","120,000,000 ֏",AMD,Details by phoneprice to the contractexchange with an apartment in Yerevan for an additional fee from youthe area of the building is 550 sq/mopportunity to expand the landTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/10492972
Industrial and Manufacturing,Stone,1240 sq.m.,,,,,Kotayk › Abovian,"$650,000",USD,First line. Public developmentTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18200173
Retail Space,Bricks,340 sq.m.,Not available,Not available,First Line,Separate from the Street,"1-ին փողոց 1, Բալահովիտ","$120,000",USD,Продаётся магазин 120кв. Мс общей площадью340кв. М земельного участка. Имеется все коммуникации. Магазин находится на первой улице,Nov-24-2022_17-55,,https://list.am/en/item/16508093
Functioning Business,Monolith,230 sq.m.,,,,,"4th microdistrict 72, Abovyan","$115,000",USD,"An operating business for sale, a carpet washing station that has been operating for about 8 years with its own equipment, a strainer, 2 powerful washers, a dryer that allows the business to operate in the winter as well, and a dry cleaning service is included in the business, a dedicated area for 3 businesses (next to the house), 3 boxes together. 100m behind land 130m total 230 sq. M has possibility to expand has water light single phase electricity security system provides high income call for informationTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18209774
Building,Stone,1289 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"7-րդ միկրոշրջան 1, Աբովյան","$160,000",USD,"House for sale in Abovyan. 6 room Located in the city of Abovyan. 7 micro-district 7th micro-district 1, Abovyan empty state Land area 800 sq. M., living area 489 sq. M. Basement, fenced The building has a three-storey garage, which is suitable for organizing some business, I will exchange it with an apartment in Yerevan, or the final price will be discussed.: Call for more informationTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17250603
Everything Else,Stone,930 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Zovk,"6,500,000 ֏",AMD,"A plot of land for rural purposes is for sale, with a two-lane road, electricity, gas, and water. It is possible to make it near the house. NegotiableTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18097363
Industrial and Manufacturing,Panels,750 sq.m.,,,,,Kotayk › Abovian,"$150,000",USD,A workshop is for sale.The panel building is 230 sq. M. Մ. The land is 750 sq. M. Մ.Two-way electricity 400kV and 10kVPrivatizedTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17735605
Everything Else,Monolith,"20,000 sq.m.",Not available,Not available,Other,Common from the Street,Kotayk › Jrvezh,"$140,000",USD,"Lake for sale (or for rent) 3 hectares 3 km away from Yerevan, of which 2 hectares lake, FISHERIES, orchard, recreation area, there is a building and fish ponds in the area, you can see the lake by pointing through Google karta (Lake Arai) the name. Price is negotiable. At the moment it operates as a Ara Lake fishing recreation area.Urgent, UrgentTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/13466624
Retail Space,Monolith,75 sq.m.,,,,,"Kentron block, Hrazdan",$500,USD,"Exchange. An area of public importance is for sale or exchange in Hrazdan city center district. Separate capital building, with all communal facilities, 2 entrances, is located in the yard of 9-storey buildings. Suitable for any activity. Details for call:Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17590747
Retail Space,Stone,64 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Hrazdan,"$35,000",USD,"It is located in Hrazdan district committee (violet building), operating Business, currently operates as a grocery store. It is located in a residential building, which is suitable for a grocery store, for details call the mentioned number.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16546423
Restaurant,Stone,"13,000 sq.m.",Not available,Not available,First Line,Common from the Street,Kotayk › Abovian,"$890,000",USD,"Business premises for sale in Abovyan, Balahovit, 700 sq. M. Building, 13000 sq. M. Land, the whole area is fenced, has water, electricity, sewerage, can be used for any business activity, Restaurant complex, Hotel complex, for production, urgent sale.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.Code 0122Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/11747757
Multifunctional Space,Stone,104 sq.m.,,,,,"Կենտրոն թաղամաս 40, Հրազդան","$52,000",USD,For more information callNEGOTIABLETranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16298462
Industrial and Manufacturing,Monolith,"11,000 sq.m.",,,,,Kotayk › Yeghvard,"$350,000",USD,"Продается действующий завод сборных железобетонных конструкции.Общей площадью 11000 кв. М в составе имеется:1 орошаемый плодоносный сад площ. Около 4000кв. М2 офисное каменное здание площ 120кв. М3.арматурный цех все необходимые оборудование4.бетонный узел производительность 1200л5.линия для производства панелей.6.башенный кран грузоподемн. 8тн7.выбростоль, ножницы гиб, разные станки8 металлическые формы для производства около 30 наименовании сб ж/б конструкции",Nov-24-2022_17-55,,https://list.am/en/item/18369062
Restaurant,Stone,1500 sq.m.,Available,Not available,First Line,Common from the Street,"Պահլավունյաց փողոց 11, Ծաղկաձոր","$450,000",USD,"The price will be negotiated for the real buyer. The buildings are 300 square meters, the land with a certificate is 1125 meters, the parking lot is 400 meters.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17180175
Restaurant,Stone,"10,000 sq.m.",,,,,Kotayk › Garni,"$950,000",USD,Restaurant complex in Garnu Dzor Stone Symphony complex for rentTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18055272
Automotive Service,Stone,350 sq.m.,Not available,Not available,First Line,Common from the Street,"Проспект Зоравара Андраника 32, Раздан","2,000,000 ֏",AMD,"РАБОЧИЙ БИЗНЕС, на центральной дороге",Nov-24-2022_17-55,,https://list.am/en/item/18368633
Retail Space,Stone,30 sq.m.,Not available,Not available,First Line,Separate from the Street,"4th microdistrict, Abovyan","$40,000",USD,A shop of 30 square meters is for sale or rent. Haszen c. Abovyan 4 microdistrict ED. AV. 1/26/15. Private water and bathroom renovated. The price is negotiable. For more information call.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18368502
Retail Space,Stone,35 sq.m.,Not available,Not available,Second Line,Common from the Street,"Hanrapetutian Avenue 20, Abovyan","$75,000",USD,Վաճառվում է գործող բիզնես մթերային խանութ Աբովյան քաղաքի կենտրոնում (detski miri opteri mot Elen marketi harevanutyamb 1in gic) 35քմ մակերեսով + պահեստային 2հարկ35քմ (ընդհանուր 70քմ) վաճառվում կամ փոխանակվում է։Նաև տրվում է վարձով.,Nov-24-2022_17-55,,https://list.am/en/item/15852761
Functioning Business,Stone,337 sq.m.,Available,Not available,First Line,Separate from the Street,"13-րդ փողոց 237, Հրազդան","52,000,000 ֏",AMD,"Urgent sale of a two-story building, operating businesses and residential house. The area of the public building is 187 square meters, and the house is 150 square meters. The interior decoration of the house is not finished yet. It has constant water, electricity, soon gas. At present there is a car wash, workshop, shop, office premises (it was intended for a beauty salon) It has an open balcony outside. Separate bathrooms. For more information call.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16980801
Functioning Business,Monolith,8078 sq.m.,Available,Available,Second Line,Separate from the Courtyard,Kotayk › Aghveran,"1,000,000 ֏",AMD,"Обшей площадью 8077,9 кв. М расположен на участке 2,174 га, на левом берегу реки Далар. Пансионат был открыт в 1983 году и действовал как санаторий-профилакторий. Здание пансионата 5 этажное. Три этажа (с 3-го по 5-й) – спальные комнаты. Имеет 60 гостиничных номеров, рассчитанных на 120-140 мест.Гостиничных номеров из них, по типам: 5 “люкс”, 4 “делюкс” и 33 “стандарт”, столовая,Бар в вестибюле,Биллиардный зал,Конференц-зал на 80 мест,Оздоровительный и тренажерный комплекс с бассейном и сауной, наружный бассейн,Волейбольная площадка,Наружная детская площадка,Парковка для автомобилей.На 2 этаже располагалось лечебное отделение с кардиологическим, стоматологическим, неврологическим кабинетами, закрытым зимним бассейном, с сауной, которые не действуютЦена договорная, довольно ниже рыночной.",Nov-24-2022_17-55,,https://list.am/en/item/16611518
Industrial and Manufacturing,Stone,600 sq.m.,,,,,Kotayk › Abovian,"$150,000",USD,"Urgently for sale without intermediaries, a 2-storey restaurant on the central street of the city. 350 sq. M. Area, next to which there is an area of 300 sq. M. ""For sale together with furniture. It is also suitable for various activities. It can serve as a children's college, kindergarten clinic. The price is below the market. Call the given phone number. The price equivalent to $ 170,000 can be negotiated with a bank.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16557850
Functioning Business,Cassette,30 sq.m.,Not available,Not available,First Line,Common from the Street,"Shirak street, Yeghvard","4,000,000 ֏",AMD,"Not for sale, in exchange for a car, 30 sq. M. Area for sale in Shenker district of Yeghvard city. Has candidates, also exchangeTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16245369
Retail Space,Stone,320 sq.m.,,,,,"Vazgen Sargsyan street, Kasakh","$220,000",USD,"It has all the amenities: Whiskey gas, three-phase electricity, constant water, separate sewer. The front part of the building is a shop, the back part is a workshop, it is for rent. Call for details.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17499553
Industrial and Manufacturing,Panels,218 sq.m.,,,,,Kotayk › Byureghavan,"$30,000",USD,"Industrial area for sale, c. Byureghavan. - building 218 sq / m, land 832 sq / m, ceiling height 5.0 meters.DISTANCE FROM YEREVAN - SEVAN HIGHWAY 5 km. It is possible to exchange with the car for an additional fee.To view all MY ads, click on the name - ARMEN -. THE PHONE NUMBER IS VIBER and VHATSAPPTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17847507
Industrial and Manufacturing,Panels,185 sq.m.,Not available,Not available,Second Line,Common from the Street,Kotayk › Byureghavan,"$30,000",USD,"Production area for sale c. Crystalline. - building 185 sq. M, land plot 835 sq. M:DISTANCE FROM YEREVAN - SEVAN HIGHWAY 5 km. It is possible to exchange with a car for an additional fee.Click on the name - ARMEN - to view all MY announcements. WHAT IS VIBER AND VHATSAPP PHONE NUMBER?Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/12825951
Retail Space,Stone,300 sq.m.,,,,,"Hanrapetutian Avenue, Abovyan","$500,000",USD,"Area for sale in Abovyan city with all communal facilities, gas, drinking water, heating system and three-phase electricity. The area is located in c. Abovyan, next to the 16th building of the Republic, the first line is currently rented, do not call real buyers useless.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/15087019
Multifunctional Space,Monolith,1200 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Hrazdan,$50,USD,Commercial space in the microdistrict. Located on the road adjacent to buildings 88 and 93. Forming costs on me. Negotiable. It can be done part by part (the price will change a little)Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/16567884
Industrial and Manufacturing,Stone,2075 sq.m.,,,,,Kotayk › Hrazdan,"$65,000",USD,"Industrial area for sale, the size of the area with its land is 2075 sq. M. The size of the building is 200 square meters. Meters. The area is located in Vanatur district, there is water and light. Urgently negotiable.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17995698
Retail Space,Stone,30 sq.m.,,,,,Kotayk › Abovian,"$37,000",USD,Darani streetA commercial space is for sale in the city of Abovyan.Code 0900106Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18088734
Industrial and Manufacturing,Panels,1200 sq.m.,,,,,Kotayk › Karashamb,"$10,000",USD,"Rural production area 1200 sq. M. Building 21 sq. M. Is suitable for production, cattle barn, garden and for other purposes There are all the facilities, Karashamb, Argel, LusakertTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17469877
Everything Else,Wooden,13 sq.m.,,,,,"Yeritasardutyan street, Charentsavan","$2,500",USD,"A pavilion is for sale. It is located in c. In Charentsavan.Metal constructionLaminated in wood styleEuro windowsFully wooden inside, heat / soundproofed.Dimensions: 5 * 2.7Budka / boutique / pavilion / kiosk / lanyard / budka / lark# budkaTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17536596
Retail Space,Stone,190 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Nor Geghi,"$82,000",USD,Շտապ վաճառվում է՝ գործող խանութ Նոր Գեղիում։ Տարածքը գտնվում է գլխավոր ճանապարհին կից։ Մանրամասների համար զանգահարել։,Nov-24-2022_17-55,,https://list.am/en/item/15737996
Industrial and Manufacturing,Stone,2100 sq.m.,Not available,Not available,First Line,Common from the Street,"Լուսավորության փողոց 1/1, Ձորաղբյուր","$200,000",USD,"A commercial space is for sale in Dzoraghbyur, at the beginning of the village, 50m from the main road, large trucks and vans enter the area quietly.1. The total land is 2100 square meters. The importance of production, all buildings together 860 square meters2. Residential house, 2 floors, 227 square meters, completely renovated, all windows of European production, 2 bathrooms, needs cosmetic repairs.3. Guard post 30 square meters4. 3 warehouses each 50 square meters Х=3m, the partitions can be demolished and get a total area of 150 square meters5. Workshop 391 square meters H=3.5-4.5m6. The entire area is fenced with tuff stoneIt is very suitable for living and establishing production at the same time.The workshop has three-phase electricity, gas, water, internet, cameras, electric gateFor more information callTranslated from Armenian",Nov-24-2022_17-55,"OUtdoor parking, covered parking, garage",https://list.am/en/item/18098160
Multifunctional Space,Stone,75 sq.m.,,,,,"Garni street, Abovyan","$45,000",USD,"The area has all the utilities, three-phase electricity, hot and cold waterCall for detailsTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17611004
Industrial and Manufacturing,Stone,1138 sq.m.,,,,,Kotayk › Abovian,"$400,000",USD,"Real estate for sale in the city of Abovyan: Industrial building of 904.6 square meters + 2 roofs of 197.1 square meters and 36.5 square meters + 4500 square meters of asphalted area. The area is fenced, the building is built with tuff on both sides. The height is 5 meters. The roof with panels. All communications are available: Three-phase electricity from own substation, gas, drinking water, sewage. 10 km from Yerevan. It is suitable for carrying out any production activity. To find out more, call the indicated phone number.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18181228
Everything Else,Stone,1660 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Abovian,"$38,500",USD,"Продаётся земельной участок на трассе Севан «Чайный» 1660 кв. М.Идеально подойдёт под заправку, гостиницу, ресторан, автосервис и т. Д.По всем вопросам звоните и пишите.",Nov-24-2022_17-55,,https://list.am/en/item/17921974
Retail Space,Stone,35 sq.m.,,,,,Kotayk › Abovian,"12,300,000 ֏",AMD,T388Urgent sale of commercial space in Abovyan city. The total area is 35.08 square meters. The area is provided with communal facilities.Code T-388Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18029998
Automotive Service,Stone,1260 sq.m.,,,,,"Kentron block 111, Hrazdan","$210,000",USD,"Կոդ T 181.Վաճառվում է ավտոտեխսպասարկման կետ՝ Հրազդանում, Սպանդարյան փողոցում: Ավտոտնակների մակերեսը կազմում է՝ 617քմ. , իսկ շենքի մակերեսը ՝605 քմ. , ընդհանուր մակերեսը ՝ 1260 քմ: Շենքում առկա է 12 սենյակ, 2 սանհանգույց: Առկա է 13 սպասարկման կետ, որից գործում են ՝ 9-ը: Հարմար է ցանկացած գործունեության համար: Տարածքը ՍԵՓԱԿԱՆԱՇՆՈՐՀՎԱԾ է: Վաճառվում է ՇՏԱՊ:Կոդ T-181",Nov-24-2022_17-55,,https://list.am/en/item/11013001
Multifunctional Space,Monolith,800 sq.m.,,,,,Kotayk › Nor Geghi,"$135,000",USD,"For sale is a four-story private house with a total area of 800 square meters, each floor is 200 square meters. The house is equipped with all utilities, has a large plot (1700 square meters) with fruit trees. The plot has a two-way road and is 60 meters away from the main road. The area has a sunny position, it is 20-25 km away from Yerevan, there is a school and a kindergarten nearby, it is suitable for living or for other activities.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17913351
Multifunctional Space,Stone,5000 sq.m.,Not available,Not available,Second Line,Separate from the Street,Kotayk › Jrvezh,"$360,000",USD,50000 m. Flat areaCanyon viewStreamWaterIn the sewer areaTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/14383969
Industrial and Manufacturing,Stone,4000 sq.m.,,,,,Kotayk › Nor Hachen,"$650,000",USD,"Area for sale or rent. 3-storey building, each floor is 300 square meters. Land area 4000 square meters. All the utilities are available (irrigation water, three-phase electricity, water, gas)Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17475155
Retail Space,Stone,30 sq.m.,,,,,Kotayk › Arinj,"$35,000",USD,In the central part of ArinjTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17527129
Retail Space,Stone,100 sq.m.,,,,,"Zoravar Andranik avenue, Hrazdan","$15,000",USD,"Commercial real estate for sale in the city of Hrazdan in front of building 44, next to Technikevm. The area is 10×10 square.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18174854
Retail Space,Stone,34 sq.m.,Not available,Not available,First Line,Common from the Street,"Yeritasardutyan street, Charentsavan","$10,000",USD,"A semi-detached building for a store is urgently for sale. Total 20 sq/m semi-detached, also 14 sq/m from the rear, which can also be used for storage or a bathroom. The main works have already been done. It is possible to exchange with a car.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16785464
Agricultural Space,Stone,4000 sq.m.,,,,,Kotayk › Meghradzor,"$52,000",USD,Livestock farm 260 square meters for saleFenced plot of land 4000 sq. MElectricity and water are provided. It is located 100 meters from the road leading to the mine. It has 2 caravans for livestock keepers.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18254862
Functioning Business,Stone,1200 sq.m.,,,,,Kotayk › Kasagh,"$95,000",USD,"A greenhouse equipped with modern technologies, 1200m*, near the house (1m*-$50 of land in the area, behind a newly built school) is for sale. Technical part 30m*, office 30m*, The price is final.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18064881
Retail Space,Stone,20 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,Kotayk › Nor Hachen,"5,000,000 ֏",AMD,A public building is for sale in Nor Hachn.5 ml ․ negotiableTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17842934
Restaurant,Stone,"12,000 sq.m.",Not available,Not available,First Line,Separate from the Street,Kotayk › Bjni,"$1,650,000",USD,Շտապ վաճառվում է ՝ ռեստորանային և հանգստյան տարածք ՝ ԲՋՆԻ համայնքում։ Շենք-շինության ընդհանուր մակերեսը՝ 3800 քմ։ Ունի կոմունալ բոլոր հարմարությունները։ Հնարավոր է նաև փոխանակում Մեր կամ Ձեր կողմից հավելավճարով։ Մանրամասն տեղեկությունների համար զանգահարել նշված հեռախոսահամարով։.Срочно продается ресторан зона отдыха в поселке БЖНИ. Общая площадь здания составляет 3800 квадратных метров. Он имеет все коммунальные удобства. Обмен возможен у нас или у вас за дополнительную плату. Для получения дополнительной информации позвоните по указанному номеру телефона.,Nov-24-2022_17-55,,https://list.am/en/item/17846782
Functioning Business,Stone,800 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Nor Geghi,"$99,000",USD,"Շտապ վաճառվում է գործող բիզնես գույքի հետ միասին՝ ՆՈՐ ԳԵՂԻՈՒՄ։ Ունի կոմունալ բոլոր հարմարությունները՝ գազ, էլ. Հոսանք, խմելու ջուր, ոռոգման ջուր և կոյուղի Ունի նաև գործող հացի արտադրամաս։ Ընդհանուր շինությունների մակերեսը՝ 160 քմ։ Մանրամասն տեղեկությունների համար կարող եք զանգահարել նշված հեռախոսահամարով։Срочно продается вместе с существующей коммерческой недвижимостью в НОР-ГЕХИ. Есть все коммунальные удобства: Газ, электричество. Электричество, питьевая вода, поливная вода, канализация, есть пекарня. Общая площадь зданий составляет 160 квадратных метров. Для получения дополнительной информации вы можете позвонить по указанному номеру телефона.",Nov-24-2022_17-55,,https://list.am/en/item/17908613
Restaurant,Stone,5000 sq.m.,Not available,Not available,Second Line,Common from the Street,Kotayk › Garni,"$400,000",USD,"The restaurant is located 200 meters away from Garni Geghard central highway, right at the top of Garni gorge. The free river flows from there, it is a wonderful view. There are bissets hanging from the rock, kitchen, 2 bathrooms (tiled, euro doors, windows) Closed compartments (semi-appliances), tonir, sieve, basins (where you can keep fish)Permanent, water, light, gas, irrigation water.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/16603948
Industrial and Manufacturing,Stone,572 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Abovian,"12,500,000 ֏",AMD,"For sale or rent in the center of Geghashen village of Abovyan (1st line, 1st floor 35sh) commercial, production, storage and office space total area 572 m2.It has been used as a vodka and soft drink factory and warehouse, a barley and wheat warehouse and a mill, can serve as a milk processing and cheese factory, mushroom growing area, etc.1 large truck parking space possible inside.The building has 2 floors.On the 1st floor there is 1 workshop with an area of 100 m2, 1 closed warehouse of 25 m2, 1 office of 15 m2, 2 bathrooms, 1 open warehouse of 25 m2.On the 2nd floor there are 4 rooms with an area of 100m2 and a basement of 50m2;Needs repair#Geghashen, #Abovyan, #komercion, #Geghashen, #production area, # commercial area, #workshop, #AbovyanTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/13951264
Functioning Business,Stone,2000 sq.m.,By agreement,Not available,Other,Separate from the Street,Kotayk › Garni,"$700,000",USD,"Վաճառվում է Գործող Բիզնես Գառնիում՝Գառնի Տաճարի հարևանությամբ։Տարածքում գտնվում են 5 քոթեջներ ՝իրենց բոլոր հարմարություններով և տաղավարներ ։Սկզբնամասում կա կաֆե՝խոհանոցով։ Առկա է լողավազան՝գեղեցիկ տեսարանով դեպի սարերը։ Այլ մանրամասների համար խնդրում եմ զանգահարել նշված հեռախոսահամարովՄենք սոց ցանցերում՝ Facebook: Garni Eco Resort, Instagram: GarniecorsortПродается действующий бизнес в Гарни, недалеко от храма.На участке 5 коттеджей со всеми удобствами и Беседки. Вначале есть кафе с кухней. Бассейн с прекрасным видом на горы. Для уточнения деталей звоните по указанному номеру телефона.Мы в социальных сетях: Facebook: Garni Eco Resort, Instagram: Garniecoresort",Nov-24-2022_17-55,,https://list.am/en/item/16282557
Functioning Business,Stone,1120 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,"15-րդ փողոցի 1-ին նրբանցք 1, Պտղնի","$82,000",USD,"Rest area for sale in Patni, newly built, has a swimming pool 4-6 1-67 deep, with a filling system, a pavilion for up to 35 people with its grill, toaster, furniture. , a large garden with fruit trees, tuas, fenced. For sale with the property. Together. Has a house project permit.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18177471
Office Space,Panels,50 sq.m.,,,,,"8th street, Hrazdan","$56,000",USD,"A commercial space is for sale, which is currently operating as a Beauty and Massage salon. The area is sold with and without property. Separate entrances for each. Address K. Hrazdan micro 235 4/1. Currently, the steps and the floor are lined with basalt stones. Also available for rent. For more information callTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17680761
Warehouse,Stone,5 sq.m.,,,,,Kotayk › Charentsavan,"40,000 ֏",AMD,For sale: Basement (подвал) cityCharentsavan.In 4 buildings in the 1st district.3 licorice.Translated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/18074606
Functioning Business,Monolith,"12,000 sq.m.",,,,,Kotayk › Akunk,"$210,000",USD,"A hydroponic greenhouse of 1000 square meters is for sale. The total area of the land is more than one hectare. There are all the communal facilities (water, gas, electricity) for one hectare of greenhouse. There is also a Euro-cabin with all amenities, a boiler house with a 20 kV solar station. The greenhouse operates and grows hay. It is located on the roadside, 15 minutes drive from Yerevan. For sale because of leaving Armenia.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17007505
Retail Space,Stone,33 sq.m.,Not available,Not available,Other,Separate from the Courtyard,"Գառնիի փողոց 10, Աբովյան","$28,000",USD,"Call real buyers, open and closed, do not suddenly call a legal buildingTranslated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18266155
Multifunctional Space,Stone,69 sq.m.,,,,,"3-й квартал 1, Чаренцаван","$20,000",USD,New renovationurgent saleTranslated from Armenian,Nov-24-2022_17-55,,https://list.am/en/item/17519033
Restaurant,Monolith,3100 sq.m.,,,,,"Qochinyan street, Yerevan","$1,500,000",USD,"An operating restaurant complex is for saleTarget significance of settlementsSignificance: Public constructionKotayk region, c ․ Jrvezh, Kochinyan street, 1st lineThe complex has a four-storey building, of which 3 floors are above ground and 1 floor is basementThe total land is 3100 square metersThe building is 1800 square meters, of which:4 halls: 520 sq. M., 225 sq. M., 91 sq. M., 65 sq. M.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/17901072
Retail Space,Cassette,212 sq.m.,,,,,"Barekamutian street, Abovyan","$39,000",USD,"Public area for sale. 212.5 sq. M. Մ. On which 150 sq. M. Մ. Construction, land, construction is privatized.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/11256694
Agricultural Space,Stone,4150 sq.m.,Not available,Not available,Second Line,Separate from the Street,Kotayk › Proshyan,"$105,000",USD,"For sale: 4150 sq/m of private village land, with 2-3-year-old saplings of dwarf poppy, the garden is fully fenced, with a 2-meter fence on a solid concrete base, provided with a drip system. All with new tin roof, individual power with solar panels. The park is located near Ashtarak Highway. It is also possible to change the meaning of the land.Translated from Armenian",Nov-24-2022_17-55,,https://list.am/en/item/18292609
