Construction Type,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Interior Finishing,Handover Date,Mortgage is Possible,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
,,,,,,,,,,,,"Տիտոգրադյան փողոց, Երևան","30,178,500 ֏",AMD,"Opposite Erebuni Hospital, 1/2 Titogradyan Street, 1, 2 and 3-room apartments are for sale directly from the developer, with areas of 39-95 square meters, public spaces on the semi-basement floor. The price of 1 square meter: 465,000 - 490,000 AMD. Income tax refund applies. The interior finishing works are completely finished, the individual heating system is completely installed, the bathrooms are equipped with all their equipment. Entrance metal and interior doors, metal-plastic windows, laminate floor, tiled bathrooms are installed. The building is already commissioned.NUMBER APARTMENTS REMAININGTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17065320
Monolith,Available,8,,3,1,from 3 m,5,Open balcony,Prefinished Interior,,Yes,"Arabkir 51-st street, Yerevan","$160,000",USD,"Directly from the developerStarting at $1,800Income tax refund appliesThe apartments will be put into operation, the walls will be divided, decorated /plaster/, the floor will be finished, external door, windows.Nearby is the Nor-Zovk Supermarket, which is located on Freedom AvenueCompletion May 202374 - 150 sq. M.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17238599
,,,,,,,,,,,,"Moldovakan street, Yerevan","380,000 ֏",AMD,"Apartments for sale from the developer without a bank, 60% down payment, and 40% within 3 years, there are 35-120 square meters apartments, furnished and divided, call for details, there are renovated options. The completion of the building is scheduled for 1 building in May 2023, 2 building in September 2023, 3 building in December 2023.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17622564
Monolith,Not available,16,,3,2,from 3 m,6,Open balcony,Prefinished Interior,,Yes,"Մելիք Մելիքյան փողոց 3, Երևան","$75,000",USD,"In the newly built residential complex ""Kanaker"", an apartment with the possibility of converting 2 to 3 is for sale, 3 windows, 1 balcony, 2 bathrooms, bedrooms with separate windows. Developer ML Mining, completion at the end of 2023, the 9th floor is already under construction. Bright, sunny apartment, best location - View to Hatis and Masis mountains.It is one of the best options for a 3-room apartment with such a square.Price negotiable...Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18267469
Monolith,Available,18,63 sq.m.,2,2,from 3 m,7,Open balcony,Unfinished Interior,Q2 2025,Yes,"Րաֆֆու փողոց 28, Երևան","380,000 ֏",AMD,"Apartments for sale at 28 Raffu Street. Directly from the developer, income tax law applies. Completion of building construction works on 06.2025. 41-130 square meters apartments are available. Delivered in zero condition: Plaster, stucco, electricity, windows, iron door. Hurry up, places are limited. To make a reservation, call the indicated phone number.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/13703711
Monolith,Available,6,,3,3+,from 3 m,2,Open balcony,Prefinished Interior,,Yes,"Լվովյան փողոց, Երևան","580,000 ֏",AMD,"A 3-room apartment with an area of 113 square meters is for sale in a newly built building in the 1st block of Nor Nork, on Lvovyan street. The apartments are delivered in 0 condition. Income tax refund law applies. The building will be handed over in the spring of 2023. YOU GET THE APARTMENTS FROM THE BUILDER WITHOUT INTERMEDIARY PAYMENT.Code LV-45Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17741438
Monolith,Available,15,71 sq.m.,3,1,from 3 m,8,Open balcony,Unfinished Interior,Q2 2024,Yes,"1-й микрорайон Аван-Ариндж, Ереван","31,950,000 ֏",AMD,"Newly built from the DeveloperAvan:Under the Income Tax Refund ActMortgage: 9.9% - 10.7%AVERAGE AGENCY FEE 0%We will help with mortgage formulation and apartment selectionCompletion of construction works: Autumn 2024The district consists of 4 buildings (14-15 floors)_For questions, call the indicated phone number:Translated from Armenian",Dec-15-2022_22-59,Intercom entry,"Outdoor parking, covered parking",https://list.am/en/item/18688813
Monolith,Available,5,,4,2,from 3 m,1,Not available,Clean Finish,,Yes,"Դավթաշեն 3-րդ թաղամաս 96, Երևան","38,000,000 ֏",AMD,"Apartment for sale in Davitashen 3rd district, it is possible to buy it from the developer with income tax return, there is also another floor of another area, 90, 60, 75 sq. M.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17265549
,,,,,,,,,,,,"Մոլդովական փողոց 37/44, Երևան","55,000,000 ֏",AMD,Apartments directly from the developer. The construction is in progress վի will be completed in February 2024. The building is located in 2 blocks of a new building. The construction works are going at a very fast pace.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/17143203
,,,,,,,,,,,,"Մոլդովական փողոց 37/45, Երևան","47,000,000 ֏",AMD,Apartments from the developer are for sale in a new building. The building is expected to be completed in early 2024. Call for details.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/17006280
,,,,,,,,,,,,"Մոլդովական փողոց 37/47, Երևան","52,000,000 ֏",AMD,Apartments directly from the developer. Construction is in progress and will be completed in February 2024. The building is located in 2 blocks of a new building. The construction works are going at a very fast pace.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/17368633
Monolith,Available,17,69 sq.m.,2,1,from 3 m,3,Open balcony,Unfinished Interior,Q2 2022,Yes,"Սերո Խանզադյան փողոց 105, Երևան","44,800,000 ֏",AMD,"Բնակարան կառուցապատողից Մուլտի Սիթի Հաուսում - Smart Real... Apartments from the developer, on the heights of Marash, with a cool view and a dominant location in the Multi City House residential complex.The area of the apartments is 69 square meters, 77 square meters, 87 square meters, 92 square meters, 116 square meters, 125 square meters, as well as 2, 3, 4 or more room apartments with a larger area.Both repaired and unrepaired versions are offered.PRICE: 1 square meter starting from 600,000 drams.CODE S373For more details, call SMART AgencyTranslated from Armenian",Dec-15-2022_22-59,"Intercom entry, playground",Outdoor parking,https://list.am/en/item/16523657
,,,,,,,,,,,,"Moldovakan street, Yerevan","20,520,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTED WITHOUT ADVANCE- FROM 380.000 AMD‼️We sell apartments directly from the developer.️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️Nor-Nork administrative district, 2nd block Moldovakan 12/2, first line‼️️Apartments starting from 35 sq/m to 120 sq/m‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️Completion of the first building on June 30, 2023, completion of the 2nd building on September 30, completion of the 3rd building on December 30, 2023️Discounts are available upon payment of the total cost‼️The walls are lined with soundproof blocks.Buildings are monolithic️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we do the wiring, and we give you windows.Mortgage option without income tax return.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17608869
,,,,,,,,,,,,"Moldovakan street, Yerevan","20,900,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTED WITHOUT ADVANCE- FROM 380.000 AMD‼️We sell apartments directly from the developer.️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️Nor-Nork administrative district, 2nd block Moldovakan 12/2, first line‼️️Apartments starting from 35 sq/m to 120 sq/m‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️Completion of the first building on June 30, 2023, completion of the 2nd building on September 30, completion of the 3rd building on December 30, 2023️Discounts are available upon payment of the total cost‼️The walls are lined with soundproof blocks.Buildings are monolithic️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we do the wiring, and we give you windows.Mortgage option without income tax return.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17608863
,,,,,,,,,,,,"Moldovakan street, Yerevan","24,700,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTED WITHOUT ADVANCE- FROM 380.000 AMD‼️We sell apartments directly from the developer.️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️Nor-Nork administrative district, 2nd block Moldovakan 12/2, first line‼️️Apartments starting from 35 sq/m to 120 sq/m‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️Completion of the first building on June 30, 2023, completion of the 2nd building on September 30, completion of the 3rd building on December 30, 2023️Discounts are available upon payment of the total cost‼️The walls are lined with soundproof blocks.Buildings are monolithic️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we do the wiring, and we give you windows.Mortgage option without income tax return.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17608867
,,,,,,,,,,,,"Tbilisian Highway, Yerevan","21,200,000 ֏",AMD,"We sell apartments in newly constructed buildings:You can buy the apartments in PART-PART 60/40 interest-free option, you pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️The deal is made directly with the developer and without bank mediation. ‼️️The price of the square meter is 400.000 drams‼️Buildings are monolithicThe walls are lined with soundproof blocks.️Up to 10 degree seismic resistance. ‼️️ 3 newly constructed buildings ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we do the wiring, and we give you windows.️Discounts are available upon payment of the total cost‼️The end is October 30.The buildings are located in Tbilisi highway.️Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17333068
,,,,,,,,,,,,"Moldovakan street, Yerevan","21,660,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTING FROM -380.000 AMD️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and you get an interest-free repayment period for 40%.️Apartments starting from 38.5 sq/m to 120 sq/m. ‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️️The completion of the first building is June 30, 2023, the completion of the 2nd building is September 30, the completion of the 3rd building is December 30‼️️Discounts are available upon payment of the total cost‼️Buildings are monolithicThe walls are lined with soundproof blocks.️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we fix it, we put euro windows and give it to you.Call for your apartmentTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17693667
,,,,,,,,,,,,"Moldovakan street, Yerevan","24,700,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTING FROM -380.000 AMD️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and you get an interest-free repayment period for 40%.️Apartments starting from 38.5 sq/m to 120 sq/m. ‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️️The completion of the first building is June 30, 2023, the completion of the 2nd building is September 30, the completion of the 3rd building is December 30‼️️Discounts are available upon payment of the total cost‼️Buildings are monolithicThe walls are lined with soundproof blocks.️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we fix it, we put euro windows and give it to you.Call for your apartmentTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17693663
,,,,,,,,,,,,"Moldovakan street, Yerevan","20,900,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTED WITHOUT ADVANCE-from 380.000 drams‼️We sell apartments directly from the developer.️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️Nor-Nork administrative district, 2nd block Moldovakan 12/2, first line‼️️Apartments starting from 35 sq/m to 120 sq/m‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️Completion of the first building on June 30, 2023, completion of the 2nd building on September 30, completion of the 3rd building on December 30, 2023️Discounts are available upon payment of the total cost‼️The walls are lined with soundproof blocks.Buildings are monolithic️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we install it, we deliver it with windows installed.The mortgage option is fat-free and tax-free.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17609513
,,,,,,,,,,,,"Moldovakan street, Yerevan","20,900,000 ֏",AMD,"️2ND MASSIVE MOLDOVAKAN 12/2-STREET STARTED WITHOUT ADVANCE- FROM 380.000 AMD‼️We sell apartments directly from the developer.️PART-PART 60/40 INTEREST OPTION‼️You pay 60% of the cost of the apartment and for 40% you get an interest-free repayment period. ‼️️Nor-Nork administrative district, 2nd block Moldovakan 12/2, first line‼️️Apartments starting from 35 sq/m to 120 sq/m‼️The buildings will be 7, 9, 11 stories high️The deal is made directly with the developer and without bank mediation‼️Completion of the first building on June 30, 2023, completion of the 2nd building on September 30, completion of the 3rd building on December 30, 2023️Discounts are available upon payment of the total cost‼️The walls are lined with soundproof blocks.Buildings are monolithic️Up to 10 degree seismic resistance. ‼️️The price includes: We cut the partition walls with the project you want, we do the electrical installation, we bring water, sewerage, and sewerage into the apartment, we do the wiring, and we give you windows.Mortgage option without income tax return.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17609516
,,,,,,,,,,,,"Հալաբյան փողոց 55/1, Երևան","23,000,000 ֏",AMD,"An unrenovated apartment is for sale in a newly built (under construction) building at Halabyan 55/1.The property is in mint condition, the price includes plaster work, floor leveling, electrical and plumbing installation, front door and windows, internal wall cladding. The specified actions are provided by the developer. The apartment was originally planned to have 2 rooms, as a result of my changes, I got 3 rooms (1 more small room was added, which is suitable for a child to play and sleep)I bought the apartment with a mortgage, which is valid at the moment.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18307897
,,,,,,,,,,,,"Avan-Arinj 1st micro, Yerevan","$35,150",USD,"Are you looking for an apartment in a new building, which will be both affordable and without a bank, so hurry up, this offer is just for you;The apartments will be allocated as followsapartment design according to the client's wishesthe occupant and air ducts pulledperforming electrical assembly worksthe walls are high-quality sound and heat insulationwindows installedIf desired, we can also do interior decoration of the apartment, for which the client will pay additional moneyATTENTION: We offer options for purchasing apartments that are unique in their kind on the market, with an interest-free payment option without a bank, which you can purchase directly from the developer;Why contact us?delivery of apartments on timeapartments are completely monolithic structuresall apartments are newly built, not reconstructedthe long-term activity of the company, which today is strongly expressed in the work we doindividual approach to clients-flexible payment optionwithout the mediation of the bank, through which there is no interest payment optionWe value every customer's opinion,The company has a history of more than 11 years and will continue its housing construction activities in the Armenian market with the aim of serving one principle, everyone should have their own apartment;pipe access to the apartmentTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18289457
,,,,,,,,,,,,"Tbilisian Highway 11/11, Երևան","$41,000",USD,"Are you looking for an apartment in a new building, which will be both affordable and without a bank, so hurry up, this offer is just for you;The apartments will be allocated as followsapartment design according to the client's wishesthe occupant and air ducts pulledperforming electrical assembly worksthe walls are high-quality sound and heat insulationwindows installedIf desired, we can also do interior decoration of the apartment, for which the client will pay additional moneyATTENTION: We offer options for purchasing apartments that are unique in their kind on the market, with an interest-free payment option without a bank, which you can purchase directly from the developer;Why contact us?delivery of apartments on timeapartments are completely monolithic structuresall apartments are newly built, not reconstructedthe long-term activity of the company, which today is strongly expressed in the work we doindividual approach to clients-flexible payment optionwithout the mediation of the bank, through which there is no interest payment optionWe value every customer's opinion,The company has a history of more than 11 years and will continue its housing construction activities in the Armenian market with the aim of serving one principle, everyone should have their own apartment;Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18543467
,,,,,,,,,,,,"Արգիշտի փողոց, Երևան","$177,500",USD,"This fully south facing 3 bedroom apartment is available directly from the developer.• Apartment area - 82 square meters• Number of bedrooms – 2• Number of bathrooms – 2• Floor – 2• Environmentally clean and safe district,• A green zone with an area of 1200 square meters,• Completion of construction works: December 2022Code 2-82Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18049962
,,,,,,,,,,,,"Petros Duryan district 5th street, Avan","$150,000",USD,"Directly from the developerDear Customers,Hurry up to get luxurious and unique Townhouses,in Duryan district.It consists of only 2 residential houses.One side of each house has 2 floors and the other side has 3 floors.The total area of the house is about 210 square meters.The total area of the land is 400 square meters.On the first floor'living room, kitchen, bedroom, dining room, entrance and bathroom.On the second floor'3 bedrooms, one of them in the master bed and one bathroom in common,there are 3 open balconies, landscaped garden, the pool area will be dug and the area will be fenced, an iron gate will be installed.COST: $150,000Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18314393
Monolith,Available,13,59 sq.m.,3,1,from 3 m,5,Open balcony,Clean Finish,Q2 2024,Yes,Yerevan › Ajapnyak,"$63,500",USD,"9 + 304815A 3-room apartment is for sale from the developer. Income tax refund law applies. The apartment will be handed over in a plastered condition, the entrance door is made of iron, the windows are of European manufacture. There will be 3 elevators at the entrance. The apartment will be commissioned in September 2024. The deviation of the final surface is 0%.Code 9-304815Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18256627
,,,,,,,,,,,,"Hrachya Acharyan street, Yerevan","19,803,000 ֏",AMD,"We present to you the premium class Northern Pyle residential complex.It includes four 16-story buildings, 238 underground parking spaces on floors -1 and -2, a children's playground and a courtyard green area.386 apartments with an area of 48.3-187.5 square meters are planned.The 1st floors are intended for public areas.The apartments will be delivered:• Entrance iron door• High quality windows• Cracked walls• Sound insulation and heat insulation walls• Leveled floor• Installed pipes• Electricity brought to the entrance. Gas, heating: IndividualIn each building: 2 elevators (passenger and cargo)Cladding: White travertine and red tuffThe building is being constructed with high seismic standardsCost: AMD 389,000-450,000, depending on location, taxThe advantages of the complex: 1st line, view, fresh air, cool, not noisy area,5-10 minutes by car from the center, a supermarket and a kindergarten are plannedPartner bank: Aydibank, AkbabankDevelopment company: ""Northern Shine"" LLCThe construction is carried out by ""Argo Materials"" LLCTerms of purchase:Term: (40%, 50%, 10%),through mortgage lending.Income Tax Refund Act applies.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17965787
,,,,,,,,,,,,"Gyurjyan street, Yerevan","21,600,000 ֏",AMD,"Get apartments from KARUTSPATOGHI in Yerevan's elevated zone, Nor-Nork Gyurjian StreetIncome tax law appliesInstallment payment systemPartner bank Armenia with 10% advance paymentIt will be commissioned in 2025. No commission directly from the developer.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18521501
,,,,,,,,,,,,"Viktor Hambartsumyan street 27, Yerevan","$1,470",USD,"NEW CONSTRUCTION - near Baghramyan street, V. A 3-room apartment is for sale on Hambardzumyan (Gaidar) street, 1st line, in a newly built PREMIUM CLASS building.2 bathrooms.There is also an outdoor terrace.ELEVATOR AVAILABLE200m to Baghramyan Street, next to Barekamutyun metro station.First line, well-kept private yard.Completion of the building: End of 2023.$1,470 - 1 sq. M. For89.66 sq. M.Key words,Developer, newly built, premium, Baghramyan, Gaidar, Gaidar, V. Hambardzumyan, Gulbenkyan, GulbekyanTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17424607
,,,,,,,,,,,,"Արգիշտի փողոց 48/8, Երևան","$70,000",USD,"This studio apartment has a beautiful and unique view of St. Sargis Church and Victory Bridge, you can get it directly from the developer.• Apartment area - 34 square meters• Floor – 4• Environmentally clean and safe district,• A green zone with an area of 1000 square meters,• Completion of construction works: December 2022• The Income Tax Refund Law is in effect.• In case of cash purchase, it is possible to pay in installments.• Only 500m away from Yerevan City HallTranslated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17414805
,,,,,,,,,,,,"Verin Antarayin street, Yerevan","$357,000",USD,"On Verin Antarai Street, on the 5th floor of a high-quality newly built 6-storey building, 3 is for sale, which can be converted into a 3-4 room apartment.Total area: 140 square metersCeiling height: 3mIn Verin Antarain, this project is the 3rd project of the developer in the series of luxury apartments.The building is preferred for its unique architectural appearance, closed green courtyard, functional and competent engineering solutions, security and most importantly, 9.5 earthquake resistance.The building will be commissioned with a high-quality renovated porch (37 square meters) and a high-speed elevator.High quality aluminum windows are installed.The residential complex provides: Security, video surveillance and Concierge service, garbage collection, as well as cleaning of external areas, entrances, lobby and floors.Underground parking is available in the building for an additional fee.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 17296991Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/17296991
,,,,,,,,,,,,"Verin Antarayin street, Yerevan","$357,000",USD,"A 4-room apartment is for sale on the 5th floor of a high-class newly built 6-storey building on Verin Antarayn Street.Total area: 140 square metersCeiling height: 3mIn Verin Antarain, this project is the 3rd project of the developer in the series of luxury apartments.The building is preferred for its unique architectural appearance, closed green courtyard, functional and competent engineering solutions, security and most importantly, 9.5 earthquake resistance.The building will be commissioned with a high-quality renovated porch (37 square meters) and a high-speed elevator.High quality aluminum windows are installed.The residential complex provides: Security, video surveillance and Concierge service, garbage collection, as well as cleaning of external areas, entrances, lobby and floors.Underground parking is available in the building for an additional fee.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18251595Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18251595
,,,,,,,,,,,,"Ղափանցյան փողոց 13, Երևան","30,000,000 ֏",AMD,"A 2-room apartment on the 8th floor of a newly built building is for sale. The house will be handed over in the second half of 2023. The price is final. I am the owner, I bought it from the developer.Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18410828
,,,,,,,,,,,,"Rubiniants street, Yerevan","29,900,000 ֏",AMD,"Newly built apartment according to the income tax refund law from the developer, in the area next to Rubinyants street. Price per square meter: 440,000-460,000 AMD (depending on the state of interior decoration) Apartments with a similar design are available on the 2nd-15th floors, the surfaces vary from 40 sq. M. To 145 sq. M.There will be a playground and an underground parking lot in the area of the complex.Code 5-30001Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/16120012
,,,,,,,,,,,,"Rubiniants street, Yerevan","25,760,000 ֏",AMD,"Newly built apartment according to the income tax refund law from the developer, in the area next to Rubinyants Street. Price per square meter: 440,000-460,000 AMD (depending on the state of interior decoration) Apartments with a similar design are available on the 2nd-15th floors, the surfaces vary from 40 sq. M. To 145 sq. M.There will be a playground and an underground parking lot in the area of the complex.Code 5-20004Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/16141484
,,,,,,,,,,,,"Ծարավ Աղբյուրի փողոց 134, Երևան","$111,000",USD,The building will be completed in 2022. It is in December.Translated from Armenian,Dec-15-2022_22-59,,,https://list.am/en/item/18423462
Monolith,Available,18,74 sq.m.,2,1,from 3 m,9,Open balcony,Prefinished Interior,Q2 2023,Yes,"Անաստաս Միկոյանի փողոց, Երևան","$136,000",USD,"1400140Anastas Mikoyan streetThe apartment is located on the right side leading to Yeghvardi highway, in the 4th building of 6 newly constructed buildings. It will be handed over by the developer for renovation in July, with Euro windows installed. It is sunny and is located in a position facing the valley. Hurry! ! !Translated from Armenian",Dec-15-2022_22-59,,,https://list.am/en/item/18278141
Monolith,Available,16,87 sq.m.,2,1,from 3 m,14,Open balcony,Unfinished Interior,Q2 2023,Yes,Yerevan › Kanaker-Zeytun,"43,065,000 ֏",AMD,"Կոդ52366Սոլիդ Հաուսը առաջարկում է նորակառույցում բնակարանի վաճառք եկամտահարկի հետվերադարձի օրենքով։Քառակուսիները սկսած 67-ից 131,2 քառակուսի, արժեքը ` Սկսած 450000դրամից 660000դր․ քառակուսի մետրի համարԳեղեցիկ թաղամաս քաղաքի լավագույն վայրերից մեկում անհրաժեշտ բոլոր հարմարություններով, մատչելի բնակարաններ անմիջապես կառուցապատողից՝ հիփոթեքի լավագույն պայմաններով: Մանրամսան տեղեկությունների համար հետևեք Zeytunbuild. Am կայքին։Solid House предлагает продажу квартиры в новостройке по закону о возврате подоходного налога.Площади от 67 до 131,2 квадратных метра, цена от 450 000 до 690 000 драм. За квадратный метрКрасивый район в одном из лучших мест города со всеми удобствами, недорогие квартиры напрямую от застройщика с лучшими условиями ипотеки.Solid House offers the sale of an apartment in a new building under the income tax refund law.Squares from 67 to 131.2 square meters, price from AMD 450,000 to AMD 690,000. Per square meterA beautiful neighborhood in one of the best locations in the city with all the amenities you need, affordable apartments directly from the developer with the best mortgage terms.",Dec-15-2022_22-59,,,https://list.am/en/item/18549983
