Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Garage,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,800 sq.m.,2,5,1,Partial Renovation,250 sq.m.,Syunik › Goris,"$60,000",USD,"I am selling my own house in the city of Goris. Partially renovatedHas permanent water, gas, electricity, Euro windows and doors, Installed solar system and heating system, Kitchen is under renovation, furniture is purchased, There is a balcony with a beautiful view, It has 2 barns, a large garden, there are productive trees in the gardenIt has a large garage, there are 3 rooms (basement) on the first floor, a large corridor on the second floor. 1 large living room, the toilet is renovated, 1 bedroom is renovated (night bed) with furniture, it has 1 large living room, which can be cut to make 2 roomsI am selling together with the property. In case of purchase, I will provide bed linen for the whole house, not all pictures are posted, call for details and we will negotiate.You can use the area as a hotel.Translated from Armenian",Nov-24-2022_23-39,1 spot,,,,,https://list.am/en/item/18284200,
House,Stone,240 sq.m.,2,4,1,Cosmetic Renovation,1200 sq.m.,"Ankakhutyan Street, Goris","16,000,000 ֏",AMD,"A two-story stone house is for sale in Tegh village. The house is in good condition. It has a large orchard in the back of the house, in front of the house, a cellar, a cattle shed. All communications are available. For more information call.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18200118,
House,Stone,189 sq.m.,2,4,1,Old Renovation,894 sq.m.,Syunik › Sisian,"$30,600",USD,"K. On Sisian, Saryan street, a two-story private house for sale (the front part is square) with auxiliary buildings, a plot of 0.0894ha, with fruit trees. The floor is parquet. There is a staircase inside the house to get to the second floor. Own house is gasified, has all utilities.Code T-0003Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18042780,
House,Stone,220 sq.m.,2,4,1,Old Renovation,800 sq.m.,"Orbelyanner street, Goris","$35,500",USD,"The house is located on Khorenatsi street. Has all the auxiliary facilities, separate workshop. The roof is in good condition.Code U 380Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17097758,
House,Stone,72 sq.m.,2,4,1,Old Renovation,600 sq.m.,Syunik › Goris,"1,500,000 ֏",AMD,"The property is the property of the Bank as a result of the pledge.Residential house at 106 Verishen 1 street, Syunik region, 72.4 sq. M., external 93.1 sq. M., adjacent 600 sq. M. Has permanent water, gas, electricity, stone building, 2 floors, pasture, the land is fenced,You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction may be reduced if the buyer (new owner) undertakes to evict it in accordance with the law.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/11055777,
Country House,Stone,200 sq.m.,2,4,1,No Renovation,1000 sq.m.,Syunik › Sisian,"$5,000",USD,Ashotavan village. I will send more pictures to Viber GrekTranslated from Armenian,Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/17301320,
House,Stone,360 sq.m.,2,3,1,Old Renovation,1100 sq.m.,Syunik › Sisian,"8,000,000 ֏",AMD,"K. A two-story semi-detached house is for sale at Yesenin, Sisian. 2 rooms on the first floor are habitable. A woodworking and lathe machine is for sale with the apartment. It has three-phase electricity, permanent water, cattle shed and 1100 square meters of land with fruit trees.Code T-0004Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18047247,
House,Stone,319 sq.m.,2,5,1,Old Renovation,1000 sq.m.,Syunik › Sisian,"$21,000",USD,"Residential house for sale on Gai Street with an open balcony, basement, 0.1091ha land next to the house.There are also auxiliary buildings: A warehouse of 47.2 square meters, a cattle shed of 33.2 square meters and a garage. The residential house is sunny, gasified, the floor is parquet, it has all utilities. If desired, the residential house will be sold together with the property (with an additional fee) The residential house also has a separate 1000 square meter plot of land next to the house, which is also for sale, the price is $1000.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18243746,
House,Stone,190 sq.m.,2,3,1,No Renovation,700 sq.m.,"Orbelyanner street, Goris","$34,500",USD,"The house is newly built, the roof is galvanized. Bargaining is possible. Located on the corner of the street.Code U 388Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17379427,
House,Stone,170 sq.m.,2,4,1,Partial Renovation,1490 sq.m.,Syunik › Brnakot,"1,165,022 ֏",AMD,"Գույքը գտնվում է ՀԿԱԾ աճուրդում:Սյունիքի մարզ, գ. Բռնակոթում բնակելի տուն՝ 170․5քմ, հողամաս՝ 1490քմ։ Շինության պատերը՝ քարե, միջհարկային ծածկը՝ փայտանյութ, տանիքը՝ ազբեստային ալիքաձև վահանակներ, կղմինդր, դռները և պատուհանները՝ փայտյա, սանհանգույցը և լոգարանը բացակայում են, առկա է էլ․ հոսանք, ունի հիմնավերանորոգման կարիք։ Առկա են ավտոտնակ՝ 20քմ, գոմ՝ 35քմ:Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:! Ուշադրություն!Գույքը ծանրաբեռնված է փաստացի օգտագործողներով, որոնց վտարուման և պայմանագրից բխող բոլոր անհրաժեշտ ծախսերը և գործողությունները կատարվելու է աճուրդում հաղթող ճանաչված մասնակցի կողմից:",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/17805181,
House,Stone,87 sq.m.,1,3,1,No Renovation,,Syunik › Kajaran,"$6,000",USD,"Վաճառվում է երկու տնամերձ հողատարածք Սյունիքի մարզի Քաջարան համայնքի Ձագիկավան գյուղում: Ընդհանուր մակերեսը 900 ք. Մ. Սեփականաշնորհված: Տարածքում առկա է 87.5 ք. Մ. Մակերեսով շինություն: Տարածքի մոտով է անցնում ընդհանուր գազատար խողովակաշարը, ընդհանուր հոսանքալարը: Կոյուղաջրերի խողովակները անցնում են հողատարծքների միջով, ունի խմելու ջրի հնարավորություն:",Nov-24-2022_23-39,,,,,,https://list.am/en/item/14256073,
Country House,Stone,1200 sq.m.,2,3,1,Partial Renovation,1200 sq.m.,Syunik › Kapan,"$16,000",USD,"Private house for sale in Kapan Shgharshik district, house 6.Adjacent to the school, with a flat, large plot of land.Very convenient placeTranslated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17564613,
Country House,Stone,1400 sq.m.,1,4,1,Cosmetic Renovation,1400 sq.m.,"Սիսիական փողոց 17, Սիսիան","$15,000",USD,"4-room, high private stone house for sale, c. In Angeghakot. The house is clean, airy, has permanent drinking and irrigation water. The land near the house is 1200 square meters. 4000 sq. M. Barn land, has an orchard, there are different types of shrubs, has a basement, a bakery. For more information call.Translated from Armenian",Nov-24-2022_23-39,Not available,,,,,https://list.am/en/item/16755348,
House,Stone,3000 sq.m.,3,5,2,No Renovation,700 sq.m.,"Movses Khorenatsi street, Goris","$21,000",USD,"A half-built house is for sale in Goris. Call the given phone number for details. The house has a beautiful view of Lasti gorge, has a garden. Price is negotiable.Translated from Armenian",Nov-24-2022_23-39,Not available,Not available,,,,https://list.am/en/item/17930026,
House,Stone,1040 sq.m.,2,8+,3+,Partial Renovation,446 sq.m.,"Gusan Ashot street, Goris","70,000,000 ֏",AMD,"The building is located in the central part of the city, 100 meters below the Fountain. ""The roof is completely new (2021)The exterior of the building was done in 2021.The water line ին sewer has been completely changed, it has permanent water and gas.The area is convenient to use for commercial purposes.Translated from Armenian",Nov-24-2022_23-39,3 or more spots,Available,,,,https://list.am/en/item/17970283,
House,Stone,130 sq.m.,1,5,1,Cosmetic Renovation,670 sq.m.,"Улица Теряна 7, Սիսիան","11,350,000 ֏",AMD,"The house is located at 8 Teryan Street. The house has 5 rooms: 3 bedrooms, 1 reception room, 1 hall, hallway, 1 bathroom (renovated), 1 open balcony, basement, garage, 2 cattle sheds, garden with fruit trees (apricots, peaches, plums, apples, pears) walnut) There is a flower garden in front of the house. The roof has been replaced. Will be sold with some property and furniture.Translated from Armenian",Nov-24-2022_23-39,1 spot,By agreement,,,,https://list.am/en/item/18195833,
House,Stone,159 sq.m.,2,3,1,Old Renovation,507 sq.m.,"Orbelyanner street, Goris","$20,000",USD,"The house is located on Saryan street. It is subject to partial repair, has auxiliary facilities.Code U 386Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17367245,
House,Stone,376 sq.m.,2,5,1,Partial Renovation,1080 sq.m.,"Orbelyanner street, Goris","$33,000",USD,"The house is newly built, partially renovated. The roof is galvanized, the mezzanine is concrete. It has all the utilities, with 2 garage facilities.Code U 364Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17940490,
House,Stone,2600 sq.m.,2,6,1,Old Renovation,2500 sq.m.,Syunik › Brnakot,"5,300,000 ֏",AMD,Urgent sale. It also has a separate garage and a barn. There are all the amenities for living.Translated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17986524,
House,Stone,230 sq.m.,3,6,1,Partial Renovation,600 sq.m.,Syunik › Goris,"$67,000",USD,"A two-story private house is for sale in the city center.Partially renovated.A heating system is installed.The roof is new.Has a garage.There is a plot of land attached.It has a commercial area.The area of the residential building is 230 square meters. M:The area of the land is 600 square meters. M:Price: $67,000Code LL008817Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/18165796,
House,Stone,370 sq.m.,2,6,1,Old Renovation,1530 sq.m.,"Orbelyanner street, Goris","$35,000",USD,"A private house is for sale in Karashen village, the mezzanine roof is made of concrete, there is a garage with a big gate. It is gasified. Wind farm near the house 1530 sq. M. The house is for sale with grass, arable land and a separate garden.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17880073,
House,Stone,192 sq.m.,2,4,1,Partial Renovation,1630 sq.m.,"Orbelyanner street, Goris","$38,000",USD,"The private house is located in Hartashen village, it is two-storey, has 3 separate barns, with an area of 70 square meters. The mezzanine floor is made of concrete, has an open balcony, the kitchen and the bathroom is capitally renovated. The barn is equipped with ventilation, there is a separate refrigerator (freezer) and three-phase electricity for separate activities.Code U 385Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17344181,
House,Stone,316 sq.m.,2,4,1,Partial Renovation,624 sq.m.,"Orbelyanner street, Goris","$75,000",USD,"The house is located on Syunik street, next to the electricity network, the roof is galvanized, the mezzanine is covered with concrete. It has 2 big gates, a garage.Code U 383Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17344163,
House,Stone,120 sq.m.,2,3,1,Partial Renovation,600 sq.m.,Syunik › Goris,"16,000,000 ֏",AMD,"Two-story stone house for sale.Capital renovated.Number of rooms: 3Has a garage.There is an open balcony.Has basements.There is a plot of land attached.For sale with partial ownership.The area of the land is 600 square meters. M:The area of the residential building is 120 square meters. M:Price: $40,000Code LL008812Translated from Armenian",Nov-24-2022_23-39,Not available,Available,,,,https://list.am/en/item/18120004,
House,Stone,120 sq.m.,2,4,1,Major Renovation,,"Syuniq street, Goris","$39,000",USD,"Վաճառվում է նորակառույց սեփական տուն Գորիս քաղաքի Արեգունի թաղամասում, կապիտալ վերանորոգված, բոլոր հարմարություններով: 1800քառ. Մետր հողամասով, ևս 2500 քառ. Մետր ավելացնելու և գլխավոր մայրուղու կողմից մուտքի հնարավորությամբ: Հարմար է հյուրանոցային բիզնես սկսելու կամ գյուղատնտեսական և ցանկացած այլ գործունեություն ծավալելու համար: Ունի հրաշք այգի:Մանրամասների համար զանգահարել վերը նշված հեռախոսահամարով:",Nov-24-2022_23-39,,,,,,https://list.am/en/item/12892941,
House,Stone,1100 sq.m.,2,4,1,Partial Renovation,1100 sq.m.,"Movses Khorenatsi street, Goris","$38,000",USD,"House for sale in Goris, Avangard 31. Shower, has all the utilities. Suitable for any type of activity. It has a large plot of land and a wonderful view. If you have any questions, you can call the mentioned phone number.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/15989198,
House,Stone,280 sq.m.,2,3,1,Partial Renovation,900 sq.m.,"Orbelyanner street, Goris","$50,000",USD,"The residential house is built in a new style. The roof is in good condition, the mezzanine roof is concrete, the first floor can be used as a residence, it has a big gate. It also has an open balcony. Located on the central street. (The house is located at 58 V. Mamikonyan Street)Code U 357Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/17276556,
House,Stone,200 sq.m.,2,5,2,Euro Renovation,600 sq.m.,Syunik › Goris,"30,000,000 ֏",AMD,Two-storey 5-room good argumentTranslated from Armenian,Nov-24-2022_23-39,,,,,,https://list.am/en/item/17097249,
House,Stone,160 sq.m.,2,4,2,Euro Renovation,,Syunik › Goris,"20,000,000 ֏",AMD,"20,000,000 for sale, property will be given with it, heating will be provided.Translated from Armenian",Nov-24-2022_23-39,,,,,,https://list.am/en/item/16706225,
House,Stone,90 sq.m.,2,4,1,Old Renovation,1790 sq.m.,"Syunik St, Goris","$32,000",USD,"A 4-room old house is for sale at 61 Spandaryan (Artashesyanner) St. In Goris. The area of the residential house is 90.6 square meters. And the plot next to the house is 1790 square meters. The cost is 32,000 USD. The price is negotiable.Translated from Armenian",Dec-15-2022_21-56,3 or more spots,,,,,https://list.am/en/item/18565518,
Country House,Stone,180 sq.m.,2,6,1,Major Renovation,2000 sq.m.,"Աշոտավան թաղամաս 21, Կապան","20,000,000 ֏",AMD,"It has a very large plot, three-phase electricity, a garage.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/18379961,
House,Stone,190 sq.m.,2,5,2,Old Renovation,4000 sq.m.,Syunik › Ashotavan,"9,000,000 ֏",AMD,"There are fruit trees of different types on the land. There is a barn, 4 hectares of cultivated landTranslated from Armenian",Dec-15-2022_21-56,Not available,By agreement,,,,https://list.am/en/item/18378375,House is Finished
House,Stone,206 sq.m.,2,4,1,Cosmetic Renovation,1000 sq.m.,Syunik › Tegh,"11,000,000 ֏",AMD,"A 2-storey stone house for sale in the village of Tegh, Syunik region, with all amenities, gas, electricity, water. Store and basement on the first floor of the house.Translated from Armenian",Dec-15-2022_21-56,2 spots,Not available,,,"Electricity, water supply, natural gas",https://list.am/en/item/18574111,House is Finished
House,Panels,95 sq.m.,2,5,1,Old Renovation,1950 sq.m.,Syunik › Sisian,"$12,000",USD,"A 2-storey house for sale in Ashotavan, village of Sisian. The house has 5 rooms, kitchen, bathroom, toilet, basement, garage and auxiliary structures. It has 1950 meters of garden. The price is negotiable.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/18551745,
House,Stone,70 sq.m.,1,3,1,Cosmetic Renovation,500 sq.m.,Syunik › Kapan,"$15,000",USD,Продаётся собствини дом Еркатугаинери 5 тупик в доми есть вада эликтричества газа нет но можна провести есть землянои участок фруктовие деревя цена может расматреца,Dec-15-2022_21-56,Not available,Available,,,,https://list.am/en/item/18415435,House is Finished
House,Stone,360 sq.m.,2,5,2,Partial Renovation,,"Սյունիքի փողոց 60, Գորիս","$49,700",USD,A house is for sale in the city of GorisPrice negotiableExchange with a car is possibleTranslated from Armenian,Dec-15-2022_21-56,2 spots,Partial Furniture,,,,https://list.am/en/item/18428385,House is Finished
House,Stone,194 sq.m.,2,5,1,Cosmetic Renovation,1100 sq.m.,"Գարեգին Նժդեհի փողոց, Կապան","23,000,000 ֏",AMD,"Own house for sale in Kapan city, close to the center, with property and equipment, although there are too many construction materials. Call for details.Translated from Armenian",Dec-15-2022_21-56,Not available,Available,Barbecue oven,"Air conditioner, fridge, stove, washing machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18706454,House is Finished
House,Stone,160 sq.m.,2,3,1,Old Renovation,800 sq.m.,"Անկախության փողոց 111, Գորիս","23,500,000 ֏",AMD,"A two-story private house is located on Independence Street in Goris City.The plot adjacent to the house is a commercial area, 800 square meters. The front part is 21 - m, the length is 38 - m, there is a two-story residential building in the area, and a monolithic semi-structured building rebuilt from the ground up in 2020. It has all utilities, gas, 24-hour water supply, sewage electricity.It is suitable for doing all kinds of business.Only real buyers should call.Translated from Armenian",Dec-15-2022_21-56,Not available,Not available,,,,https://list.am/en/item/18442041,House is Unfinished
House,Stone,2066 sq.m.,2,6,2,Major Renovation,860 sq.m.,"Քրիստափորի փողոց, Գորիս","$230,000",USD,"2-storey private house for sale in Sal-Kar district, with property and equipment. It is provided with all the communal amenities, European windows are installed, there are 5 large bedrooms, 1 living room, kitchen, bathroom, there is an orchard, a plot of land, a large balcony with a beautiful view. The apartment is equipped with a heating system, a solar water heater is installed, the floor of the kitchen, bathroom and toilet is heated. Equipped with cameras. On the ground floor there are garages, basement, commercial areas (operating shop, dental clinic),Bathroom: In a word, there is a lot to present))) Call for more information.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/17593444,
House,Stone,125 sq.m.,2,4,1,Euro Renovation,1150 sq.m.,"Garegin Nzhdeh street, Goris","$65,000",USD,"The house in Goris, renovated, has adjoining buildings for business activities: Barns, which are currently serving as chicken and rabbit nests, possibly also with property and animals /for an additional fee/.Translated from Armenian",Dec-15-2022_21-56,1 spot,,,,,https://list.am/en/item/18569604,
House,Stone,120 sq.m.,2,4,1,Old Renovation,1200 sq.m.,Syunik › Kapan,"$35,000",USD,"Срочно продаеться участок, все вопросы по телефону!",Dec-15-2022_21-56,Not available,,,,,https://list.am/en/item/18582289,
House,Stone,12 sq.m.,2,3,1,No Renovation,160 sq.m.,"Աղասի Խանջյանի փողոց 3, Սիսիան","$28,500",USD,"It is privatized, has water and sewerage.Translated from Armenian",Dec-15-2022_21-56,2 spots,Not available,,,,https://list.am/en/item/18500009,House is Under Construction
House,Stone,200 sq.m.,2,4,1,Old Renovation,,"12th street, Tatev","8,000,000 ֏",AMD,"A two-story house is for sale in Harzhis settlement, Tatev community, Syunik marz. The house is in good condition. There is a garden with various fruit trees next to the house. At the top there is a wonderful view of the pine forest. 3ha of land is also given with the house.Translated from Armenian",Dec-15-2022_21-56,1 spot,Available,,,,https://list.am/en/item/18453271,House is Under Construction
Country House,Stone,195 sq.m.,2,2,1,Old Renovation,600 sq.m.,Syunik › Goris,"12,000,000 ֏",AMD,"Stone house for saleFor details, call the indicated phone numberTranslated from Armenian",Dec-15-2022_21-56,1 spot,By agreement,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18665738,
House,Monolith,142 sq.m.,1,3,1,No Renovation,800 sq.m.,"Yerevanyan Street 6, Yeghvard","$82,000",USD,"House fore sale in Yeghvard, Yerevanyan street. House 142m2 including garage, land 800 m2 20×40. Inner division not completed with possibility of two or three bedrooms.",Dec-15-2022_21-56,,,,,,https://list.am/en/item/18441144,
House,Stone,300 sq.m.,2,4,2,No Renovation,100 sq.m.,Syunik › Goris,"$55,000",USD,"Продам дом г. Горис село Верешень 2 этажа, 12×14, без внутренней отделки, застеклён в 2022 году. Документы готовы. Телефон в России на фото Viber, WhatsAap.",Dec-15-2022_21-56,,,,,,https://list.am/en/item/18424883,
House,Stone,157 sq.m.,2,3,1,Partial Renovation,800 sq.m.,"Քրիստափորի փողոց, Գորիս","$25,000",USD,"2-storey private house is for sale on Aygestan street, with property and equipment. It is provided with all the communal facilities, 3 rooms, kitchen, bathroom, there is an orchard, a plot of land, a large balcony with a beautiful view.Call for more information.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/17824532,
Country House,Stone,40 sq.m.,1,2,1,Partial Renovation,1800 sq.m.,Syunik › Kapan,"$25,000",USD,"Վաճառվում է ամառանոց:Ունի քարե տուն, մշտական լույս, ջուր՝ խմելու և ոռոգման:Բակում կա տաղավար (беседка) նախատեսված մինչև 25 հոգու համարև երկաթե տնակ: Կա 140 պտղատու ծառ:Ամառանոցն ունի մինչև 6 մեքենա կայանելու հնարավորություն:Մանրամասների համար զանգահարել",Dec-15-2022_21-56,,,,,,https://list.am/en/item/17225902,
House,Stone,131 sq.m.,2,7,1,Partial Renovation,1407 sq.m.,Syunik › Bardzravan,"1,417,176 ֏",AMD,"The property is the Bank's pledge, which is at auction at the ARCS.Syunik region, Bardzravan community, 1st street, residential house at 14, 130-7 sq. M., land plot: 1407 sq. M. The walls of the building are made of stone, the roof is made of asbestos slate, the metal sheets are made of wood, the mezzanine is covered with reinforced concrete, the entrance doors are made of wood, the balcony door is made of metal-plastic, the windows are made of wood-plastic. Electricity, water.The residential house is located in 1/2 of the two-story building (on the right side of the building) There is a cattle building, 42.3 sq. M., one-storey, the walls are made of stone, without decoration.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/16955287,
House,Stone,253 sq.m.,3,7,3+,Partial Renovation,900 sq.m.,Syunik › Sisian,"15,000,000 ֏",AMD,"The residential house is three-storey, each floor has a living room, a large corridor and a bathroom in addition to the bedroom. It is sunny. The staircase is from the inside. It has a plot with productive trees. There is also a storage room.Translated from Armenian",Dec-15-2022_21-56,Not available,Not available,,,"Electricity, water supply, sewerage",https://list.am/en/item/18588866,
House,Stone,520 sq.m.,2,2,2,Old Renovation,150 sq.m.,"Movses Khorenatsi street, Goris","$22,000",USD,"Urgent saleOwn house with its own plot of 520 sq. M. M.Located near the center of Goris, M. On Khorenatsi StreetTranslated from Armenian",Dec-15-2022_21-56,1 spot,,,,,https://list.am/en/item/18039378,
House,Stone,130 sq.m.,2,5,1,Cosmetic Renovation,260 sq.m.,Syunik › Goris,"$120,000",USD,"He is selling his own house in the city of Goris. The house has 4 bedrooms, living room, kitchen and one bathroom. The house is located on Mashtots Street.Translated from Armenian",Dec-15-2022_21-56,,,,,,https://list.am/en/item/18506101,
