Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links
Office Space,160 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,By Agreement,"Amiryan Street, Yerevan","$2,200",USD,"UNPRECEDENTED OFFEROffice space is for rent on Amiryan street, near the Republic Square. The area is located in one of the busiest and highest sections of the center. It is located on the 1st floor of a new building, the ceiling height is 4 m. The area has a separate entrance in addition to the entrance.Call the listed phone numbers for details.For similar suggestions, click on the ""Name"" button.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/11970843
Retail Space,200 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Leningradyan street 4/1, Yerevan","2,000,000 ֏",AMD,Сдаётся торговое помещение на долгий срок1 линия2 этажаподвалсобственный небольшой дворԿոդ 18017922,Nov-24-2022_22-14,,https://list.am/en/item/18017922
Retail Space,20 sq.m.,,,,,,,,,Yerevan › Shengavit,"80,000 ֏",AMD,The area of the existing hairdressing salon for rent is also suitable for the Elos manicure salon. Kara can serve as a language center.The bus stop is the place to give coffee or bread to the servant drivers.Translated from Armenian,Nov-24-2022_22-14,,https://list.am/en/item/17248709
Retail Space,70 sq.m.,,,,,,,,,"Mazmanyan Street 1, Yerevan","300,000 ֏",AMD,"Hurry!A business space is provided for rent in Garage Mall, it can serve as a clinic, dental clinic and commercial space. For details, call the indicated phone number.The area needs a building. Works, so the price may change.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/17973728
Building,850 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Babayan street, Yerevan","$7,000",USD,"Babayan Street, Monument, 1st line, separate building for rent, 2 floors and basement, worked as a spa center, very suitable as a fitness club, beauty salon, office, clinic, massage parlor, etc. , sale is also possible...Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18184330
Everything Else,40 sq.m.,,,,,,,,,"Artsakh avenue 14, Yerevan","195,000 ֏",AMD,"A semi-basement area is for rent at 14, Artsakh Street, Erebuni, the area of the semi-basement is 40 square meters, 8x5All utilities are availablelocated in a crowded lively area near a supermarketnear the Vstrech intersectionsuitable for any activityFor details, call the indicated phone numberTranslated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/17306089
Multifunctional Space,800 sq.m.,,,,,,,,,"Aygedzor street, Yerevan","$5,000",USD,"Fully renovated commercial space for rent in Kentron community, on Aygedzor street. The area has 4 floors, on the 1st floor there is a swimming pool and parking, on the 2nd floor there is a kitchen and offices (total number of rooms is 9), 3 rooms with their bathrooms, on the 4th floor there is an attic, a storage room and a terrace.The space can be used as an office, kindergarten, development center.Code AY05005Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18313180
Office Space,40 sq.m.,,,,,,,,,"Artsakh avenue 14, Yerevan","115,000 ֏",AMD,"Аренда помещений в совместимом порядке участок расположен по адресу Эребуни, 14, Арцах, недалеко от перекрестка Встреч в оживленном районе напротив Армянского Бизнес Банка в районе есть ремесленная мастерская и мастерская по ремонту оборудования стол, стул, интернет, wifi предоставляются, коммунальные платежи включены в стоимость есть утилиты Звоните для предложений и подробностейՎարձով է տրվում տարածք համատեղելի կարգովտարածքը գտնվում է Էրեբունի, արցախի 14 հասցեում վստրեչ խաչմերուկի մոտ աշխույժ շարժ ունեցող հատվածում հայ բիզնես բանկի դիմացտարածքում գործում է տեխնիկայի վերանորոգման կետտրամադրվում է սեղան աթոռ ինտերնետ wifi գումարի մեջ ներառված է կոմունալ ծախսերըկա կոմունալ հարմարություններըառաջարկների և մանրամասների համար զանգահարել",Nov-24-2022_22-14,,https://list.am/en/item/17306168
Industrial and Manufacturing,700 sq.m.,,,,,,,,,Yerevan › Nor Nork,"$2,000",USD,"For more information, call the mentioned phone numbers.Code Zor68Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/16849488
Automotive Service,108 sq.m.,,,,,,,,,"Silikyan 5th street, Yerevan","300,000 ֏",AMD,"At the moment it is functioning as a market.With a separate toilet. It will also be suitable for a bank, office or other commercial space.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18180611
Office Space,300 sq.m.,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,"Riga street, Yerevan","$2,500",USD,"Վարձով է տրվում 3 հարկանի գրասենյակային տարածք Ռիգայի փողոցում: Տարածքը նոր վերանորոգված է, ունի ջեռուցման և օդափոխման համակարգ, նաև նկուղ 50քմ։",Nov-24-2022_22-14,,https://list.am/en/item/14983065
Building,97 sq.m.,Not available,Not available,Second Line,Common from the Courtyard,Direct Lease,1 year,By Agreement,Not included,"Mesrop Mashtots Avenue, Yerevan","$1,000",USD,"Բնակարանը վերանորոգված է,անհատական ջեռուցման համակարգ, օդորակիչ",Nov-24-2022_22-14,,https://list.am/en/item/14879595
Warehouse,500 sq.m.,,,,,,,,,"Ashtarak highway, Yerevan","1,900 ֏",AMD,Ready storage space at the beginning of Ashtarak highway.The warehouse is furnished with storage racks and necessary appliances.Price: AMD 1900 per square meter.Translated from Armenian,Nov-24-2022_22-14,,https://list.am/en/item/18251795
Multifunctional Space,84 sq.m.,,,,,,,,,"Koryun street, Yerevan","500,000 ֏",AMD,"Commercial space for rent. If applicable, the property may not be available. It can serve both single and multiple business purposes.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18340252
Multifunctional Space,100 sq.m.,,,,,,,,,"Նորաշեն թաղամաս 21/6, Երևան","250,000 ֏",AMD,"For long-term lease, open-plan space can be used for production, office, storage, as a shop, beauty salon or any other activity.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18118051
Multifunctional Space,154 sq.m.,,,,,,,,,"Նիկողայոս Տիգրանյան փողոցի փակուղի 1/1, Երևան","$2,500",USD,"2 commercial areas for rent, 77.1 square meters + 76.6 square meters. The area is located in the Ani residential district, on the first floor of a 12-storey newly constructed building (zero entrance) The area is in zero state. Entrance doors and windows: Euro.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18207140
Multifunctional Space,77 sq.m.,,,,,,,,,"Նիկողայոս Տիգրանյան փողոցի փակուղի 1/1, Երևան","$1,300",USD,"A commercial space is for rent in Ani residential district, on the first floor of a 12-storey newly constructed building (zero entrance) The area is in zero condition. Entrance door and window: Euro.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18207145
Retail Space,2400 sq.m.,Available,Not available,First Line,Common from the Street,Direct Lease,2 years,By Agreement,Not included,"Fuchik street 27/44, Yerevan","4,500,000 ֏",AMD,"Public space for rent. The area is located on the road next to the eye hospital, it has all the utilities. 800 square meters of the area is located in the basement. It is also possible to rent the basement together with the first floor, the second floor separately. In case of providing separately, 1 sq. M. It will cost 2000 AMD.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/17871372
Warehouse,100 sq.m.,,,,,,,,,"Nor-Aresh 46th street, Yerevan","50,000 ֏",AMD,"100 sq / m area, basement floorFor rent:WarehouseTranslated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/17282865
Office Space,80 sq.m.,,,,,,,,,"Մխիթար Հերացու փողոց 18, Երևան","$1,000",USD,"Commercial space for rent, on Mkhitar Heratsi Street, on the first line.The area is completely renovated, has two bathrooms, two large halls, a kitchen equipped with modern furniture, three air conditioning systems with hot and cold modes are installed in the hall. There is also a security system.The area is 160 square meters, it is possible to rent it completely, in that case the rent will be $2000.The space is suitable for use as stomatological and office space.Code FA1076Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18306813
Office Space,800 sq.m.,Not available,Available,First Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Aygedzor street, Yerevan","$5,000",USD,"Fully renovated commercial space for rent in Kentron community, on Aygedzor street. The area has 4 floors, on the 1st floor there is a swimming pool and parking, on the 2nd floor there is a kitchen and offices (total number of rooms is 9), 3 rooms with their bathrooms, on the 4th floor there is an attic, a storage room and a terrace.The space can be used as an office, kindergarten, development center.Code MK2473Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18310944
Office Space,240 sq.m.,Not available,Not available,Second Line,Common from the Street,Direct Lease,1 year,2 months,Not included,"Aygedzor Lane, Yerevan","1,000,000 ֏",AMD,"A newly built private house is for rent in Aygedzor.It has a kitchen, 3 bedrooms, 1 large living room and 1 medium, 2 bathrooms, 1 medium-sized balcony next to the bedroom, and 1 large balcony on the third floor of 45 sq. M.The house has 2 yards, one in front of the house, the other at the back.It has all the amenities.The house is suitable for both residential and office use.Code MK1577Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/17484406
Office Space,100 sq.m.,,,,,,,,,"Hrachya Kochar Street, Yerevan",$900,USD,"CODE 4865Hrachya Kochar Street, Arabkir.Office space for rent near RIO MALL.100 sq. M. Total area, 70 square meters. M. Yard area.It consists of 3 rooms, has a kitchen and a bathroom.Price $900Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/15032080
Office Space,280 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 month,2 weeks,Not included,"Lambron street, Kilikia","$2,000",USD,"CODE 6503:3-storey private house is for long-term rent in Kentron, Kilikia district. The private house is fully repaired, it is heated with a gas boiler.European windows are installed, and the bathrooms and the kitchen are tiled.It has an open balcony, a garage, a yard, 2 renovated bathrooms on the first and second floors, heating, air conditioning, a fireplace.The house is located on the central street.There are supermarkets, schools, kindergartens and other necessary places nearby.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/15372948
Everything Else,470 sq.m.,,,,,,,,,"Aygedzor street, Yerevan","$2,700",USD,"ԿՈԴ 6042Արաբկիր, Այգեձոր փողոցի մոտ4 հարկանի առանձնատունընդհանու մակերեսը՝ 470 քմշինության մակերեսը՝ 250 քմառկա է 7 սենյակ, 3 սանհանգույցկապիտալ վերանորոգված էկա ջեռուցման համակարգ, օդորակիչունի գեղեցիկ բակՀԱՐՄԱՐ Է ՄԱՆԿԱՊԱՐՏԵԶԻ, ՕՖԻՍԻ և ԱՅԼ ԳՈՐԾՈՒՆԵՈՒԹՅԱՆ ՀԱՄԱՐ",Nov-24-2022_22-14,,https://list.am/en/item/12462047
Hotel,500 sq.m.,Available,Available,Second Line,Common from the Street,Direct Lease,3 years,By Agreement,Not included,"Charents lane, Yerevan","$12,000",USD,"CODE 5085:Center, at the end of Charents street3-storey hotel,10 rooms with their bathrooms,They swam outside,Comes with all relevant furniture...For more information call...Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/14599506
Everything Else,500 sq.m.,By agreement,Not available,Second Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Qeri street, Yerevan","$3,800",USD,"ԿՈԴ 5706Արաբկիր, Բլուր թաղամաս4 հարկանիՆորակառույց շինությունընդհանուր մակերեսը 450 քմ. ԷԱռկա է 10 սենյակԱմեն հարկում առկա է սանհանգույցՈւնի գեղեցիկ բակ, մանղալՏեսարանը նայում է դեպի հրազդան կիրճըԱռանձնատանն կից կա ավտոտնակԱմեն սենյակ ունի իր առանձին պատշգամբըՈւնի առանձին հանգստյան հարկ՝ ամբողջովին կահավորված.Կոդ 5706V",Nov-24-2022_22-14,,https://list.am/en/item/14469182
Office Space,163 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Marshal Baghramyan avenue, Yerevan","$1,300",USD,"CODE 7245A spacious 4-room apartment of 165 sq. M. Is for rent. M. On the surface, which is located in M. Baghramyan Avenue, on the 1st and 2nd floors of a 9-story stone building.The space is located on the 1st line, has a separate entrance and can be used as a commercial space.The area has been completely renovated, recently it has been cosmetically renovated.Bathrooms are tiled and equipped with sanitary ware.A heating system has been installed, and an air conditioner has also been installed.Currently, only the kitchen and living room are furnished, the apartment is equipped with necessary equipment.It has a spacious open balcony of 20 square meters. Surface.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/15063066
Office Space,330 sq.m.,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 year,By Agreement,Not included,"Karapet Ulnetsi Street, Yerevan","$3,900",USD,"CODE 6993:A 4-storey private house with an area of 330 square meters and 400 square meters of land is for long-term rent in Kanaker-Zeytun community, on Karapet Ulnetsi street. The house has more than 10 rooms, it is fully repaired, individual heating system is installed, euro windows, the floor is covered with parquet and tiles.All 4 bathrooms։ the kitchen are tiled and provided with sanitary ware.The rooms։ the kitchen are modernly furnished and equipped with household appliances and with all the necessary accessories.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/15529211
Office Space,180 sq.m.,,,,,,,,,"Ler Kamsari Street, Yerevan","600,000 ֏",AMD,"CODE 5740:Near American University4-storey newly built private house180 sq. M. Մ. , 7 rooms, 4 bathroomsThoroughly reconstructed,The yard is fencedFor more information callTranslated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/14599314
Functioning Business,70 sq.m.,,,,,,,,,"Silikyan 10th street, Yerevan","280,000 ֏",AMD,"A business for rent, currently operating a bakery and food court, call for detailsCode kh222233Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18100801
Industrial and Manufacturing,120 sq.m.,,,,,,,,,Yerevan › Shengavit,"100,000 ֏",AMD,"Production space for rent. Can serve as a storage. It has three-phase electricity and utilities. Chekhov street.It is in the yard of his own house. There was a naski and shoe factory.150,000 drams as a production areaAMD 100,000 as a reserveInitial minimum 6 months rent.Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18227052
Retail Space,210 sq.m.,,,,,,,,,"Tumanyan street, Yerevan","$60,000",USD,"Realty Consult ID` T 774Վարձով է տրվում հասարակական սպասարկման տարածք` 210 քմԿենտրոն, Թումանյան փողոց, Օպերայի մերձակայքում4/1 հարկ + նկուղ, քարե (Ստալինյան), ճակատ` 7մՎԱՐՁԱՎՃԱՐ ՝ 6000 $:Տարածքի ներքին հարդարանանքը գտնվում է բարվոք վիճակում, ենթակա է արդիականացման: Ներքին դռները փայտից են, պատուհանների շրջանակները` Մետաղապլաստից:Տարածքը գազաֆիկացված է, առկա է ջեռուցման համակարգ, օդորակիչՏարածքը ի տեղադրությունը, դիրքը, հարող տարածքների առկայությունը բարենպաստ են սրճարանի կամ այլ հասարակական սպասարկման գորրծունեություն կազմակերպելու նպատակով:",Nov-24-2022_22-14,,https://list.am/en/item/9932226
Office Space,110 sq.m.,,,,,,,,,Yerevan › Kentron,"$1,700",USD,"Realty Consult ID` T 1108Վարձով է տրվում հասարակական սպասարկման տարածք` 110 քմ:Կենտրոն, Տերյան փողոց:4/1 հարկ, քարե, առաստաղ՝ 3.2մՎԱՐՁԱՎՃԱՐ ՝ 1.700 $Տարածքի ներքին հարդարանքը ընդհանուր լավ պահպանված հնաոճ նորոգում է, ենթակա է նորոգման:Տարածքը համալրված է հետևյալ կոմունիկացիաներով և համակարգերով՝ ջուր, կոյուղի, էլեկտրականություն, գազ, օդորակում:Տարածքը ի տեղադրությունը, դիրքը, հարող տարածքների առկայությունը բարենպաստ են գրասենյակային գորրծունեություն կազմակերպելու նպատակով:",Nov-24-2022_22-14,,https://list.am/en/item/12077837
Office Space,204 sq.m.,,,,,,,,,"Mesrop Mashtots Avenue, Yerevan","$5,200",USD,"Realty Consult ID` T 1071Վարձով է տրվում հասարակական սպասարկման տարածք` 203.7 քմԿենտրոն, Մաշտոցի պողոտա4/1հարկ + նկուղ, քարե, առաստաղ՝3.5 մ, ճակատ՝4.5 մՎԱՐՁԱՎՃԱՐ՝5.200 $Առկաենվիտրաժներըճակատայինհատվածում:Տարածքիներքինհարդարանքըգտնվումէբավարարվիջակում, հիմնականհատվածըենթակաէնորոգման:Տարածքըհամալրվածէհետևյալկոմունիկացիաներովևհամակարգերով՝ջուր, կոյուղի, էլեկտրականություն:Տարածքըիտեղադրությունը, դիրքը, հարողտարածքներիառկայությունըբարենպաստենգրասենյակային, առևտրային կամայլհասարակականսպասարկմանգորրծունեությունկազմակերպելունպատակով:",Nov-24-2022_22-14,,https://list.am/en/item/11753993
Office Space,90 sq.m.,,,,,,,,,"Hrachya Nersisyan street 1, Yerevan","350,000 ֏",AMD,Raykom... Сдается офисное полуподвальное помещение на ул. Грачья Нерсисяна 1.Площадь полуподвала - 90 кв. М:Он обеспечен всеми условиями и подходит для офиса и другой деятельности.Звоните.,Nov-24-2022_22-14,,https://list.am/en/item/17858359
Multifunctional Space,72 sq.m.,,,,,,,,,"Garegin Nzhdeh Street, Yerevan","$1,500",USD,"The area is located in a very visible place, it has large stained glass windows.Is on the first line.There is a security system, air conditioner.Code KOMV130Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/18295718
Multifunctional Space,80 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,2 years,1 month,Not included,"Vahram Papazyan street, Yerevan","550,000 ֏",AMD,Commercial area is for rent on Vahram Papazyan street. The area is renovated.Code KOMV479Translated from Armenian,Nov-24-2022_22-14,,https://list.am/en/item/18001912
Multifunctional Space,52 sq.m.,,,,,,,,,"Mesrop Mashtots Avenue, Yerevan","330,000 ֏",AMD,"A commercial space is for long-term lease in the CENTER, on Mashtots Avenue. The area has a semi-basement, fully renovated. Located on the first line. There is constant hot and cold water. It is multifunctional. It is suitable for any activity: Office, beauty salon, dental clinic, educational center, etc.Rent: AMD 330,000Code: GS-196KTranslated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/14165288
Office Space,155 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Գարեգին Նժդեհ փողոց, Երևան","700,000 ֏",AMD,"Multipurpose property For rent space on Garegin Nzhdeh street, 1 lane, busy part, air conditionerstained glass zero entry. The space consists of 2 floorsThe area is suitable for various activitiesLong term + deposit availableneeds repairCode T8199Translated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/14146091
Functioning Business,120 sq.m.,,,,,,,,,"Nar-Dos street, Yerevan","300,000 ֏",AMD,"Beauty salon for rent on Nar-Dos street. The area is renovated and has all the conditions for working (cosmetologist առանձին separate rooms for make-up artist) as well as kitchen. All utilities are available. The area is basement.Rent: 300,000 AMD per monthSale: $ 102,000Code: GS-09KTranslated from Armenian",Nov-24-2022_22-14,,https://list.am/en/item/15060862
Office Space,71 sq.m.,,,,,,,,,"Karen Demirchyan street 101, Yerevan","350,000 ֏",AMD,Newly renovated.Translated from Armenian,Nov-24-2022_22-14,,https://list.am/en/item/13829759
Office Space,115 sq.m.,,,,,,,,,"Tigran Mets Avenue 1st lane, Yerevan","$1,000",USD,Thoroughly reconstructedTranslated from Armenian,Nov-24-2022_22-15,,https://list.am/en/item/12189220
Multifunctional Space,220 sq.m.,,,,,,,,,"Hanrapetutyun street, Yerevan","$1,600",USD,Newly renovated.Translated from Armenian,Nov-24-2022_22-15,,https://list.am/en/item/16356112
Functioning Business,60 sq.m.,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,"Charents street, Yerevan","400,000 ֏",AMD,2-room office space 56 square meters for rent. On the surface. The area is provided with all utilities. It is given only for long term.Call for other information.Translated from Armenian,Nov-24-2022_22-15,,https://list.am/en/item/15166678
Office Space,170 sq.m.,Not available,Not available,First Line,Common from the Street,Direct Lease,6 months,2 months,Not included,"Kasyan street 4, Yerevan","700,000 ֏",AMD,"The area is located on the front line, it is capitally renovated, has a ventilation system and three-phase electricity.The area is suitable for various activities (beauty salon, commercial area and office space)Code 9746Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/13814727
Office Space,140 sq.m.,,,,,,,,,"Charents street 42, Yerevan","770,000 ֏",AMD,"Office space is for rent on Charents street, the area is on the front line, has a parking lot, as well as the possibility of advertising.The area has a reception, 3 study rooms, 1 spacious common room, storage room, bathroom, there is constant hot and cold water.You can call the mentioned phone numbers for details.Code 9216Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/13962057
Multifunctional Space,158 sq.m.,By agreement,Not available,Other,Separate from the Street,Direct Lease,6 months,By Agreement,Not included,Yerevan › Shengavit,"$2,400",USD,"Commercial area is for rent on Bagratunyats street.It is located on the 1st floor of a newly built monolith building.The total area is 158 square meters.It is a functioning shop, all the communal facilities are available, the area also has a security system, cameras.For more details, call the mentioned phone number.Code H-409Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16309477
Retail Space,120 sq.m.,,,,,,,,,Yerevan › Ajapnyak,"250,000 ֏",AMD,"Area for rent on the 1st floor near Tumo and Haybusak UniversitySuitable for dance, karate, gym, bank, dental clinic, cosmetology centerOverhauled at Estonian 12/1Apartment for rent in Armenia, Yerevan street Estonakan 12 \ 1:Full repaired:Very close to Tumo center and Haybusak university.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16380837
Office Space,1200 sq.m.,,,,,,,,,Yerevan › Nor Nork,"2,400,000 ֏",AMD,"URGENTOffice space is for rent in a four-storey building, which is euro-renovated, all the utilities are available. Each floor 300 sq. M. Մ. E: Եւ the whole building and partial areas are for rent. 1 c. Մ. The cost is 2000 AMDThe building is located on Baghrand streetTranslated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17083616
Office Space,950 sq.m.,,,,,,,,,"Abelian street, Yerevan","6,000 ֏",AMD,"IT Park business center offers 950 square meters of office space on lease basis.The space is sunny, heated and very suitable for IT activities. The office is currently in an unrenovated state, which gives the tenant the opportunity to modify and renovate according to his taste and design. The photos show the future office after 2 months, when the renovations carried out by experienced employees of our company will be completed.The price includes VAT, cleaning, free electricity, internet, parking, round-the-clock security.The building has more than 200 free parking spaces, safe passenger elevators, ""Art Lunch"" food court, payment terminals and cash machines, car wash.The office is located in the IT Park business center, where IT business companies are concentrated.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/15070059
Office Space,17 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,Direct Lease,1 month,1 month,Not included,"Khorenatsi street, Yerevan","150,000 ֏",AMD,"On Khorenatsi street, near the tax office, semi-basement area suitable for storage, small office, bathroomprice negotiableCode T8196Translated from Armenian",Nov-24-2022_22-15,OUtdoor parking,https://list.am/en/item/17298640
Office Space,200 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,Yerevan › Arabkir,"700,000 ֏",AMD,"1 line for rent, commercial space with stone facade, 2.5 floorsSuitable for dental clinic, development center, beauty salon, fitness and other activities.It has a front section of 8 metersneeds repairlong term + deposit is givenCode T8195Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/15050267
Office Space,1200 sq.m.,,,,,,,,,Yerevan › Nor Nork,"2,400,000 ֏",AMD,"URGENTOffice space is for rent in a four-storey building, which is euro-renovated, all the utilities are available. Each floor 300 sq. M. Մ. E: Եւ the whole building and partial areas are for rent. 1 c. Մ. The cost is 2000 AMDThe building is located on Baghrand streetTranslated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17084258
Office Space,38 sq.m.,,,,,,,,,"Charents street, Yerevan","150,000 ֏",AMD,A small office space is for rent on Charentsi Street near Ates2nd floorThe bathroom. Air conditionerCode T4401Translated from Armenian,Nov-24-2022_22-15,,https://list.am/en/item/17446215
Warehouse,20 sq.m.,,,,,,,,,Yerevan › Arabkir,"50,000 ֏",AMD,A warehouse space of 20 square meters is for rent in Arabkir. Equipped with grills.Translated from Armenian,Nov-24-2022_22-15,,https://list.am/en/item/18287801
Everything Else,124 sq.m.,,,,,,,,,"Mirakyan street 61, Yerevan","200,000 ֏",AMD,"Area for rent at 61 Mirakyan street, renovated, water, light, 124 sq. M. Price: 200,000Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16945951
Agricultural Space,100 sq.m.,,,,,,,,,Yerevan › Shengavit,"50,000 ֏",AMD,"A building is for rent, suitable for growing parrots, pigeons, rabbits, chinchillas, quails, partridges or mushrooms. The area is located in Nor Kharberd summer houses, Shengavit district. For more information call. Karen.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17793242
Office Space,120 sq.m.,,,,,,,,,"Փիրումյանների փողոց 4/3, Երևան","550,000 ֏",AMD,"Office space for rent. It is located in Davitashen 3rd district. In (near City-i) It is fully renovated, with all utilities. There is an elevator in the building. If you have any questions, you can call the mentioned phone numbers.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16711402
Office Space,115 sq.m.,,,,,,,,,"Փիրումյանների փողոց 4/3, Երևան","550,000 ֏",AMD,"Office space for rent in Davitashen (adjacent to Yerevan City) The total area is 115 square meters. E: Renovated, with all utilities. The area is provided without furniture. For more details you can call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16506396
Office Space,115 sq.m.,,,,,,,,,"Փիրումյանների փողոց 4/3, Երևան","550,000 ֏",AMD,"Office space is for rent in Davitashen. Located near Yerevan City. Renovated, provided with all utilities. Existing open balcony. For more details you can call the mentioned phone number.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16506414
Office Space,250 sq.m.,,,,,,,,,"Vahram Papazyan street 12, Yerevan","1,200,000 ֏",AMD,"Commercial area is for rent, located at 12 Komitas Papazyan Street. It is capitally renovated, suitable for various activities, the total area is 250 square meters. E: Lease directly from the landlord (not an agency) For more details you can call the mentioned phone number;Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16209182
Retail Space,300 sq.m.,Not available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,"Ashtarak highway, Yerevan","1,700,000 ֏",AMD,"Commercial space for rent, Ashtarak street, near the Red Cross.Single-phase current, 4 meters high, water, electricity, gas.Land - 350 square meters, 1-line.Code 0580Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/18308340
Office Space,414 sq.m.,By agreement,Not available,First Line,Common from the Street,Direct Lease,3 years,1 month,Not included,"Abovyan street, Yerevan","$6,200",USD,"A commercial area is for rent on Abovyan-Isahakyan crossroads. The area is not renovated, so it is possible to renovate it in accordance with the existing business. For more information call.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17718098
Office Space,130 sq.m.,,,,,,,,,"Nikoghayos Adonts street, Yerevan","450,000 ֏",AMD,"Commercial area of 130 square meters is for rent.With utilities.Deposit:* For details, call the indicated numberTranslated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/16522150
Office Space,100 sq.m.,,,,,,,,,"Komitas Avenue, Yerevan","500,000 ֏",AMD,"* Commercial area of 100 square meters is for rent.* The area is located on Komitas Avenue.* Located on the 17th floor of a new building.* Fully renovated, not lived.* All utilities, gas, light, water.* 2 bathrooms, open balcony.* For complete information, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17235562
Office Space,60 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Direct Lease,6 months,1 month,Not included,"Avet Avetisyan Street, Yerevan",$500,USD,"Commercial space for rent60 square meters with utilitiesOn Viktor Hambardzumyan streetFirst line, suitable for various activitiesFor details, call the indicated numberTranslated from Armenian",Nov-24-2022_22-15,OUtdoor parking,https://list.am/en/item/16803925
Industrial and Manufacturing,75 sq.m.,,,,,,,,,Yerevan › Erebuni,"200,000 ֏",AMD,"An area of 75 sq. M. Is for rent. M, with all utilities. There is a dangrat.Suitable for crankcase, oil filter, brake pads, air filter, running gear, etc. Equipped with all the necessary equipment, up to the wall shelves.The area is above the bridge.Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/17103009
Retail Space,150 sq.m.,,,,,,,,,"Arshakuniats Avenue 47, Yerevan","495,000 ֏",AMD,"A commercial space is for rent on Arshakunyats Avenue opposite Yerevan Mall. The area is built from 2 floors, 1st floor 90 square meters, 2nd floor 60 square meters, 1st line, very suitable for carrying out different types of activities*for questions you can call*Translated from Armenian",Nov-24-2022_22-15,,https://list.am/en/item/11778038
