Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links
House,Stone,2620 sq.m.,2,8+,2,Cosmetic Renovation,,Gegharkunik › Vardenis,"$51,000",USD,"Land area - 2620 square metersTotal area of the building - 544 square metersResidential house - 298 square metersBoiler house - 28 square metersGarage - 26 square metersKitchen - 38 square metersLivestock building - 31qmCover - 121qmConsists of 7 rooms1 living room5 bedrooms1 kitchen (separate)1 laundry room2 bathrooms1 open balcony with great viewIt has a well-maintained fenced yard, an orchard, which is green. Stone garage for 2 cars. The property has a large and green garden with many trees and flowers. It is provided with constant hot and cold water. Very urgently.Translated from Armenian",Nov-24-2022_23-35,Available,2 spots,,,,https://list.am/en/item/17695705
House,Stone,200 sq.m.,1,4,1,Euro Renovation,3000 sq.m.,Gegharkunik › Sevan,"$35,000",USD,"A 4-room detached house is for sale in Lchashen village of Sevan city.Suitable for use as a private house, guest house or country house.The house is renovated.Has a large plot of land,Exchange with an apartment in Sevan is possible.The initial price is $35,000, negotiable.It is close to the communists, next to the central road, the road is paved.Call for questions and detailsTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17749027
House,Stone,210 sq.m.,1,5,3+,Major Renovation,1300 sq.m.,Gegharkunik › Sevan,"$240,000",USD,"One-storey stone house is for sale in Gegharkunik region.The total area of the land is 1300 square meters, and the area of the building is 210 square meters.Consist of,1 living room4 bedrooms3 bathrooms1 kitchen1 open balconyThe house is fully renovated.There is a tonir and a barbecue in the yard. It has a very beautiful view of Lake Sanaa.For sale together with the whole property.The sale price is 240․000 USDIt is also given for a daily rent of 250,000 AMD / dayCode: GS-T05Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17713822
House,Stone,110 sq.m.,1,4,1,Old Renovation,1600 sq.m.,Gegharkunik › Nerkin Getashen,"$30,000",USD,"4-room house for sale IN LOWER GETASHINO For questions, you can call or write price @ negotiable, also possible exchange with a car Sprinter or minivanTranslated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/14349481
House,Stone,257 sq.m.,2,6,1,Old Renovation,3150 sq.m.,Gegharkunik › Lchashen,"$35,000",USD,"Продается двухэтажный дом площадью 257 кв. М, с подвалом 40 кв. М, в с. Лчашен Севана. Покупку дома можно рассматривать в том числе, как бизнес-проект под сдачу в аренду как целиком, так и отдельными комнатами. Расположен на участке площадью 3150 квадратных метров. Участок огорожен частично каменным забором и сеткой, отдельно есть гараж, сарай. На участке яблоневые деревья.В доме старый ремонт, но чистый, готов к заселению, туалетная комната подлежит ремонту, удобства имеются на улице.Есть вода, канализация (яма), электричество, газ заведён в дом (необходимо подключение в газовой организации)Также рассмотрю обмен на квартиру в Ереване, Севане, в том числе с моей доплатой.Звоните либо пишите в сообщениях List. Am. Контакты для связи указанны в фотографиях.Собственник. Цена обсуждаемо!",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18317642
House,Stone,47 sq.m.,1,3,1,Euro Renovation,500 sq.m.,"Երևանյան խճուղի 3, Սևան","11,000,000 ֏",AMD,"A summer house is for sale in Sean, on the first street of Lavanda City resort area.2 bedrooms, balcony, parking, fireplace, floor tiles are heated,Tiled bathroom, wonderful recreation area.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17915607
House,Stone,500 sq.m.,1,4,1,Partial Renovation,110 sq.m.,Gegharkunik › Vardenis,"$17,000",USD,"URGENT……. Own house for sale or rent in Vardenis city, along with property and appliances, has all utilities, please call for details.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17881117
House,Stone,210 sq.m.,1,7,1,Partial Renovation,1700 sq.m.,Gegharkunik › Martuni,"$56,000",USD,"Call for questionsgas, electricity, water, all facilities are there.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/18344454
House,Stone,1000 sq.m.,1,6,2,Designer Renovation,,"4th Street, Alaverdyan","$38,000",USD,"It is located in Jil village of Shoghakat community of Gegharkunik region. Near Lake Sanaa. The land area is 1000 square meters. 2 houses are built, old and new. The old one is renovated, the new one is in design style. For sale with furniture and appliances. The newly built house is provided with a solar (400 l) water heater. The area was formed...Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17279046
House,Panels,306 sq.m.,1,5,1,Partial Renovation,200 sq.m.,Gegharkunik › Akunk,"$35,000",USD,"A 5-room house with a large living room is for sale in Akunk village, Gegharkunik region, with fruit trees, a barn, it has all the communal facilities, permanent hot and cold water (water heater), permanent gas, for details call the mentioned number.Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/17379598
House,Stone,1500 sq.m.,1,1,1,No Renovation,1500 sq.m.,"Lchap-Norashen highway, Tsovazard","€10,000",EUR,"Gegharkunik region, Lchashen village, next to the village municipality, next to the newly opened garden, orchard, garage half-destroyed, the house is old.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/17252171
House,Stone,640 sq.m.,2,8+,2,Old Renovation,,Gegharkunik › Khachaghbyur,"$37,300",USD,"Продаю! Собственный дом 640 кв. Школа 20 метров! С участком 17 соток! (Либо обмен на 1-2кв. В г Ереване! ) или на машину! В саду есть Деревья яблони, груши, вишни, малина.! Звонить по номеру указанному в описании. Возможен торг. Есть постройка для хозяйства. + земельный участок 4 гектара! . Деревня хачахпьюр находиться Не доходя до Вардениса 2км! (Звонить по номеру тель. Хозяин! Россия Санкт -Петербург) возможно обмен на авто!",Nov-24-2022_23-35,,,,,,https://list.am/en/item/17316308
House,Stone,130 sq.m.,2,7,2,No Renovation,11 sq.m.,Gegharkunik › Martuni,"$25,000",USD,"The house has gas, electricity and garden exchange, the price is negotiable, call for questionsTranslated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18340497
House,Stone,120 sq.m.,2,6,1,No Renovation,1200 sq.m.,"Nalbandyan street, Sevan town","$28,000",USD,"Two-storey stone house in Sjan, next to the Station, House 120 sq. M. Մ. , Land. 1000 sq. M. Մ.Translated from Armenian",Nov-24-2022_23-35,,Not available,,,,https://list.am/en/item/16297061
House,Stone,420 sq.m.,2,6,1,Partial Renovation,1750 sq.m.,Gegharkunik › Artanish,"$15,000",USD,"2-storey building of public significance is for sale near Lake Sanaa, address: V. Artanish, about 300 m from the track, about 500 m from the lake. The area of the building is 420 sq / m, land is 1750 sq / m. Price $ 13,000.Translated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/17341174
Country House,Stone,372 sq.m.,2,8+,2,Partial Renovation,2200 sq.m.,"Isakov street, Ցամաքաբերդ","$60,000",USD,"2-storey summer house, a stone building is for sale, there is a building for cattle breeding, a garage for 2 cars.The summer house has gas, light, cold and hot water, next to the summer house there is a fruit gardenwith trees.The summer house is located near Tsana Lake, in Tsamakaberd community, next to the former hotel.From the 2nd floor of the summer house there is a beautiful view to Lake Sana and the adjacent area.For all information, call or write to the number below.Translated from Armenian",Nov-24-2022_23-35,Available,3 or more spots,,,,https://list.am/en/item/17776515
House,Stone,350 sq.m.,2,5,1,No Renovation,1000 sq.m.,Gegharkunik › Gavar,"$45,000",USD,"Продаю дом с земельным участком.Высота потолков 2,7 метра.Дом построен в 1997 году.Проведены вода, газ, электричество и т. Д.По всем вопросам звоните по номеру телефона)",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18268977
House,Stone,3000 sq.m.,1,3,1,Old Renovation,2800 sq.m.,Gegharkunik › Shoghakat,"$20,000",USD,"It has 2 storerooms, a barn, a shed, an orchard. Close to Lake Sevan. Also available for rent.Translated from Armenian",Nov-24-2022_23-35,Available,1 spot,,,,https://list.am/en/item/17439088
Country House,Stone,54 sq.m.,1,3,1,Euro Renovation,500 sq.m.,"Երևանյան խճուղի 3, Սևան","$25,000",USD,"A summer house for sale in Sean, in the resort area of Lavanda City. It is located in a closed controlled area, there are all conditions for rest. The area is green, has closed and open parking, 2 satellite dishes, veranda, doors and windows of European production and networked, heated floor tiles, living room with open built-in kitchen, 2 bedrooms, bathroom with tiled kitchen, bathroom with kitchen. For sale one-bedroom cottage on the shore of Sevana with all amenities, 3 rooms with Euro renovationTranslated from Armenian",Nov-24-2022_23-35,Available,2 spots,,,,https://list.am/en/item/16978002
House,Stone,97 sq.m.,1,3,1,Old Renovation,4270 sq.m.,Gegharkunik › Jil,"$7,000",USD,"Private house for sale in Jil village, 28.4 sq. M. Cellar, 42 sq. M. Livestock building, 17 sq. M. Roof. In the lower part of the building there is a pedestal with a concrete floor. There is a summer kitchen outside, covered. There are fruit trees planted in the yard, the bathroom is outside. Old renovation. The rooms are spacious and airy.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/16821734
House,Stone,200 sq.m.,2,4,2,Cosmetic Renovation,757 sq.m.,"Nairyan Street, Sevan town","$78,000",USD,"A private house for sale in the center of Sevan, Nairyan-Abovyan intersection.Soil 757 m/sq.The house is two-story, 200 m/sq. , with all utilities and heating system (BAXI)The front part of the plot is 24m.Suitable for any type of activity.Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/16886613
Country House,Stone,242 sq.m.,2,4,2,Partial Renovation,4357 sq.m.,Gegharkunik › Drakhtik,"$150,000",USD,"A 2-story private house is for sale on the shore of Lake Sevan at the beginning of the streetThe total area of the land is 4357 square meters, the frontage is 40 metersA 2-storey 256.3 square meter detached house is built, the walls are plastered, new wires, windows have been changed, the roof has been repaired with high-quality sheet metal.60 square meter kitchen, renovated mangal fireplace2 entrances, 2 separate closed parking spacesthe area is completely fencedVery suitable for business activitiespermission to build a residential building until 2060Translated from Armenian",Nov-24-2022_23-35,Not available,3 or more spots,,,,https://list.am/en/item/18174866
House,Stone,110 sq.m.,1,3,1,No Renovation,3000 sq.m.,Gegharkunik › Martuni,"$60,000",USD,"У нас во дворе 2 дома, один дом 65кв, а второй дом 110 кв, участок 35 сот,Во втором доме есть: Гараж, кухня, душ, а еще есть место для домашних животных, ухаженная земля.Там большие деревья: Сливы, груша и вишня.Настоящим покупателям торг.Звоните по номеру 9996877795",Nov-24-2022_23-35,,,,,,https://list.am/en/item/18181089
House,Stone,297 sq.m.,1,7,1,Euro Renovation,,Gegharkunik › Martuni,"$35,000",USD,"There is a workshop inside the building, there is a plot of land in front of it. There is gas, water and three-phase electricity in the building.Community Zolakar 2nd street 2nd dead end t. 1.Translated from Armenian",Nov-24-2022_23-35,Not available,Not available,,,,https://list.am/en/item/15254012
House,Stone,170 sq.m.,2,3,1,Euro Renovation,4200 sq.m.,Gegharkunik › Artanish,"$30,000",USD,"Տունը վերանորոգված է, ունի 4200 քմ տարածք։ Լավ տեսարան դեպի Սևանա լիճը։ Վերնահարկը վերանորոգված է, կան եվրոլուսամուտեր, նաև կան տեսախցիկներ։Ոինի 3 գոմ՝ 90 քմ, 60 քմ և 50 քմ, կա ավտոտնակ՝ 20 քմ։ԱրտանիշԳրել կամ զանգահարել watsup ին։Անասնապահության գոմ դաչա ամառանոց ֆերմա։ նաև հնարավոր է վճարել մաս մաս փակովիПродаётся ферма с панорамным видом на озеро Севан. Общая площадь 42 сотки. С двухэтажным жилым домом, площадью 170м. Кв. На втором этаже сделан ремонт. Гараж 20м. Кв. На территории есть три отдельностоящих загона для скота (90м. Кв, 80м. Кв, 50м. Кв) Есть все условия для развития экотуризма. Севан սեվան sevanЗвонить на вотсап или по номеру 077",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15729205
Country House,Stone,130 sq.m.,1,4,1,Cosmetic Renovation,,Gegharkunik › Vardenis,"$6,000",USD,"Private house for sale in Geghamasar village (Shishkaya) with permanent water and all amenities, with the necessary equipment. There is also two hectares of arable land.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15242842
Country House,Stone,1500 sq.m.,1,3,1,Old Renovation,1400 sq.m.,Gegharkunik › Martuni,"$11,000",USD,A plot of land with its construction is for sale in the Zolakar village of the city of Martuni.Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18046081
House,Stone,1000 sq.m.,1,3,1,Old Renovation,,Gegharkunik › Sevan,"$22,000",USD,"Վաճառվում է սեփական տուն. 1_ հարկանի. Արևկողմ է տան տարածքում կան 2քարե տիպի շինություններ. Նաև ունի արհեստանոց. Ունի կանաչապատ տարածք... Տունն գտնվում է Սևան քաղաքի եկեղեցու հարևանությամբ մանրամասների համար զանգահարել. Նաև փոխանակում մեքենայի հետ. Продается собственный дом. 1_ этажный. На территории дома есть 2карей тип здания. Также есть мастерская. Имеет зеленое пространство... Дом расположен рядом с церковью города Севан, для более подробной информации звоните",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17701971
House,Stone,,1,3,1,Cosmetic Renovation,,Gegharkunik › Sevan,"$45,000",USD,"Շտապ վաճառվում է գեղեցիկ առանձնատուն Լավանդա Սիթիում, շատ հարմար է ընտանեկան հանգստի համար, ապահոված է բոլոր պայմաններով ։Ցանկության դեպքում կտրվի նաև վարձով:",Nov-24-2022_23-36,,,,,,https://list.am/en/item/14043707
House,Stone,1000 sq.m.,1,3,1,Old Renovation,800 sq.m.,Gegharkunik › Sevan,"$45,000",USD,"It is located in Komitas alley, next to the house there is a house with a large land plot.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17826952
House,Stone,280 sq.m.,2,6,2,Euro Renovation,600 sq.m.,Gegharkunik › Sevan,"$60,000",USD,Call for more detailsTranslated from Armenian,Nov-24-2022_23-36,Available,3 or more spots,,,,https://list.am/en/item/18256503
House,Stone,200 sq.m.,3,5,3+,Partial Renovation,900 sq.m.,"Nairyan Street, Sevan town","$31,000",USD,"House for sale in San, Garegin Nzhdeh street, house 2. It is half-built, the roof is completely repaired, the interior walls are built, the yard needs very little care, there are fruit trees. It is located near the water supply system. For more information call. Price: Will be bargained for real buyers.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17620460
Country House,Stone,458 sq.m.,2,8+,2,No Renovation,2440 sq.m.,"Նաիրյան փողոց 176, Սևան","$70,000",USD,"It is fenced, has a garden, a garage and an adjacent building. It has a view of the lake. Can serve as a guest house.Translated from Armenian",Nov-24-2022_23-36,,3 or more spots,,,,https://list.am/en/item/17731131
Country House,Stone,189 sq.m.,2,4,1,Old Renovation,1500 sq.m.,Gegharkunik › Vardenis,"$25,000",USD,"It is located in an ambush in Gegharkunik region village, it has 4 rooms, a balcony, a basement with 2 entrances, it has a tonir and fruit trees, the house is next to the school, the house has a beautiful view of Lake Sana and Geghama mountains.Translated from Armenian",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/16261111
House,Stone,200 sq.m.,1,7,1,Partial Renovation,3500 sq.m.,"Karchaghbyur Roadway, Artsvanist","$14,000",USD,The house together with the land is for sale very urgentlyTranslated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18223918
House,Stone,300 sq.m.,2,5,1,Old Renovation,30 sq.m.,Gegharkunik › Gavar,"7,000,000 ֏",AMD,A private house is for sale near the 3rd school in Gavar city. There is a garage next to it. The surface of the garden is 30 square meters.Translated from Armenian,Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/18358689
House,Stone,270 sq.m.,1,4,1,Old Renovation,,Gegharkunik › Martuni,"$40,000",USD,"Urgently for sale 271 m (185 m, 86 m barn, 0.34 ha land) private house in Martuni, near Mush supermarket, the price is negotiable. For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16539355
House,Stone,600 sq.m.,3,7,2,Designer Renovation,,"Charents street, Sevan town","$100,000",USD,It is possible to exchange it with an apartment. In the city of YerevanTranslated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17952292
House,Stone,200 sq.m.,2,6,1,Partial Renovation,,"Buniatyan St, Gavar","$27,000",USD,A two-story stone house in the province. Price: Negotiable. For sale or exchange with accommodation.Translated from Armenian,Nov-24-2022_23-36,By agreement,1 spot,,,,https://list.am/en/item/18065545
House,Stone,619 sq.m.,3,8+,2,Partial Renovation,730 sq.m.,"Nairyan Street, Sevan town","26,000,000 ֏",AMD,"On the central street, on the south side, there is an adjacent structure renovated, on both sides there is a plot of landTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18358029
House,Stone,300 sq.m.,1,4,1,Old Renovation,,Gegharkunik › Tsovagyugh,"$23,000",USD,"It has a rather large land, an orchard.1.16 ha of land, of which 0.66 ha is arable land, 0.5 ha is grassland.The house needs a thorough renovation.It has a basement, storage rooms, a barn.For details, please call.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16641197
House,Stone,80 sq.m.,1,3,3+,Old Renovation,3410 sq.m.,Gegharkunik › Areguni,"$13,000",USD,It has 3 hectares of arable landThe yard has fruit treesHas a barnHas an auxiliary buildingWhat is drinking and irrigation water?Write the pictures and I will send them to my WhatsAppNegotiable!Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17466311
House,Stone,50 sq.m.,1,3,1,Euro Renovation,,Gegharkunik › Sevan,"$19,500",USD,3 rooms are for sale in the forest on the city beach on the shore of Sevan. Stone cottage (50 sq. M.) with fully renovated cottage has hot and cold water in the yard with a pavilion for 20 people with a barbecueTranslated from Armenian,Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/16386244
House,Stone,510 sq.m.,2,8+,1,Partial Renovation,1200 sq.m.,"Nairyan Street, Sevan town","$88,000",USD,"A house is for sale on 109 Nairyan street, San city. The territory includes a one-storey old renovated house, a 3-room house with a total area of 108 m2, a semi-constructed 2-storey house with a basement of 402 m2. There is a 36m2 shop with houses. The total land area with buildings is 1200 m2. For questions, call Alik.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16135072
Country House,Stone,71 sq.m.,1,3,1,Major Renovation,78 sq.m.,Gegharkunik › Sevan,"$35,000",USD,"Private house for sale in Lavanda City with furniture and appliances.It is renovated, the floor is heated, has a fireplace, Ariston water heater. It is close to Lake Sanaa.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/7505268
House,Stone,112 sq.m.,2,6,1,Major Renovation,60 sq.m.,Gegharkunik › Sevan,"$41,000",USD,"ПРОДАЮ СРОЧНООО собственный дом двухэтажный в городе Севане на центральной улице. Есть газ, вода постояная, свет, летняя кухня, баня, два гаража для машины, бисетка каменная с манхалом, отдельных два небольших сараев и земельный участок. ПРОДАЮ СРОЧНО ЦЕНА ДОГОВОРНАЯ 20.000000 ДРАМ.",Nov-24-2022_23-36,Available,2 spots,,,,https://list.am/en/item/18126013
House,Stone,100 sq.m.,1,3,1,No Renovation,3000 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"Продается дом с участком в селе Гегамаван, Гегаргуникской области. Для подробной информации позвоните по отмеченному номеру.",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/16698707
House,Stone,999 sq.m.,1,3,1,Partial Renovation,999 sq.m.,Gegharkunik › Vardenis,"3,000,000 ֏",AMD,"House for sale, Q, VARDENIS G, GEGHAMASAR HAS A LARGE plot of land, verapaz, refrigeratorTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16838126
House,Stone,1500 sq.m.,1,2,1,Partial Renovation,,"11st street, Khachaghbyur","$12,500",USD,"Urgent sale of own house in Khachaghbyur village, 2 large rooms, you can make 4 rooms, 3 windows, new euro in pictures, sepak house, 100 square meters, ТАН ГУИК ЕТ МИАСИНIt has a plot of land in front of the house of 1500 meters (15 sots), the water is constant inside the house, and outside, it also has cattle grazing.Translated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/15690835
House,Stone,120 sq.m.,2,8+,2,Partial Renovation,8 sq.m.,Gegharkunik › Gavar,"6,000,000 ֏",AMD,"I am selling my own two-story house, located on Gavari st. In the neighborhood of the university, 50 m away from the main road, gas and light transmission from a distance of 10-20 m, water connection, divided into rooms inside, has a basement half of the surface of the building, the location is very convenient. Buy you won't regret itTranslated from Armenian",Nov-24-2022_23-36,Not available,3 or more spots,,,,https://list.am/en/item/18301134
House,Stone,240 sq.m.,2,5,1,Partial Renovation,500 sq.m.,Gegharkunik › Sevan,"10,000,000 ֏",AMD,"Кисакаруиц арандзнатун кахак Севанум Гомадзор тахамасум уни птхату аиги, aygin bavakanin mece, aпаоваце осанков, джур@ шат моте. Реал гнордин ксакаркем штапе...",Nov-24-2022_23-36,,,,,,https://list.am/en/item/15442846
House,Stone,190 sq.m.,2,3,1,Partial Renovation,1500 sq.m.,Gegharkunik › Chambarak,"$19,500",USD,"Վաճառվում է քարե սեփական տուն, Գեղարքունիքի մարզ, ք. Ճամբարակ Պ. Սևակի 60 հասցեում: Տունը երկհարկանի է, 1-ին հարկը՝ տնտեսական (գոմ, նկուղ), 2-րդ հարկը՝ բնակելի` 95 ք/մ: Բոլոր կոմունիկացիաները (մշտական ջուր, գազ, հոսանք, կոյուղի) առկա են: Ունի ընդարձակ բակ, հողամաս պտղատու ծառերով: Վաճառվում է շտապ։ Կսակարկեմ։",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/16574448
House,Stone,80 sq.m.,1,4,1,Old Renovation,1200 sq.m.,Gegharkunik › Sevan,"$32,000",USD,"Здраствуйте, продаю частный дома с хорошим участком, дом требует ремонта. Находится практический в центре Севана у кольцовой @рапарака, на улице Еленовка дом 5, земля ровная больше 10 соток, в доме 20 лет никто не живет, газ и вода отключены. Возможно обмен на квартиру в Ереване. Более подробную информацию могу рассказать при вашей заинтересованности. Пишите и звоните, буду рад! 89253009222ватсап, вайбер. А так же рассмотрю варианты обмена на авто!",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17798065
House,Stone,107 sq.m.,1,3,1,Old Renovation,130 sq.m.,Gegharkunik › Vardenis,"$20,000",USD,"The house is in normal condition, it is gasified, has a storage room, a barn, a kitchen-bathroom with a separate area outside, negotiable in case of a real buyerTranslated from Armenian",Nov-24-2022_23-36,,1 spot,,,,https://list.am/en/item/17164361
House,Monolith,260 sq.m.,2,5,1,Old Renovation,110 sq.m.,Gegharkunik › Gavar,"$31,000",USD,"2-storey private house is for sale in the central part of Gavar city.Living room, kitchen, bathroom on the 1st floor4 bedrooms on the 2nd floorHas a garage, a plot of land near the houseIt has water, gas, electricity, three-phase electricityThe renovation is oldTranslated from Armenian",Nov-24-2022_23-36,Available,1 spot,,,,https://list.am/en/item/16753803
House,Stone,260 sq.m.,2,8+,1,No Renovation,1350 sq.m.,Gegharkunik › Gavar,"9,000,000 ֏",AMD,"Two-story house on the shore of Gavaraget, on the Gavar-Artsvakar asphalt road. High-quality roof (steel), iron entrance doors, iron gates, auxiliary buildings. Drinking water in the yard, gas and electricity. Energy in the area. One room is full.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18207687
House,Stone,240 sq.m.,2,6,1,Euro Renovation,"12,000 sq.m.",Gegharkunik › Gavar,"$56,000",USD,"The house also has attached structures (basement garage, bakery, barn, shed, fruit storage) A large garden with more than 80 different types of trees. The house is very close to Lake Sevan and is suitable as a holiday home. I will also exchange for a suitable 2-3 room in Abovyan, YerevanTranslated from Armenian",Nov-24-2022_23-36,By agreement,1 spot,,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18351990
House,Stone,2800 sq.m.,1,4,2,Major Renovation,,Gegharkunik › Artanish,"$28,000",USD,"There are also pear, apple and plum treesTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18199096
House,Stone,40 sq.m.,1,2,1,No Renovation,1000 sq.m.,"Karmir Blur street, Yerevan","$5,000",USD,"A house with its land is for sale in Gegharkunik region, Artanish village.Call for details.Price is negotiable!Urgent! It is also exchanged for a carTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16973693
House,Stone,400 sq.m.,1,6,1,Old Renovation,270 sq.m.,"Viktor Hambartsumyan street 11, Vardenis","$25,000",USD,"6 rooms in the center of Vardenis, in good condition, gas, permanent water, garden with fruit trees, garage, barn, pantry, the rest by calling, Only for sale, no rentTranslated from Armenian",Nov-24-2022_23-36,,1 spot,,,,https://list.am/en/item/16487517
House,Stone,52 sq.m.,1,2,1,No Renovation,"30,000 sq.m.","11st street, Khachaghbyur","$5,500",USD,"Exchanged with the price of the car or for sale 2-room private house in Khachaghbyur village of Vardenis city, located 5-6 km from Lake Sjana, has a semi-basement of about 15 sq. M., as well as the possibility of adding 2 rooms, the roof of which is already ready is: There is a 0.5 hectare plot in front of the house, where there is irrigation water. It also has 3 hectares of arable land, where it is intended for sowing wheat or barley. The house has electricity, gas and drinking water, which are located at a distance of about 50 meters. Price is negotiableTranslated from Armenian",Nov-24-2022_23-36,By agreement,Not available,,,,https://list.am/en/item/17957797
House,Stone,331 sq.m.,3,8+,2,Major Renovation,800 sq.m.,Gegharkunik › Sevan,"$90,000",USD,"— Շտապ վաճարվում է տուն Սեվանի մոտ:Գինը սակարկելի:Շատ գեղեցիկ, տուրիստական տեղում:Զանգահարեք մանրամասների համար:— Срочно продается дом у озера Севан.Цена договорная.Невероятно красивое, туристическое место.Звоните, расскажем больше.",Nov-24-2022_23-36,,3 or more spots,,,,https://list.am/en/item/17742103
House,Stone,240 sq.m.,2,8+,1,Cosmetic Renovation,10 sq.m.,Gegharkunik › Noratus,"1,800,000 ₽",RUB,"Продаётся большой двухэтажный дом общей площадью 10×12. По адресу с. НОРАТУС УЛ. СЕВАНА пер. 2, туп. 3 дом 7. Дом из базальта, делали для себя. Дом на участке 10 соток. Есть фруктовые деревья. В доме есть газ, вода и, естественно, и электричество. Дом находится рядом с небольшой речкой. Место красивое и спокойное. Дорога грунтованная. Первый этаж: Кухня, ванная с туалетом, зал-гостиная, спальня, есть и подсобка, и на первом этаже расположен гараж, в который есть вход через зал. Второй этаж: 4 спальни, один балкон с выходом через спальню в сторону речки, второй балкон с выходом через зал обращён в сторону двора; большой зал-гостиная. Дом, в принципе, укомплектован для житья: В каждой комнате есть своя мебель, ничего не увезли, всё там оставили, есть посуда даже, одним словом для жизни есть там всё. Есть возможность продажи дома и в рассрочку. Дополнительно фото по запросу. Можно обращаться и по ватсап, и по Вайбер. Все подробности по телефону:",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18131608
House,Stone,160 sq.m.,1,5,1,Old Renovation,840 sq.m.,"Կարմիր Բանակի փողոց 56, Սևան","$30,000",USD,"An apartment is for sale urgently. There is a barn in the yard of the house, there are fruit trees. I will listen to exchange options.Translated from Armenian",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/17111213
House,Stone,140 sq.m.,1,4,1,Old Renovation,"20,000 sq.m.","Ազատության փողոց 16, Գավառ","$22,000",USD,"The house is not inhabited, the owner is in RussiaTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17058860
House,Stone,821 sq.m.,1,3,1,Old Renovation,,Gegharkunik › Artanish,"$6,000",USD,"RESIDENTIAL HOUSE, the village is located on the shore of Lake Sevan. The house is located at the beginning of the villageTranslated from Armenian",Nov-24-2022_23-36,,Not available,,,,https://list.am/en/item/18127173
House,Stone,400 sq.m.,1,5,1,Euro Renovation,,Gegharkunik › Lchashen,"$50,000",USD,"1-storey private house is for sale or exchange in Lchashen village, about one kilometer from Lake Sjana.The total area is about 400 square meters. M:Has 5 rooms, kitchen and bathroom.The apartment has:Permanent water-Natural gas-Mercuri heating system-Euro doors and windows (windows with bars)-Tiled bathroomBasementAdjacent is a garage about 80 sq. M. M:The whole area of the house is fenced...He is exchanged with a private house or an apartment in Yerevan...For details, call the mentioned phone number or Whats app, ViberTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17862174
