Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links
Panels,No,Not available,5.0,40 sq.m.,3,1,from 2.75 m,5.0,Closed balcony,Partial Renovation,"Կամոյի փողոց 50А, Գյումրի","$25,000",USD,"An apartment is for sale near the 2-room apartment, which has been turned into a normal 2, there is a school, a kindergarten, shops, close to the square, there are all the communal facilities, gas, electricity, water. The apartment is privatized. It is for rent. He also exchanges with real estate.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17729496
Panels,No,Not available,4.0,103 sq.m.,4,1,from 2.8 m,2.0,Closed balcony,Partial Renovation,"Մովսես Խորենացի փողոց 4, Գյումրի","15,540,000 ֏",AMD,"Գյումրի, Անի /58/ թաղամասԱրևկողմ, բնական գազ, ջեռուցման համակարգ, մուտքի երկաթե դուռ, ներկառուցված պահարաններ, խորդանոց /չուլան/, նկուղ, այգի 50մ2.Խորենացի, Արամ ԽաչատրյանՇիրակի Պետական Համալսարանի հարևանությամբАНИ (58) квартал. Площадь 103 кв, м. Все ком, удобства. Постоянная горячая и холодная вода, газ, элек-во. Индивидуальное отопление (частично), система Sguirrel. Трубы водоснабжения поменяны (частично) на пластиковые, канализационные тоже. Железная дверь, кладовка, подвал 5 кв, м. Ремонт в изночальном состоянии. Очень тёплая, светлая и сухая квартира. Возможности для внутренего изменения широкие.Дом расположен на заднем дворе от Инекобанка. Рядом ГУМ (старый), бистро КАРС. Детсады, Школа, Поликлиника, Аптеки, Банки, множество разных Магазинов на ОЧЕНЬ БЛИЗКОМ растоянии от дома.Чтобы увидеть квартиру звоните по ниже указанному номеру.О ЦЕНЕ ПО ЗВОНКУ НЕ ДОГОВАРИВАЮСЬ!ПО ЦЕНАМ С ОКРАИН И НЕ ПРОСИТЕ!РЕАЛЬНЫЙ ПОКУПАТЕЛЬ ПУСТЬ ПРИДЁТ УВИДЕТЬ - МОЖЕТ БЫТЬ ДОГОВОРИМСЯ!",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17629889
Monolith,Yes,Not available,4.0,68 sq.m.,3,1,from 3 m,1.0,Not available,Euro Renovation,"Մուշ 2-2 թաղամաս 57, Գյումրի","$35,000",USD,"The apartment is in good condition, newly built Mush 2/2 district, the location of the windows is east-west, next to the school, with all the communal facilities, it has a heating system. Call for more information, negotiable.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/16542834
Stone,Yes,Not available,4.0,58 sq.m.,2,1,from 2.7 m,2.0,Closed balcony,Euro Renovation,Shirak › Gyumri,"$60,000",USD,"Address: K. Gyumri Garegin Nzhdeh str. Huntsman district.A 2-room apartment is for sale in the center of Gyumri (in front of the governor's office, next to OK SUPERMARKET), in a newly built building. The apartment is provided with round-the-clock hot and cold water, there is a heating system.There is an iron garage attached to the building, which can be sold together with the apartment, the price of the garage is not included in the price of the apartment, the garage separately costs 5000 USD.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/15065378
Stone,No,Not available,3.0,66 sq.m.,3,2,from 2.6 m,3.0,Not available,Partial Renovation,"Ղանդիլյանի փողոց 11/40, Գյումրի","$27,000",USD,"3-room apartment is for sale on Ghandilyan str. 11/40 49b, 3-storey, on the 3rd floor, with all communal facilitiesTranslated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17723299
Stone,No,Not available,3.0,70 sq.m.,3,1,from 3 m,2.0,Not available,No Renovation,"Tigran Mets Avenue 8, Gyumri","$20,000",USD,"The apartment is located in front of the Basen store on International Street, it is not renovated, it has the opportunity to open the entrance from outside, the location of the house is to the south, it is possible to bargain.Call for more information.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17758974
Stone,No,Not available,5.0,102 sq.m.,4,1,from 2.8 m,4.0,Closed balcony,Cosmetic Renovation,"Shirakatsi street, Gyumri","$35,000",USD,"It is also for rent, the apartment is in good condition, with all utilities, there is no heating system, the interior doors are made of wood, the kitchen and bathroom are tiled, there is a closed balcony at the back of 2 rooms, the floor is parquet.Call for detailed information.Translated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/18275156
Stone,No,Not available,4.0,64 sq.m.,3,1,from 2.8 m,4.0,Open balcony,Old Renovation,"Գարեգին Նժդեհի հրապարակ 4Բ, Գյումրի","$21,000",USD,"An apartment is urgently for sale, the location is south-west, the rooms are 2 + 1, with all utilities, there is a water heater.Call for detailed information.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18067708
Stone,No,Not available,3.0,62 sq.m.,2,1,from 3 m,1.0,Not available,No Renovation,"Վահան Չերազի փողոց 2Ա, Գյումրի","$21,000",USD,"The house is located in the central part of the city, 200 m from Vardanants Square. Distance, the ceiling is made of wood, it needs to be repaired, it is also suitable for use as a shop, guest house or for other purposes.Call for detailed information.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18154453
Stone,No,Not available,5.0,69 sq.m.,4,1,from 2.75 m,4.0,Closed balcony,Old Renovation,Shirak › Gyumri,"$22,000",USD,"A 3-room apartment is for sale on the 4th floor of a 5-story building, facing east, very warm, Msi Kombinat district, a school and a kindergarten are nearby.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18303467
Stone,Yes,Not available,4.0,50 sq.m.,1,1,from 2.8 m,3.0,Not available,Partial Renovation,"Շիրակացի փողոց 52Ա, Գյումրի","15,550,000 ֏",AMD,"For sale or exchange with own house, 1 room/kitchen, 1 more small room/apartment has been added. The apartment is located on the third floor of the newly constructed building 52a on Shirakatsi street in Gyumri. The total area of the apartment is 50.03 square meters. The apartment is provided with gas supply, hot and cold water, there is a heating system /ariston/. The floor is laminate and metlach. European airports.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17749039
Monolith,Yes,Not available,4.0,44 sq.m.,1,1,from 2.8 m,4.0,Closed balcony,Cosmetic Renovation,"11-րդ փողոց 3, Գյումրի","$21,000",USD,"A 1-room apartment on the 4th floor of a 4-story building is for sale. The apartment is cosmetically renovated, has all utilities, hot and cold water supply. The apartment is heated with a stove.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18219636
Monolith,Yes,Not available,4.0,60 sq.m.,2,1,from 2.5 m,4.0,Multiple balconies,Euro Renovation,"Charents street, Gyumri","$45,000",USD,"Address: Yeghishe Charents street, Gyumri.The apartment is located on the fourth floor of a four-story building, occupies an area of 60 square meters, has two rooms. Individual heating system is installed. The roof is made of tiles, the floor is made of wood. The windows are of European production, it is provided with all the communal amenities, the bathroom is tiled, the apartment is fully repaired, it has no document problems.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/14776912
Stone,No,Not available,5.0,59 sq.m.,3,1,from 2.8 m,3.0,Open balcony,Cosmetic Renovation,"Улица Гандилян 49, Гюмри","$43,000",USD,"Продам светлую и теплую квартиру в г. Гюмри, ул. Гандилян 49, на 3 этаже 5 этажного дома. Kвaртира дoстойнo мебелиpoвана, обoрудoвана техникой, bosh. Отопление.Укoмплектована всем необходимым для комфортного проживания. Всё остаётся! 59квм, 3спальни. В доме находиться супермаркет, аптека.",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17984021
Stone,No,Not available,5.0,54 sq.m.,1,1,from 2.5 m,1.0,Not available,Cosmetic Renovation,Shirak › Maralik,"$13,000",USD,1-room apartment for sale. Call for details. It is located next to Maralik Stadium. On the 1st floor of a 5-story building.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18253901
Bricks,No,Not available,3.0,48 sq.m.,1,1,from 2.6 m,2.0,Not available,Cosmetic Renovation,"Ղանդիլյանի փողոց 27Ա, Գյումրի","$24,000",USD,"For sale with 1 to 2 characters, heating system, euro windows, needs light cosmetic repairsTranslated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/16569236
Stone,No,Not available,4.0,70 sq.m.,3,1,from 2.8 m,4.0,Closed balcony,Old Renovation,"Ankakhutyan Street 29, Artik","$18,000",USD,"СРОЧНО! Продам или меняю на машину 3 комнатную квартиру в центре города. Газ, вода, свет. Во дворе гараж из туфа, со вторым этажом. Есть торг. Все вопросы по воцапу, по указанному номеру в профиля круглосуточно. Обращаться только по ватцап. Живу в Краснодаре.",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18239980
Monolith,Yes,Not available,4.0,103 sq.m.,4,2,from 3 m,1.0,Open balcony,No Renovation,"Улица Трдата Чартарапета 22А, Гюмри","$31,000",USD,"Продаем 4-к квартиру 102,2 кв. М. На 1 этаже.Частично сделан ремонт.Санузел раздельный и дополнительно предусмотрен второй туалет.Поменяна входная дверь, в комнатах стены покрашены, на полу паркет.На кухне пол плитка, стены покрашены. Также квартира подходит для магазина и офиса.Квартира находится в хорошем месте, всё в шаговой доступности: Магазины, школа, детский сад, больницы. Звонки не отвечаю только напишите сообщение!",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18226845
Stone,Yes,Not available,4.0,68 sq.m.,2,1,from 3 m,3.0,Open balcony,No Renovation,Shirak › Gyumri,"23,000,000 ֏",AMD,The apartment is sunnyTranslated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17702055
Stone,Yes,Not available,5.0,75 sq.m.,3,1,from 2.75 m,5.0,Open balcony,Euro Renovation,"Площадь Гарегина Нжде 2А, Гюмри","$42,000",USD,"A 3-room apartment in the red building (Noravan) is for sale.The renovation is new.For details, call the indicated number.Code 0976Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18086975
Panels,No,Not available,5.0,90 sq.m.,3,1,from 2.8 m,3.0,Multiple balconies,Partial Renovation,"Улица Паруйра Севака 10, Гюмри","$38,000",USD,"3-room apartment on Paruyr Sevak street for urgent sale. It has a very large basement, vaults (kladovka) For details, call the indicated number. AgencyCode Cv7621Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18341667
Stone,No,Not available,4.0,44 sq.m.,1,1,from 3 m,2.0,Open balcony,Old Renovation,Shirak › Gyumri,"$15,000",USD,"1ккв. В четырехэтажном здании (44кв. М.) на 2 - ом этаже. (ул. Восточная д. 3 Аэропорт ""Ширак"")1սեն. Բն. (44քմ.), չորս հարկանի շենքի 2 ֊ րդ հարկում։(Արևելյան փ. Շ. 3)",Nov-25-2022_14-09,,,,,,https://list.am/en/item/14282894
Monolith,Yes,Not available,2.0,95 sq.m.,4,2,from 2.8 m,2.0,Multiple balconies,Partial Renovation,"Minas Avetisyan street, Gyumri","$35,000",USD,Продается квартира. Всемвопросы по телефону. Пишите смс напишу номер хозяин живет в России.,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17498461
Panels,Yes,Not available,4.0,41 sq.m.,1,1,from 2.75 m,4.0,Not available,Major Renovation,Shirak › Gyumri,"$23,000",USD,"Վաճառվում է 1 + 1 սենյականոց բնակարան։Բնակարանն գտնվում է Մուշ թաղամասի սկզբնամասում 'Բասեն խանութի հարևանությամբ։ Շատ շքեղ ու գեղեցիկ բնակարան է, լավ աուռայով ։ Բնակարանն կապիտալ վերանորոգված է 'դիզայներական ոճով։ Դուռն երկաթյա փոխված։ Լուսամուտներն ևս կրկնակի փոխված, ցանցերով։ Բաղնիքում ավելացված է ջերմատաքացուցիչ (պառ) ։ Սարքված է ամեն դետալ։ Ստեղծված է ամեն ինչ լավ ապրելու համար։Գրեն կամ զանգահարեն ռեալ գնորդներն։Продается 1 + 1 комнатная квартира. Квартира расположена в начале района Муш, рядом с магазином Басен. Это очень роскошная и красивая квартира с хорошей аурой. Квартира капитально отремонтирована в дизайнерском стиле. Железная дверь поменяна. Окна двустворчатые, с сетками. В ванной комнате установлен обогреватель. Каждая деталь сделана. Хорошо. Реальные покупатели пишите или звоните",Nov-25-2022_14-09,,OUtdoor parking,Not available,CIty view,,https://list.am/en/item/16650938
Panels,Yes,Not available,9.0,68 sq.m.,2,1,from 3 m,6.0,Open balcony,Major Renovation,"Квартал Арагац-2 4Б, Гюмри","$27,000",USD,Продаю квартиру. Капитальный ремонт. Всеми удобствами. ։ с мебелью. Кое что оставляю из мебели. Адрес Вардвах 1микр 1округ 6дом 24 квартира,Nov-25-2022_14-09,,,,,,https://list.am/en/item/17683393
Monolith,Yes,Not available,4.0,100 sq.m.,4,1,from 2.8 m,4.0,Open balcony,Major Renovation,"Անի թաղամասի 3-րդ փողոց 3, Գյումրի","$60,000",USD,"The house is located on the 4th floor of a residential building, location east-west.There are schools, kindergartens, a hospital, shopping centers next to the house.For more information, call:Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/16367602
Stone,No,Not available,4.0,83 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Euro Renovation,"Улица Сасунци Давид 43/1, Артик","$28,000",USD,The apartment has all the utilities. Located at Sasuntsi Davit address.Translated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18125937
Stone,No,Not available,1.0,80 sq.m.,3,1,from 2.8 m,1.0,Closed balcony,Partial Renovation,"Baghramyan street, Artik","$25,000",USD,"A 3-room apartment (80 square meters) is for sale in the city of Artik, at Baghramyan 5 (in front of the hospital) It has all the utilities. It has a basement in the middle of the house, it is shown in the picture. It also has a garage in the back, the price of which is not included in the price. If you want, it will be sold together with the apartment at a different price.Only the corridor and the kitchen of the apartment need to be repaired to some extent.The bathroom is fully renovated, and the rooms also have cosmetic repairs. The apartment is also very convenient to use the first floor as a shop or any commercial space on the street side.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17914482
Monolith,No,Not available,4.0,89 sq.m.,3,1,from 2.75 m,4.0,Not available,Partial Renovation,"Улица Паруйра Севака 11, Гюмри","$35,000",USD,"A very warm, sunny apartment in district 58, with an iron door, parquet, partially renovated, is for sale.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/18234906
Stone,No,Not available,2.0,35 sq.m.,1,1,from 2.75 m,1.0,Not available,Partial Renovation,"Manushyan street, Gyumri","$5,500",USD,"It has not been renovated, there is water, electricity, there is a kindergarten, school, shops, the whole property is not included in the price, for questions, call SAKARGELI SHAT HEADQUARTERSTranslated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/18256356
Stone,No,Not available,5.0,76 sq.m.,3,1,from 2.7 m,4.0,Open balcony,Cosmetic Renovation,"Kamo street, Gyumri","$35,000",USD,"A 3-room apartment with a total area of 76 square meters is for sale in the city of Gyumri (fortified building of Linsi Foundation) The entrance door is double, the windows are euro, the position is south-east-west, the bathroom is tiled, open balcony, k. B. Gas, electricity, hot and cold water, privatized.Translated from Armenian",Nov-25-2022_14-09,PLayground,OUtdoor parking,Not available,"YArd view, street view, city view, park view",,https://list.am/en/item/18033007
Stone,Yes,Not available,4.0,62 sq.m.,2,2,from 2.5 m,2.0,Open balcony,Old Renovation,"Լալայան փողոց 1, Գյումրի","$12,000",USD,"2-room apartment is for sale on Lalayan street of Meat Factory, the house is renovated, the area is 62, the height is 2.5 m, it has a balcony, the price is negotiable. If you have any questions, call the given number...Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17519831
Stone,Yes,Not available,4.0,68 sq.m.,3,2,from 2.7 m,3.0,Multiple balconies,No Renovation,"Արևելյան փողոց 2, Գյումրի","$20,000",USD,"A 3-room apartment is for sale on the third floor of a 4-story building, at the Airport. State condition, built after the earthquake (1991), it is a very solid building. Gas, water, light. Permanent water supply. Privatized. It has two large open balconies. Closing the balconies, you will have 84 square meters of living space. Position: East - west. An iron door, the floor of the house: Parquet (partite) It is a sunny and dry apartment. It is also possible to exchange with 1 or 2 rooms from the same building. There is also a metal garage. It is also possible together with the garage + $2000Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/14054549
Stone,No,Not available,5.0,70 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Cosmetic Renovation,"Улица Коштояна 5А, Гюмри","$38,000",USD,Продается хорошая и чистая квартира.,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18128706
Stone,No,Not available,5.0,70 sq.m.,3,1,from 3 m,1.0,Open balcony,Old Renovation,"Հրանտ Շահինյան փողոցի 6-րդ նրբանցք 5, Մարալիկ","$15,000",USD,"2 rooms with niche, has a basement, call for details. The house is located in the building behind the dosafTranslated from Armenian",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/18143289
Stone,No,Not available,5.0,74 sq.m.,3,1,from 2.7 m,5.0,Multiple balconies,Cosmetic Renovation,Shirak › Gyumri,"15,000,000 ֏",AMD,"Վաճառվում է 3սենյականոց բնակարան լավ վիճակում ունի երեք պատշգամբ սանհանգույցը սալիկապատ բաքսի համակարգ լուսավոր արևկողմ տաք շենքին մոտ խանութներ դպրոց մանկապարտեզ, կանգառին մոտ",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17469166
Stone,No,Not available,5.0,57 sq.m.,2,2,from 2.7 m,5.0,Closed balcony,No Renovation,"Ղանդիլյանի փողոց 47, Գյումրի","5,700,000 ֏",AMD,"URGENT: For sale is a bright and sunny 2-room apartment in Gyumri, Sevyan str. Address: 5/5 floor, euro windows, electricity, water, needs repair, privatized. It is also possible to exchange with a car (from 2015)Negotiating after viewing the apartment.Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/17986762
Stone,No,Not available,3.0,72 sq.m.,2,1,from 3.2 m,2.0,Open balcony,Cosmetic Renovation,"Haghtanak Avenue, Gyumri","$130,000",USD,The apartment is located on the 2nd floor of the 2nd building at the beginning of Haghtanaki Avenue in Gyumri. Cosmetically renovated in 2020. The building was built in 1955. It is not an emergency. It is 200 meters away from the central square.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18199261
Stone,No,Not available,5.0,93 sq.m.,4,1,from 2.8 m,4.0,Open balcony,Partial Renovation,"Կամոյի փողոց 48Ա, Գյումրի","17,000,000 ֏",AMD,"3 + 1-room apartment for sale, the location is east-west, the windows are euro, the bathroom is tiled, it is provided with all utilities, the external door is iron, all the necessary places are located nearby, a shop, a school, a kindergarten, the price of the house includes kitchen furniture, it is possible to exchange it with a sepak house.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18065942
Stone,No,Not available,4.0,124 sq.m.,5,1,from 2.5 m,4.0,Open balcony,Partial Renovation,"Trdat Architector street, Gyumri","$115,000",USD,"Կարմիր խաչի նորակառույց ու տաք շենքերից է։ Պետական վիճակ, դիրքը արևկող, մի սենյակն ու խոհանոցը հյուսիսային է, 3 ննջասենյակն ու հյուրասենյակը՝ հարավ։ 2 բաց պատշգամբ, հյուրասենյակի պատշգամբից երևում է Արագածի արծաթափայլ, շանթեր բեկանող գագաթը։ Ննջարաններն ունեն նախասրահներ, սենյակները մեծ ու ընդարձակ են։ Ունի ընդարձակ նկուղ։ Կա շուրջօրյա ջուր, շրջակայքում կա բազմապրոֆիլ սպասարկման կետեր։ Ունի բարյացակամ ու պատրաստակամ, ալկոհոլ չօգտագործել, ընտանեսեր հարևաններ։",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/15016160
Monolith,No,Not available,5.0,100 sq.m.,3,1,from 2.7 m,4.0,Not available,Cosmetic Renovation,"Trdat Architector street 8Բ, Gyumri","$49,000",USD,"4 and 5 floor apartment of one entrance building for sale / one apartment /; The rooms have been turned into 5 utilities with all amenities; gas, hot առը cold water, heating; possibly with furniture; call for details;Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/16988095
Stone,No,Not available,5.0,100 sq.m.,3,1,from 2.7 m,5.0,Not available,Partial Renovation,"Կամոյի փողոց 46, Գյումրի","$31,000",USD,"ՎԱՃԱՌՔԻ ԳՆԻ ՄԵՋ Է ՄՏՆՈւմ Է ՄԱՍՆԱԿԻ ԳՈՒՅՔԸ․․․Վաճառվում է 3 + 1սենյականոց բնակարան 100 ք. Մ. Մակերեսով, գտնվում է Կամոյի փողոցում Մեծ VEGA-յի հետնամասում: Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ: Տեղադրված է ջրատաքացուցիչ։ Հատակը լամինատ և պառկետ: Բնակարանում առկա է մեծ սենյակ չվերանորոգված, որը հիմնովին կարող է ծառայել որպես 2 առանձին սենյակներ։ Ունի բակում տարածք բացօթյա ավտոկայանման համար։ Կա կաբելային հեռուստատեսություն և ինտերնետ։Մոտակայքում են գտնվում բոլոր անհարժեշտ խանութները, դպրոց, մանկապարտեզ։",Nov-25-2022_14-09,,,Available,,,https://list.am/en/item/15054913
Stone,No,Not available,3.0,80 sq.m.,3,1,from 3.5 m,3.0,Not available,Old Renovation,"Tigran Mets Avenue 1, Gyumri","$46,000",USD,"An apartment is for sale in Independence Square. Rooms: 3, location: East-West, door: Iron, windows: Euro. It has a basement, the roof is newly renovated.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17335982
Stone,Yes,Not available,4.0,71 sq.m.,3,1,from 2.7 m,1.0,Not available,Major Renovation,"Մուշ 2 թաղամաս 10-2Ե, Գյումրի","$33,000",USD,"Apartment for salec. Gyumri Mush 2/271 square meters. Total area4/1st floor3 roomsStoneWith propertyBy techniqueLightOn the sunny sideHeating SystemThoroughly reconstructedUtility with all amenitiesBasementSelling price: $33,000Code 6575Translated from Armenian",Nov-25-2022_14-09,,,By agreement,,,https://list.am/en/item/18014863
Panels,No,Not available,9.0,65 sq.m.,3,1,from 2.5 m,5.0,Closed balcony,Old Renovation,"Bulvarain street, Gyumri","$20,500",USD,"Good condition, 2 + 1, separate entrance, large vault in the entranceTranslated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17283075
Monolith,No,Not available,4.0,81 sq.m.,3,1,from 2.6 m,3.0,Open balcony,Major Renovation,"Aram Khachatryan Street 15, Gyumri","$48,500",USD,"The apartment is completely renovated with quality construction materials. It is a very warm, dry apartment in a convenient location. There is a quality heating system. On the same floor there is a common use area for holding an event.If desired, the property will be sold and e. Adding $ 3000 to the price along with the equipmentCode 0088Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/15446742
Panels,Yes,Not available,9.0,65 sq.m.,2,1,from 2.7 m,7.0,Closed balcony,Major Renovation,"Bulvarain street, Gyumri","$14,000",USD,"The apartment is in a good condition, the bathroom is tiled-renovated, the hallway, the kitchen is tiled, the living room has a wooden floor, a balcony has been added at the end of the kitchen, there are two closets, the door is made of very strong iron, with all utilities. The price is negotiable! ""The apartment is located on the 7th floor of 9 floors in front of the Aqueduct, 6 sq. M.-29 sq. M.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/15841227
Stone,No,Not available,3.0,45 sq.m.,2,1,from 2.75 m,3.0,Open balcony,Cosmetic Renovation,Shirak › Maralik,"$15,000",USD,"Самый центр города! На площади кино, рядом парк и тд. Напротив дома центральная ёлка города! Кровля дома металлочерепица. Все коммуникации, дверь металический!",Nov-25-2022_14-09,,,Available,"YArd view, street view, city view, park view",,https://list.am/en/item/18101600
Stone,No,Not available,5.0,56 sq.m.,2,1,from 2.8 m,3.0,Closed balcony,Euro Renovation,"Խաչատուր Աբովյանի փողոց 9, Արթիկ","$15,000",USD,"2-room apartment in Artik. The apartment is in normal condition, has all the communal facilities.A garage is for sale in the yard of the building.If you have any questions, call.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17555901
Stone,No,Not available,4.0,72 sq.m.,3,1,from 2.7 m,2.0,Open balcony,Major Renovation,"Ախուրյանի խճուղի 2Ա, Գյումրի","$50,000",USD,"3-room apartment for sale with all amenities, 72 sq. M. Area, located on Akhuryan highway, 2a building, for sale with partial property. The apartment is fully renovated. The entrance door is metallic, the windows are modern plastic ones, the floor is parquet, the bathroom is tiled. The electric wires, water pipes are new. It is provided with round-the-clock water and gas supply. Individual heating and security system is installed. There is 1 open balcony. The house has a basement. The price includes the carstone garage, with a basement of 36 sq. M.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17762966
Stone,No,Not available,3.0,55 sq.m.,2,1,from 2.8 m,2.0,Open balcony,Old Renovation,Shirak › Gyumri,"$20,000",USD,"A 2-room apartment is for sale in Gyumri, on the 1st Garegin street, on the 2nd floor of a 4-story building. The position is south-east. It has a large balcony, which you can turn into a room if you wish. Euro windows are installed, the entrance door is made of iron. The apartment is in state condition. The building is in a busy area, next to bus stop number 12, about 100 meters from the school. NegotiableTranslated from Armenian",Nov-25-2022_14-09,,OUtdoor parking,Not available,,,https://list.am/en/item/18108125
Panels,No,Not available,3.0,62 sq.m.,2,2,from 2.7 m,1.0,Closed balcony,Old Renovation,"Եղիշե Չարենցի փողոց 1, Գյումրի","$25,000",USD,"2-room apartment is for sale in 58 district, Yeghishe Charents street. There is a closed balcony, which can also serve as an additional room, the location of the house is 2 windows north-south, it has 2 basements, 1 in the house, the other outside, the windows are 2 euros. It is gasified. For details, write to my e-mail. To the mail address. Do not call! 2:Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17505744
Panels,No,Not available,4.0,79 sq.m.,3,1,from 2.7 m,3.0,Not available,No Renovation,"Minas Avetisyan street, Gyumri","13,500,000 ֏",AMD,"3-room apartment for sale in Gyumri Մ Apartment at 10, 35 Avetisyan street. The area of the apartment is 79-23 square meters.Translated from Armenian",Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17955884
Stone,No,Not available,4.0,80 sq.m.,3,2,from 2.8 m,2.0,Open balcony,Major Renovation,"Ազատության հրապարակ 1/8, Արթիկ","$25,000",USD,"3-room apartment is for sale, turned into 4 (3)Bedroom 1:Zal) with all communal amenities, central heating, separate tiled bathroom. It was cosmetically repaired a year ago. For sale urgently, with partial property. The price is negotiable. Lmbat 1 district.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17162345
Stone,Yes,Not available,4.0,47 sq.m.,1,1,from 2.75 m,2.0,Not available,Cosmetic Renovation,"Մուշ 2 թաղամաս 21Ա, Գյումրի","$26,000",USD,It is in a clean condition.Translated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/18193464
Stone,No,Not available,5.0,46 sq.m.,2,1,from 2.7 m,1.0,Not available,No Renovation,"Ղանդիլյանի փողոց 51Ա, Գյումրի","$21,000",USD,"2-room apartment for sale or long-term lease on Ghandilyan street in Gyumri city (near Gohar Kindergarten) ; The entrance door is opened from the street side, the stairs and the opening are legalized. Suitable as an office, hair salon or dental services. It has 2 basements, a large hall, a rest room, a bathroom, k. B. H, gas, electricity, water, 46 square meters. Iron door, barred windows, privatized.Translated from Armenian",Nov-25-2022_14-09,,,,,,https://list.am/en/item/17908604
Stone,No,Not available,5.0,65 sq.m.,2,1,from 2.8 m,5.0,Closed balcony,Old Renovation,Shirak › Gyumri,"$30,000",USD,Продам двух комнатную квартиру,Nov-25-2022_14-09,,,,,,https://list.am/en/item/18176397
Stone,No,Not available,5.0,59 sq.m.,2,1,from 2.75 m,5.0,Closed balcony,Partial Renovation,"Աբովյան փողոց 10, Արթիկ","$15,000",USD,Details by phone:Translated from Armenian,Nov-25-2022_14-09,,,Not available,,,https://list.am/en/item/17185187
Stone,Yes,Not available,4.0,33 sq.m.,1,1,from 2.8 m,1.0,Not available,Partial Renovation,"Vazgen Sargsyan street, Gyumri","$27,500",USD,The house is in a normal condition. Both windows face the street. It is suitable for an office.Translated from Armenian,Nov-25-2022_14-09,,,,,,https://list.am/en/item/16845529
