Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links
Office Space,Stone,131 sq.m.,"Գարեգին Նժդեհ պողոտա 8, Գյումրի","$120,000",USD,"Commercial area for sale in c. Gyumri, Garegin Nzhdeh 8, total area - 131 square meters.The area is fully repaired, bright, with all utilities, there is central heating, hot and cold water, the floor of the hall is heated.Translated from Armenian",Nov-24-2022_22-03,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17908540
Everything Else,Monolith,70 sq.m.,"Եղիշե Չարենցի փողոց 1, Գյումրի","$35,000",USD,"An area with all communal amenities is for sale, can be used for different purposes, is located on Charents street, near 41 schools.Translated from Armenian",Nov-24-2022_22-03,Available,Not available,First Line,Common from the Courtyard,,https://list.am/en/item/17270008
Retail Space,Stone,28 sq.m.,Shirak › Gyumri,"$45,000",USD,Commercial area Ghandilyan 77 building apartment 14Translated from Armenian,Nov-24-2022_22-03,,,,,,https://list.am/en/item/15080560
Retail Space,Stone,110 sq.m.,"Մուշ 2 թաղամաս 4/23, Գյումրի","150,000 ֏",AMD,"A commercial area is for rent or sale in Mush 2 district. The area is 110 square meters. The area is next to the newly built square. For details, call the mentioned number. The sale price is 60,000 USD, the rent is 150,000 AMD.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/16512383
Industrial and Manufacturing,Stone,2710 sq.m.,Shirak › Hatsik,"$45,000",USD,"Վաճառվում է հացի արտադրամաս բոլոր սարքավորումներով (փեջեր, խմորհունձի մեքենա իր թեժերով, առկա են թավաներ) : Կա նաև Քիրփիչից փուռ 12 քմ: Կա նաև անասնագոմ: Մանրամասների համար զանգահարել։",Nov-24-2022_22-03,Available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/15080669
Automotive Service,Stone,3140 sq.m.,"Շառա Տալյան փողոց 3/2, Գյումրի","$155,000",USD,An existing business at the intersection of Shara Talyan and Khrimyan Hayrk streets is for sale.The total area is 3143 square meters. M.Buildings 683 sq. M.1 q. M. It will cost $50Translated from Armenian,Nov-24-2022_22-03,,,,,,https://list.am/en/item/18052535
Retail Space,Stone,714 sq.m.,"Տերյան փողոց, Գյումրի","5,000 ֏",AMD,"Operating business commercial space, located in the central part of the city, line 1, with a frontage of about 35m, has 4 entrances, of which 1 is completely separated, the back entrance with a separate bathroom is fenced from the yard, with automatic remote control gates, separate storage areas, there is a 2-story utility room attached. 2-room renovated and furnished apartment with all amenities. The area can be used for different purposes, both shared and separate. The roof is new tin, there is a possibility to park cars in the yard. Call for detailed information.The price is negotiableTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/15866321
Industrial and Manufacturing,Panels,2600 sq.m.,Shirak › Gyumri,"$120,000",USD,"Livestock farm for sale or exchange, built by Palyak in 1994, all facilities are availableTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17102630
Functioning Business,Monolith,150 sq.m.,"Պարույր Սևակի փողոց 2, Գյումրի","$45,000",USD,"In Ani district, near the Pedagogical Institute, this apartment and commercial area are for urgent sale. The total area of the apartment is 113 sq/m, of which the public area is 34 sq/m, there is a private basement with a separate entrance, tiled area of 34 sq/m. It is provided with all necessary communications. There are euro and iron doors, euro windows at the entrance. The whole area and the bathroom are tiled.Many shops, restaurants, cafes are also nearby.THE AREA IS SUITABLE FOR ALL TYPES OF ACTIVITIES...Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/15767064
Office Space,Stone,100 sq.m.,Shirak › Gyumri,"$70,000",USD,"ՀՆԱՐԱՎՈՐ Է ՓՈԽԱՆԱԿՈՒՄ ԵՐԵՎԱՆՈՒՄ ԲՆԱԿԱՐԱՆԻ ՀԵՏ։Տիգրան Մեծի փողոցի վրա՝ Բասեն խանութի դիմաց, վաճառվում է Ժամանակին Գործող Սրճարան, որը կոչվում է ""2*2"" Այն բաղկացած է 2 հարկերից։ Շինության ընդհանուր մակերեսը կազմում է 100 քմ է։ Ողջ տարածքը կապիտալ վերանորոգված է, ապահովված համապատասխան կահույքով և տեխնիկայով։ Երկրորդ հարկում կա 6 առանձնացված սենյակներ յուրովի ձեվավորված։Առաջին հարկում սպասասրահ և մեծ զալ։ Բոլոր կումինիկացիաները անցկացված են, ունի ջեռուցման և օդափոխման կենտրոնացված համակարգ, սալիկապատված 2 սանհանգույցով, խոհանոցում կա բոլոր անհրաժեշտ պարագանները։ՍՐՃԱՐԱՆԻ էքստերիորը և ինտերիերը էլ ավելի շքեղ են երևում երեկոյան, քանի որ ձևավորված են գեղեցիկ լուսային էֆեկտներով։Տեղադրված է եվրո դուռ եվրո լուսամուտներ հասանելի է ինտերնետ հանգույցը, սրճարանի դիմաց կա ավտոկայանատեղի, ինչպես նաև մանղալ։Վաճառքը գույքի հետ միասին։",Nov-24-2022_22-03,,,,,,https://list.am/en/item/12613008
Everything Else,Panels,20 sq.m.,"Ստեփան Շահումյանի փողոց 188Ա, Գյումրի","10,000,000 ֏",AMD,SeparatedTranslated from Armenian,Nov-24-2022_22-03,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18061169
Retail Space,Stone,150 sq.m.,"Ավտոկայան հրապարակ 4, Գյումրի","$23,000",USD,"Canteen for sale or exchange for 1-2 room apartment in District 58, do not offer anywhere else, also exchange for a car for an additional fee from youTranslated from Armenian",Nov-24-2022_22-03,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/16200089
Industrial and Manufacturing,Stone,220 sq.m.,Shirak › Akhuryan,"$25,000",USD,"4 boxes are for sale, inside there are all the necessary materials for making concrete slabs. You can buy only the real estate, but if you want, I will sell all the tile production equipment and the business togetherTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18149896
Functioning Business,Stone,20 sq.m.,"Անի թաղամասի 11-րդ փողոց 1, Գյումրի","$10,500",USD,"Beauty salon for salec. Ani District, Gyumri.20 square meters. Total areaUtility with all amenitiesThoroughly reconstructedStoneWith propertyBy techniqueLightWith a heating systemWith hot and cold waterSelling price: $10,500Code 6486Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18302528
Hotel,Stone,300 sq.m.,"Մյասնիկյան փողոց 165, Գյումրի","57,000,000 ֏",AMD,"In the center of the city, a two-story private house built of black hewn stone with a total area of 240 is for sale.It has a large yard, an auxiliary building in the yard, 80 square meters, a basement of 100 square meters, European windows, a stone garage of 21 square meters, B. H, gas, light, water, privatized.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17902493
Retail Space,Stone,35 sq.m.,"Հովհաննես Շիրազի փողոց 59, Գյումրի","$77,000",USD,"The area is located in the center of the city. At the intersection of Shiraz / Ryzhkov streets.It is renovated.It has a bathroom, constant hot / cold water (""geyser"" is installed)An air conditioner is also installedTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17537469
Industrial and Manufacturing,Stone,10 sq.m.,Shirak › Maralik,"$20,000",USD,"Three-storey apartment for sale. A mill on Kolekomenikani street in Maralik city. There are also other buildings in the area. It is provided with constant water, electricity, three-phase electricity, sewage. The premises and buildings are also suitable for other business activities.It is also possible to exchange for a plot of land in Moscow or an equivalent car.Price: Negotiable. Can also be rented.CALL WEYBERTranslated from Armenian",Nov-24-2022_22-03,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18135477
Industrial and Manufacturing,Stone,67 sq.m.,"Դուդկոյի փողոց 1/2, Գյումրի","$25,000",USD,"Public area for sale, near the water supply, in the Boulevard district. The total area of the building is 67 sq/m, the area of the land is 100 sq/m. All communications have been completed. It has installed euro bars and wooden doors, euro windows, and is also provided with a security system. The area was previously used as a bathroom, there are 4 bathrooms, 1 tiled bathroom, the whole area is tiled, has a basement. There is a plot of land at the back of the building...Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/12031575
Multifunctional Space,Stone,520 sq.m.,"Մովսես Խորենացի փողոց 46, Գյումրի","$250,000",USD,"Two-storey newly built multifunctional property is for sale, located in Ani district, near Trdat Chartapet street ․․․The total area of the land is 3000 sq. M., the living area of each floor is 260 sq. M.The first floor, which serves as a residential house, is capitally renovated, consists of 4 rooms. It is provided with all the necessary communications, the bathroom and the kitchen is tiled. Iron door, euro windows are installed at the entrance.The second floor needs interior decoration ․․․There are open-air parking lots by the yard, separated by stone fences. A kindergarten, a school, many shops are nearby. The place is quiet and quiet.The property can be used for various purposes, in particular for a clinic, a large laboratory, a hospital and other purposes ․․․Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17374397
Retail Space,Monolith,1800 sq.m.,"Երևանյան խճուղի 131/2, Գյումրի","$950,000",USD,"WITHOUT A MEDIATOR!Former ""YEREVAN"" wagonThe building is fully renovatedLand area: 4000 square metersBuilding: 1800 square metersALL COMMUNICATIONS ARE AVAILABLE: Water, electricity, gas, heating.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/10619803
Everything Else,Stone,50 sq.m.,"Tsulukidze Street, Gyumri","$15,000",USD,"Две отдельные помещения, каменные, с отдельными входами, в центре города, рядом с бывшим центральным рынком, имеется возможность для увеличения площади помещений (вверх и немного вперёд), имеется внутри центральная канализация, двухскатная крыша большого помещения, потолок из монолита, толщина стен - двух ярусная укладка из правильного камня из туфа. Пригодны для различного пользования. Фото прилагается. Торг уместен в пределах разумного для обеих сторон.",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18135742
Multifunctional Space,Stone,47 sq.m.,"Charents street, Gyumri","18,000,000 ֏",AMD,"Commercial space for salec. Gyumri, Austrian district47 square meters. Surface32 square meters. Land surfaceMultipurpose commercial spaceWith 2 different entrancesIt has a basementIt can be used for different purposesUtility with all amenitiesThoroughly reconstructedWith a heating systemEuro windowsLightSale price: 18,000,000 AMDCode 8848Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18281834
Automotive Service,Stone,400 sq.m.,"Վազգեն Սարգսյան փողոց 52/5, Գյումրի","$18,000",USD,"Price is negotiableThe area is a half-built stone, 96 square meters, used as a ruin.Only real buyers should call.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/16891514
Office Space,Stone,165 sq.m.,"Սուրեն Մատնիշյան փողոց 151, Գյումրի","$150,000",USD,"THE SPACE IS PROVIDED ON A RENTAL BASIS IF YOU WANT TO PAY THE RENT TO YOU...A public building is for sale or rent in the center of the city, 700 meters from the Square. The surface of the area is 165 square meters, of which 90 square meters is occupied by the building. The building has been thoroughly renovated, the entire area is tiled, iron and Euro doors, Euro triple-glazed windows have been installed. There are 2 tiled bathrooms, 2 kitchens and 3 halls in the building. There is a well-maintained yard at the rear of the building. The building is very suitable for use as an office, hairdressing salon, dental clinic, office and other purposes.Translated from Armenian",Nov-24-2022_22-03,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/11059643
Retail Space,Monolith,290 sq.m.,Shirak › Gyumri,"$145,000",USD,"ԽԱՆՈՒԹՆԵՐԸ ՎԱՃԱՌՈՒՄ ԵՆՔ ԸՆԴՀԱՆՈՒՐ ԱՌԱՆՁԻՆ ՉԵՆՔ ԴԻՏԱՐԿՈՒՄ․․․Անի թաղամասում Պարույր Սևակի փողոցում վաճառվում է 3 հատ խանութներ, որը տեղակայված է 4 հարկանի բնակելի շենքի առաջին հարկում․․․Խանութներից առաջինը հասցավորված է որպես Սևակի 18/1 և զբաղեցնում է 80ք/մ ունի առանձնացված 4 սենյակներ և սանհանգույց․․․Խանութներից 2-րդը հասցեավորված է որպես 4 տարածք և զբաղեցնում է 65ք/մ ունի առանձնացված 3 սենյակներ և սանհանգույց․․․Խանութներից 3-րդ հասցեավորված է Սևակի 18/2 և զբաղեցնում է 145ք/մ, ունի առանձնացված 7 սենյակներ և սանհագույց․․․Խանութները գտնվում են առաջին գոտում և հարմար է բոլոր տեսակի գործունեություն ծավալելու համար, կարող եք օգտագործել որպես 1 ամբողջական շինություն․․․Խանութները ունեն շենքի 2 հատվածում մուտքեր և նկուղային հատված․․․",Nov-24-2022_22-03,,,,,,https://list.am/en/item/14647997
Agricultural Space,Stone,536 sq.m.,Shirak › Haykavan,"14,761,800 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Livestock building, 535.94 square meters, plot of land: 2700 square meters, located at No. 23, 3rd floor, Haykavan, Shirak marz, community Akhuryan. The building is one-story, the windows are wooden, the entrance door metal gate is in good condition, the floor is concrete, there is no interior decoration, the general condition is bad, there is electricity and water supply.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Nov-24-2022_22-03,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/18255924
Industrial and Manufacturing,Stone,5800 sq.m.,Shirak › Hatsik,"32,900,000 ֏",AMD,"The area of the land is 39,800 square meters ․Electric flour mill: 435 square meters ․Livestock buildings and other buildings, total 5,365 square meters ․Water supply, electricity supply, sewerage.The price is negotiable.Code 7-74Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/16132161
Industrial and Manufacturing,Stone,588 sq.m.,"Ղարիբջանյան մայրուղի 3/2, Գյումրի","$250,000",USD,"Gharibjanyan Highway 2 Near the cemetery, a production area is for sale, the land area of which is 20,000 sq. M., the living area is 588 sq. M. The administrative building has 10 separate rooms, in which there is three-phase electricity, gas, water. The significance of the land is for construction and service ․․․THE AREA IS VERY COMFORTABLE FOR A CEMETERY, FOR CONSTRUCTION OR MAINTENANCE OF A CEMETERY, IT IS PRIVATIZED ․․․Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/11811621
Multifunctional Space,Stone,422 sq.m.,"Մուսաելյան փողոց 38/4, Գյումրի","$299,000",USD,"Three-storey commercial building is for sale on Musaelyan street, near GOLDEN APRICOT. The total area of the building is 422 square meters, the land area is 191 square meters. The area of the first and second floors of the area is 272 sq / m, basement area is 149 sq / m. It is provided with all the necessary communications. Euro-iron doors, three-layer euro windows are installed at the entrance. The whole area is fully repaired, tiled and there is a tiled bathroom on each floor, each floor has an individual heating system.There is a plot of land at the back of the building. There are also many shops, restaurants and cafes nearby.TERRITORY IS SUITABLE FOR ALL ACTIVITIES ․․․Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/12069229
Office Space,Stone,15 sq.m.,"Shirakatsi street, Gyumri","$10,000",USD,"For sale pavilion with euro windows, without utilitiesTranslated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/14456653
Functioning Business,Stone,658 sq.m.,"7-րդ փողոց 5/2, Գյումրի","$585,000",USD,"ԿԱՌՈՒՅՑԸ ՏՐԱՄԱԴՐՎԱԾ Է ՎԱՐՁԱԿԱԼԱԿԱՆ ՀԻՄՈՒՆՔՈՎ, ԳՆԵԼՈՒ ԴԵՊՔՈՒՄ ԿԱՐՈՂ Է ՎԱՐՁԱԿԱԼԸ ՇԱՐՈՒՆԱԿԵԼ ԳՆՈՐԴԻ ՀԵՏ․․․ԱՆի թաղամասում Եկեղեցու դիմաց վաճառվում է այս ունիվերսալ տարածքը, որը հասցեավորված է 7-րդ փողոց 5/2 առևտրի և սպասարկման սրահ և զբաղեցնում է 658 ք. Մ. Մակերես, հողատարածք՝ 186ք/մ, ևս 200ք/մ բարեկարգված տարածք։Կառույցի առաջին մասնաբաժինը ծառայում է որպես Բանկ, իր նկուղային հատվածով, ողջ տարածքը սալիկապատված է տեղադրված է ջեռուցման, օդափոխության և անվտանգության համակարգեր։Դրսին տեղադրված է եվրո դուռ, պատուհանները եվրոպական արտադրության են։Կառույցի երկրորդ մասնաբաժինը որը քառահարկ տարածք է, ծառայում է որպես զարգացման կենտրոն, տեղադրված է ջեռուցման, օդափոխության և անվտանգության համակարգեր։Յուրաքանչյուր տարածքում առկա է սալիկապատված սանհագույցներ և խոհանոցներ։Կառուցի վերնահարկում առկա է մեծ տարածք և բաց պատշգամբ, որտեղ բոլոր կոմունիկացիաները անցկացված են։Բակում կա բացօթյա տարածք մեքենաներ կայանելու համար։",Nov-24-2022_22-03,,,,,,https://list.am/en/item/12212369
Retail Space,Cassette,180 sq.m.,"Manushyan street, Gyumri","$30,000",USD,"Commercial space for sale: Shop, on Manushyan street. The space consists of 3 large halls, which now serves as a shop, an office and 2 storage areas, there are iron gates for parking inside the car. The area of the land is 189 sq/m, the living area is 180 sq. M. /m. There is a barbecue at the back of the building... The area can be used for various purposes, especially for a shop, warehouse and other services...Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/14780605
Retail Space,Bricks,10 sq.m.,Shirak › Gyumri,"500,000 ֏",AMD,I am selling a kiosk of 10 stonesTranslated from Armenian,Nov-24-2022_22-03,,,,,,https://list.am/en/item/16469366
Multifunctional Space,Stone,600 sq.m.,"Vazgen Sargsyan street, Gyumri","$230,000",USD,"Two-storey commercial area is for saleQ ․ Gyumri, V ․ Sargsyan240 square meters of living area360 sq. M. Plot:Multifunctional propertyPosition front:The sale price is $ 230,000Code 8332Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17689806
Retail Space,Stone,36 sq.m.,"Aram Khachatryan Street 9, Gyumri","$22,000",USD,"It is also possible to rent. This public area is for sale in Ani district, behind the Church. It is a stone building, the area of the land, which is provided on a rental basis, is 36 sq/m, the building is owned and occupies 30.54 sq/m. The area consists of 2 rooms, the floor and the bathroom are tiled. , there is electricity and water. Iron and euro doors, iron gates, euro windows are installed. A well-kept small garden in front of the building is fenced.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/18199713
Automotive Service,Stone,100 sq.m.,"Կարեն Դեմիրճյան փողոց 4/2, Գյումրի","$60,000",USD,"An existing car service area is for sale in the backyard of GARAJ Rossia. The total area of the building is 100 sq. M., the land area is 155 sq. M. Car service salon ․․․Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/13662020
Functioning Business,Stone,3323 sq.m.,Shirak › Akhuryan,"$1,300,000",USD,"PROPERTY INCLUDED IN THE SALE PRICE and KITCHEN EQUIPMENT ․․․OPERATING RESTAURANT ARAGATS COMPLEX FOR SALE IN AKHURYAN 400 meters away from Gyumri ՔաղաքThe total area of the land is 3323 square meters, the total area of the building is 997 square meters. The whole area is capitally renovated, provided with appropriate furniture and appliances. The restaurant has a waiting room, a large hall, 6 banquettes, a separate room for the director. All the communications are brought, it has central heating and ventilation system, it is tiled with 4 bathrooms, the kitchen has all the necessary utensils. Euro door, euro windows, three-phase electricity are installed, there is a basement of 250 sq. M. The security system operates with separate stone fences. There is a barbecue in the restaurant and outside and inside.Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/12173053
Multifunctional Space,Stone,2000 sq.m.,"Չայկովսկու փողոց 14/1, Գյումրի","$200,000",USD,"3 separate service areas in 1 common project are for sale in the textile district near the gas office.The first service hall serves as a car wash with all its equipment 126 sq/m land area and 110 sq/m car wash...The second hall serves as a mushroom growing area 88 sq/m of land and 71 sq/m for maintenance...The third serves as a carpet dryer and service point 700 sq/m land area 90 sq/m residentialAreas are used separately, 1 complete structure is also possible. There is also an additional plot of land with an area of 1000 sq/m. The area has three-phase electricity, electricity, gas, water and individual heating system and security system...Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/16989843
Multifunctional Space,Stone,162 sq.m.,"Տեքստիլագործների փողոց 21/4, Գյումրի","$130,000",USD,"Commercial area for saleք ․ Gyumri, Garegin Nzhdeh street162 square meters areaUtilities for everyoneTwo entrancesSpare entrance from the yardThe sale price is $ 130,000Code 8334Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17147926
Retail Space,Stone,110 sq.m.,"Vazgen Sargsyan street, Gyumri","$105,000",USD,"Commercial area for saleQ ․ Gyumri, V ․ Sargsyan st.Area of 110 square metersMultifunctional propertyWith all utilitiesCentral location:Euro doors and windowsThe sale price is $ 105,000Code 7821Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17680776
Multifunctional Space,Stone,50 sq.m.,"Ջիվանի փողոց 1, Գյումրի","$55,000",USD,"An operating shop is for saleք ․ Jivan street, GyumriTotal area 50 square meters3 roomsMultifunctionalWith all utilitiesDryWith heating systemEuro windowsSide:LightIt is also suitable for a guest houseThe sale price is $ 55,000Code 8599Translated from Armenian",Nov-24-2022_22-03,,,,,,https://list.am/en/item/17390620
