Type,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Links
Agricultural,"10,200 sq.m.",Ararat › Artashat,"$15,000",USD,Продаю участок. Срочно! Торг! Димитров,Nov-25-2022_00-58,,https://list.am/en/item/16034000
For Residential Development,1000 sq.m.,Ararat › Artashat,"$6,500",USD,Продаю участок под строительство дома. Срочно! Торг! Димитров,Nov-25-2022_00-58,,https://list.am/en/item/16033969
For Residential Development,800 sq.m.,Ararat › Ayntap,"$35,000",USD,"800 square meters of land near the house, 14 Aintap streetTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18323513
For Residential Development,600 sq.m.,"6-я улица 1/3, Нор Харберт","$12,000",USD,Продается очень срочно полу постройка дом 97кв участок 600 имеется плодовитые деревье полевная водаСвет вода проходит рядом,Nov-25-2022_00-58,,https://list.am/en/item/17936762
For Residential Development,800 sq.m.,Ararat › Nor Kyurin,"$7,000",USD,"800 sq. M. Land near the house is for sale in Nor Kyurin.Gas pipeline, electricity and drinking water is located at a distance of 100 meters from the land.Price is negotiable.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17282100
For General Purpose,1500 sq.m.,Ararat › Azatashen,"$13,000",USD,"Land for sale in Azatashen, privatized, area 15000 sq. M. M:Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17959318
Agricultural,33 sq.m.,Ararat › Artashat,"$3,500",USD,I am selling 3300 hectares of arable landIt is located in Artashat Vostan villageOn the way to Upper Artashat. 3300 square metersTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17550257
For Public Buildings,6200 sq.m.,"Սարալանջի փողոց 4, Արգավանդ",$250,USD,"For sale 6200 sq. M. Մ. Total land area in Argavand, next to the newly built North-South highway.Suitable for building a food court, hotel, gas station, apartment building. The land consists of two parts: 4,200 square meters. Մ. Back part (80 m. Front part) and front part 1200 sq. M. Մ. AND 780 sq. M. Մ. (75 m. In front) Land plots have all the facilities to become objects of public importance.It is mentioned 1 c. Մ. Value ofTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17777376
Agricultural,4200 sq.m.,Ararat › Ararat,"$7,000",USD,Վաճառվում է պտղատու խաղողի այգի։Շատ լավ բերքատու խաղողի տեսակներով։,Nov-25-2022_00-58,,https://list.am/en/item/15928633
For Residential Development,700 sq.m.,"14-րդ փողոց 1, Նոր Խարբերդ","$11,000",USD,"There are houses on the right and left, negotiableTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17212324
For Residential Development,1420 sq.m.,Ararat › Nor Kharberd,"$30,000",USD,"2 կտոր տնամերձ հողակտոր իրար կպած յուրաքանչյուրը 710քմ, ծառերով ու խաղողի այգով, ցանկապատված է, կա ոռոգման ջուր, մոտ ապագայում փողոց է լինելու անմիջապես հողամասի մոտով, էլ հոսանք, մոտակայքում կան կառուցված տներ մշտական բնակիչներով, կանալին մոտ է:Для жилых домовПоверхность земли1420 кв. М.2 смежных земельных участка, каждый по 710 кв. М, с деревьями и виноградником, огорожен забором, есть поливная вода, в ближайшее время будет улица прямо возле участка и электричество, рядом построены дома с постоянными жителями, канал рядом.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16943573
For Residential Development,2000 sq.m.,Ararat › Aralez,"$55,000",USD,House for sale with its two-storey orchard of 2000 sq. M.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17287025
For Residential Development,550 sq.m.,Ararat › Masis,"$17,000",USD,"I am selling a residential construction plot in the neighborhood of Francafonya Park. The project and building permit are ready. Two-story, 130 square meters. Electricity, water, sewage, connected. 6th street... 550 square meters of landTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18052377
Agricultural,"10,000 sq.m.",Ararat › Masis,"$60,000",USD,"In Kakhak masis, we are paying for a 1-year garden of 10,000 meters, 150 apricots and 150 black plums. The plot is corner, has a 500-meter long road, 25 meters from the front side. Suitable for business area. (rest zone (gas station) etc. Is not negotiableTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18102316
For Public Buildings,300 sq.m.,"20-th street, Ayntap Border","$45,000",USD,"A stone building is for sale.Address: Ayntap village, 20 street.It was originally intended for a barn. If you want, you can demolish and build your favorite building.THE MOST IMPORTANT THAT THE BUILDING IS ON LINE I ON THE YEREVAN-ARTASHAT HIGHWAY.Farm, area, rent, sale, land, landTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16741411
Agricultural,"50,000 sq.m.",Ararat › Ranchpar,"$200,000",USD,"Կոդ՝ B-15524Վաճառվում է գյուղատնտեսական նշանակության հողատարածք Ռանչպար գյուղում։ Ունի 3 խոզաբուծական ֆերմա, 1 բնակելի տուն, հոսանք, կոյուղի, մշտական խմելու և ոռոգման ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An agricultural meaning land for sale in Ranchpar village. The land has 3 pig farms, 1 residential house, electricity, sewerage and is supplied with constant drinking and irrigation water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-58,,https://list.am/en/item/12235865
Agricultural,2580 sq.m.,Ararat › Azatashen,"45,000,000 ֏",AMD,"2580քմ հողատարցք1800քմ գործող ջերմոց բոլորՀնարավորությունով780քմ պտղատու ծառերլողավազան1800кв типлици с всем возможностью, ахлаждения, средный газ собственный, атапление печи, 3фаз 25кв, сажен розы выщый сорт, бассейн, фруктовый садTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16657629
For General Purpose,2400 sq.m.,Ararat › Artashat,"$5,000",USD,"Land for sale in Burastan village, 2400 sq. M.The water is right next to the plot.Dimensions 145 × 16.5Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16061275
Agricultural,4000 sq.m.,Ararat › Marmarashen,"$15,000",USD,Irrigation water for the orchard is availableTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17757542
For Residential Development,270 sq.m.,Ararat › Ayntap,"$11,000",USD,"270 sq. M. For sale. M. Land in Aintap village. Part of my house's land. Utilities attached. With garage, summer bathroom with bath, pavilion. Possible to exchange with automatic car for an additional fee from you. Negotiable.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18303750
For Residential Development,1050 sq.m.,Ararat › Hovtashat,"13,000,000 ֏",AMD,"1050m of land720 m greenhouse (built in April 2021, the soil is filled and very fertile)9 m cabin (in good condition)Operating business10 km from Yerevan_There is 250m of free space in front of the greenhouses, intended for the construction of a house.It is fenced and demarcated.Price is negotiable...It is possible to exchange with a luxury class car.You can also call via Viber phone number.#girl:#greenhouse#close to home#businessTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17242021
For Residential Development,1800 sq.m.,"Armavir Province Roadway, Hovtashat","$17,000",USD,"Urgent sale of 1800 square meters of land near the house in Hovtashen village, the house has two fronts, one is 37 m from the main road. The other is 70 m from the main road to the street. Well, the roads are asphalted, gas and drinking water pass by, from which one line is drawn, it has three-phase electricity, planted 50 trees, I will also give back 1000 stones of artic tuff and foundation stone. It is suitable for setting up a residential house and other activities. It is a very convenient place, close to school, kindergarten, Ararat fruits market, North South highway and Hrazdan river. The price is $17 per square meter, negotiable to a real buyer. For more information call.You can also view my other announcements.Thank you.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17622503
Agricultural,"13,000 sq.m.",Ararat › Verin Artashat,"$30,000",USD,Next to the Upper Artashat roadWith 2-3 year old treesDeghtseni 450h.Plum early 270h.Dwarf Popok 80h.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18328127
For General Purpose,"16,000 sq.m.",Ararat › Armash,"13,000,000 ֏",AMD,Apricot orchard for sale. The orchard is located on the North-South highway. It is possible to exchange it with a car for an additional fee. Call for details.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17965663
For Industrial Use,1700 sq.m.,Ararat › Artashat,"$160,000",USD,"Production area in Artashat, 35a Bakunts street.Dimensions of the building: 12.6 × 36.0 m, h = 6.0 m, there is three-phase electricity, artesian and clean drinking water, gas connection is possible, it passes by, the space allows the movement of a car of any size.Ideal for any production or activity.Price is negotiable.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/15962418
For Residential Development,740 sq.m.,Ararat › Geghanist,"18,000,000 ֏",AMD,"740 m2 land for residential construction is for sale,The land is located in Geghanist village, it is fenced, the road is asphalted.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16697622
Agricultural,4000 sq.m.,Ararat › Artashat,"$6,000",USD,Мой сопствений зимла нахотится арташатскайа облсть в бурастан,Nov-25-2022_00-58,,https://list.am/en/item/15980723
For Residential Development,270 sq.m.,Ararat › Ayntap,"$10,000",USD,"Residential land for sale in Aintap village, 15th street, 270 square meters. Electricity, gas, water, irrigation water. The land has a garage, a chula, a summer bath, a toilet, a pavilion.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18257587
For General Purpose,1130 sq.m.,"Պուշկինի փողոց 10, Դիմիտրով","4,700,000 ֏",AMD,"A plot of land near the house is for sale, address: Ararat Marz c. 11 Dimitrov Garegin Nzhdehi Street. In case of questions, call the specified phone number.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18221995
For General Purpose,"10,000 sq.m.","Սպանդարյան փողոց 10, Սուրենավան","$21,000",USD,"It is located in Surenavan, on the outskirts of the city, the productive apricot trees are planted with alfalfa.For details, also call the pokhanak with other transport or aftotana in YerevanTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18118056
For Residential Development,800 sq.m.,Ararat › Hayanist,"$12,000",USD,"Headquarters for the price, there is electricity, gas, water next to the land, the land is located on the first street, 50 meters, there is a kindergarten, a pharmacy near the bus stop.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18342617
Agricultural,"84,000 sq.m.","Ստեփան Շահումյանի փողոց 25, Սուրենավան","$550,000",USD,"Horticultural farm for sale, located in the area of Surenavan village, about 500 m from the Yerevan-Yeraskh highway, the total area of the land is 84 hectares, of which 36 hectares are apricot orchards, 1 hectare peach and 12 hectares of vineyards (7 hectares - 5 hectares) types) : The area is provided with galvanized pipeline, there is a stone building - warehouse, office, guard post. They are provided with the economy. 2 wheeled tractors ""Belarus"", 1 caterpillar, 2 portable injectors, etc.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/14635909
For Residential Development,300 sq.m.,Ararat › Ayntap,"$10,000",USD,"The land is for sale, there is electricity, there is gas, but it is not connected. The land is 300 square metersTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18074448
For Residential Development,870 sq.m.,Ararat › Masis,"$8,700",USD,"Land for sale in Masis, near the house in Noramarg village, Masis, near the roadTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/14471851
For Residential Development,400 sq.m.,"3-rd street, Norabac","$25,000",USD,"Urgently selling 400 square meters of privatized residential land, fenced on 2 sides, all communications right next to it. There is a foundation laid along the entire length of the land for a basement and a two-story building.Only real buyers should call, the price is final, brokers should not call.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18371935
For Residential Development,1000 sq.m.,Ararat › Nshavan,"$8,000",USD,"Վաճառվում է շուկայականից ցածր գնով 1000քմ մակերեսով տնամերձ հողատարածք Արարատի մարզի Արտաշատ համայնքի Նշավան գյուղի սկզբնամասում:Շրջակայքում կան բազմաթիվ բնակելի տներ: Հողատարածքը ցանկապատված չէ, մշակովի է, կան պտղատու ծառեր, հողամասի ներքևի հատվածում կա մոտ 250-300 քմ հավելյալ հողակտոր, որը ևս կարող եք օգտագործել տարբեր նպատակներով: Ունի շատ հարմար դիրք տուն կառուցելու համար:",Nov-25-2022_00-58,,https://list.am/en/item/14744907
For Residential Development,400 sq.m.,Ararat › Masis,"$16,000",USD,"URGENTLY For sale, a plot of land next to the house, on the second line, next to the frakafonya garden, the total area is 400 square meters, on the 15 by 27, it has artisanal water, electricity, on the 5 by 10 the foundation of the fence, the foundation of the fence, the row of fruit trees.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17640628
For Residential Development,500 sq.m.,Ararat › Berkanush,"$5,000",USD,A plot of land near the house in Berkanush village is for sale. Urgent. Negotiable.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18242327
Agricultural,"10,000 sq.m.",Ararat › Vedi,"10,000,000 ֏",AMD,"1հա պտղատու այգի. 400ծառ 9 տարվա և 200 ծառ 4 տարվա. Այգին գտնվում է ոռոգման աղբյուրի և գետի միջև. Տարածքը շրջապատված է մետաղական ցանցով. Այգում առկա են խնձորի, տանձի, ծիրանի, դեղձի ծառեր",Nov-25-2022_00-58,,https://list.am/en/item/13092946
Agricultural,1200 sq.m.,"Անդրանիկ Օզանյանի փողոց 30, Լանջազատ","$20,000",USD,"Privatized plot of land for sale in Lanjazat Zovashen community, in the Azat reservoir area, on the left side of the road to Garni, the total area is 1200, in case of questions, call, you will hear different exchange options with an additional fee.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18173190
For Residential Development,2000 sq.m.,Ararat › Ararat,"$15,000",USD,Տնամերձ հողատարածք գ. Արալեզում շինության հետ,Nov-25-2022_00-58,,https://list.am/en/item/13782345
For General Purpose,4500 sq.m.,"Artashat roadway, Mkhchyan","$15,000",USD,Fruit trees artisan electricity negotiableTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/16717258
For General Purpose,"40,000 sq.m.",Ararat › Vedi,"$600,000",USD,"Կոդ՝ B-23002Վաճառվում է հողատարածք Վեդիում (Գոռավան համայնք) ։ Հողատարածքի վրա առկա են բնակելի քոթեջ, հանգստյան գոտի, տաղավար, ձկնաբուծական լճեր, պտղատու ծառեր, զաֆրանի պլանտացիա։ Ապահովված է խմելու և ոռոգման ջրով, ունի հոսանք։ Հնարավոր է փոխանակում Երևանում գտնվող առանձնատան հետ՝ գնորդի կողմից հավելավճարով։Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A land for sale in Vedi (Goravan community) There are a residential cottage, recreation area, pavilion, fish ponds, fruitful trees, saffron cultivation on the land. It has electricity and is supplied with drinking and irrigation water. The land is also being exchanged with a house in Yerevan, for an additional fee from the buyer.For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Nov-25-2022_00-58,,https://list.am/en/item/17340202
Agricultural,6500 sq.m.,Ararat › Artashat,"$50,000",USD,Apple orchard480 trees6300 sq. M:40 cherries40 peaches40 pears5 apricots6 mulberriesArtisan 4.3 kw138 tons of waterCurrent pulled by poles 1kmBuilding 4.5*5Living area with double staircase3450 sq. M sown alfalfaTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18117445
Agricultural,4500 sq.m.,Ararat › Jrashen,"$16,500",USD,"Apricot orchard for sale in Jrashen village, Ararat region, village below Sovetashen. They are good fruit trees. There is no water problem. It is located near the main road. The harvest is different. Call for details.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17459344
For Residential Development,1700 sq.m.,"Սիփանիկի խճուղի 1, Հովտաշատ","$10,000",USD,"In Memandar village, in a newly built district, a plot of land is for sale, which is suitable for building a house, a greenhouse, it is allowed to build a hundred square houses, who are familiar with the village. There are houses, the land is right there, water and electricity are close to the land.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17036721
For Residential Development,800 sq.m.,Ararat › Hayanist,"$16,000",USD,"Հողամասը իդեալական է, գտնվում է Հայանիստի և Խաչփառի միջև։ Երեւանի Հանրապետության հրապարակից 30 րոպե, Զվարթնոց օդանավակայանից 20 րոպե։ Հարթ, ուղղանկյուն հողատարածք, գտնվում է ճանապարհի երկրորդ գծի վրա (տնամերց) ։ Մի կողմից տարածքը պարսպապատված է հարևանի պարիսպով։ Հողամասի մոտակայքում կան խանութներ, դպրոց Մասիսի խաչմերուկի մոտ, ամեն անհրաժեշտ հարմարաթյուններ։ Գյուղում հասարակական կոյուղի չկա, կա գազ, էլեկտրականություն ու ջուր։ Իդեալական է գեղեցիկ պարտեզով սեփական տուն կառուցելու համար: Սեփականատեր.Участок идеальный, находится между Айанистом и Хачпаром. 30 минут от площади Республики Еревана, 20 минут до аэропорта Звартноц. Ровный, прямоугольный участок, находится на второй линии от дороги (тнамерц) С одной стороны участок огорожен соседским забором. Недалеко от участка есть магазины, школа, всё необходимое для жилья. В поселке общей канализации нет, есть газ, свет и вода. Идеально подойдёт для строительства собственного дома с прекрасным садом. Собственник.",Nov-25-2022_00-58,,https://list.am/en/item/18209916
Agricultural,5400 sq.m.,Ararat › Hayanist,"$55,000",USD,"Շքեղ, անթերի հարթ հողատարածք, որը գտնվում է խոստումնալից շահավետ վայրում՝ Մասիսի գլխավոր խաչմերուկի հարևանությամբ (Էջմիածնի խճուղու և փ. Հայկ Բժիշկյանց), դեպի Դարբնիկ տանող ուղղությամբ։ Ավտոմեքենայով օդանավակայանից 17 րոպե, Էջմիածնից 12 րոպե և Երևանի կենտրոնական հրապարակից 25 րոպե։ 1-ին գիծ հենց մայրուղու մոտ՝ ճանապարհի վրա։ Քանի որ հողամասի մի կողմը ճանապարհի երկայնքով ~ 57,7 մետր է, եթե փոխեք հողի նպատակը, 0,5 հեկտարից ավելի հողամասը կարող է օգտագործվել խոշոր բիզնես նախագծի համար. Օրինակ՝ հսկայական սուպերմարկետ կամ մեծ առևտրի կենտրոն իր վարձակալության համար նախատեսված տարածքներով, ինչ որ օբյեկտ հանգստյան գոտիյով ու մեքենաների կայանատեղով, ռեստորանային համալիր կամ ֆրանշիզա, ինչպիսիք են KFS-ն, McDonald's-ը, կամ ինչ որ ուրիշ Food Court, էկո ֆերմա իր քոթեջներով, շինարարական կամ կահույքի IKEA-ի, Leroy Merlin, OBI-ի տիպի համալիր, կամ ձուկ բազմացնելու ու բռնելու լիճ, կամ հսկայական սպորտային համալիր իր լողավազանով (ամեն ինչ կախված է հնարավորություններից և երևակայությունից) : Ըստ փաստաթղթերի՝ տարածքը բաղկացած է երկու հողամասից՝ 0,23 հա և 0,31 հա = ընդհանուր 5400 ք. Մ. (կարևոր է՝ իրարից առանձին չեն վաճառվում) Նոր սեփականատերը, ցանկության դեպքում, կարող է փոխել հողամասի կարգավիճակը և ըստ փաստաթղթերի երկու հողամասերը միացնել դարձնել մեկ, բայց ես ժամանակ ու հնարավորություն չունեմ դա անելու: Տեղում կան հին բարձրավոլտ էլեկրական սյուներ՝ խորհրդային ժամանակների ժամանակաշրջանից և նոր ժամանակավորապես տեղադրված սյուներ։ Շատ քիչ են վաճառվող հողատարածքներ մնացել ճանապարհին, այդքան խաչմերուկին մոտ: Սեփականատեր։ Գինը 1քմ=10$. Սակարկելի։Шикарный, идеально ровный участок, находится в перспективном проходном месте, рядом с главным перекрестком Масиса, на пересечении Эчмиацинское шоссе и ул. Гайка Бжишкянца. На машине 17 минут от аэропорта, 12 минут из Эчмиадзина и 25 минут от центральной площади Еревана. 1-я линия прямо у шоссе на проезжей части. Так как одна сторона участка находится вдоль дороги ~ 57,7 метра, если сменить назначение земли, участок размером больше чем 0,5 гектара можно использовать под крупный бизнес проект: Например постройка огромного супермаркета или торгового центра под аренду территорий с автомобильной порковкой, объекта ресторанного комплекса или франшизы типа КФС, Макдональдса, эко фермы с коттеджами, пруда для разведения и ловли рыбы или спортивного комплекса с бассейном (всё зависит от возможностей и фантазии) По документам участок состоит из двух участков 0,23 гектара и 0,31 гектара = всего 5400 кв. М. (важно: Отдельно друг от друга не продаются) Новый собственник, если захочет, может поменять статус земельного участка и объеденить два учаска в один по документам, но у меня нет времени и возможности этим заниматься. На участке есть старый высоковольтный столбы со времен советского союза и новые временно поставленные столбы. У дороги, настолько близко к перекрестку продающихся земельных участков осталось очень мало. Собственник. Стоимость 1кв. М. =10$. Торг.",Nov-25-2022_00-58,,https://list.am/en/item/18209999
For Residential Development,1200 sq.m.,"Улица Паруйра Севака 4, Араксаван","$14,000",USD,"A garden with 10-year-old trees near the house is for sale, in the village of Araksavan, on the Masisi-Artashat road section.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18229808
For Residential Development,350 sq.m.,"Կենտրոնական 3-րդ փողոց 1, Արգավանդ","$35,000",USD,"Land near the house, 2nd street, asphalt, gas, water, electricity, bus stop, school, kindergarten is located approx.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18052338
Agricultural,4700 sq.m.,Ararat › Vedi,"$19,000",USD,"Նոր ուղի համայնք, պտղատու ծիրանի այգի, 100քմ շինություն",Nov-25-2022_00-58,,https://list.am/en/item/15961083
For Public Buildings,48 sq.m.,Ararat › Masis,"$8,000",USD,2 adjacent plots of land on 6.4total is 6.8negotiableTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/15920501
Agricultural,8500 sq.m.,"Shahumyan 1st lane, Ararat","$20,000",USD,"Fruit trees, apricot, peach, apple, pear, mulberry, high yieldTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17400135
Agricultural,7500 sq.m.,"Shahumyan 1st lane, Ararat","$17,000",USD,It is a 5-year-old vineyard. A high yield is a standing crop.Translated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17407910
For Residential Development,500 sq.m.,Ararat › Nor Kharberd,"3,000,000 ֏",AMD,"500 sq. M. Near the house is for sale. 30 sq. M. Building area, Shengavit community, irrigation water. Communicate, call for very close details.Negotiable:Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16691250
Agricultural,8500 sq.m.,Ararat › Surenavan,"6,000,000 ֏",AMD,"Apricot orchard, land area is actually 1 hectare, about 6 years old, 130 apricot trees, 20 peach trees. Irrigation water is directly connected to the orchard. It is located in the early ripening zone. In exchange for an equivalent car or land in the vicinity of Yerevan.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17580723
Agricultural,6000 sq.m.,"Երևանյան խճուղի 70, Մարմարաշեն","$8,000",USD,Land for gardening in MarmarashenTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/18253785
For General Purpose,1500 sq.m.,Ararat › Geghanist,"$40,000",USD,"The land is the next village of Azatashenuma Geghanist. The total area is 1500 meters, of which 700 meters is a greenhouse, a one-room stone structure on the first floor.NEGOTIABLETranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/14123186
Agricultural,7000 sq.m.,Ararat › Artashat,"$41,000",USD,Apricot orchard in Kaghtsrashen village. There is no problem with irrigation waterTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/16546663
For Residential Development,1100 sq.m.,"Անկախության փողոց, Շահումյան","$8,000",USD,"Land near the house for sale in Shahumyan village. There are fruit trees, artesian water. Electricity, gas հնարավորություն Possibility to draw drinking water. For more information call:Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17940237
For Residential Development,800 sq.m.,"Կենտրոնական 4-րդ փողոց 10, Արգավանդ","$75,999",USD,"800 sq. M. Land near the house in ARGAVAND village FOR SALE,at the central 4 4 address.It is a very convenient place, there are all the possibilities for construction.Possibility to connect ELECTRICITY, GAS, WATER.You can call or write a message for details,I will answer with love;Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17873424
Agricultural,5900 sq.m.,Ararat › Avshar,"$7,500",USD,"5900 square meters for sale. M. Land (vineyard) in Avshar village, Ararat region. There are no problems with irrigation or implementation. In 2022, the garden yielded 9 tons. The price is negotiable.For more information call:GabrielTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17641440
For Residential Development,1000 sq.m.,Ararat › Masis,"3,000,000 ֏",AMD,Land near the house for sale in Arevabuyr villageTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17117928
For Residential Development,800 sq.m.,"Արսեն Եղիազարյան փողոց 23, Նիզամի","3,000,000 ֏",AMD,Good tegha yielding gas is very suitable for building a house with light and soulIt is possible to pay for the package in advance but at a different priceTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17988712
For Residential Development,600 sq.m.,Ararat › Ayntap,"$11,000",USD,"13th street, 14th alley. Negotiable:Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17915606
For Residential Development,800 sq.m.,"Բաղրամյան փողոցի 4-րդ նրբանցք 6, Դաշտավան","$13,000",USD,"Very convenient plot of land 5 km from Yerevan, 20m frontage, 40m length, water, gas + artesian waterTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18076681
Agricultural,5000 sq.m.,"Մ. Հերիքյան, Դաշտավան","1,500 ֏",AMD,"URGENT SALE OR EXCHANGE1-sq/m 1500 drA rural plot of land is for sale in the Dashtavan village of Masisi, on the border of Dashtavan and DarakYert, just 7 km from Yerevan.The land area is approximately 5,000 sq/m, the actual usable area is more than 6,000, and there is a possibility to expand.The plot of land is located at the beginning of the village, near residential houses, 100 meters from the main highway, in a very convenient location.A newly renovated irrigation system runs right next to the land, no water problems.The drying system (drainage) also passes by the land, which also has great advantages in various aspects.Due to its convenient location, the land can be used for various construction purposes.It will be very convenient to engage in gardening, animal husbandry, it will be convenient to build a fish farm and a greenhouse (greenhouse) and many other activities on the land.It will also be suitable for building a house.The land is currently planted with alfalfa.Exchange with a car worth up to $4,000 is also possible, at an additional cost on your part.For other details, you can call the indicated phone number.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17084991
For Residential Development,800 sq.m.,"17-րդ փողոց 1, Այնթափ","$25,000",USD,"A plot of land with an area of 800 square meters is for sale. With all the communal facilities, electricity, water, gas are near the land. Beautiful view to Mount Ararat. To build a very comfortable house.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17566147
Agricultural,"14,000 sq.m.",Ararat › Urtsadzor,"$21,000",USD,"Land for sale, with 400 apple trees, walnut trees, apricot trees, own electricity and a 9-meter caravan, marble table and chair with its cover, the area is fenced with barbed wire, there is no water problem.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18249847
For Residential Development,1100 sq.m.,"Mravyan Street, Artaxata (Artashat)","$40,000",USD,The area is located in front of 2 schools in ArtashatTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/17855272
For General Purpose,3100 sq.m.,Ararat › Ayntap,"$130,000",USD,The land is located near Artashat highwayTranslated from Armenian,Nov-25-2022_00-58,,https://list.am/en/item/15819746
For Residential Development,800 sq.m.,Ararat › Zorak,"3,500,000 ֏",AMD,"Former ANDRANIKAVAN, The plot of land is corner, all utilities (water, gas, sewage, electricity) are very close, for urgent sale.It is planned to build a residential house.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/17978950
Agricultural,5400 sq.m.,Ararat › Dalar,"$4,500",USD,"A privatized plot of land of 5400 square meters is for sale in Dalar, Artashati regionTranslated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18080827
For Residential Development,450 sq.m.,"15-րդ փողոց 17, Այնթապ","$15,000",USD,"The land is in Aintap, on the 13th street, it is a flat area, there are newly built houses in the neighborhood. It is possible to exchange for a car. URGENT.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/16464623
For Residential Development,300 sq.m.,"14-я улица 41/1, Айнтап","$17,000",USD,"It is suitable for building a house, close to the school and kindergarten.Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/18303243
Agricultural,"11,450 sq.m.",Ararat › Artashat,"$10,000",USD,"1,145 ha vineyard for sale.It is located near Mrgavan village of Artashati.Grape type: Rakatseteli (vertical)Translated from Armenian",Nov-25-2022_00-58,,https://list.am/en/item/14704398
