Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links
Functioning Business,Stone,1200 sq.m.,,,,,Lorri › Vanadzor,"$250,000",USD,"An existing business in Vanadzor is for sale. It is located at 7 Tashir highway, near Kamakatar church. Business includes: Car Drying Platform; 2 car washes; fast food restaurant; point of sale of cereals; oil station, playground: 3 Banquets for 10 seats. Permanent water is available in the area; three-phase current; sewerage; security system, 20 kW solar panels and 500l water heater are installed. The total area is 1200 square meters. It is a meter. There are permits for the construction of a hotel and a gas station.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16186896
Retail Space,Stone,87 sq.m.,,,,,"Улица Мясникяна 23, Ванадзор","$52,000",USD,Ceiling height 5.20Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/18278198
Retail Space,Stone,40 sq.m.,Not available,Not available,First Line,Separate from the Street,"Isahakyan 1st lane, Vanadzor","$22,000",USD,"For Sale Separately BuiltBuilding: 40 square meterswith all utilities.Suitable for any activity, SHOP, OFFICE, HAIRDRESSING, etc.It has a view and a bathroom. Is provided with hot and cold water.It is available for rent. I will exchange it for an apartment or my own house in Yerevan, with an additional fee from my side.5-storey building near Tarasion the 1st floor of a residential building2 bedroom apartment for saleEuro-renovated with all utilities. Than the marketat a low price.It is possible to mortgage the property with the bank.Space has a chanceto build a second floor.Has the opportunity to expand.Base 2.60 m,The ceiling height is 3.mHalf of the second floor is set.The second floor can servebusiness premises or own houseTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18207923
Functioning Business,Wooden,420 sq.m.,Available,Not available,Second Line,Common from the Street,"Կարեն Դեմիրճյան փողոց 25Ե, Վանաձոր","15,000,000 ֏",AMD,"A cafe is for sale at a price lower than the market price. It is located in the railway park, in the city center. It is a profitable business. Building type: Stone and wood. AreaFor sale with all property and professional equipment. The price is negotiable, call one of the real buyers, we will also listen to your suggestions in the form of exchange options.Owner: Tigran StepanyanTranslated from Armenian",Nov-24-2022_22-01,OUtdoor parking,https://list.am/en/item/17833881
Industrial and Manufacturing,Stone,840 sq.m.,,,,,"Egishe Charents street, Stepanavan","$105,000",USD,"Ընդհանուր տարածքը կազմում է 840 քմ: Շինությունը ունի ավտոտրանսպորտային բազայի գործառնական նշանակություն 240 քմ: Առկա է սանհանգույց 5 քմ, արհեստանոց՝ 520 քմ, էստակադա՝ 50 քմ: Պարիսպը 28 քմ:",Nov-24-2022_22-01,,https://list.am/en/item/14324535
Office Space,Stone,28 sq.m.,,,,,"Yerevan highway, Vanadzor","$25,000",USD,"Տարածքը գտնվում է կապի զորամասի դիմաց: Նախկինում եղել է 1 սենյականոց բնակարան, որը վերակառուցվել է` Մութքը շենքի արտաքին մասից բացված դռնով, որի տեղադրելու համար առկա է քաղաքապետարանի կողմից թույլտվություն: Տարածքը օգտագործվել է որպես ատամնաբուժական կլինիկա, հարմար է նաև այլ գործունեության համար:Yerevanyan 76 bn 1",Nov-24-2022_22-01,,https://list.am/en/item/12654660
Everything Else,Monolith,175 sq.m.,Not available,Not available,First Line,Common from the Street,"Tigran Mets Avenue 46, Vanadzor","300,000 ֏",AMD,Տրվում է վարձով։Կոմունալ բոլոր հարմարություններով։Քաղաքի ամենա կենտրոնում։,Nov-24-2022_22-01,,https://list.am/en/item/13160118
Multifunctional Space,Stone,315 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Tashir,"$125,000",USD,"Two-storey multifunctional property for sale at 209 Yerchanyan street, Tashir city, front lineTranslated from Armenian",Nov-24-2022_22-01,OUtdoor parking,https://list.am/en/item/17180196
Retail Space,Stone,1910 sq.m.,Not available,Not available,First Line,Separate from the Street,Lorri › Vanadzor,"$250,000",USD,"Վաճառվում է կոմերցիոն տարածք ք․ Վանաձոր Հալաբյան 1ա հասցեում։ Շինության մակերեսը՝ 1910 ք․մ։ Տարածքը լավ վիճակում է, առաջին գիծ ։ Մուտքի դուռը՝ եվրո, երկաթյա, պատուհանները՝ եվրո, հատակը՝ սալիկապատ, էլ․ լարերը և խողովակները՝ փոխված։ Ունի խոհանոց, սանհանգույց, ներկառուցված պահարան, մշտական ջուր և գազ։ Մուտքը՝ փողոցից։Վանաձոր Վանաձորում ՎանաձորիVanadzor Vanadzorum Vanadzori",Nov-24-2022_22-01,,https://list.am/en/item/14851470
Retail Space,Stone,167 sq.m.,Not available,Not available,First Line,Separate from the Street,"Sankt Peterburg street 6, Vanadzor","$30,000",USD,"Վաճառվում է 1 հարկանի տարածք ք․ Վանաձոր Սանկտ Պետերբուրգի փողոցում շինությունը 167 քմ․, հողը 181 քմ․։Տարածքը վերանորգված չէ, առաջին գիծ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո։",Nov-24-2022_22-01,,https://list.am/en/item/14642977
Retail Space,Stone,38 sq.m.,,,,,"Myasnikyan street, Vanadzor","$25,000",USD,"Commercial area for sale, euro repaired, gasified, suitable for business activitiesVanadzor Myasnikyan 18/44Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17123876
Retail Space,Stone,40 sq.m.,,,,,"Shinararneri street, Vanadzor","$35,000",USD,"Գործող բիզնես երկհարկանի, ունի ջեռուցում, սանհանգույց, լույս, ջուր, VTC հարևանությամբ",Nov-24-2022_22-01,,https://list.am/en/item/15581932
Agricultural Space,Stone,656 sq.m.,Not available,Not available,Second Line,Common from the Street,Lorri › Lernantsk,"10,352,000 ֏",AMD,"Գույքը հանդիսանում է Բանկի գրավ, որը գտնվում է ՍՆԱՆԿՈՒԹՅԱՆ աճուրդում:Լոռու մարզ, գ․ Լեռնանցք, 11 փ. , 2-րդ նրբ. , 1-ին փկղ. , 2/2 հասցեում գտնվող անշարժ գույք, շինությունը՝ 384քմ (օգտագործվում է որպես անասնագոմ), հողամասի մակերեսը՝ 1492քմ: Շինությունը մեկհարկանի, քարե, տանիքը` Շիֆեր, լուսամուտները` Փայտե, ներքին ընդհանուր վիճակը` Առանց հարդարման, ջեռուցումը` Հոսանքով: Առկա են դարպասներ, ենթակառուցվածքներ:Լոռու մարզ, գ․ Լեռնանցքում շինություն՝ 271․8քմ (օգտագործվում է որպես անասնագոմ), hողամասի մակերեսը՝ 500քմ: Շինությունը մեկհարկանի, երկաթբետոնե, տանիքը` Շիֆեր, մասամբ մետաղական, միջհարկային ծածկը` Փայտից, լուսամուտները` Փայտե միջսենյակային դռները` Մետաղական, ներքին ընդհանուր վիճակը` Առաստաղը, պատերը` Ներկված, առանց հարդարման, ջեռուցումը` Հոսանքով: Առկա են դարպասներ, ենթակառուցվածքներ։ Նշված երկու անշարժ գույքերը հարևան հողամասերի վրա հարակից շինություններ են։Ներկայացվող գույքը կարող եք ձեռք բերել նաև Բանկի կողմից վարկավորման միջոցով՝ տվյալ պահին գործող վարկավորման պայմաններով և սակագներով:! Ուշադրություն!Գույքը ծանրաբեռնված է փաստացի օգտագործողներով, որոնց վտարուման և պայմանագրից բխող բոլոր անհրաժեշտ ծախսերը և գործողությունները կատարվելու է աճուրդում հաղթող ճանաչված մասնակցի կողմից:",Nov-24-2022_22-01,,https://list.am/en/item/17744624
Retail Space,Stone,72 sq.m.,,,,,Lorri › Spitak,"$17,500",USD,Land category for public construction. The size is 500 m2. New Crossroads. Negotiable:Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/10903808
Multifunctional Space,Stone,33 sq.m.,Not available,Not available,First Line,Common from the Street,"Agayan street 81, Vanadzor","$18,000",USD,Urgent sale. Also exchange by you for an additional fee. BY BANKNewly renovated. It has the possibility to add 20-25 square meters.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/18318582
Industrial and Manufacturing,Stone,296 sq.m.,,,,,"Տպագրիչների փողոց 9, Վանաձոր","$42,000",USD,"Three-phase current, bathroom, constant water in the building in the closed area. There is an entrance gate and a door inside, high ceiling, partially two-story. It is possible to re-plan and turn it into a residential building.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16653521
Multifunctional Space,Stone,157 sq.m.,,,,,"Teryan stret 1, Vanadzor","$130,000",USD,"Помещение отремонтировано, проведена система отопления, в наличии трёх фазное электричество, есть система сигнализации и т. Д.Без посредникаՏարածքը վերանորոգված է, տեղադրված է ջեռուցման համակարգ, առկա է եռաֆազ հոսանք, առկա է ահազանգ և այլն։Առանց միջնորդի",Nov-24-2022_22-01,,https://list.am/en/item/17372702
Everything Else,Cassette,30 sq.m.,Available,Not available,Other,Separate from the Courtyard,Lorri › Stepanavan,"1,000 ֏",AMD,"A house is for sale, the price is negotiable, call for details, do not write a letter.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17854491
Retail Space,Stone,330 sq.m.,,,,,"Myasnikyan street 4, Vanadzor","$520,000",USD,"In the center of Vanadzor city (address: Myasnikyan 4/2) for sale (or for rent) is a newly built three-story building with all utilities, each floor is 100 square meters. There are several toilets, constant water, three-phase and single-phase electricity fed from various substations. There is an open balcony on the 2nd and 3rd floors.It also has a basement with an area of 35 square meters and 70 cm concrete walls. There is a 70 square meter area next to the building. There is a functioning shop on the first floor.The building is suitable for a bank, shopping malls, hotel, offices, fashion and beauty salons, as well as for residence.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18194690
Hotel,Stone,2200 sq.m.,,,,,"Սանկտ Պետերբուրգ փողոց 2, Վանաձոր","$250,000",USD,"For salenewly built, fully renovated hotel in Lori marz. Vanadzor, Saint-Petersburg 2 address. The cottage complex is located on the banks of the Tanzhut River, 1 km from the city center, with a total area of 2,200 square meters, it consists of six modern stone / tuff cottages with comfortable rooms, the total number of rooms is 7, each comfortable cottage is 80 square meters, designed for 4-5 for the soul, each room with its own bathroom and bathtub, bedroom-living room with soft furniture, provided with all utilities and WF. Each cottage has a barbecue area and parking space.The cottage complex has a RECEPTION, kitchen-dining room, equipped with furniture, refrigerator, electric stove, necessary dishes.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17433260
Automotive Service,Stone,150 sq.m.,Available,Not available,First Line,Common from the Street,Lorri › Stepanavan,"$65,000",USD,"The total area is 1000 square meters. The area is completely asphalted, there is a three-phase. Call for questionsTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17798913
Office Space,Stone,70 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Tigran Mets Avenue 24, Vanadzor","$120,000",USD,"Отличное расположение, 100м от Центральной площади города на проспекте Тиграна Меца, многолюдный перекрёсток, большое витражное окно, два входа, газ, вода, эл. -во. Многофункциональное помещение, очень удобно для любого офиса, IT, представительства, магазина и тд. , частично отремонтировано. Цена договорная. ВОЗМОЖНА АРЕНДА!",Nov-24-2022_22-01,,https://list.am/en/item/17673258
Retail Space,Monolith,72 sq.m.,,,,,"Բաղրամյան փողոց 36, Ստեփանավան","$130,000",USD,"Capital building, there is a bathroom, individual heating, cameras, working business. Opportunity on the 2nd floor. Details on the spot.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16713560
Industrial and Manufacturing,Panels,1800 sq.m.,,,,,Lorri › Vanadzor,"36,000,000 ֏",AMD,"For sale is a production space with its separate buildings: Workshops, administrative building. The common area is fenced, gasified, has all utilities.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/13259716
Retail Space,Stone,77 sq.m.,,,,,"Մանուշյան փողոց 2Ա/1, Վանաձոր","$15,000",USD,"The total area is 77 square meters, the building is 20 square meters, electricity is 3 phases, permission to increase the second floor and the building, details by calling, call waths app, if you want 10.2-7.5m area, call whotsappTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18151760
Multifunctional Space,Stone,260 sq.m.,,,,,Lorri › Vanadzor,"55,000,000 ֏",AMD,"Business space, 2 shops, different entrances, 2 floors, has a large storage room, 3 car garage, it is also possible to buy half of it, it has a great possibility of expansion... All utilities are available... Do not call without contactingTranslated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18167427
Everything Else,Stone,,,,,,Lorri › Vanadzor,"$52,000",USD,"Շինությունը կարող է ծառայել, որպես ճաշարան կամ արագ սննդի կետ, կա բոլոր հարամարությունները: Օբյեկտը գտնվում է ք. Վանաձորում, անմիջապես ՄՌՈՒՅԻ դիմաց:Գինը սակարկելի: Մանրամասների համար կարող եք զանգահարել:",Nov-24-2022_22-01,,https://list.am/en/item/15352322
Multifunctional Space,Monolith,160 sq.m.,,,,,"Շահումյան փողոց 5, Սպիտակ","$35,000",USD,"The area is capitally renovated: The building area is 42 square meters, the land area is 80 square meters. Entrance door, windows are euro, floor is tiled. Has a basement floor of 80 square meters, high. 3.30 m. , permanent water, gas, three-phase electricity... Total area 160 sq. M.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16539896
Functioning Business,Stone,100 sq.m.,Available,Not available,Second Line,Separate from the Street,"Улица Карена Демирчяна 25Е, Ванадзор","$120,000",USD,"A cafe located in the park after Hrant Matosyan in Vanadzor is for sale or rent, it has a winter hall-kitchen inside the stone building, the total area is 100 square meters. Մ. , there are summer pavilions outside, the total area is 1000 sq. M. Մ. , the cafe is located next to a military hospital, customs house and bus station.Call Viber number.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16060330
Retail Space,Stone,48 sq.m.,Not available,Not available,Other,Separate from the Street,Lorri › Stepanavan,"$20,000",USD,"Commercial area for sale or rent in c. Stepanavan, at 84/1 Armenian-Georgian address. Suitable for any type of activity.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/13721073
Hotel,Monolith,1500 sq.m.,,,,,Lorri › Vanadzor,"$240,000",USD,Two buildings are colliding. 1500000 AMD is also for rentTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/17514419
Restaurant,Stone,300 sq.m.,,,,,"Baghramyan avenue, Vanadzor","$50,000",USD,"Վաճառվում է Վանաձոր- Երևան միջպետական Մ3 ճանապարհի 1-ին գծի վրա, գործող ռեստորան: Տարածքի ընդհանուր մակերեսը կազմում է 300 քմ,: Շինությունների տարածքը կազմում է 130 քմ, որի մեջ մտնում են փակ առանձնասենյակներ՝ նախատեսված 6 -50 անձի համար: Տարածքն ունի ավտոկայանատեղ: Ավտոկայանատեղի սկզբնամասում, մայրուղուն մոտ կա արագ սննդի սպասարկման կետ: Ռեստորանը վաճառվում է գույքի և տեխնիկայի հետ միասին:!",Nov-24-2022_22-01,,https://list.am/en/item/14864056
Functioning Business,Stone,24 sq.m.,,,,,"Tigran Mets Avenue 29, Vanadzor","$25,000",USD,"Area for sale, first line, Tigran Metsi Avenue 29/1, next to the 3rd school, renovated, two rooms, total area 24 sq. M., with a bathroom, there is a second floor as a storage room. It is suitable for any field of activity. For sale in order to move to another city. Or it is rented for 80,000 AMD.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/17969723
Restaurant,Stone,5000 sq.m.,,,,,Lorri › Alaverdi,"$300,000",USD,"Restaurant complex and hotel rooms, detailed telephone!Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/16503978
Multifunctional Space,Wooden,500 sq.m.,,,,,"Verin Antarayin street, Yerevan","$30,000",USD,"The house is a country house, also suitable for a guest house.Translated from Armenian",Nov-24-2022_22-01,,https://list.am/en/item/18171884
Restaurant,Monolith,150 sq.m.,,,,,Lorri › Vanadzor,"40,000,000 ֏",AMD,"Продаётся недвижемость с прилегающей территорией. Обшй кв. М 3000 в том числе здание 150 кв. М. Электофицирован, постоянная вода, канализация и газ.",Nov-24-2022_22-01,,https://list.am/en/item/17762654
Retail Space,Stone,83 sq.m.,Not available,Not available,First Line,Separate from the Street,"Գրիգոր Լուսավորչի փողոց 54/1Գ, Վանաձոր","$120,000",USD,Also available for rent. Call in case of questions. The area is located near the clothing market... Luys. Gas. WaterTranslated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/18350740
Everything Else,Stone,105 sq.m.,,,,,Lorri › Stepanavan,"$15,000",USD,Stone construction with all utilities.Translated from Armenian,Nov-24-2022_22-01,,https://list.am/en/item/17669162
Retail Space,Monolith,350 sq.m.,Not available,Available,First Line,Separate from the Street,"Tigran Mets Avenue, Vanadzor",$700,USD,Commercial area is suitable for organizing food and tradeTranslated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/15690021
Functioning Business,Stone,5000 sq.m.,By agreement,Not available,First Line,Separate from the Street,Lorri › Spitak,"420,000,000 ֏",AMD,"GAS STATION. Complex fuel filling station. It is located on the Vanadzor-Gyumri highway. The gas station is fed by a high-pressure pipeline, there are liquid gas, gasoline and diesel fuel filling points in the area, wash yourself. The complex has a grocery store, commercial spaces, and a solar power station.GAZ:Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/18319162
Retail Space,Stone,51 sq.m.,,,,,"Cherkasy street 7, Vanadzor","5,000,000 ֏",AMD,"Shop for sale, c. Vanadzor, Cherkas 7 building, 4 address. The area of the shop is 51.46 square meters.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/17673600
Retail Space,Stone,95 sq.m.,,,,,"Տավրոսի 21-րդ փողոց 10, Վանաձոր","15,000,000 ֏",AMD,Public real estate for sale. The area of the economic building is 95.3 square meters.Translated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/17673596
Everything Else,Panels,3000 sq.m.,,,,,Lorri › Spitak,"$60,000",USD,"Վաճառվում է կիսակառույց շինություն։Հարմար է անասնապահության համար։Շրջակայքում գոյություն ունեն արոտավայրեր։Բետոնե կոնստրուկցիա, չափսերը ՝81×18,5։Գինը պայմանական, մատչելի։Հարևանությամբ կա անասնագոմ, որը տրվում է վարձով։Անասնագոմի մի մասը օգտագործվում է անասնապահության համար, մյուս մասը տրվում է վարձով (վերջին 3 նկարները) ։Գինը պայմանական։",Nov-24-2022_22-02,,https://list.am/en/item/11208443
Retail Space,Stone,45 sq.m.,,,,,Lorri › Spitak,"$15,000",USD,"The area is privatized 150 m/sq. , it functioned as a snack bar, the building is 45 m/sq. M. It has 3 pavilions in the forest.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/18102521
Industrial and Manufacturing,Monolith,1770 sq.m.,Not available,Not available,First Line,Separate from the Street,"Dprotsi street, Vanadzor","190,000,000 ֏",AMD,"The building is located in the center of Vanadzor, at 20-1 School street, Vanadzor city, next to the city park.The building has 3 floors, a total of about 1800 m-2. In addition, there is also about 1000 m-2 of land available/parking lot/.The building's roof tiles are brand new. The area is located in the center of Vanadzor. It is also possible to rent.Translated from Armenian",Nov-24-2022_22-02,OUtdoor parking,https://list.am/en/item/18083018
Retail Space,Stone,80 sq.m.,,,,,"Narekaci street 47, Vanadzor","21,000,000 ֏",AMD,Находится в государственном улице. Имеет ремонт. Есть туалет и кухня. Место для бизнеса.Translated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/18256317
Hotel,Stone,2230 sq.m.,,,,,Lorri › Alaverdi,"$250,000",USD,"Urgently for sale, located in the center of Sanahin Sarahart district, partially renovated 2nd, 3rd, 5th floors are not included, bargaining is possibleTranslated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/17276989
Everything Else,Stone,98 sq.m.,,,,,Lorri › Stepanavan,"$15,000",USD,"Business premises on Lori Berdi road. It is equipped with a bathroom. The total area is 98 square meters, the square meter of the central street is 23 m.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/18108344
Everything Else,Bricks,20 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Lorri › Spitak,"$2,500",USD,Call for detailsTranslated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/15648108
Functioning Business,Stone,360 sq.m.,,,,,"Nersisyan district 13, Vanadzor","$160,000",USD,"An operating business (dental clinic) is for sale.The dental clinic is furnishedwith dental equipment բոլոր with all the necessary equipment. It is provided with constant hot and cold water. There is also a technical laboratory inside.The total number of rooms is 11 and 2 bathrooms, 1 therapeutic room with 2 sets, 1 orthopedic room, 1 children's room, X-ray room, doctors' room, sterilization room, laboratory part-kitchen. There are 3 rooms in the area that are not used and need renovation.The clinic also serves beneficiaries, pensioners, people with social packages, and a state order has been placed.Price is negotiable.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/17948807
Functioning Business,Cassette,9 sq.m.,,,,,Lorri › Vanadzor,"1,150,000 ֏",AMD,"A thermally insulated booth is for sale, along with all its equipment: Grinder racks, grinderSyrian production - 220 volts, I am also considering the option of exchanging with a car, the price is 1 million 150 thousand dramsTranslated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/17707946
Functioning Business,Stone,240 sq.m.,,,,,"Baghramyan Str, Stepanavan","25,000,000 ֏",AMD,"СРОЧНО! В центре города, в Степанавани, по адресу Бахрамян 27, продаю коммерческое недвижимость, магазины с домом, зимельный участок, рялному покупателя не большой Торг имеется... Также можно оформить ипотеку! Магазины в данном время задаются и несут прибыль, Проста так не звание сохраняйте моё и ваше время спасибо зо понимание... Подробно по телефону... ЦЕНА ОКОНЧАТЕЛЬНО. Это цена до конца месяца",Nov-24-2022_22-02,,https://list.am/en/item/13106189
Retail Space,Stone,240 sq.m.,,,,,"Baghramyan Str, Stepanavan","25,000,000 ֏",AMD,"СРОЧНО! Г. Степанаван! Улица Бахрамян 27 продаю дом и магазины, могазины в данном время ЗДАЮИ приносят прибыли! Также можно оформить в ипотеку! Рялному покупателя ест не большой Торг, подробно по телефону... ЦЕНА ОКОНЧАТЕЛЬНО. Это цена до конца месяца",Nov-24-2022_22-02,,https://list.am/en/item/13234266
Functioning Business,Stone,1000 sq.m.,,,,,Lorri › Alaverdi,"$25,000",USD,Privatized. Exchange with 2-3 equivalent cars. The price is negotiable. It is suitable for building a guest house.Translated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/12364800
Industrial and Manufacturing,Cassette,4000 sq.m.,By agreement,Not available,First Line,Common from the Street,Lorri › Alaverdi,"$110,000",USD,Վաճառվում կամ վարձով է տրվում քարի վերամշակման արտադրամաս բոլոր անհրաժեշտ հաստոցներով և գործիքներով մանրամասների համար զանգահարեք նշված հեռախոսահամարով,Nov-24-2022_22-02,,https://list.am/en/item/15945746
Hotel,Stone,1600 sq.m.,,,,,Lorri › Alaverdi,"110,000,000 ֏",AMD,"A three-story hotel is for sale in Lori, Alaverdi. The building is completely made of stone /tuff/, the ceiling height is 3 and more meters. The hotel is located in the unworldly nature of Lori, on the banks of the Debed River. The total area of the building is 700 square meters. M. , adjacent land area: 1600 sq. M.: Gasified, electrified, including three-phase current, permanent water. It is currently operated as a hotel, if desired, for an additional fee, the entire property can be sold.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/18285063
Industrial and Manufacturing,Panels,720 sq.m.,,,,,Lorri › Vanadzor,"$100,000",USD,"An area of industrial significance is for sale in Shahumyan village. The area is fenced, metal gate land area 4500 sq / m building two-storey each floor 12 * 30 m total 720 sq / mTranslated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/15706202
Retail Space,Stone,70 sq.m.,,,,,Lorri › Vanadzor,"$60,000",USD,Shop for sale at 5 Tumanyan StreetTranslated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/16841327
Industrial and Manufacturing,Stone,660 sq.m.,,,,,Lorri › Hobardzi,"$44,999",USD,"It is located in the center of OPARDZI village, 5 km away from Dendropar. It is also provided with three-phase electricity. Ceramic tiles were installed on the first and second floors - the walls of the first and second floors. 1 Meter Tiles - Plumbing - Electric - Toilet rooms - 2 inside - 1 street - it was built for fruit juice production - it has a large dryer for fruitsContract Lease:Messenger-vilik Mirzoyan:vilikm455@gmail.com- OPARDZI -HAMO:Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/16777872
Restaurant,Stone,2300 sq.m.,,,,,Lorri › Stepanavan,"$50,000",USD,"""Dzoraget"" restaurant located on the first km of Stepanavan-Tashir highway is for sale. The restaurant includes a hall for 100 people, 3 separate cabins, a spacious kitchen with the necessary furniture, a tiled bathroom. There is a separate pavilion in the yard with its open-air balcony. There is a caravan that serves as a warehouse. The area of the restaurant includes a privatized area of 2000 square meters with fruit trees. The restaurant has three-phase electricity, natural gas, permanent water. There is also a half-built summer kitchen in the yard (building materials are available to achieve the final result)Sale price: 50․000 USDCode: AH-K18Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/17833893
,Stone,87 sq.m.,,,,,Lorri › Vanadzor,"$25,000",USD,"Գտնվում է Վանաձոր Թումանյան 11 հասցեում (18 պոդյեզդանոց, նախկին ավտոդպրոցի տարածք) կիսանկուղային տարածք է 87 քմ մակերեսով:",Nov-24-2022_22-02,,https://list.am/en/item/12042577
Retail Space,Stone,90 sq.m.,Not available,Not available,First Line,Common from the Street,"Viktor Hambartsumyan street 9, Vanadzor","$22,000",USD,"Currently rented, negotiableTranslated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/18008461
Functioning Business,Stone,500 sq.m.,,,,,Lorri › Vardablur,"7,000,000 ֏",AMD,"Flour mill for sale. 2 types of flour and sawdust... There is a mill with a three-phase grass grinder. And the flour mill 750,000 d salts 350 kg in 1 hour, exchanges it with a carTranslated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/16614632
Everything Else,Stone,60 sq.m.,,,,,Lorri › Alaverdi,"$6,500",USD,Sanahin / Plateau 3/1Translated from Armenian,Nov-24-2022_22-02,,https://list.am/en/item/16142330
Retail Space,Stone,11 sq.m.,,,,,"Alek Manoukyan street, Spitak","$2,100",USD,"Stone basement for sale (basement) Q. In Spitak, in Torosyan 10 building, it is in a very good position, it is not wet at all, no pipes pass through it.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/15694107
Functioning Business,Stone,70 sq.m.,By agreement,Not available,First Line,Separate from the Street,Lorri › Tashir,"$50,000",USD,"Վաճառվում է կոմերցիոն անշարժ գույք։ Խանութ և Գեղեցկության սրահ (գործող) Գտնվում է քաղաքի Տաշիր քաղաքի կենտրոնում. Գլխավոր փողոցում։ (1 գիծ) : Եվրո պատուհան. Գազ, ջուր, կենտրոնական կոյուղի. Իրական գնորդի դեպքում գինը սակարկելի է.Продается коммерческая недвижимость. Магазин и Салон красоты (действующие) Находится в самом центре города Ташир на главной улице города. (1 линия) Евроремонт пластиковые окна. Газ, вода, центральная канализация. Реальным покупателям торг.",Nov-24-2022_22-02,,https://list.am/en/item/16016658
Automotive Service,Stone,500 sq.m.,,,,,Lorri › Stepanavan,"$29,000",USD,"Georgian-Armenian 21/1 first line. The land area is 500 m, the building is 114 m. It can also be used for other commercial purposes.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/15574422
Retail Space,Panels,90 sq.m.,,,,,Lorri › Alaverdi,"$8,000",USD,"Commercial area for sale in Alaverdi. Located in Baghramyan, suitable for various purposes.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/16647199
Retail Space,Cassette,18 sq.m.,,,,,Lorri › Vanadzor,"850,000 ֏",AMD,Торговый павильон. Металлический каркас.,Nov-24-2022_22-02,,https://list.am/en/item/18319946
Retail Space,Stone,70 sq.m.,,,,,"Տիգրան Մեծ պողոտա 26, Վանաձոր","$85,000",USD,"Commercial area for sale on Tigran Mets Avenue. The shop is provided with water, electricity and gas. The area is in a very good position, suitable for any commercial activity.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/15944530
Retail Space,Stone,808 sq.m.,Not available,Not available,First Line,Separate from the Street,"Տիգրան Մեծ պողոտա 28, Վանաձոր","$650,000",USD,"Commercial area for sale on Tigran Mets Avenue. The area of the land is 840 square meters, the building is 773 square meters. The building has 3 floors.Only the area of the 1st floor is 242 square meters.There is also an auxiliary building with an area of 35 square meters. The area is in a very good position, suitable for any commercial activity.Translated from Armenian",Nov-24-2022_22-02,,https://list.am/en/item/15943828
