Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Window Views,Address,Price,Currency,Description,Datetime,Type,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Links
Stone,No,Not available,5,,,78 sq.m.,3,1,from 3 m,5.0,Multiple balconies,,Cosmetic Renovation,,"Ankakhutyan Street, Ijevan","18,000,000 ֏",AMD,For sale very urgently‼️‼️NOT FOR RENT‼️‼️ Also exchange with 1 or 2 rooms for an additional fee. Will also sell with furniture and appliances.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17991732
Stone,No,Not available,5,,,94 sq.m.,4,1,from 2.8 m,3.0,Closed balcony,Available,Partial Renovation,,Tavush › Berd,"13,900,000 ֏",AMD,"4-room apartment for sale in Berd City, at 12 Mashtots Ave. , the total area of the apartment is 94 square meters, it has open-closed balconies, the closed one of which can be used as a bedroom. It is possible to add an apartment with 1 room. The apartment is in good condition. For sale with almost all the property. Call for more details.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16759068
Stone,No,Not available,5,,,56 sq.m.,3,1,from 2.8 m,2.0,Open balcony,,Cosmetic Renovation,,"Erevanyan street 10, Ijevan","$10,000",USD,"It is located in Kayanavan, Aygehovit village of Ijevan. Good condition, it also has a large garage next to the sunny building. The price is negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17614164
Stone,No,Not available,5,,,77 sq.m.,3,1,from 3 m,5.0,Open balcony,,Euro Renovation,,"Ankakhutyan Street, Ijevan","$49,000",USD,"An apartment is for sale at 8/48 Azatamartiki Street, Ijevan, next to the 5th school, next to the Tashir Kindergarten. The house has been renovated, the floors are tiled and laminated, the interior doors are wooden, the windows are Euro-made, the heating system is Baksi, there is a structure serving as a basement next to the house, and there is also a garage with its facilities. For more information call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18062820
Bricks,No,Not available,2,,,120 sq.m.,5,1,from 2.75 m,2.0,Closed balcony,Available,Old Renovation,,Tavush › Berd,"$5,500",USD,It is located in the upper red village. It is negotiable to exchange it with a carTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17839750
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,4.0,Closed balcony,By agreement,Major Renovation,,"Գայի փողոց 76, Դիլիջան","14,000,000 ֏",AMD,"A renovated, sunny, bright, dry apartment with 2 rooms turned into 3 is for sale in a beautiful place of Dilijan, right next to Yeghevniner street. The apartment is big and spacious, with a high ceiling. A beautiful view opens from the window. There is a kindergarten, shops, entertainment places, school, bakery, bus stop in the immediate vicinity. The apartment is equipped with all utilities, property, equipment. It has a basement on the 1st floor, and a spacious storage room in the porch. For sale with property and large equipment. The price is AMD 15,000,000. It is also possible to sell without property, in which case the price is AMD 14,000,000. Only real and cash buyers should write and call. All conditions are presented, the apartment is as it is in the pictures. In the case of a real buyer, the price will be negotiated.Please consider that the price of the dollar is very low now. The apartment is sold in drams, do not make comparisons with dollars.Partial repayment of the amount is possible within the agreed period (with a notary)Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16863305
Stone,No,Not available,4,,,36 sq.m.,2,1,from 2.5 m,4.0,Not available,,Cosmetic Renovation,,Tavush › Berd,"$22,000",USD,"It is in good condition, the windows are euro (to be replaced), the entrance door has been changed, hot and cold water, gas is drawn, on Mashtots street 22/13 at the intersection of the hospital, also exchange with a 3 / 4 room apartment in Berd for an additional fee from us.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18266060
Stone,No,Not available,5,,,45 sq.m.,1,1,from 2.7 m,1.0,Not available,,No Renovation,,Tavush › Azatamut,"$5,000",USD,Urgent 15 buildings for saleTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17712427
Panels,Yes,Not available,5,,,80 sq.m.,3,1,from 2.8 m,2.0,Closed balcony,Available,Designer Renovation,,Tavush › Ijevan,"$65,000",USD,"3-room apartment is for sale in the most central part of Ijևn, capitally renovated, two bedrooms, one spacious living room, to which is added a closed balcony, the kitchen is also added, and spacious, the apartment is fully furnished with household appliances, the front door is metallic, the yard is installed, hot and cold water is available 24 hours a day, the house is located in a very busy area, on the ground floor of the mentioned apartment there is a SUPERMARKET, PHARMACY, խանութ shops of different nature, there is a school, college, kindergarten, sports school, art school, hairdressing salon, dental clinic, bank, medical center, two different parks, cafe, restaurant, hotels, round-the-clock bakery, construction materials and household store, for questions you can call the number, the price is not negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16818199
Panels,No,Not available,3,,,39 sq.m.,2,1,from 2.7 m,1.0,Open balcony,Not available,Euro Renovation,,Tavush › Dilijan,"$19,000",USD,"An apartment is for sale in Dilijan.1 room converted into two, 36.2 square meters, 1 floor 1/3The apartment is renovated in Euro, the windows are Euro, the floor is laminated.The corridor is tiled.The price is $19,000Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18309846
Monolith,No,Not available,1,,,77 sq.m.,3,1,from 2.8 m,1.0,Not available,,Cosmetic Renovation,,"Շամախյան փողոց 1Ա, Դիլիջան","$30,000",USD,"The apartment has 77 sq. M. Մ. Area. It is located around the districts of Dilijan. For details, please call.You can call the same numberTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17751803
Panels,No,Available,9,,,72 sq.m.,4,1,from 2.8 m,9.0,Closed balcony,Available,Euro Renovation,"YArd view, street view, city view",Tavush › Ijevan,"$35,000",USD,"Three (converted four-room) apartments for sale in a high-rise building on Bbulyan St. The floors of the kitchen and hallwayare tiled, the bathroom is tiled with European-made tiles, the entrance door is iron, the interior doors are made of wood, the windows are European-made, the roof is completely renovated, there is gas, water, electricity, there is a water tank with a capacity of 500 liters, the floor of the living room is parquet, the bedrooms the floor is laminate, all electric wires and water pipes have been completely changed. The bus stop is very close, shops, kindergarten, school are nearby. For sale with all property 16000000 without property 13000000Translated from Armenian",Nov-25-2022_14-07,,,,,,,,"FRidge, stove, washing machine",https://list.am/en/item/17054905
Stone,No,Not available,5,,,120 sq.m.,5,1,from 2.7 m,1.0,Not available,,Euro Renovation,,"Ankakhutyan Street, Ijevan","40,000,000 ֏",AMD,Iron European windowsConditioner. BucksTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18249766
Stone,,,5,,,65 sq.m.,2,,,5.0,,,,,"Barekamutian street, Noyemberyan","$10,000",USD,"Շտապ վաճառվում է 2 սենյականոց բնակարան Այրում քաղաքի կենտրոնում, նոռմալ վերանորոգված, ունի բալկոն 6 ք/մ։",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/15053734
Stone,No,Not available,5,,,200 sq.m.,6,3+,from 2.7 m,2.0,Open balcony,,Euro Renovation,,"Getapnya Street, Dilijan","$220,000",USD,"DilijanApartment for sale in the center of Dilijan.Address: Getapnya 68 (2 floors)The total area is 200 m2 (3 apartments connected together)4 rooms with their own bathrooms, a large balcony with their own fireplace. Renovated and furnished.For sale with furniture.Square meter: $1100For more details, call the given number.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/13881610
Panels,No,Not available,3,,,80 sq.m.,3,1,from 2.7 m,1.0,Open balcony,,Old Renovation,,Tavush › Dilijan,"$27,000",USD,"(Code 10/ 018) 3-room apartment for sale in Dilijan city, the area is 80.1 sq/m, it has an open balcony, it is gasified, it has water, electricity, the windows in the living room and kitchen are of European manufacture, and the other windows are of Moscow manufacture. The price is 27,000 USD. The apartment is also exchanged for a car worth up to $4,000 along with your down payment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. For those who do not understand, we repeat once again, no address is provided by phone.Code 10-018Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18275305
Stone,No,Not available,5,,,71 sq.m.,2,2,from 2.8 m,5.0,Closed balcony,Available,Major Renovation,,Tavush › Dilijan,"17,000,000 ֏",AMD,"(Code 10/012) A 2-room apartment is for sale in Dilijan, the area is 71.4 sq/m, it has a closed balcony, part of which is connected to the kitchen, and the other part has been transformed into a bedroom, it is gasified, it has water, electricity, the windows are of European production, the entrance door is wooden, the floor is laminate and tiled, it has a heating system - Bugsi. The apartment is fully renovated and is sold with kitchen and living room furniture, the price is AMD 14,000,000. The apartment is also sold together with the entire property, the price is AMD 15,500,000. Call at least 1 day in advance to view the apartment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18020458
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.6 m,5.0,Open balcony,,Cosmetic Renovation,,"Kamo Street, Dilijan","$30,000",USD,"An apartment for sale in Dilijan, 3-4 furnished rooms, on Kamoi street, renovated, ready for living, no taxi, water pipes, electric wires have been changed, roof newly repaired, call for details. Whatsapp for picturesTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17476803
Stone,No,Not available,5,,,63 sq.m.,2,1,from 2.8 m,2.0,Multiple balconies,Available,Old Renovation,,"Մեսրոպ Մաշտոցի փողոց 84Ա, Բերդ","$31,000",USD,"2-room apartment with furniture, spacious garage, located near the entrance of the building, for sale. There is a dry and spacious basement.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16566171
Panels,No,Available,9,,,70 sq.m.,2,1,from 2.7 m,8.0,Closed balcony,,Old Renovation,,"Մետաղագործների փողոց 2/2, Իջևան","$25,000",USD,"A comfortable two-room apartment is for sale on Methalvostneri Street, Ijevan. It is located on the 8th floor of a 9-story panel building and the total area is 70 square meters. M.: The old renovation has been done, the ceiling height is 2.7 m. There is gas, water, electricity. The floor of the apartment is parquet. The elevator is working.Only real buyers should call.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18251330
Stone,Yes,Available,5,PLayground,COvered parking,100 sq.m.,3,2,from 2.75 m,4.0,Open balcony,By agreement,Euro Renovation,YArd view,Tavush › Dilijan,"$150,000",USD,"It is on the 5th/4th floor of a newly built building, it has an open balcony, internet, playground, the building is guarded by cameras, a garage.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,"STove, washing machine",https://list.am/en/item/18213996
Stone,No,Not available,2,,,65 sq.m.,3,1,from 3 m,2.0,Open balcony,Available,Old Renovation,,"Հայկ Նահապետի փողոց 12, Բերդ","$26,000",USD,It has a basement of 20 sq. M.Negotiable!Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16714940
Stone,No,Not available,5,,,80 sq.m.,3,1,from 3 m,5.0,Open balcony,By agreement,Old Renovation,,Tavush › Ijevan,"$45,000",USD,An apartment is for sale on Azatamartikneri street (in the center) of Ijjan city. The apartment is for sale with property. The building has all the communal facilities. Most of the windows are of European production. It also has a pantry. Only real buyers should call.Price is negotiable.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17664600
Stone,No,Not available,5,,,51 sq.m.,2,1,from 2.7 m,3.0,Open balcony,,Major Renovation,,Tavush › Dilijan,"21,500,000 ֏",AMD,"(Code 10/1) A 2-room apartment is for sale in the center of Dilijan, on Getapnya Street, the area is 51.2 sq/m, it has an open balcony with a view of the beautiful nature and the river, it is gasified, it has water, electricity, the windows are of European manufacture, the entrance door is iron, the floor is tiled, it has a heating system - Bugsi. The apartment is fully renovated (renovated in 2021), already rented for AMD 100,000 per month and sold together with the property, the price is AMD 21,500,000. Call at least 1 day in advance to view the apartment. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. We repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17988732
Stone,No,Not available,5,,,85 sq.m.,4,1,from 2.7 m,3.0,Closed balcony,,Partial Renovation,,Tavush › Ijevan,"25,000,000 ֏",AMD,"(Code 01/007) 4-room apartment for sale in the center of Ijevan, the area is 85.8 sq/m, it has a closed balcony, an open balcony, it is gas-fired, it has water, electricity, a stone garage (without a certificate), a basement, the windows are Moskovian are made, the floor is parquet, the price is AMD 25,000,000 along with the garage. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with the real estate agency. Don't write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address over the phone. We hope you will be understanding. Citizens who speak in munat or do not answer calls, do not call, we do not work with you. I repeat once again, no address is provided over the phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17444041
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.5 m,2.0,Open balcony,,Cosmetic Renovation,,"Անկախության փողոց 22, Իջևան","$18,500",USD,"Urgent apartment for sale in Azatamut, on the 2nd floor of the 9th building, in normal condition, the bathroom and the kitchen is ideal. It also has a garage. 12 km away from Azatamut village.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/11043430
Stone,No,Not available,5,,,78 sq.m.,3,1,from 3.5 m,5.0,Open balcony,Available,Cosmetic Renovation,,"Գայի փողոց 76, Դիլիջան","26,000 ֏",AMD,"3 rooms cosmetic renovation, good conditionTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/11811713
Stone,No,Not available,2,,,61 sq.m.,2,1,from 2.7 m,1.0,Closed balcony,Not available,No Renovation,,Tavush › Noyemberyan,"$7,500",USD,"Գտնում է Տավուշի մարզի, Բագրատաշեն գյուղում, Բագրատաշեն անցակերից 1 կմ հեռավորության վրա: Վաճառվում է նաև դիմացը գտնվող սեփական տունը, 240 քմ 11500 USD",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/14159034
Stone,No,Not available,5,,,80 sq.m.,4,1,from 2.75 m,4.0,Open balcony,,Partial Renovation,,"Արցախյան փողոց 114, Իջևան","12,000,000 ֏",AMD,Apartment for sale in IjjanTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16610201
Stone,No,Not available,5,,,60 sq.m.,3,1,from 2.8 m,1.0,Not available,,Euro Renovation,,Tavush › Ijevan,"$30,000",USD,"(Code 02/2) 3-room apartment is for sale in Ijjan city, the area is 60 sq. M., it is gasified, has water, electricity, heating system, bugs, the windows are of European production, the entrance door is iron, and the floor of the living room and bathroom is heated is priced at $ 30,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who speak in unison or do not answer calls do not call, we do not work with you. I repeat once, no address is provided by phone.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17326139
Stone,No,Not available,5,,,76 sq.m.,3,1,from 2.75 m,1.0,Closed balcony,Not available,No Renovation,,"Գայի փողոց 76, Դիլիջան","$24,000",USD,"Apartment for sale in In Dilijan, it is located in a very convenient position, it has a garage, 1st floor 3 m above the ground.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17428921
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.7 m,4,Closed balcony,,Cosmetic Renovation,,"Getapnya street, Dilijan station","$33,000",USD,"The apartment is in a very good condition, the price is negotiableTranslated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18417034
Stone,No,Not available,5,,,53 sq.m.,2,1,from 2.6 m,1,Open balcony,Available,Designer Renovation,"Street view, park view","Ստեփան Շահումյանի փողոց, Դիլիջան","$40,000",USD,"A fully renovated and uninhabited first-line apartment is for sale in Dilijan, in the Jarhogher district (spruce grove) The apartment is located on the main street of the fir trees, on the first floor of a stone building, with a separate entrance. The apartment is renovated in the latest designer style.It has a wide open balcony, a beautiful view, constant hot and cold water supply. The windows and doors are of European production, the entrance door is iron, the electrical wiringand water pipes replaced. For more information callto the specified phone number.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18566258
Stone,No,Not available,4,Playground,Outdoor parking,64 sq.m.,3,2,from 2.7 m,1,Open balcony,Partial Furniture,Major Renovation,"Yard view, park view","Գայի փողոց 35, Դիլիջան","$50,000",USD,"Dilijan Waterlands district, Gai street, stone buildinghigh ground floor - with separate entrance, open balcony,2 bedrooms, constant hot and cold water supply,gasified, individual heating system (baxi),electrical wiring and water pipes replaced, windowsand doors of European manufacture, for detailscall the specified number.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,"Fridge, washing machine",https://list.am/en/item/18690050
Stone,No,Not available,5,,,68 sq.m.,3,1,from 2.5 m,3,Closed balcony,Not available,Partial Renovation,,"Улица Гая 33, Дилижан","$31,000",USD,"Gai 31/36, sunny apartment; with a beautiful view, in need of repair, call for other details.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18554619
Panels,No,Available,9,,,80 sq.m.,3,2,from 2.8 m,6,Closed balcony,,Partial Renovation,,Tavush › Dilijan,"$27,500",USD,"The apartment is located in a very beautiful place, school and kindergarten are very close. City transport is available. There is gas in the house.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18537077
Stone,No,Not available,5,Playground,Outdoor parking,83 sq.m.,3,1,from 2.75 m,1,Closed balcony,Not available,Old Renovation,,"Getapnya street, Dilijan station","$70,000",USD,"An apartment is for sale in the city of Dilijan on Getapnya street (next to the international school)For details, call the indicated phone number.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18598930
Stone,No,Not available,5,,,67 sq.m.,3,1,from 2.8 m,3,Open balcony,Available,Cosmetic Renovation,,Tavush › Ijevan,"15,500,000 ֏",AMD,"Blbulyan Street, near the kindergarten and school. There is also a garage. It is a sunny apartment with all utilities. For details, call the indicated phone number.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18414786
Monolith,No,Not available,3,,,46 sq.m.,1,1,from 2.8 m,3,Open balcony,Available,Major Renovation,City view,"Moldovakan street, Dilijan station","$45,000",USD,"1-room apartment for sale in Dilijan, Shamakhyan district. Capital Eurorenovated. Sold with property and appliances.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,"Fridge, stove, washing machine",https://list.am/en/item/18713298
Stone,No,Not available,5,,,70 sq.m.,2,1,from 2.8 m,4,Open balcony,,Cosmetic Renovation,,"Մեսրոպ Մաշտոցի փողոց 21, Բերդ","$26,000",USD,"Located in the busiest part of Berd, for sale with all the property and garageTranslated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/17928357
Stone,No,Not available,5,Playground,Outdoor parking,60 sq.m.,2,1,from 3 m,2,Open balcony,Not available,Old Renovation,Yard view,Tavush › Dilijan,"$30,000",USD,Дом харошем састаяним ест подвал,Dec-15-2022_22-58,,,,,,,,Fridge,https://list.am/en/item/18660593
Panels,No,Available,9,,,70 sq.m.,4,1,from 2.7 m,9,Closed balcony,,Major Renovation,,"Shamakhyan Street, Dilijan station","$80,000",USD,Uninhabited.For more information call.Translated from Armenian,Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18520610
Panels,No,Not available,5,,,53 sq.m.,3,2,from 2.7 m,3,Closed balcony,By agreement,Euro Renovation,,"Գայի փողոց, Դիլիջան","15,000,000 ֏",AMD,"I am selling a 3-room (turned into 2-3) apartment in Dilijan, on Yeghniner Street. The apartment is completely renovated, provided with all utilities. I will partially leave the property to the buyer. It is possible to exchange it with a house or an apartment in Yerevan. If you have any questions, call Viber.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/15992822
Stone,No,Not available,4,,Outdoor parking,70 sq.m.,3,1,from 2.5 m,2,Not available,Partial Furniture,Major Renovation,Yard view,Tavush › Ijevan,"17,000,000 ֏",AMD,Not for rent.Translated from Armenian,Dec-15-2022_22-58,,,,,,,,Air conditioner,https://list.am/en/item/18708278
Panels,No,Available,9,,,84 sq.m.,3,1,from 3 m,7,Open balcony,,Cosmetic Renovation,,"Ուսանողական փողոց, Իջևան","$45,000",USD,A house for sale in Spandaryan 1/* district (Poshti Burial) is sold with furniture URGENTLY call for detailsTranslated from Armenian,Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18518485
Panels,No,Available,9,,,80 sq.m.,3,2,from 2.7 m,6,Closed balcony,,Partial Renovation,,Tavush › Dilijan,"$29,000",USD,"Квартира в хорошем живописном месте Дилижана, рядом городская школа, школа айб. , городской транспорт, остальные вопросы по телефону. Торг!",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18405935
Monolith,Yes,Available,4,,,95 sq.m.,3,1,from 3 m,3,Open balcony,Available,Euro Renovation,,"26 Commissars Street 41/1, Dilijan station","$100,000",USD,"The apartment has natural gas, individual heating system, open (large) balcony, OTIS elevator,underground parking lot.The building has a security guard and cameras. The apartment is sold together with property and household appliances.Price is negotiable.In case of additional questions, call WhatsApp on the specified number.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18412774
Stone,No,Not available,5,,,146 sq.m.,3,1,from 2.7 m,4,Open balcony,Not available,Euro Renovation,"Yard view, street view","Նալբանդյան փողոց, Իջևան","26,010,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. There is an apartment, 146.2 square meters, at Nalbandian street, building 6, Ijevan, the entrance door is metal, the interior doors are wooden. The interior of the apartment is in good condition. Communal facilities are available.Through lending by the bank, with current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18689664
Stone,No,Not available,5,,,69 sq.m.,3,1,from 2.7 m,4,Not available,Not available,Cosmetic Renovation,"Yard view, street view","Բլբուլյան փողոց, Իջևան","9,810,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. Apartment, 69.27 square meters, located at No. 11, Blbulyan Street, 71, Ijevan. The walls of the building are stone, the windows are wooden. The interior decoration of the apartment is in average to poor condition. Communal facilities are available.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18689650
Stone,No,Not available,4,,,64 sq.m.,3,1,from 2.7 m,2,Not available,Not available,Euro Renovation,,Tavush › Ijevan,"13,050,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. There is an apartment, 64 square meters, at Nalbandyan Street, 8, building No. 1, Ijevan, the walls of the building are stone, the entrance door is metal, and the interior doors are wooden. The interior of the apartment is in good condition.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18688165
Stone,No,Not available,5,Playground,Outdoor parking,72 sq.m.,3,1,from 2.7 m,5,Open balcony,By agreement,Cosmetic Renovation,Yard view,"Հովսոփյան փողոց, Դիլիջան","$30,000",USD,"For sale in the city of Dilijan, a two-turned-three-room apartment with all utilities, all the pipes have been changed, the power cords have been changed, cosmetically repaired, the toilet, the bathroom and the kitchen have a balcony, the hallway is tiled, it is detailed, please call to get it.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,Fridge,https://list.am/en/item/18597053
Stone,No,Not available,5,,,85 sq.m.,4,1,from 2.7 m,5,Multiple balconies,Not available,Partial Renovation,,Tavush › Ijevan,"$40,000",USD,"4-room apartment for sale, next to the 5th school (Russian), with all utilities, has an open and closed balcony, the roof is renovated, 2 rooms are partially renovated, it is sold with a garage, the price is $40,000 (negotiable), for details call specifiedphone numbers.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18611210
Stone,No,Not available,5,,,47 sq.m.,1,1,from 3 m,5,Open balcony,,Euro Renovation,,Tavush › Dilijan,"$30,000",USD,"Dilijan city, Kalinnino street. Riverside couple.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18406564
Stone,No,Not available,5,,,78 sq.m.,5,1,from 2.6 m,5,Open balcony,Not available,No Renovation,,"Sevkaretsi Sako street 6, Ijevan","$30,000",USD,"Собственник.Продам квартиру в центре г. Иджеван, улица Севкареци Сако, дом 6.Квартира без ремонта. Вода, газ, электричество проведены.5/5 этаж, 5 комнат, открытый балкон.На фотографии представлен план квартиры.В случае вопросов, пишите.",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18460459
Bricks,No,Available,9,,,53 sq.m.,3,1,from 2.8 m,8,Closed balcony,Not available,Old Renovation,Yard view,Tavush › Dilijan,"$17,000",USD,"The apartment is 2-room converted into 3, due to the balcony. The apartment is located in Shamakhyan district.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18606648
Stone,No,Not available,5,Playground,,193 sq.m.,6,3+,from 2.7 m,2,Multiple balconies,Available,Major Renovation,"Yard view, street view, city view, park view","Գետափնյա փողոց, Դիլիջան","$230,000",USD,"6-room apartment for sale, 3 + 2 + 1, entire floor, on Getapnya street, Dilijan, on the 3rd floor of a stone building, with a beautiful view.The apartment is completely renovated and furnished, it has 5 bedrooms, a living room, a kitchen, several bathrooms, a large open-air vault with a fireplace.The apartment can also be used as a guest house.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,"Air conditioner, fridge, stove, dishwasher, washing machine, drying machine",https://list.am/en/item/18591821
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,5,Closed balcony,Not available,Partial Renovation,,"Улица Гая 80, Дилижан","11,900,000 ֏",AMD,"Со всеми удобствами. 2 переделанная 3 комнаты. Рядом дет. Сад, школа. Обмен с 2-3 комнатной квартирой в Ереване с доплатой от нас.",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18556229
Panels,No,Available,9,,,53 sq.m.,3,1,from 2.8 m,8,Closed balcony,,Old Renovation,,Tavush › Dilijan,"$17,000",USD,"Shamakhyan st. , apartment, needs to be completely renovated, the condition of the walls is ideal, it just needs to be repaired.Only real buyers will callTranslated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18483906
Stone,Yes,Available,9,,,83 sq.m.,3,2,from 2.7 m,4,Multiple balconies,,Major Renovation,,Tavush › Ijevan,"29,000,000 ֏",AMD,"The apartment is located in the central part of Ijevan, in a newly constructed building at 10 Gharagyozyan Street. The building is adjacent to the municipality. The apartment is completely renovated, has 2 bathrooms, 2 open balconies, 2 bedrooms, closet, living room, kitchen, hall. European doors and windows are installed. Electric wires, water pipes, heating system are handed over. The building is equipped with all the necessary facilities for a comfortable and safe living. In the area belonging to the building, there is a playground and a parking lot intended only for the residents of the building.The Income Tax Refund Law is in effect.The price is final.Translated from Armenian",Dec-15-2022_22-58,,,,,,,,,https://list.am/en/item/18474280
