Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,The House Has,Parking
Stone,No,Not available,5,50 sq.m.,2,1,from 2.5 m,1,Not available,Major Renovation,"Shahumyan St, Jermuk","100,000 ֏ monthly",AMD,Apartment for rent in Jermuk city.Available on a long-term monthly and daily basis.There is a heating systemThe price is negotiableTranslated from Armenian,Dec-15-2022_21-09,,,,,5,Yes,Yes,By Agreement,6 months,https://list.am/en/item/18496015,,
Stone,No,Not available,2,27 sq.m.,1,1,from 2.75 m,2,Not available,Cosmetic Renovation,Vayots Dzor › Jermuk,"40,000 ֏ monthly",AMD,1 room apartment in Jermukcontact for other questionsTranslated from Armenian,Dec-15-2022_21-09,Available,Television,Fridge,Park view,2,Yes,No,Not included,Without prepayment,https://list.am/en/item/18701786,,
Stone,No,Not available,4,40 sq.m.,1,1,from 2.8 m,3,Open balcony,Major Renovation,"Shahumyan street, Yeghegnadzor","150,000 ֏ monthly",AMD,"The apartment is sunny, warm and comfortable. Equipped with necessary furniture and appliances.Translated from Armenian",Dec-15-2022_21-09,Available,"Television, air conditioner, internet, parking space","Fridge, stove, coffee maker, washing machine",Street view,2,No,No,Not included,1 month,https://list.am/en/item/18587758,,Outdoor parking
Panels,No,Not available,5,75 sq.m.,3,1,from 2.6 m,1,Closed balcony,Major Renovation,Vayots Dzor › Jermuk,"220,000 ֏ monthly",AMD,"The apartment is located on the left bank, with all utilities, appliances, heating system, in perfect condition, uninhabited. It is also possible on a daily basis.Translated from Armenian",Dec-15-2022_21-09,,,,,5,Yes,No,Not included,1 month,https://list.am/en/item/18571228,,
Stone,No,Not available,5,70 sq.m.,3,1,from 2.6 m,2,Not available,Euro Renovation,Vayots Dzor › Jermuk,"100,000 ֏ monthly",AMD,"For rent: 3-room apartment in the city of Jermuk, Dzahapnyak district.For more information callTranslated from Armenian",Dec-15-2022_21-09,Available,,,,4,Yes,No,Not included,By Agreement,https://list.am/en/item/18575226,,
Stone,No,Not available,3,60 sq.m.,2,1,from 2.8 m,2,Closed balcony,Euro Renovation,Vayots Dzor › Jermuk,"200,000 ֏ monthly",AMD,"For rent 59.6 sq. M. A three-room apartment converted into a three-room apartment is located in the center of Jermuk, a tourist center (at 12 Myasnikyan Street), a few hundred meters from the drinking hall. The apartment is located on the 2nd floor of a 3-storey stone building. The apartment is renovated and is in excellent condition for both leisure and permanent residence. The apartment has a closed balcony turned into a living room, a Karma gas stove of Czech production, a hot water boiler.The roof of the building is renovated, the entrance has an iron door. The yard of the building is completely renovated, with asphalt-green areas. In the yard there is a chat room, children's playgrounds, sports playgrounds, night lighting.Grocery stores, branches of a number of banks, other services are located a few tens of meters away.The residents of the apartment can use the medical services of the nearby sanatoriums at affordable prices, making the rest more affordable and comfortable.Translated from Armenian",Dec-15-2022_21-09,Available,,,,6,Yes,No,Not included,1 month,https://list.am/en/item/17831639,,
Stone,No,Not available,5,46 sq.m.,1,1,from 2.8 m,4,Open balcony,Cosmetic Renovation,"Մյասնիկյան փողոց, Ջերմուկ","15,000 ֏ monthly",AMD,"Jermuk, 2 bedroom apartment, all conditions!Translated from Armenian",Dec-15-2022_21-09,,,,,2,No,No,Included,By Agreement,https://list.am/en/item/18470990,,
Panels,No,Not available,4,70 sq.m.,3,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Ձախափնյակ թաղամաս, Ջերմուկ","50,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the city of Jermuk (left side) It is furnished. It has a central heating system, the bathroom is tiled. We do not register the house. It is given with a 1-month deposit, long-term.Translated from Armenian",Dec-15-2022_21-09,Available,"Television, parking space",Washing machine,Street view,6,Yes,No,By Agreement,1 month,https://list.am/en/item/18606112,,Outdoor parking
Panels,No,Not available,5,47 sq.m.,1,1,from 2.7 m,5,Closed balcony,Partial Renovation,Vayots Dzor › Jermuk,"5,000 ֏ daily",AMD,"1 room apartment with a bedroom is for rent. The apartment is located in Jermuk. It is provided with all the necessary conditions - constant hot and cold water, natural gas, TV, refrigerator.Translated from Armenian",Dec-15-2022_21-09,,,,,,,,,,https://list.am/en/item/8483643,,
Stone,No,Not available,4,29 sq.m.,1,1,from 2.8 m,1,Open balcony,Cosmetic Renovation,"Shahumyan St , Jermuk","10,000 ֏ daily",AMD,"150,000 drams from DECEMBER 25 to JANUARY 6 (regardless of the number of days)The renovated apartment is located in the center of Jermuk (Ajapnyak district), on the 1st floor of a 4-story stone building. It has constant hot and cold water, gas, electricity. Energy, TV, new refrigerator, washing machine, double bed, folding divan and all necessary accessories for living (max 4 people) It has an entrance from both the yard and the street.Jermukum Jermuk jermuk Jermuk for rent DjermukTranslated from Armenian",Dec-15-2022_21-09,Available,"Television, parking space","Fridge, stove, washing machine, iron","Yard view, street view, city view, park view",4,Yes,No,By Agreement,By Agreement,https://list.am/en/item/11789783,,Outdoor parking
Panels,No,Available,9,74 sq.m.,2,2,from 2.8 m,9,Closed balcony,Euro Renovation,"Ձախափնյակ թաղամաս, Ջերմուկ","60,000 ֏ monthly",AMD,Equipped with all utilities and household appliancesTranslated from Armenian,Dec-15-2022_21-09,,,,,5,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18527246,,
Stone,No,Not available,4,20 sq.m.,1,1,from 2.7 m,3,Not available,Major Renovation,Vayots Dzor › Jermuk,"8,000 ֏ daily",AMD,Comfortable apartmentTranslated from Armenian,Dec-15-2022_21-09,,,,,4,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18444560,,
