Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Appliances,Service Lines,Links,Facilities,Condition
House,Stone,188 sq.m.,2,7,2,,,Euro Renovation,3750 sq.m.,"Shahumyan street, Jermuk","$50,000",USD,"Продается двухэтажный дом с мансардным этажом в Гндеваз 10 км от курортного города Джермук. На 1 этаже есть санузел, зал, кухня, 2 комнаты. На 2 этаже зал, кухня, 3 комнаты, санузел.Вход на 2 этаж отдельно с улицы. Есть вода (холодная, горячая), электричество. Участок большой -3750 кв. М. На участке есть помещение 35кв. М. 180 плодовитых деревьев (вишня, яблоня, груша, абрикос, инжир, кизил, персик...) Находится на трассе Джермук-Ереван. Очень удобно для большой семьи или гостевого дома. Можно продожа с мебелью (отдельная сумма)Можно торг.",Nov-24-2022_23-35,,,https://list.am/en/item/18216223,,
House,Stone,600 sq.m.,1,3,1,,,Partial Renovation,508 sq.m.,Vayots Dzor › Yeghegnadzor,"$25,000",USD,"It is located next to the 1st schoolIt has drinking and irrigation water, electricityBuilding: - 92 c. M.Land area: -508 sq. M.Translated from Armenian",Nov-24-2022_23-35,,,https://list.am/en/item/18034157,,
House,Stone,141 sq.m.,2,4,1,Not available,Not available,Old Renovation,7000 sq.m.,"Ջերմուկի խճուղի, Vayk","$38,000",USD,"The apartment is located on the main road of Vaik city, it has its own plot of 700 square meters. Fruit trees, has irrigation water, drinking water, natural gas, electricity. HURRY! The price is negotiable for real buyers. Call for questions.Translated from Armenian",Dec-15-2022_21-55,Stove,"Electricity, natural gas, sewerage",https://list.am/en/item/18636553,Gazebo,
House,Monolith,300 sq.m.,1,4,1,Not available,Not available,No Renovation,2000 sq.m.,Vayots Dzor › Vayk,"$10,000",USD,"In the garden there are fruit trees, large poppy trees, field land, about 6 hectares, call for questionsTranslated from Armenian",Dec-15-2022_21-55,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18603698,,
House,Stone,100 sq.m.,1,4,1,Available,Not available,Old Renovation,2000 sq.m.,Vayots Dzor › Goghtanik,"$14,000",USD,"The house is old renovation, has an orchard, 20 poppy trees, more than 20 apple trees, 5 pear trees, cherry, cherry, several types of cherry, 2 types of plum tree, raspberry, etc. The area is fenced, constant drinking water, for questions call. Has 2 barns and 4 separate buildingsTranslated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18476466,,House is Finished
House,Stone,2300 sq.m.,1,3,1,Not available,Not available,No Renovation,2300 sq.m.,Vayots Dzor › Yeghegnadzor,"$35,000",USD,"Urgently negotiable, in the middle of the village, the upper part of the village has a cellar, a well-furnished orchard, the rest, call the indicated number.Translated from Armenian",Dec-15-2022_21-55,Fridge,"Electricity, water supply, natural gas",https://list.am/en/item/18587957,,House is Unfinished
House,Stone,110 sq.m.,1,4,2,Not available,Not available,No Renovation,1000 sq.m.,Vayots Dzor › Vayk,"$13,000",USD,Call for detailsTranslated from Armenian,Dec-15-2022_21-55,,,https://list.am/en/item/18651818,,House is Unfinished
House,Stone,120 sq.m.,2,8+,2,Available,Not available,Major Renovation,2500 sq.m.,"Grigor Narekaci street, Yeghegnadzor","$40,000",USD,"The property also includes a cattle ranch, hayloft and productive treesTranslated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18180289,,House is Finished
House,Stone,207 sq.m.,2,6,1,Available,2 spots,Partial Renovation,1750 sq.m.,Vayots Dzor › Artabuynk,"5,000,000 ֏",AMD,"A residential house is for sale in the village of Artabyunk, Vayots Dzor marz. Can be used for tourism purposes. In case of partial renovation, it is particularly suitable for serving as a rural guest house. It has 1750 sq/m of land with a gentle slope, very suitable for camping, the building area is 207 sq/m, of which 104 sq/m is the residential 2nd floor. The house has a good location, about 100 meters from the main road leading to Smbataberd and Tsakhats Kar, next to the School.Translated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18580016,,House is Finished
House,Stone,65 sq.m.,2,4,1,Available,Not available,Old Renovation,1000 sq.m.,Vayots Dzor › Karaglukh,"$22,000",USD,"Negotiable. If you have any questions, please call the phone number belowTranslated from Armenian",Dec-15-2022_21-55,,"Electricity, water supply",https://list.am/en/item/18651596,,
House,Stone,297 sq.m.,2,4,1,Not available,Not available,Cosmetic Renovation,740 sq.m.,Vayots Dzor › Jermuk,"$350,000",USD,"Realty Consult ID` R 3542Վաճառվում է երկու առանձնատներՋերմուկ, Սարվորների փողոցՀողամասը՝ 740 քմԲնակելի շինություն 152 քմ և 145 քմ, 2 հարկ, քարե, առաստաղ՝ 3,0 մԳԻՆԸ՝ 350 000 $Առանձնատները ունեն 4 բնակելի սենյակներԱռանձնատները համալրված են հետևյալ կոմունիկացիաներով և համակարգերով՝ ջուր, կոյուղի,Էլեկտրականություն, գազ, ջեռուցումՇինությունները կառուցվել են ժամանակակից ստանդարտներին համապատսխան, համալրված արդիԻնժեներական ցանցերով, համակարգերով և կոմունիկացիաներովՄուտքի դռներ՝ բարձրորակ փայտե երեսվածքով, ներքին դռները՝ որակյալ փայտանյութ, պատուհանները՝Բարձրորակ մետաղապլաստեԱռանձնատների ներքին հարդարանքը գտնվում է լավ վիճակում, ենթակա է արդիականացմանRealty Consult ID` R 3542Sale housesJermuk, Sarvorner streetArea lot 740sq. MStone residential building 152sq. M and 145sq. M, stone, ceiling 3.0 m.Price 350 000 $The houses has 4 rooms The houses has the all communications` Water, sewer, gaz, electricity, heating system The building is built in modern standarts and with engineering networks.The interior of the house is in a good condition, it needs to modernization.Realty Consult ID` R 3542Продаются два частных дома Улица Сарворнер, ДжермукЗемельный участок 740 кв. МЖилая площадь 152 кв. М, 145 кв. М, каменный, высота потока 3 м.ЦЕНА: 350 000 $Количество жилых комнат 4Дома подключен к необходимым коммуникациям: Вода, газ, электричество, канализация, отоплениеДома построен в соответствии с современными стандартами, обеспечен всеми необходимыми инженерными сетями, системами и коммуникациямиВнутренняя отделка хорошая, ремонт выполнен с использованием качественных стройматериалов и элементов отделки.",Dec-15-2022_21-55,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18696812,,House is Finished
House,Stone,820 sq.m.,1,4,1,Available,2 spots,No Renovation,650 sq.m.,Vayots Dzor › Yeghegnadzor,"$32,000",USD,"A private house is for sale in Yeghegnadzor, address: 21 Marshal Baghramyan. The total area is 820 square meters, of which 100 square meters is the residential area, 70 square meters are other buildings. Provided with gas, water and electricityTranslated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18382541,,
House,Stone,80 sq.m.,2,4,1,Not available,Not available,Partial Renovation,,Vayots Dzor › Vayk,"$25,000",USD,"A residential house for sale in the city of Vaik, the total area is 80 square meters, the price of the house is negotiable, if you have any questions, callTranslated from Armenian",Dec-15-2022_21-55,,Natural gas,https://list.am/en/item/18609248,,
House,Stone,295 sq.m.,2,8+,1,,,Cosmetic Renovation,3000 sq.m.,Vayots Dzor › Yeghegnadzor,"$1,000",USD,Продам дом в Ехегнадзоре. Цена ДОГОВОРНАЯ. Звонить на вотсапДом большойВсе окна поменяны.,Dec-15-2022_21-55,,,https://list.am/en/item/18386235,,
House,Stone,207 sq.m.,2,6,2,By agreement,Not available,Major Renovation,,Vayots Dzor › Gladzor,"$50,000",USD,"Fully renovated six-room, two-story private house for sale at Gladzoryan 17, Yeghegnadzor community. Each floor has a bathroom with a toilet.It is fenced, has an individual heating system. It has a plot of land, a large basement. Sale is possible together with property and equipment. It is possible to exchange with an apartment in Yerevan.Translated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18662797,,
House,Stone,300 sq.m.,2,8+,2,Available,3 or more spots,Partial Renovation,300 sq.m.,Vayots Dzor › Yeghegnadzor,"$70,000",USD,"A two-story house for sale in In Yeghegnadzor, has gas, partially renovated, windows of European manufactureTranslated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18403447,,
House,Stone,170 sq.m.,3,8+,3+,Not available,1 spot,No Renovation,1000 sq.m.,Vayots Dzor › Shatin,"8,000,000 ֏",AMD,"Semi-detached house with a garden, call for questions.Translated from Armenian",Dec-15-2022_21-55,,"Electricity, water supply",https://list.am/en/item/18656422,,
House,Stone,140 sq.m.,2,5,2,,,Partial Renovation,1300 sq.m.,Vayots Dzor › Malishka,"$40,000",USD,"The house is located in the Malishka village of Vayots Dzor, the house has 2 floors, on the 1st floor there are 2 rooms with a bathroom, kitchen, bakery and an open balcony, on the 2nd floor there are 4 rooms, a living room, a kitchen, a bathroom and a garage, the house is partially renovated, the windows are of Euro entrance the door is made of iron. The house also has a cattle yard and an orchard.Also, for questions about the apartment in Pokhanak, call the indicated phone number.Translated from Armenian",Dec-15-2022_21-55,,,https://list.am/en/item/18480986,,
