Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,The House Has,Links
Stone,No,Not available,5,105 sq.m.,5,1,from 3 m,5,Open balcony,Not available,Euro Renovation,"Квартал Звартноц, Вагаршапат","$52,000",USD,"It has a 400 seat belt with a closed bisetka, very good condition, euro repair, laminate, in a word, like it, there is a card and a prek under it, and there is cold water in the station, there is a final drive, that's why I say it's cheap.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17466680
Stone,Yes,Not available,1,420 sq.m.,2,1,from 2.5 m,1,Not available,Not available,Major Renovation,Armavir › Myasnikyan,"$23,000",USD,"It is a newly built building, there is electricity, constant water is not gasified, the windows are euro, the house is very bright, it is suitable for small families, real buyers should callTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18366321
Panels,Yes,Not available,5,70 sq.m.,2,1,from 2.7 m,5,Closed balcony,,Partial Renovation,"2 block, Metsamor","14,000,000 ֏",AMD,The roof is newly repaired and has gas and water heaterTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17232347
Stone,No,Not available,5,98 sq.m.,4,1,from 3 m,1,Multiple balconies,Not available,Old Renovation,"1district 3, Metsamor","$35,000",USD,"ПРОДАЮ 4-х Комнатную Квартиру На 1-этаже, в 5-ти этажном доме,Общая площадь квартиры 98 кв. /м. «Дом № 3. Кв 37. Г. МЕЦАМОРАКвартира угловая с балконом,Квартире относится земельный участок 45 кв/м. Для строительство.Квартира очень хорошо подходит и как ДОМ, и как БИЗНЕС,так как на 1 этаже, и угловая, и земельным участком.Рядом с квартирой есть большое количество торговых магазинов, Банки,аптеки, клиника, рынок, школа, детский сад, церковь, и так далее.В квартире требуется ремонт. Ремонт сами не делаем, так как Покупательбудет делать ремонт по своему вкусу ИЛИ КАК ДОМ! ИЛИ КАК БИЗНЕС!По этому такая сниженная цена БЕЗ РЕМОНТА.Квартира находится в благоустроенном районе вдоль трассына первом ряду г, Мецамора трасса Ереван - Октемберян.Расстояние из Ереван до Мецамора 30 км.Я ХОЗЯИН И СОБСТВЕННИК КВАРТИРЫ.Все документы в порядке, на руках,В квартире не кто не проживает, и не прописан,Квартира не в залоге, нет ни каких арестов.Все остальные вопросы ЗВОНИТЕ по телефону или WhatsApp",Nov-25-2022_14-04,,,,,https://list.am/en/item/17050530
Stone,No,Not available,5,120 sq.m.,3,1,from 3 m,3,Open balcony,,Designer Renovation,"Pioneerakan street, Vagharshapat","$77,000",USD,Fully renovated and uninhabited apartment for sale in Etchmiadzin city. Call for partsCode 1030Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18335085
Stone,No,Not available,5,75 sq.m.,3,1,from 2.75 m,2,Open balcony,By agreement,Old Renovation,Armavir › Parakar,"$58,000",USD,"A three-room apartment is for sale in Zvartnots.Stone building, 5/2 floor. It has an open balcony, sunny and bright.The bathroom is tiled.The apartment needs renovation.For more information call:Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18116979
Stone,No,Not available,5,35 sq.m.,1,1,from 2.8 m,4,Closed balcony,Not available,Old Renovation,"Mesrop Mashtots street 14, Vagharshapat","14,500,000 ֏",AMD,"1-room apartment for sale in Etchmiadzin, Mashtots 14, 4th floor, 35 square meters, near the fire, has a closed balcony that can be used as a bedroom, good condition, ceiling height 2.8The price is AMD 14,500,000Translated from Armenian",Nov-25-2022_14-04,,,STreet view,,https://list.am/en/item/18271558
Panels,No,Not available,5,61 sq.m.,3,1,from 2.7 m,3,Not available,Not available,Major Renovation,Armavir › Metsamor,"$35,000",USD,"3-room, fully renovated apartment is for sale in Metsamor city. The area is 60.8 square meters, with all amenities. It has natural gas, permanent water, separate bathroom, bathroom, euro windows.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17029020
Stone,No,Not available,5,63 sq.m.,3,1,from 2.7 m,1,Not available,,Euro Renovation,Armavir › Echmiadzin,"$55,000",USD,"3-room apartment for sale in Q. In Etchmiadzin. The apartment is located on the 1st floor of a 5-storey stone building. The total area is 63 square meters. Մ. The apartment has a kitchen, a living room, 2 bedrooms and a bathroom. It is fully repaired, it is provided with all the communal facilities, it is heated with a gas boiler. Has 1 basementTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17658002
Stone,No,Not available,5,46 sq.m.,3,1,from 2.6 m,4,Closed balcony,Available,Old Renovation,Armavir › Metsamor,"$26,000",USD,"It is urgent. Apartment for sale in Metsamor, 5/4 floor, 46 square meters, 2 rooms, kitchen, bathroom, balcony for normal living conditions.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15556667
Monolith,No,Not available,4,65 sq.m.,3,2,from 2.75 m,1,Not available,Available,Euro Renovation,"Улица Адмирала Исакова 43/1, Вагаршапат","$62,000",USD,"3-room apartment is for sale in Etchmiadzin city, on the first floor of a 4-storey building, on Aram Asatryan street. Call for questionsTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17122767
Stone,Yes,Not available,2,73 sq.m.,3,2,from 3 m,2,Not available,,Designer Renovation,"Mesrop Mashtots street 14, Vagharshapat","$63,000",USD,"I am the owner. The house is sold without property. It is a separate house, not an apartment. Heating box system + air conditioner Urgent. The price changes with the course.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17507478
Monolith,Yes,Not available,3,1400 sq.m.,8+,3+,from 3.5 m,3,Multiple balconies,,Euro Renovation,Armavir › Tairov,"$800,000",USD,"The area of a shop is 280 + 280, 2 floors above, with rent. The area of 2 stores is about 200 sq. M. It was given in the morning. 3 shops are being renovated, 50 square meters. Has another 70 square meters of shop space. 2-storey apartment capitally renovated. All rooms have a private bathroom. Ready-made house with ready-made businesses. Call for remaining questions. At the moment, the shops will be given credit for $3,200Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17551078
Panels,No,Not available,5,75 sq.m.,3,1,from 2.7 m,4,Open balcony,By agreement,Euro Renovation,"Улица Арагац 1/3, Вагаршапат","$45,500",USD,"Квартира евро ремонт сделан. Окни евро. 2 балкона один открытый с виду на гору Масис. Есть бак 200л. Вода круглосуточно есть и горячей воды и отдельно поставлен помпа. , 2 подвала.В подъезде есть место для кладовки. Дверь железный. Провада изменены медные. Есть 6х9 земля с деревьями и виноградом. 3х6 гараж без крыши. Дом теплый и светлый очень. Остальные если есть вопросы звоните (можно и скидка)",Nov-25-2022_14-04,,,,,https://list.am/en/item/15415052
Stone,No,Not available,5,88 sq.m.,3,1,from 3 m,5,Open balcony,By agreement,Partial Renovation,Armavir › Echmiadzin,"$45,000",USD,Ечмиадзин. Улица чаренца дом 16.5 и етаж. Чехакан проект. 88 квадрат метр. Пастаянй свет вода газ. Обойх старон солничнй. Телефон.,Nov-25-2022_14-04,,,,,https://list.am/en/item/17874276
Stone,No,Available,5,104 sq.m.,3,2,from 2.7 m,5,Not available,,Cosmetic Renovation,"Զվարթնոց թաղամաս 7, Վաղարշապատ","$55,000",USD,"3-room renovated apartment on the 5th floor of a 5-storey stone building is currently for sale.Code - 0647:Constant hot / cold waterGasifiedLaminate flooringThe bathroom is tiledThe windows are EuropeanOpen balcony, closetYou can call the mentioned agent to see, buy or get full information about the apartment.Dear customer, to see other apartment announcements, click on the Blessed House logo on the right.Real estate agency ""Blessed House""Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16853349
Stone,No,Not available,3,70 sq.m.,3,1,from 2.6 m,2,Closed balcony,Available,Partial Renovation,"Echmiatsin Highway, Khoronk","$20,000",USD,"The apartment is located in the waiting room, 3 rooms, partially renovated, 2 floors, very urgentTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17495521
Panels,No,Not available,3,61 sq.m.,2,1,from 2.7 m,3,Closed balcony,,Major Renovation,Armavir › Aknalich,"$20,000",USD,G. Aknalich 2 with 3 rooms is also available for rentTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/15794175
Stone,No,Not available,4,67 sq.m.,4,1,from 2.7 m,2,Closed balcony,,Old Renovation,"Եղիշե Չարենցի փողոց 36, Արմավիր","$37,000",USD,"The apartment is located behind the Armavir regional administration, in the Charents 36 building. The apartment has 2 bedrooms, 1 living room, 1 bathroom, 1 closed balcony (can easily become a full office, bedroom or balcony), 2 closets (chulan) All necessary infrastructures (shop, bank, school, kindergarten) are nearby. The apartment has all utilities. PRICE IS FINAL. I AM INTERMEDIATETranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18343693
Stone,No,Not available,5,82 sq.m.,4,1,from 2.8 m,4,Open balcony,,No Renovation,Armavir › Echmiadzin,"$52,000",USD,An apartment is for sale on the third floor near the city center in EtchmiadzinTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/11356797
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$49,000",USD,5/5 Vram Kostanyan in a five-story building in the city of EjmiatsinTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/14060694
Panels,No,Not available,5,64 sq.m.,2,1,from 2.7 m,2,Closed balcony,,Old Renovation,Armavir › Metsamor,"$29,000",USD,The apartment is located next to the church. The building is in one of the very best parts of the city. It is considered one of the new buildings in the city.Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17931185
Stone,No,Not available,3,39 sq.m.,2,1,from 2.7 m,3,Not available,Available,Old Renovation,Armavir › Norakert,"$30,000",USD,"Apartment for sale, Armavir marz village Norakert. Stop at the end of number 205. 7 km from Yerevan. 3/3 of the stone building. The roof has been completely repaired. Constant water, light, and windows have been replaced. It needs repair. Selling with property and equipment. Price $30,000 negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17224143
Panels,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Closed balcony,Available,Cosmetic Renovation,Armavir › Metsamor,"$34,000",USD,"The door is iron, the roof is new, the balcony and bedroom windows are European, the pipes անքի the electric wires are new, it has a basement. For sale together with the propertyTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17305555
Stone,No,Not available,3,101 sq.m.,4,1,from 3 m,1,Not available,Not available,No Renovation,"Tairov street 1, Yerevan","$45,000",USD,"Tairov, near Gai Post, with separate entrance, state condition, always. Hot, cold water, gas, water heater, air conditioner, has a small yard and basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17639657
Stone,No,Not available,5,78 sq.m.,4,1,from 2.7 m,3,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$58,000",USD,"The apartment is located in the center of Etchmiadzin, on the 5th/5th floor, in good condition, has all utilities, in a stone building, ceiling height 2.7m, heating system, open basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18023324
Stone,No,Not available,5,78 sq.m.,3,1,from 2.75 m,5,Open balcony,Not available,Cosmetic Renovation,Armavir › Echmiadzin,"$45,000",USD,"Apartment in the Charents district of Etchmiadzin, renovated, has communal facilities, in a stone building, has an open basement.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18019191
Monolith,Yes,Not available,2,70 sq.m.,3,1,from 3 m,2,Closed balcony,,Euro Renovation,"Admiral Isakov Avenue, Երևան","$80,000",USD,"Closed with a prepayment of $ 30,000. 2-storey private euro-renovated apartment is for sale. The total cost is $ 60,000. Real people can call or write. A car is possible for a part of the money. 2010 High:Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17459421
Stone,No,Not available,4,60 sq.m.,4,1,from 2.8 m,1,Not available,By agreement,Major Renovation,"Թորոմոնյան փողոց 20, Վաղարշապատ","$85,000",USD,"Kod-A 4-room newly built apartment is for sale in the Zvartnots community of Vagharshapat, on the 1st floor of a 2-story stone building, excellently renovated, with European windows, uninhabited, has electricity, bathroom, permanent water, all utilities, tiled and laminated floor, French stretch ceiling.The price is USD 35,000, negotiable. Address: Toromonyan, on the Yerevan-Vagharsyan highway, has a small plot of land, in the yard there is a swing, 10 fir trees, a barbecue, a car parking space, nearby there are: School, post office, supermarket, building. Shop, public transport, surrounding streets are paved.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17681240
Stone,No,Not available,3,60 sq.m.,2,1,from 3 m,3,Not available,,Cosmetic Renovation,"Улица Баграмяна 28, Баграмян","$27,000",USD,"Apartment for sale in Armavir region, in Baghramyan village, on the 3-rd floor of a 3-storey buildingTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16752213
Stone,No,Not available,3,38 sq.m.,1,1,from 2.75 m,1,Not available,By agreement,Partial Renovation,"Մեսրոպ Մաշտոցի փողոց 16, Մուսալեռ","$30,500",USD,"Has constant hot and cold water, gas, light, has two basements, added space, which you can add to the building, bathroom, toilet renovated, kitchen partially renovated, exterior walls confirmed, sunny on both sidesTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17412185
Panels,No,Not available,5,91 sq.m.,4,1,from 2.7 m,2,Closed balcony,,Cosmetic Renovation,"1district 28, Metsamor","$40,000",USD,"I am the owner. The apartment is cosmetically renovated. It is gasified. The electricity wires have been changed, the water pipes are made of stainless steel (inside) The apartment is in very good condition. 28/5Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16113989
Stone,No,Not available,4,140 sq.m.,5,2,from 3 m,4,Open balcony,,Major Renovation,Armavir › Echmiadzin,"$130,000",USD,Կոդ A0273ՎԱՃԱՌՎՈՒՄ Է 5 ՍԵՆՅԱԿԱՆԻ ԲՆԱԿԱՐԱՆԷջմիածին Քաղաքի Կենտրոնին մոտՀարկ 4Մակերեսը 140քմԱշոտԲնակարան ունի կոմունալ բոլոր հարմարությություններ:Բնակարանը բնակեցվաց չէԳույքն տեխնիկան նորՋեռուցման համակարգօդորակիչՄանրամասների համար զանգահարել...,Nov-25-2022_14-04,,,,,https://list.am/en/item/13821325
Stone,No,Not available,5,85 sq.m.,4,1,from 2.75 m,1,Not available,,Major Renovation,Armavir › Echmiadzin,"$46,000",USD,"A 4-room apartment is for saleEtchmiadzin city, Charents districtThe area is 80 square meters, of which 25 square metersFloor 1AshotFor more information callCode A032Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17093825
Stone,No,Not available,5,89 sq.m.,3,1,from 2.75 m,1,Closed balcony,,No Renovation,Armavir › Echmiadzin,"$52,000",USD,3-ROOM APARTMENT FOR SALEIn the city of Etchmiadzin Vazgen A.Floor 1:The area is 89 square metersAshotUtilitiesFor more information call:Code A0505Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17439660
Stone,No,Not available,5,142 sq.m.,5,2,from 2.75 m,2,Open balcony,,Designer Renovation,Armavir › Echmiadzin,"$130,000",USD,Apartment for sale together with property and equipmentAddress K. Etchmiadzin Charents districtArea 142.1 square metersFloor 2:Room 5:Bathroom 2:Open balconyAir conditionerHeating system (BAXI)The floor is being heatedCode H040Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17092461
Stone,No,Not available,5,68 sq.m.,2,1,from 2.7 m,1,Closed balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$60,000",USD,"An apartment for sale will also serve as a commercial areaAddress K. Etchmiadzin Vazgen A.Area 68 square metersFloor 1/5Number of rooms 3 Has an open balcony Permanent water, light, gas.Fire:For details:Code H090Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17439643
Stone,No,Not available,5,130 sq.m.,5,1,from 2.8 m,3,Multiple balconies,Not available,No Renovation,Armavir › Echmiadzin,"$56,000",USD,"Code A0107 processable5-room apartment for saleEtchmiadzin City, Zvartnots districtAt the beginningFloor 3The area is 130 square meters,Ashot3 shoesBasementPlot of landFor more information call...Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14369092
Stone,No,Not available,5,65 sq.m.,2,1,from 2.75 m,3,Open balcony,,Cosmetic Renovation,Armavir › Echmiadzin,"$49,000",USD,"Code A0105‼ 2-ROOM APARTMENT FOR SALE+ SIGNIn the city of Etchmiadzin, close to the centerFloor 3The area is 65 square metersAshotCode A0510Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17454239
Stone,No,Not available,5,97 sq.m.,4,1,from 2.8 m,2,Not available,,No Renovation,Armavir › Echmiadzin,"$56,000",USD,3-room apartment for saleOn Vazgen A street in Etchmiadzin cityThe area is 97 square metersFloor 2AshotFor more information callCode A069Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17665797
Stone,No,Not available,5,89 sq.m.,4,1,from 2.8 m,1,Open balcony,,Euro Renovation,Armavir › Echmiadzin,"24,000,000 ֏",AMD,Code A0280:4-ROOM APARTMENT FOR SALEIn the beginning of Charents district of Etchmiadzin cityFloor 1:The area is 100 square metersAshotThe apartment has all the communal facilities.Door window changedHeating Systemnewly renovatedFor more information call...Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/13843361
Stone,No,Not available,4,88 sq.m.,3,2,from 2.75 m,2,Multiple balconies,,Old Renovation,Armavir › Echmiadzin,"$45,000",USD,"Code H171The price is $45,500Apartment for saleAddress K. At the beginning of Etchmiadzin Charents district, near the park Floor 2 Room 3 Residential 88 square meters Open balcony, has communal facilitiesHro:Call for details#Echmiadzin#Vagharshapat#Real_Property:#Apartment_for_saleTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17793254
Stone,No,Not available,5,83 sq.m.,3,2,from 2.75 m,3,Multiple balconies,,Partial Renovation,Armavir › Echmiadzin,"$49,000",USD,"Address: Etchmiadzin ZvartnotsArea 83 square metersFloor 5/3️Additional DataAn apartment for sale, in Zvartnots district, the number of rooms is 4, the floor is parquetFor more information callRuboCode R139Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17349396
Stone,Yes,Available,5,69 sq.m.,3,1,from 2.75 m,5,Open balcony,Not available,Designer Renovation,Armavir › Echmiadzin,"$88,000",USD,"Code A0943-room apartment for saleIn the city of Etchmiadzin, next to the SquareThe area is 70 square metersFloor 5has 2 basementsair conditionerHeating Systemsale with property is also possibleAshotFor more information callTranslated from Armenian",Nov-25-2022_14-04,,,"YArd view, street view, city view, view of ararat",,https://list.am/en/item/13674436
Stone,No,Not available,5,64 sq.m.,3,1,from 2.75 m,1,Not available,,Major Renovation,Armavir › Echmiadzin,"$51,000",USD,Apartment for saleAddress K. EtchmiadzinArea 63 square metersNumber of rooms with 2 floors Floor 1 Windows changed Has a garage and basementFire:Call for details#Echmiadzin# Vagharshapat#Real_Real Estate# For sale_ApartmentCode H093Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17022976
Stone,No,Not available,5,69 sq.m.,3,1,from 2.7 m,4,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$47,500",USD,A 3-room apartment is for sale in the Charents district of Etchmiadzin.4th floorUtilitiesThe bathroom is renovatedThe floor is tiled and parquetWindows replacedBalconyArea: 68.8 square metersCode T447Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18212900
Stone,No,Not available,5,71 sq.m.,3,1,from 2.75 m,1,Open balcony,,Partial Renovation,Armavir › Echmiadzin,"$60,000",USD,"3-room apartment for saleEtchmiadzin city, Charents districtFloor 1The area is 73 square metersAshotWindows changedThere are all utilitiesGaragePlot of landAuxiliary structureHeating SystemThere is a well in the garagePartial property with appliancesMercedes car for saleThe new cost is $13,000For more information callFor more information call:Code A0434Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15255456
Stone,No,Not available,5,79 sq.m.,4,1,from 2.8 m,5,Multiple balconies,By agreement,Euro Renovation,"Mesrop Mashtots street 30, Vagharshapat","$62,000",USD,"A 4-room apartment is for sale on Mashtots Street in Etchmiadzin. The apartment is fully renovated and provided with all necessary utilities.There is a separate water line, pump, toilet, 2 open balconies.Exchange is also possiblewith a mansionI am not an agent.It is also possible with property for an additional fee.NOT FOR RENTTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16185719
Stone,No,Not available,2,123 sq.m.,5,1,from 3.5 m,2,Closed balcony,Available,Partial Renovation,"Eghegnut Roadway 7, Zartonk","$28,000",USD,"URGENT, it is a 2-storey house. A 1000m plot in the yard, has a cowshed, a deep well. The house consists of 2 floors. On the 2nd floor, 3 bedrooms, 1 corridor and a balcony. On the 1st floor, one corridor, kitchen, bathroom, large bedroom, storage room. Gasified with hot and cold water provided. Call for details.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15732414
Stone,No,Not available,3,70 sq.m.,3,1,from 3 m,3,Closed balcony,,No Renovation,Armavir › Baghramyan,"$30,000",USD,Armavir regionc. Baghramyan (Parakar community)euro windowsIron entrance doorTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/17383730
Panels,No,Not available,5,108 sq.m.,3,1,from 2.75 m,4,Open balcony,Available,Euro Renovation,"Արագած փողոց 16, Վաղարշապատ","$65,000",USD,"Վաճառվում է բնակարան Զվարթնոցի շենքերում. ՝Արագածի զանգված: Հնարավոր է վաճառք նաև գույքով ու էլեկտրոնիկայով: Ունի ավելացրած բալկոն 30 քառակուսի: Возможна продажа за российкие рубли тоже по курсу без ченджа! Продаётся с мебелью и электроникой, 2 холодийника, 2телевизора, кухонные пренадлежности!",Nov-25-2022_14-04,,,,,https://list.am/en/item/18155003
Stone,No,Not available,5,110 sq.m.,3,1,from 2.7 m,1,Not available,,Old Renovation,"Vazgen Arajin street 40, Vagharshapat","$55,000",USD,Большая квартира,Nov-25-2022_14-04,,,,,https://list.am/en/item/17205323
Stone,No,Not available,3,75 sq.m.,2,1,from 3 m,1,Not available,,Major Renovation,"Baghramyan street, Armavir","$68,000",USD,For more information callTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18150219
Stone,Yes,Not available,1,98 sq.m.,3,1,from 3 m,1,Closed balcony,,Partial Renovation,Armavir › Armavir,"$45,000",USD,"Own house in Maisyan village of Armavir is urgently paid for. The house is being completely renovated, the windows have been changed... The electric wires have been changed... The bathroom is tiled. It has 1400m of land, a cattle farm of 96 square meters. The house is fenced and has all utilities. At the same time, it is given as a loan. Also, a transaction with a possible mortgage or a 50% advance payment of the amount of a foreclosed house, only with a notary...Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18122635
Panels,No,Not available,5,75 sq.m.,3,2,from 2.75 m,5,Closed balcony,Not available,Old Renovation,"1district, Metsamor","$25,000",USD,"The apartment is complete with 3 rooms, it is in state condition, the roof is completely renovated, dry. The apartment is corner, south facing, sunny, in front of the park, great view of Ararat, close to the bus stop. Price $25,000, negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15570748
Stone,No,Not available,2,65 sq.m.,2,1,from 3.5 m,1,Open balcony,Available,Cosmetic Renovation,"Shahumyan street 14, Armavir","$13,000",USD,The apartment is located near the canning factory. Shahumyan 10. It is in good condition.Translated from Armenian,Nov-25-2022_14-04,,,"YArd view, park view",,https://list.am/en/item/17727657
Stone,Yes,Not available,5,76 sq.m.,3,1,from 2.7 m,3,Closed balcony,Not available,Cosmetic Renovation,"1-st District, Metsamor","20,000,000 ֏",AMD,"For sale without property, 2 storage rooms, euro windows, copper wires changed, has baxi systemTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17504328
Stone,No,Not available,2,80 sq.m.,3,1,from 3 m,2,Open balcony,By agreement,Euro Renovation,"Բաղրամյան փողոց 7, Վաղարշապատ","$53,000",USD,"A 3-room apartment is for sale in the center of Etchmiadzin, equipped with all utilities.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18230356
Stone,No,Not available,2,89 sq.m.,4,1,from 2.8 m,1,Open balcony,Not available,Major Renovation,Armavir › Armavir,"$65,000",USD,"Apartment for saleArmavir, Metsavan• 4 rooms• 89 square meters• 2 / 1st floor / stone /_•renovated• Euro windows•Heating System• The bathroom is tiled• Fenced• yard• Garage• Open balconyCode VM814Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17551978
Stone,No,Not available,5,85 sq.m.,4,1,from 2.7 m,5,Open balcony,Available,Euro Renovation,"Baghramyan street 22, Vagharshapat","$75,000",USD,"An apartment is for sale on Baghramyan street, Echmiadzin. Fully renovated, with all utilities, open balcony.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14479842
Panels,No,Not available,5,61 sq.m.,2,1,from 2.7 m,2,Open balcony,Available,Major Renovation,"Չարենցի փողոց 23, Վաղարշապատ","$57,000",USD,"2 rooms with niche. Thoroughly reconstructed. For sale with furniture and all appliances. The corridors are equipped with comfortable cupboards. It has a basement, possibility to move forward, own heating and water supply.Price Depending on exchange rate fluctuations: May change.Long term rental possible /item/18301354Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18055697
Stone,Yes,Not available,2,220 sq.m.,5,1,from 3 m,1,Open balcony,Not available,No Renovation,"Baghramyan street, Armavir","$16,000",USD,"Կիսակառուի 1,5 հարկանի սեփական տուն, հողի ընդհաուր մակերեսն 600 քմ մանրամասների համար զանգահարել նշված հեռախոսահամարով",Nov-25-2022_14-04,,,,,https://list.am/en/item/14558425
Stone,No,Not available,5,46 sq.m.,1,1,from 3.5 m,5,Not available,Not available,Euro Renovation,Armavir › Armavir,"10,500,000 ֏",AMD,Euro windows iron door for questions call very urgentlyTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18130222
Panels,No,Not available,5,65 sq.m.,2,1,from 2.5 m,1,Closed balcony,,Partial Renovation,Armavir › Metsamor,"$28,000",USD,Urgent saleTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18071096
Stone,No,Available,11,999 sq.m.,2,2,from 3 m,3,Closed balcony,By agreement,Cosmetic Renovation,"1district, Metsamor","$38,000",USD,Exchanged everything with Visotn 6 apartment with an apartment in OctoberTranslated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/11495172
Stone,Yes,Not available,2,668 sq.m.,8+,2,from 3.2 m,2,Multiple balconies,Not available,No Renovation,"Անդրանիկի 4-րդ թաղամաս 19, Վաղարշապատ","$140,000",USD,"The house is made of stone, 17 m * 14.80 m in the city of Etchmiadzin, on the Echmiadzin-Yerevan bypass road. The house has two floors, the basement is located under the whole house, divided into three large rooms, respectively 11 m * 5.6 m, 7 m * 4.5 m and 7 m * 4.70 m, with the installation of three-phase power cables for the possible workshop. The total area of the house without the basement is 520 square meters, and together with the basement - 668 square meters. On the first floor there is a spacious hall, two kitchens, a living room, a large balcony, a summer kitchen, a bathroom, a shower-garage, on the second floor there are 5 bedrooms, a hall, a bathroom, a bathtub, a living room with two balconies. All windows and interior doors are wooden. The house was built in 1989-92, the interior has no final renovation, the bathrooms and showers are not plastered and tiled. E-mail Electricity and drinking water are available, the house is not provided with natural gas. The total land plot together with the house is 850 square meters, of which 520 m is mentioned in the certificate. The house is built in the middle of the plot, it is fenced on both sides. On the right side of the house there is a corridor measuring 14 m * 2.80 m, and in the inner yard there are auxiliary buildings. All three floors of the house are covered with monolithic concrete.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17513969
Panels,No,Not available,5,62 sq.m.,2,1,from 3 m,5,Open balcony,,Old Renovation,"Aragatsi street, Vagharshapat","$35,000",USD,"2-room apartment on the 5th floor of a 5-storey building for sale, the roof is repaired, has gas, water chapelTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17937835
