Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,200 sq.m.,1,4,1,No Renovation,1220 sq.m.,"Քոթանյան փողոց 10, Թալին քաղաք","12,000 ֏",AMD,UnfinishedComplete monolithic concrete 2020 building.Availability of water.Drawn gas.Very urgently for that price back.Translated from Armenian,Nov-25-2022_00-24,Available,Not available,,,,https://list.am/en/item/17963525,
Country House,Stone,384 sq.m.,2,5,2,Major Renovation,3000 sq.m.,Aragatsotn › Aghdzk,"$150,000",USD,"Summer house for sale in Dzorap village, 30 minutes away from Yerevan.The summer house has all the facilities,It has two floors, it also has a basement, a garage, a swimming pool, an auxiliary building of 25 m, an orchard, it is completely tiled and fenced, it has all the utilities.Two bathrooms, 4 bedrooms, fireplace both in the house and in the yard, the outdoor fireplace has a toaster.Translated from Armenian",Nov-25-2022_00-24,Available,1 spot,,,,https://list.am/en/item/18098939,
Country House,Stone,240 sq.m.,2,6,1,Designer Renovation,1700 sq.m.,Aragatsotn › Ashtarak,"$185,000",USD,"A beautiful, comfortable two-storey private house is for sale in Parpi community, Aragatsotn region. The house is renovated. The area of the house is 240 square meters...In the yard there is also a rest hall, a tonratun, a barbecue.The bathroom is tiled, equipped with the necessary sanitary ware. The house is for sale together with all the property and equipment. Constant drinking cold water, has 2 basements, there are various fruit trees, it is 18 km away from Yerevan.Translated from Armenian",Nov-25-2022_00-24,Available,3 or more spots,,,,https://list.am/en/item/16930618,
House,Stone,175 sq.m.,1,3,1,Old Renovation,2200 sq.m.,Aragatsotn › Aparan,"$100,000",USD,"The real estate is located in Yeghipatrush village, the total area is two thousand two hundred square meters, including the 111 square meter residential house and the 65 square meter garage. The house is provided with drinking water and electricity, and the plot has the possibility of irrigation and is currently being irrigated. Call for other details.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18334139,
House,Stone,220 sq.m.,2,7,2,Major Renovation,2000 sq.m.,Aragatsotn › Ashtarak,"$135,000",USD,"2-storey private house (220 sq. M.) in Parpi village is for sale.Has 2 living rooms,4 bedroomsKitchen, 2 bathrooms,Entrance hall, balcony, basement,has a recreation hall (40 sq. M.) in the yardgarage (25 sq. M.), pastry factory (30 sq. M.),Bakery,barbecue, pool,There are all the communal facilities: Drinking water, irrigation water, gas, electricity, sewerage.The area of the land (2000 square meters) is an orchard.At a distance from Yerchan (20 km), Aragatsotn region, Parpi village,It has an asphalt road, it is located in a high position.Code t-444Translated from Armenian",Nov-25-2022_00-24,By agreement,3 or more spots,,,,https://list.am/en/item/17726947,
House,Stone,1500 sq.m.,1,4,1,Cosmetic Renovation,180 sq.m.,Aragatsotn › Ashtarak,"$90,000",USD,4-room house for sale in Ashtarak.Near the carp rest area.On the gorge.Has an orchard.7star:Code t-442Translated from Armenian,Nov-25-2022_00-24,By agreement,3 or more spots,,,,https://list.am/en/item/17594932,
Country House,Stone,160 sq.m.,2,4,2,No Renovation,600 sq.m.,"Grigor Lusavorich street, Mughni","$83,000",USD,"A newly built private house in Mughni community with a total land area of 600 square meters is for sale. The house has constant drinking and irrigation water, gas, electricity. The house has 2 floors, on the 1st floor there is a kitchen, bathroom, hall and living room, on the 2nd floor there are 3 bedrooms, 1 bathroom, one storage room.The area of the land is 600 square meters. E, on which there are 35 fruit trees and different types of flowers. The mansion has a chat room and a parking lot in the yard. Price: $82,000.Mughni, Muxni, Mughni;Translated from Armenian",Nov-25-2022_00-24,Not available,Not available,,,,https://list.am/en/item/14854541,
Country House,Stone,100 sq.m.,1,3,1,No Renovation,2500 sq.m.,Aragatsotn › Aparan,"$25,000",USD,A house (summer house) is for sale in Yernjatap village. There are 40 fruit trees in the garden.Translated from Armenian,Nov-25-2022_00-25,,2 spots,,,,https://list.am/en/item/18034103,
House,Stone,285 sq.m.,2,6,3+,Major Renovation,915 sq.m.,Aragatsotn › Ashtarak,"$250,000",USD,"A 2-storey detached house is for sale in Ashtarak city (2 minutes away from the square on foot) The mansion is renovated.The total area of the land: 915 sq/mTotal area of buildings: 283.9 sq/mCeiling height: 2.6 - 3.00 mConsists of 6 rooms.1 living room1 kitchen4 bedrooms2 halls3 bathroomsBasement is availableThere are 2 outdoor pavilions, one of which has a barbecue.It has a well-kept yard, there are many fruit trees.1 Parking space in the yard for 2 + cars.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18366480Translated from Armenian",Nov-25-2022_00-25,Available,2 spots,,,,https://list.am/en/item/18366480,
House,Stone,650 sq.m.,4+,4,3+,Major Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$150,000",USD,"4-storey private house for sale in Ashtarak.It has 3 bedrooms, 3 bathrooms, a kitchen, the upper floor can be converted into a playroom.It has an individual drainage system.Code t-454Translated from Armenian",Nov-25-2022_00-25,By agreement,3 or more spots,,,,https://list.am/en/item/18104043,
House,Stone,400 sq.m.,3,8+,3+,Major Renovation,8000 sq.m.,Aragatsotn › Ashtarak,"$450,000",USD,"A four-storey luxurious private house is for sale in Ashtarak (quiet, quiet area) The total area of the building is 400 square meters. Մ. , the land is 8000 sq. M. M.: The house is fully renovated. The entrance door is metallic, the windows are changed, the floor is wooden. The kitchen is furnished. 8 bedrooms, 2 halls. It is provided with constant water, gas and three-phase electricity. It is heated by a gas boiler. The kitchen: The bathroom is tiled and equipped with sanitary ware. The house has a basement, a stone garage, a winter garden, a wine house, a sauna, a swimming pool. There is a zoo in the yard, a large swimming room and a swimming pool. English teahouse, beautiful pond, football field, tennis courts, basketball court, the whole area is fenced, illuminated with neon lights. The road leading to the house is paved.$ 450,000:Building area - 500 square meters2 separate buildings8 bedrooms1 living room 60 sq. M.4 bar sections1 kitchen1 summer kitchen1 gym2 playrooms1 winery1 cellar1 shock bath1 indoor swimming pool1 outdoor swimming pool1 Football field (small)1 children's playgroundTranslated from Armenian",Nov-25-2022_00-25,Available,3 or more spots,,,,https://list.am/en/item/16434651,
House,Stone,100 sq.m.,1,3,1,Euro Renovation,1000 sq.m.,Aragatsotn › Ohanavan,"$250,000",USD,"One-story stone house for sale in Ohanavan village, Aragatsotn marz.It has 2 bedroomsOne bathroomIt also has a garage.There is a swimming pool.Also available on a daily basis.Code t-448Translated from Armenian",Nov-25-2022_00-25,By agreement,3 or more spots,,,,https://list.am/en/item/18047319,
House,Stone,340 sq.m.,2,5,2,Major Renovation,,Aragatsotn › Ashtarak,"$200,000",USD,"A private house in the tower is for sale.2-storey building.On the 2nd floor, 4 bedrooms, 2 bathrooms, living room, kitchen,80 square meters of the first floor, can be used as a word,has a 30 square meter recreation room.It has a swimming pool, pavilion.Code t-455Translated from Armenian",Nov-25-2022_00-25,Available,2 spots,,,,https://list.am/en/item/18104163,
House,Stone,250 sq.m.,2,4,1,Partial Renovation,420 sq.m.,Aragatsotn › Ushi,"$60,000",USD,"A 2-storey residential house with its own small plot is for urgent sale. The price is negotiable.For details, call the indicated phone numbers.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18085637,
House,Stone,200 sq.m.,2,4,1,No Renovation,1000 sq.m.,Aragatsotn › Aragats,"$35,000",USD,"The house has light. Water: Current... Gas. It has 1000 square meters of land with many fruit trees. Also possible for rent for 50,000 drams. 40 km away from Yerevan.Translated from Armenian",Nov-25-2022_00-25,Available,3 or more spots,,,,https://list.am/en/item/17669751,
House,Stone,340 sq.m.,2,7,2,No Renovation,2000 sq.m.,Aragatsotn › Kosh,"$60,000",USD,"A two-storey half-built private house is for sale in Kosh village, Aragatsotn region. The total area of the house is 340 m on both floors, each floor is 170 m.All the communications, electricity, water, gas are nearby, the water is running. It is built of artik and multi-fortified tuff, the facade is lined with a cornice and shuba. It has an orchard of 2000 m, with different types of fruit trees, and a large cattle barn. The private house is located in the center of the village, in front of the village administration, the school and the kindergarten are very close.Price is negotiableFor more information callTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/16322074,
House,Stone,2200 sq.m.,3,8+,3+,Major Renovation,8500 sq.m.,"Ashtarak highway, Yerevan","$650,000",USD,"Tsiranashen is a unique complex in the Republic of Armenia with a total area of 3 hectares. Tsiranashen is located in Ashtarak, not far from Yerevan. The complex is surrounded by Ararat, Aragats and Ara mountains. The complex has 3 buildings, ready and in perfect condition, with 9 bedrooms and 6 bathrooms. Part of the special features of Tsiranashan are the large water resources, the proximity to the main highway connecting the major cities of Armenia and the unique architecture that is decorated with precious Armenian red tuff. Tsiranashen is a special complex with a spacious yard, swimming pool, stone building with marble and granite floors. Tsiranshen is the best investment in Armenia. In the southern part of the complex there is a large space that can be used as a tennis court. There is also a semi-detached building (garage) for more than 40 cars. This building can also be used as a gym, swimming pool or something else. The clean air, wonderful location and high quality construction will make any business project perfect.Translated from Armenian",Nov-25-2022_00-25,Not available,3 or more spots,,,,https://list.am/en/item/18261723,
House,Stone,380 sq.m.,2,7,2,Euro Renovation,3000 sq.m.,"Ashtarak highway, Yerevan","$260,000",USD,"A spacious and bright 7-room private house is for sale in Ushi village, Aragatsotn marz.• The house has been fully renovated, an iron entrance door, European windows, European interior doors have been installed.• Heating is carried out by means of turbo-stoves.• The floors are covered with tiles and laminate.• Bathrooms are tiled and equipped with sanitary ware.The mansion consists of two floors.• On the first floor there is a living room, kitchen, hallway, bathroom, 2 bedrooms.• On the 2nd floor: Open balcony, 3 bedrooms, 1 living room, 1 bathroom.• The mansion has an outdoor parking space for more than 8 cars.• In the yard there is a large pavilion for about 40 people, a swimming pool, a barbecue.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code MC071Translated from Armenian",Nov-25-2022_00-25,By agreement,3 or more spots,,,,https://list.am/en/item/17994135,
Country House,Stone,164 sq.m.,2,6,2,No Renovation,1000 sq.m.,Aragatsotn › Byurakan,"11,500,000 ֏",AMD,"Каменный дом, прекрасный вид на Арарат и крепость Амберд.",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18242547,
House,Stone,281 sq.m.,2,6,1,No Renovation,1500 sq.m.,Aragatsotn › Ashtarak,"$54,000",USD,"Urgent sale of a two-story private house on Tumanyan street in Ashtarak city.The house is completely fenced. Each floor is 141 square meters, the land area is 1500 square meters.On the first floor of the house there is a corridor, a spacious living room, a kitchen, a storage room, a bathroom with a dressing room, a garage.On the second floor: Spacious living room, hallway, three bedrooms, open balcony, kitchen.The house is provided with constant drinking and heating water, electricity, gas.The house is completely gutted and in need of repair.For details, call the indicated numbers.CODE 320Code Code 320Translated from Armenian",Nov-25-2022_00-25,Not available,2 spots,,,,https://list.am/en/item/18121816,
House,Stone,1100 sq.m.,1,5,1,Partial Renovation,900 sq.m.,Aragatsotn › Oshakan,"$34,000",USD,"Urgent Own house in Oshakan, 130 square meters, cash only, foreclosure or mortgage, do not call, the house is provided with all utilities, gas, electricity, water 24 hours, the ceiling height is more than 3 meters, it is one floor with two walls, all the windows have been changed, Euros are installed on all windows fences ""reshotka"" on the side there is a section for keeping small pets, the garage is currently in the yard without a roof, it is open air, one car can park quietly inside the garage, you can make it the way you want, 13 years old new building, 3 large rooms and a large hall, a large kitchen I will stick to the lawn, the plot is about 900 square meters, there are trees in it, it is fenced with a net, and the front side of the house is separated by a stone wall, it is an urgently clean building, a separate dug sewer that is separate from the highway, water 24/7, gas, electricity in the house, irrigation water you can still water the land whenever you want, the house is ready for habitation, at the moment there are still works to be done, the repairs you want, you can do the plastering works as you wish, beautiful proektova built in, the house has another door from the kitchen, which is left open as a back entrance on summer days and you open it to ventilate the kitchen, the bathroom is in the house, if the gas boiler is installed now, there will be hot water in the kitchen and bathroom, there are pipes, it is currently habitable from every point of view, has the possibility to add one more floor in the future, sunny house on both sides, real buyers should call.Translated from Armenian",Nov-25-2022_00-25,Not available,1 spot,,,,https://list.am/en/item/17692208,
House,Stone,158 sq.m.,2,8+,1,No Renovation,1240 sq.m.,Aragatsotn › Antarut,"$45,000",USD,"A two-storey stone building, the roof is an attic, the house is built in the middle of the land can be divided into two parts. 1240 square meters of land, completely orchard, fully fenced, has the ability to irrigate from both sides, located 32 km from Yerevan. It is very convenient to live permanently in a summer house.Translated from Armenian",Nov-25-2022_00-25,Not available,2 spots,,,,https://list.am/en/item/17971242,
House,Stone,195 sq.m.,1,6,2,Major Renovation,1200 sq.m.,Aragatsotn › Parpi,"$135,000",USD,"A newly built private house is for sale in Parpi village, only 27 km away from Yerevan.The area of the land is 1200 square metersThe area of the private house is 194.5 square metersThe house consists of:from the lobbyfrom a spacious living roomFrom 3 bedroomsfrom the officefrom the dressing roomfrom the kitchenhas 2 bathrooms and open balconyThe house is fully renovated. All communications are available. A heating system is installed, the floor is also heated. The kitchen has a built-in gas stove and ventilation system. The house is fenced, iron gates are installed.It has a large garden with new fruit trees.For sale together with the kitchen property.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17562653,
House,Stone,200 sq.m.,2,6,1,Cosmetic Renovation,1200 sq.m.,Aragatsotn › Talin,"$65,000",USD,"Private house of 400 sq. M. Is for sale. In the area, there is light, water, gas, a garden with 150 fruit trees;Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17970889,
House,Monolith,200 sq.m.,2,6,1,Partial Renovation,5000 sq.m.,Aragatsotn › Oshakan,"$64,000",USD,House dacha recreation area on the bank of the river wonderful nature in the river swimming pond andThe base of the pavilion is about 80 m/sq. And plenty of places to put paladka or bisetka. The price is valid until 25.11.2022Translated from Armenian,Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/17998927,
House,Stone,350 sq.m.,2,4,1,Old Renovation,,"Թաղիադյան փոզոց, Աշտարակ","$55,000",USD,"Վաճառվում է երկու հարկանի տուն Աշտարակում։ Ունի ավտոտնակ, նկուղ։",Nov-25-2022_00-25,Available,2 spots,,,,https://list.am/en/item/13738288,
House,Stone,460 sq.m.,2,5,1,Old Renovation,780 sq.m.,Aragatsotn › Ashtarak,"$85,000",USD,"Дом находится в центре города Аштарака, по всем вопросам звоните по этому телефону!",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18236847,
House,Stone,120 sq.m.,2,7,2,No Renovation,450 sq.m.,Aragatsotn › Ashtarak,"$52,000",USD,Аштарак гюх. Сасуник,Nov-25-2022_00-25,,,,,,https://list.am/en/item/18000209,
House,Stone,301 sq.m.,2,6,2,Partial Renovation,625 sq.m.,Aragatsotn › Ashtarak,"$95,000",USD,"Good condition, 3 bedrooms, 2 bathrooms, fireplace, parquet, mosaic windows, gas, water, water heater, sewer, fruit trees / walnut, peach, apricot, almond /, 2 large deer, small swimming pool, garage and basement under the house, tonratun, fenced: 2 m high ․,code 6412:Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/17644428,
House,Stone,220 sq.m.,2,4,1,Major Renovation,340 sq.m.,"Ashtarak highway, Yerevan","$135,000",USD,"Near Caucasus restaurant complex,1st floor renovated, the attic is divided by the walls, 1 bathroom, gas, water, sewerage, two under stone,code 13206:Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/17739091,
House,Stone,137 sq.m.,2,5,2,Partial Renovation,500 sq.m.,Aragatsotn › Parpi,"$30,000",USD,"The roof is tiled and flat, European windows, iron door, open balcony, 3 gas points, beautiful view, 4 newly planted cherry trees, 4 productive walnut trees,Code: 12787Translated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/17771904,
House,Stone,1000 sq.m.,2,8+,2,Major Renovation,1000 sq.m.,"Tigran Mets Street, Ashtarak","$190,000",USD,"Վայրը` Արագածոտն (Օշական)Նախագիծը` ՔարեՄակերես` 1000/460 քմՆորոգումը` ԿապիտալՋեռուցումը` ԿենտրոնացվածԳազ` ԱյոՄշտական ջուր` ԱյոՎաճառվում է երկհարկանի առանձնատուն Օշականում: Առանձնատունը կապիտալ վերանորոգված է, անցկացված է կենտրոնացված ջեռուցում, գորգ մանրահատակ: Յուրաքանչյուր հարկի մակերեսը 180ք/մ է: Ունի երկկողմանի ջրամատակարարում, պտղատու այգի, լողավազան, նկուղ 180ք/մ մակերեսով: Գինը նախնական է: Հնարավոր է փոխանակում մեքենայի կամ բնակարանի հետ: Չէ, հնարավոր է փոխանակում Երևանում բնակարանի հետ",Nov-25-2022_00-25,By agreement,1 spot,,,,https://list.am/en/item/15911165,
House,Stone,140 sq.m.,2,2,1,Cosmetic Renovation,600 sq.m.,Aragatsotn › Parpi,"$52,000",USD,"A two-story stone house with a 530 sq/m garden for sale or exchange with a 1-room apartment in Yerevan; On the first floor there are 2 large rooms with a ceiling height of 3m. The apartment has an open view in the direction of Mount Masis, is equipped with all utilities, constant water, gas, drinking water is free. The house is located in the central part of the village, the hospital and the kindergarten are located nearby. There is a parking space in the yard.Translated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/16954869,
Country House,Stone,100 sq.m.,3,8+,1,Partial Renovation,500 sq.m.,Aragatsotn › Aparan,"$15,000",USD,"A country house is for sale in the Ara mountain country house district without an intermediary. It is located 45 km from Yerevan, a 30-minute drive. The summer house is located in the Aparan region, on the slopes of Mount Ara, in the lap of wonderful nature. Above is the forest, below is the Kazakh river flowing in the valley, opposite is Aragats mountain. The total area of the land is 500m2. A three-story private house has been built. There is a basement on the 1st floor. 2nd floor living room, entrance kitchen, hallway, living room. The 3rd floor is an attic (mansarda), which, if improved, can be used to build bedrooms. Provided with electricity and drinking water. It has a garden with fruit trees.Will negotiate to real buyerTranslated from Armenian",Nov-25-2022_00-25,By agreement,2 spots,,,,https://list.am/en/item/16342448,
House,Monolith,360 sq.m.,3,5,3+,Major Renovation,,Aragatsotn › Ashtarak,"$450,000",USD,"A private house is for sale in Mughni community with a total land area of 600 m. The house has constant hot and cold water, gas, light, the floor is heated and has a heating system. The house is 2-storey (its own floor is 100m), one floor is basement (70m), on the 1st floor there is one bedroom, kitchen, bathroom toilet and living room, on the 2nd floor there are 2 small and 1 large bedrooms, 2 bathrooms toilet, one storage room, basement The floor is not repaired. The area of the land is 600 m, on which there are 18 fruit trees, different types of flowers and plants. The house is monitored by video cameras, has a security system.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/11919380,
House,Stone,100 sq.m.,1,3,1,Major Renovation,600 sq.m.,Aragatsotn › Ohanavan,"$72,000",USD,"1-storey house is located in a very quiet place in Ohanavan new district, 1200 square meters. M.Gasification near the road, water supply, possible exchange with a car urgently.Translated from Armenian",Nov-25-2022_00-25,Available,Not available,,,,https://list.am/en/item/18245627,
House,Stone,140 sq.m.,2,4,2,Major Renovation,950 sq.m.,Aragatsotn › Ashtarak,"$85,000",USD,"A two-storey private house is for sale in Ashtarak. In Smbat Zoravar street.1st floor capitally renovated and not inhabited yetThe second floor needs partial renovation.It has a large garden with different fruit trees.If you have any questions, call.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17884768,
House,Stone,300 sq.m.,1,3,1,Partial Renovation,4000 sq.m.,Aragatsotn › Oshakan,"$125,000",USD,"A small house for sale in Oshakan, with a fruit garden, about 50 meters from the front, suitable for business, a recreation area, a plot of land, going down to the river, for all questions, call, negotiable, there is also a bakery.Code 001187Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/18238554,
House,Stone,143 sq.m.,2,4,1,Partial Renovation,800 sq.m.,Aragatsotn › Byurakan,"$55,000",USD,"Urgently for sale cozy private house miracle in Byurakan 800 sq. M. Garden, 143 sq. M. Residential ․ There are utility conditions ․ Has 2 bedrooms, living room, bathroom, kitchen, large open balcony, basement, beautiful garden, garage ․ Comfortable and permanent residence նպատակով for commercial purposes ․Call real buyers ․ For sale with property ․ Near the road ․Price is negotiable ․Code 2248Translated from Armenian",Nov-25-2022_00-25,Not available,1 spot,,,,https://list.am/en/item/17746625,
House,Stone,260 sq.m.,2,6,2,Partial Renovation,750 sq.m.,Aragatsotn › Ashtarak,"$82,000",USD,"Ashtarak, Tandzanoz districtTwo-story stone house.Windows: Replaced, European windows.Entrance door: Iron.The roof: Tin.1st floor: 2 rooms2nd floor, 4 roomsFenced, fruit garden, basement 2 bathrooms, open balcony, natural gas, second floor tiled, floor: Tiled, bathroom tiled, bedrooms: Built-in wardrobe.Parking for two cars.There is a septic tank in the garden.Translated from Armenian",Nov-25-2022_00-25,Not available,1 spot,,,,https://list.am/en/item/18143404,
House,Stone,100 sq.m.,1,4,1,No Renovation,,Aragatsotn › Oshakan,"$50,000",USD,Private house with 9000 m garden next to itTranslated from Armenian,Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/15519876,
House,Stone,250 sq.m.,1,4,1,No Renovation,,Aragatsotn › Oshakan,"$27,000",USD,Private house in Oshakan next to the churchTranslated from Armenian,Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/15518533,
Country House,Stone,475 sq.m.,1,3,1,Partial Renovation,400 sq.m.,Aragatsotn › Agarak,"$38,000",USD,"Summer house on the farmFruit trees: Cherry, quince, oak, peach, grapeIn the center of the villageCall the viber numberAlso available for rentTranslated from Armenian",Nov-25-2022_00-25,Available,3 or more spots,"BArbecue oven, alarm system",,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/17555024,
House,Stone,760 sq.m.,2,8+,2,Old Renovation,450 sq.m.,"Yerevanyan St 23, Ashtarak","$100,000",USD,"Two-storey private house for sale in Ashtarak, with its land, good young fruit trees, can be exchanged for an additional feeAshtarak city, St. Sargis street house 8, on the way down to Arik Rest Resort, negotiable. It is for rent.Translated from Armenian",Nov-25-2022_00-25,By agreement,Not available,,,,https://list.am/en/item/16145764,
Country House,Stone,170 sq.m.,1,4,1,Euro Renovation,,Aragatsotn › Ushi,"$300,000",USD,"Продается двухэтажный частный дом на 6-м км Аштарак-Апаранского шоссе (15 минут от 15 микрорайона) Есть фруктовый сад (абрикосовый, персиковый, яблоневый, вишневый и др.) Он огорожен туфовым камнем. Есть беседка на 30 человек, мангал, тонир и плед для парковки. Существующий подвал со всей площадью дома արան холодильник в подвале.Дом обеспечен постоянной водой, природным газом, электричеством и поливной водой.",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17601353,
House,Stone,223 sq.m.,1,4,1,Major Renovation,6000 sq.m.,Aragatsotn › Karbi,"$300,000",USD,"A two-storey private house is for sale on the 6th km of Ashtarak Aparan highway (15 minutes from 15 districts) There is an orchard (apricot, peach, apple, cherry, etc.) It is fenced with tuff stone. Has besedka for 30 people, barbecue, tonir and blanket for parking. Existing basement with the whole area of the house արան refrigerator in the basement.The house is provided with constant water, natural gas, electricity and irrigation water.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17455165,
House,Stone,400 sq.m.,2,8+,1,No Renovation,1100 sq.m.,Aragatsotn › Voskevaz,"$60,000",USD,"Newly built, unfurnished, no windowsTranslated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17090950,
House,Stone,280 sq.m.,2,7,2,Designer Renovation,1400 sq.m.,Aragatsotn › Ohanavan,"60,000,000 ֏",AMD,"Private house for sale in Ohanavan. Total area 1700 square meters, living area: 280 square meters. The private house has 5 bedrooms, 2 spacious living rooms, 2 bathrooms, basement. The entrance door of the mansion is iron, the windows are euro, the interroom doors are euro and wooden, the hall is presgranite, the bedrooms are laminated, the bathrooms are tiled. Car garage for 2 cars, open balcony, well-kept yard, fenced orchard. It has permanent heating/ cold water, gasification, and a solar water heater is installed on the roof.I will listen to the exchange at an additional cost from youCall for detailsTranslated from Armenian",Nov-25-2022_00-25,Available,2 spots,,,,https://list.am/en/item/18257692,
House,Stone,50 sq.m.,4+,1,1,Partial Renovation,20 sq.m.,"Khanjyan St, Talin","$10,500",USD,Mek senyak darcrac 2,Nov-25-2022_00-25,Not available,1 spot,,,,https://list.am/en/item/16478013,
Country House,Monolith,548 sq.m.,2,4,3+,Major Renovation,1800 sq.m.,"Vahagni street, Yerevan","$990,000",USD,"Address: Vahagn District.2-storey Luxurious and Unique House for sale in Vahagn District. With a large plot of land.===== (2 floors, 4 rooms, 5 bathrooms, residential 548 sq / m) =====The house has all the necessary utilities:• Constant hot and cold water,• Gas, gas boiler,• Iron door,• Open balcony, Swimming pool,• Parking ․===== Price: $ 810,000 =====Dear Customer, You can contact us at:Viber, WhatsApp // Arthur:Instagram. Rent_house_yerevan:Facebook. Rent_house_yerevan:Code VVG224Translated from Armenian",Nov-25-2022_00-25,Available,2 spots,"SWimming pool, barbecue oven, gazebo","AIr conditioner, fridge, stove, dishwasher, washing machine","ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/14719078,
Country House,Stone,332 sq.m.,3,3,3+,Partial Renovation,540 sq.m.,Aragatsotn › Mughni,"$110,000",USD,"Only the first floor is renovated. It is provided with communal facilities (gas, electricity, water) Negotiable. Call for questions.Translated from Armenian",Nov-25-2022_00-25,,,,,,https://list.am/en/item/17378812,
Country House,Stone,600 sq.m.,1,1,1,No Renovation,600 sq.m.,Aragatsotn › Shamiram,"$4,000",USD,"Empty plot of land for sale in Ashtarak, village Shamiram, area 600 square meters, you can use it for construction purposes, whatever you want, there is no house, it is an empty plot, you can build a houseTranslated from Armenian",Nov-25-2022_00-25,Not available,Not available,,,,https://list.am/en/item/18308775,
House,Stone,625 sq.m.,1,5,1,Cosmetic Renovation,425 sq.m.,Aragatsotn › Ashtarak,"$90,000",USD,"Kitchens: 1, bathrooms: 2 combined, bedrooms: 3, total 6 rooms, storage room: 1, balconies: Open-closed, type of building: Stone, condition: Fully renovated, windows: Moscow windows, pipes: New, electric wires: New, tiles -tile: New European, external door: Iron, permanent water, electricity, individual heating system, garage. The roof is made of tin.3 bedrooms, 2 bathrooms, good condition, fireplace, parquet, mosaic windows, gas, water, water heater, sewer, fruit trees / walnut, peach, apricot, almond /, small pool barbecue, fenced: 2 m high, 2 large trees# 2 rooms # 3 rooms # 1 room # 4 rooms # 5 rooms # 6 rooms # 7 rooms# apartment # private house # own house# sale # apartment # house # Ashtarak # very urgent# Area # For Sale # Rent # Center # Yerevan # Armenia # Agency # Real Estate # Home # Apartment # Renovated # Clean condition # Apartments # Luxuryhouse # Penthouse # Real Estate Estates # Realtor # Broker # DreamHome # DreamHouseCode 06412Translated from Armenian",Nov-25-2022_00-25,By agreement,1 spot,,,,https://list.am/en/item/11576177,
House,Stone,250 sq.m.,3,8+,2,Partial Renovation,600 sq.m.,"Մուղնի գյուղ 111, Աշտարակ","$150,000",USD,Two-story private houseTranslated from Armenian,Nov-25-2022_00-25,,,,,,https://list.am/en/item/17234044,
