Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Appliances,Service Lines,Facilities,Links
Country House,Monolith,110 sq.m.,3,3,1,,,Partial Renovation,Lorri › Vanadzor,"$16,000",USD,"There are fruit trees,The entire area is fencedA beautiful view can also serve as a recreation area.There is an opportunity to increase the land area.There is a clean stream nearby.There will also be a booth,Call for all questions.Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/18203995
House,Stone,1861 sq.m.,3,8+,3+,,,Partial Renovation,Lorri › Vanadzor,"$160,000",USD,"Трехэтажный каменный дом в Ванадзоре.8 комнат, 2 гаража, большой участок.Есть большие балконы, полностью облицованные санузлы.Каменные заборы по всему периметру, железные надежные ворота.Есть незаконченные постройки под сауну и баню, большая беседка и летняя кухня.Прекрасная возможность иметь свой дом, дачу или гостевой дом для комфортной обстановки.* Пол из качественного дубовогоПаркета!*ПРОДАЖА или ОБМЕН",Nov-25-2022_00-21,635 sq.m.,,,,https://list.am/en/item/16617228
House,Stone,150 sq.m.,2,5,1,,,Old Renovation,Lorri › Tashir,"$5,500",USD,Շտապ երկհարկանի տուն 1300 մետր քառակուսի հոխամասով առանցին անասնագոմով ու թոնրատնով շուկայականից ցածր գնով հնարավոր է նաև փոխանակում 1500-2000 $-ի սահմանում ավտոմեքենայի հետ՝ձեր կողմից հավելավճարով հասցեն Տաշիրի շրջան գյուղ Մեծավան,Nov-25-2022_00-21,1300 sq.m.,,,,https://list.am/en/item/17996571
House,Stone,100 sq.m.,3,5,2,Not available,1 spot,No Renovation,"Улица Ширакаци 17, Ванадзор","$18,000",USD,Продается два дома в деревне ваагни кировакан. Для подробной информации просьба обращаться по данному номеру.Продажа возможна и по отдельности,Nov-25-2022_00-21,200 sq.m.,,,,https://list.am/en/item/16911322
House,Stone,188 sq.m.,3,6,2,,,Partial Renovation,"Tumanyan street, Vanadzor","$75,000",USD,There is no house near Lori's restaurant with a garage and all utilitiesTranslated from Armenian,Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/18136133
House,Stone,300 sq.m.,1,3,1,,,Old Renovation,"Նելսոն Ստեփանյան փողոց 2-րդ նրբանցք 10, Վանաձոր","$15,000",USD,"Stone house in Vanadzor, 300 sq. M. Call real buyers, the house is located in the front district, near the 10th school, there is everything near the bus stop, the area for sale is mainly negotiable for the real buyer.Translated from Armenian",Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/17359480
House,Stone,250 sq.m.,1,4,1,Not available,Not available,No Renovation,Lorri › Vanadzor,"7,500,000 ֏",AMD,"The area includes a house-land, a total of about 250 m2. The house needs renovation, the roof is in very good condition. Exchange is possible, I will listen to offers. Price after seeing the negotiable houseTranslated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/8882377
House,Stone,80 sq.m.,2,4,1,Not available,3 or more spots,No Renovation,"Ծատուրյան փողոց 24Ա, Վանաձոր","$12,300",USD,"Very urgent a.The house is located near the 10th school, next to the high floors. 1st lineNeeds renovation.For details, write or call, I will provide WhatsApp, through which you will contact the owner.Price is negotiable.UrgentTranslated from Armenian",Nov-25-2022_00-21,100 sq.m.,,,,https://list.am/en/item/16864220
House,Stone,100 sq.m.,1,4,1,,,Old Renovation,Lorri › Tashir,"$23,000",USD,"The house is privatized. All documents are available. It needs repair. For detailed questions, call the indicated phone numbers. The village of Kruglashishka is 7 km away from Tashir.Translated from Armenian",Nov-25-2022_00-21,2950 sq.m.,,,,https://list.am/en/item/16399845
House,Stone,100 sq.m.,1,2,1,,,Old Renovation,"Բաղրամյան փողոց 97, Ստեփանավան","15,000,000 ֏",AMD,"Own house for sale in the central street of Stepanavan, on Baghramyan. With utilities, orchard, water, electricity and gas.Translated from Armenian",Nov-25-2022_00-21,800 sq.m.,,,,https://list.am/en/item/18207679
House,Stone,100 sq.m.,2,3,1,Available,2 spots,Old Renovation,Lorri › Gugark,"$27,000",USD,"A private house is for sale together with furniture, it also has a land plot that is urgently negotiable.Translated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/17636267
House,Monolith,240 sq.m.,2,5,3+,,,Old Renovation,"Nizami street, Vanadzor","$67,000",USD,"Возможен обмен на 1 или 2-х комнатную квартиру с доплатой.Двухэтажный дом, на верхнем этаже 5 комнат, широкая лоджия, широкая кухня с балконом, 2 санузла. На первом этаже гараж, большой подвал, и широкая большая комната, можно под производство. Дом можно подстроить также под хостел. Все коммуникации есть: Электричество, газ. Вода, канализация.Дом имеет очень хорошее месторасположение. С балкона город как на ладони. Солнечная сторона. До центра пешком 15 минут. Возможен торг или обмен на 1 или 2-х комнатную квартиру с доплатой. Серьезному покупателю хорошая скидка.Звонить на Viber",Nov-25-2022_00-21,540 sq.m.,,,,https://list.am/en/item/17324918
House,Monolith,400 sq.m.,2,1,1,,Not available,No Renovation,"Ղազարոս Աղայանի փողոց Ե1, Վանաձոր","$9,500",USD,"VERY URGENT Semi-built private house for sale (the house is 120 square meters, the plot is 380 square meters) The basement floor is solid monolithic, the walls of the first floor are tuff. The house and the plot together are 400 square meters. It is privatized, connected to the sewer, the front part is fenced, the gas is on the side, the location is very convenient - sunny. It is located near the Meghrut gas station, on the fourth street of Kotejai. Negotiable...Translated from Armenian",Nov-25-2022_00-21,380 sq.m.,,,,https://list.am/en/item/17111605
House,Stone,250 sq.m.,2,6,2,,,No Renovation,Lorri › Stepanavan,"$18,000",USD,"Own house for sale in Stepanavan city, urgent price negotiable.Translated from Armenian",Nov-25-2022_00-21,480 sq.m.,,,,https://list.am/en/item/18369055
House,Stone,50 sq.m.,1,2,1,,,Old Renovation,Lorri › Arjut,"2,000,000 ֏",AMD,"For urgent sale, newly built, orchard, water, fully fenced, there is a 12 and 9 ton water yard on the plot.Translated from Armenian",Nov-25-2022_00-21,2600 sq.m.,,,,https://list.am/en/item/18369032
House,Stone,504 sq.m.,3,8+,2,Not available,1 spot,Partial Renovation,"Բանակի փողոց 19, Վանաձոր","$90,000",USD,"3-storey private house is for sale on Banak street. It has a land and a garage.Exchange is possible, at your surcharge.Translated from Armenian",Nov-25-2022_00-21,350 sq.m.,,,,https://list.am/en/item/15974636
House,Stone,242 sq.m.,2,7,1,,,Partial Renovation,Lorri › Vardablur,"$55,000",USD,"The house is located in Vardablur, near the island, lakes. It has constant gas, light, water. The land already has fruit trees, two barns, big or small. Part of the first floor of the house - Garage, the other part - basement. There is a wonderful nature from the balcony.Translated from Armenian",Nov-25-2022_00-21,1400 sq.m.,,,,https://list.am/en/item/17986535
House,Stone,495 sq.m.,2,4,1,,,Old Renovation,Lorri › Vanadzor,"$33,000",USD,"A two-story private house with a plot of land and a garage is for sale very urgently in the district in front of the city of Vanadzor, next to the 10th school. Price $35,000, negotiable.Translated from Armenian",Nov-25-2022_00-21,495 sq.m.,,,,https://list.am/en/item/17943651
House,Stone,239 sq.m.,3,8+,1,,,No Renovation,Lorri › Tashir,"$27,000",USD,"Address, Tashir city, Sayat-Novai street, near the school. The price is negotiable. The walls are double-layered.Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/18273823
House,Stone,167 sq.m.,2,7,1,By agreement,Not available,Major Renovation,"Անտառային փողոց 4-րդ նրբանցք 13, Ստեփանավան","$210,000",USD,"FOR SALE. The house is newly built, built in 2017, renovated in designer style. There is round-the-clock water supply, gas supply and electricity supply. A BAXI gas boiler is installed, the heating system also works with wood. The walls are thermally insulated, gas consumption is low in winter. The foundation is moisture-insulated, as a result of which the rooms are dry. The house has a basement. The yard is paved with basalt tiles, fenced. There is a large and comfortable garage. Decorative and fruit trees are planted in the yard. It is close to the forest and it will be used as a holiday home, there is no need to go near the forest during pollination.Translated from Armenian",Nov-25-2022_00-21,678 sq.m.,,,,https://list.am/en/item/17789706
House,Stone,300 sq.m.,2,4,2,Not available,2 spots,Partial Renovation,"Narekaci street, Vanadzor","$18,000",USD,"The house is located in the 3rd part, it has partial renovation, the windows have been replaced (Euro), the house is sunny, it is located in the front part of the sun, it has a fertile land.The garage and cellars are located on the first floor of the house.Price negotiable...Translated from Armenian",Nov-25-2022_00-21,100 sq.m.,,,,https://list.am/en/item/17227585
House,Stone,137 sq.m.,2,3,1,Available,Not available,Major Renovation,"Բաղրամյան փողոց 34, Ստեփանավան","$54,900",USD,"Residential house in the city center, 2 floors /1st floor: Semi-basement/, 136.7 square meters of living area. , plot of land: 0.0407 ha, completely renovated, with all communications, gas heating system, there is a fireplace, furnished. The land and the fence border the front part of the Central Street, that is, it is very suitable for organizing a shop or any other commercial or service facility. 3 cars fit in the yard one after the other. The house is completely renovated, can easily be converted into a hostel/guesthouse.It is also rented for 120,000 AMD per month. It is sold with furniture and household appliances.Translated from Armenian",Nov-25-2022_00-21,407 sq.m.,,,,https://list.am/en/item/18275295
House,Stone,321 sq.m.,2,8+,3+,Not available,1 spot,Old Renovation,"Улица Нар-Доса 45, Ванадзор","17,000,000 ֏",AMD,"Продаётся большой дом в районе Димац с участком и гаражем недалеко от центра города (20-25 минут пешком до фонтанов) Отличное расположение на возвышенности.Площадь первого этажа 136 кв. М.Второй этаж 186 кв. МБоксовый гараж 40 кв. МТребует косметического ремонта и ремонта крыши.Վաճառվում է երկհարկանի առանձնատուն Դիմաց թաղամասի Նար֊Դոսի 45 փողոցում, հողատարածքով և ավտոտնակով։ Առաջին հարկի մակերեսը 136ք. Մ,երկրորդ հարկը 186քմ. Մ,ավտոտնակ 40քմ. Մ։Պահանջում է կոսմետիկ վերանորոգում և տանիքի վերանորոգում։",Nov-25-2022_00-21,,,,,https://list.am/en/item/18231845
House,Stone,467 sq.m.,3,8+,3+,,,No Renovation,Lorri › Spitak,"$30,000",USD,"Վաճառվում է քարե տուն 467,3 ք/մ մակերեսով: Ընդհանուր մակերեսը 2380 ք/մ: Խնդրում եմ անիմաստ չզանգել: Գինը վերջնական է:",Nov-25-2022_00-21,,,,,https://list.am/en/item/13994343
House,Stone,510 sq.m.,2,5,1,,,Partial Renovation,Lorri › Gugark,"$33,000",USD,"House in Gugark near Vanadzor. 510 m total land, 5 rooms, solid, pasture, dry Address Gugark 8 str. , 20 houses. Negotiable.Translated from Armenian",Nov-25-2022_00-21,510 sq.m.,,,,https://list.am/en/item/17901086
House,Stone,180 sq.m.,1,5,1,Not available,Not available,Old Renovation,Lorri › Stepanavan,"$13,000",USD,"The house is located 7 kilometers away from Stepanavan city, in the central part of Lejan village, it was built after the earthquake, the roof is aluminum, the size of the land is 0.108 hectares, the barn is 39 square meters. Մ. , tonir with separate cover, orchardTranslated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17205317
House,Stone,140 sq.m.,2,3,1,Available,2 spots,Euro Renovation,"Ադամյան փողոց, Վանաձոր","$28,000",USD,"A private house is for sale in the 3rd part of the district. There is a bax system, the house is thermally insulated. It has open and closed garages.Translated from Armenian",Nov-25-2022_00-21,273 sq.m.,,,,https://list.am/en/item/17614672
House,Stone,340 sq.m.,3,7,3+,Not available,Not available,No Renovation,"Կենտրոնական փողոց, Ագարակ","$44,000",USD,"House-guest house:It is located in Lori Marz, in the picturesque Agarak village near Stepanavan.It is an ideal place for rest.Has a large land area. Surrounding and heavenly views from the balcony.It is a very bright and sunny house.It has a very large balcony. There are wonderful views from the bedrooms, bathrooms and balcony.All bedrooms have separate bathrooms, they are large and bright. There are also windows in the bathrooms.The guest house is under renovation. Not completely finished.The roof, windows, heating system, e. Wires, water and sewer pipes are new.A security system, cameras are installed. WF.The plot of land: 1220 square meters.The house: 340 square meters, + 60 square meters of balcony.Very urgently:More details in the links -DJI 0475 DJI 0481 DJI 0480 DJI 0479 DJI 0478 Translated from Armenian",Nov-25-2022_00-21,1200 sq.m.,,,,https://list.am/en/item/17436471
House,Stone,120 sq.m.,1,3,1,,,Partial Renovation,"Narekaci street, Vanadzor","7,000,000 ֏",AMD,"With all utilities. Has a garage, a barn, has a basement inside the house, has a plot of land, It will be interesting to exchange. For more information call:Apartment, houseTranslated from Armenian",Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/17623548
Country House,Stone,80 sq.m.,1,3,1,,,Old Renovation,Lorri › Aznvadzor,"$6,000",USD,"There is also a semi-built barn, permanent water for free, price negotiable, fruit garden.Translated from Armenian",Nov-25-2022_00-21,2800 sq.m.,,,,https://list.am/en/item/18367603
Country House,Stone,80 sq.m.,1,4,1,,,Old Renovation,Lorri › Alaverdi,"$10,000",USD,"The house is not in good condition. Exchange is possible. For details, call NegotiableTranslated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17288619
House,Stone,80 sq.m.,1,4,1,,,Partial Renovation,Lorri › Vanadzor,"$25,000",USD,Солнечный дом с участком отдельный на димаце улица Маштоци с комунальными удобствами.,Nov-25-2022_00-21,400 sq.m.,,,,https://list.am/en/item/18246776
House,Stone,138 sq.m.,2,4,1,Not available,Not available,Partial Renovation,"Ֆիդայիների փողոց 30-2, Վանաձոր","$23,000",USD,With all utilities. Visit for details.Translated from Armenian,Nov-25-2022_00-21,825 sq.m.,,,,https://list.am/en/item/18183465
House,Stone,106 sq.m.,1,5,1,,,Cosmetic Renovation,"Улица Мясникяна 17, Степанаван","$31,000",USD,"It has a yard, I will send fruit trees separately. I will also send a picture and a video.The size of the residential house is 106 square meters, and according to the paper version, it is 82 square meters, not counting the kitchen corridorA daily wage of 16,000 drams is also providedTranslated from Armenian",Nov-25-2022_00-21,360 sq.m.,,,,https://list.am/en/item/18069285
House,Stone,200 sq.m.,2,8+,1,Not available,3 or more spots,Major Renovation,"Երևանյան խճուղի 243-1, Վանաձոր","$27,000",USD,"The house is located on Shahumyan 4 street, 2 windows, 1 house. All utilities, put into operation 2 years ago, very solid and bright, and a beautiful house with a 450-meter plot and other buildings. Newly built, garage, 3-4 cars, 3 basements, mustard garden, 2 existing shops, kindergarten, school, cultural center and polyclinic, pharmacy. The house was built in a very beautiful place, in a heavenly place, 300 meters away from the marshutki bus stop, it is an 8-minute drive to the central department store, it is also suitable for a guest house, the price is final, do not call to discuss the price, I will exchange it for a 5000-6000 dollar car with an additional fee, there is no lock don't offer, don't make pointless calls...Translated from Armenian",Nov-25-2022_00-21,500 sq.m.,,"ELectricity, water supply, natural gas, sewerage",,https://list.am/en/item/18063656
House,Stone,120 sq.m.,1,4,1,,,No Renovation,Lorri › Dsegh,"$100,000",USD,"The price is 4000 sq. M. With a land plot near the house, the price is negotiable. It is privatized.Translated from Armenian",Nov-25-2022_00-21,4000 sq.m.,,,,https://list.am/en/item/17740312
House,Stone,424 sq.m.,3,5,2,Available,3 or more spots,Major Renovation,"Sundukyan street, Vanadzor","77,000,000 ֏",AMD,"The house has 3 floors, the building is 15x15 m. On the 1st floor there is a parking space for 3 cars, 2 large basements, 1 room and a bathroom. On the 2nd floor there are 4 bedrooms, a living room, a kitchen, a bathroom and a spacious corridor. The 3rd floor is an attic, has 3 summer bedrooms and a large hall. The house has 3 large open balconies, heating and security systems. It is sold with all the furniture and appliances.Translated from Armenian",Nov-25-2022_00-21,328 sq.m.,,,,https://list.am/en/item/18280915
House,Stone,9999 sq.m.,2,6,1,,,Partial Renovation,"Չերնիշևսկի փողոց 19, Վանաձոր","$25,000",USD,"2 detached houses for sale, one renovated, one unrenovatedTranslated from Armenian",Nov-25-2022_00-21,9999 sq.m.,,,,https://list.am/en/item/18015267
House,Monolith,100 sq.m.,2,4,2,Available,1 spot,Partial Renovation,Lorri › Stepanavan,"$35,000",USD,"Private house for sale in Stepanavan, at 94/1 Georgian-Armenian address.The house has two floors, the stairs are from inside. It has all the communal facilities: Natural gas, hot and cold water, 2 bathrooms. For sale together with the furniture. The house has a stone garage, a large basement, a closed balcony, 2 open balconies, as well as 2 gardens.It was built after the earthquake, according to the Russian project in Tyumen. It has seismic resistance up to 10 points.There is a school and a kindergarten nearby.Price is negotiable.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/17079060
Country House,Stone,70 sq.m.,2,4,1,Not available,1 spot,No Renovation,Lorri › Dzoraget,"$8,000",USD,"Newly built private house for sale in the lap of Lori natureconstruction is in progresshas an atticSewage, electricity, water are availableI am the ownerThere is a plot in front and in the backpossible exchangeSuitable for residential and commercial (guest) purposes138 km from Yerevan20 km from Vanadzor1 km from TufenkyanTranslated from Armenian",Nov-25-2022_00-21,300 sq.m.,,,,https://list.am/en/item/16820779
House,Stone,159 sq.m.,2,4,1,By agreement,1 spot,Cosmetic Renovation,Lorri › Vanadzor,"16,500,000 ֏",AMD,"Call for details, price negotiable.The house is located next to the Agrarian University of Vanadzor districtTranslated from Armenian",Nov-25-2022_00-21,150 sq.m.,,,,https://list.am/en/item/17860076
House,Stone,145 sq.m.,1,5,1,Not available,1 spot,Partial Renovation,Lorri › Margahovit,"$25,000",USD,"ՄԱՐԳԱՀՈՎԻՏ ԳՅՈՒՂՈՒՄ ՎԱՃԱՌՈՒՄ ԵՄ ՍԵՓԱԿԱՆ ՏՈՒՆ180՝4 քառ մետր։ Տունը կառուցված է երկրաշարժից հետո։ Սեսմակայուն է։ հողամասի հետ միասին 4200ք՝ մետր է։ տանիքը նեռժավիկից է։ գազաֆիկացված է։ ունի բաղրամյան ։ տեսակի խնձորենիներ սալորենիներ տանձենիներ։ 25000$ սակարկելի, Անհրաժեշտության դեպքում զանգահարեք",Nov-25-2022_00-21,4200 sq.m.,,,,https://list.am/en/item/18182880
House,Bricks,100 sq.m.,1,3,1,,,Cosmetic Renovation,"Улица Камо 56, Степанаван","$35,000",USD,"Own house for sale, Stepanavan, Kamo 56Translated from Armenian",Nov-25-2022_00-21,1400 sq.m.,,,,https://list.am/en/item/18220408
House,Stone,1000 sq.m.,1,4,1,,,Partial Renovation,Lorri › Spitak,"$40,000",USD,"For sale, RA, c. One-story private house located at Arapnya 19, Spitak, the total area of which is 950 square meters. , of which 150 sq. M. The surface forms the building. There is also a stone 23x5 sq. M. Oversized garage that can also serve as business space. The detached house consists of a newly renovated aluminum roof, solid foundations and paneled fencing, all utilities are included.10 m from own house. There is a beautiful view of the rustling river in the distance, there is a children's playground nearby, and all this is surrounded by tall green trees.The location is suitable not only for living in the lap of nature in a beautiful environment, but also for serving as a hotel or other business premises.The price is negotiable.Translated from Armenian",Nov-25-2022_00-21,150 sq.m.,,,,https://list.am/en/item/18085395
House,Stone,240 sq.m.,2,4,2,Not available,1 spot,Partial Renovation,"Խնձորուտ 1-ին փողոց 107/1, Վանաձոր","$53,000",USD,"A private house is for sale in a 3-storey apple district.Built with all communal amenities after the earthquake. It is a very strong house.Has a large garage,For more information callTranslated from Armenian",Nov-25-2022_00-21,1200 sq.m.,,,,https://list.am/en/item/17246639
House,Stone,325 sq.m.,3,8+,2,By agreement,2 spots,Cosmetic Renovation,"Tsaturyan Street, Vanadzor","16,000,000 ֏",AMD,"Three floors. 120 m2, 1st floor basement garage for 2 cars. 2 floors, 4 rooms. 3 floors, 5 rooms, baxi. About 150m garden, REAL PEOPLE TAKING CALLS. NOT EXCHANGEABLETranslated from Armenian",Nov-25-2022_00-21,325 sq.m.,,,,https://list.am/en/item/17143410
House,Stone,500 sq.m.,3,8+,3+,,,Partial Renovation,Lorri › Vanadzor,"$35,000",USD,The house is located in Darpas. With all the amenities J. 044200540:Translated from Armenian,Nov-25-2022_00-21,3000 sq.m.,,,,https://list.am/en/item/16884733
Country House,Stone,90 sq.m.,2,4,1,,,Cosmetic Renovation,Lorri › Alaverdi,"$26,000",USD,"A two-storey summer house is for sale in Hagvi village, Lori region, at the foot of the forest. The first floor serves as a cellar. The house is neatly renovated, it has a barn ամ 2000 square meters of land next to the house, an orchard. There is permanent water and gas. For details, call the mentioned phone numbers.Translated from Armenian",Nov-25-2022_00-21,2000 sq.m.,,,,https://list.am/en/item/16478927
House,Stone,120 sq.m.,2,4,1,,,Partial Renovation,Lorri › Vanadzor,"$25,000",USD,"The house is located at the beginning of Aznvadzor village near Vanadzor. Has all the utilities. Hot and cold water: Water is permanent and free (own) The house has two floors, has a big barn. It has gardens and fruit trees. I planted a new garden, dwarf seedlings. The house is partially renovated. A mine is opened in the last parts of the village and a factory is built. The house is located very close to Vanadzor city.The house can also serve as a summer house.In case of questions, please call: We will agree...Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/15756543
House,Stone,196 sq.m.,2,7,1,Not available,2 spots,Partial Renovation,"Griboyedov street, Tashir","$12,000",USD,"Ташир, Село Дзорамут, находитса рядом ташир-тблиси межгасудаствени траси. Фруктови садови участк, гараж, каровник, вада, територя 1260 кв. М. Огарожена;",Nov-25-2022_00-21,1260 sq.m.,,,,https://list.am/en/item/17669773
House,Stone,144 sq.m.,1,3,2,,,No Renovation,Lorri › Stepanavan,"$11,000",USD,Недостроенный дом с участком 600м. Кв,Nov-25-2022_00-21,600 sq.m.,,,,https://list.am/en/item/17509472
House,Stone,100 sq.m.,1,3,1,,,Cosmetic Renovation,Lorri › Tashir,"1,300,000 ₽",RUB,"Жилой, тёплый дом со всеми коммуникациями. Индивидуальное отопление!Находится в Таширском районе село Саратовка. От города 3 км!1й жтаж подвальное помещение + гараж. 2й этаж жилой. На территории есть 2 больших отдельностоящих коровника на 40 голов. 1 строился в 2020 году. По остальным вопросам звоните или пишите на вайбер.",Nov-25-2022_00-21,5000 sq.m.,,,,https://list.am/en/item/17546842
House,Wooden,90 sq.m.,1,5,1,Available,Not available,Old Renovation,Lorri › Spitak,"$6,000",USD,"The amount is not paid together, read completely. A prefab house is for sale, 2 of the 9-10 houses are assembled, the rest is assembled, the frame can be left, the rest of the price is for questions. For saleThe building alone, negotiableTranslated from Armenian",Nov-25-2022_00-21,90 sq.m.,,,,https://list.am/en/item/17343861
House,Stone,2120 sq.m.,1,1,1,,,Old Renovation,Lorri › Lejan,"$5,000",USD,"1. Բնակելի տուն 24,5 քմ.2. Գոմ 47,6 քմ․3. Հացատուն 16.8 քմ.Ընդհանուր՝ 88.9 քմ.Տնամերձ հողամասի ընդհանուր մակերեսը՝ 2120 քմ.",Nov-25-2022_00-21,,,,,https://list.am/en/item/11902849
House,Stone,84 sq.m.,2,2,1,,,Old Renovation,Lorri › Haghpat,"$25,000",USD,"Տունը Հաղպատ գյուղում է, զբոսաշրջային մեծ շարժով։ Հողատարածքի ընդհանուր մակերեսը 600 քմ։ Տունը գյուղի կենտրոնում է, վանքի անմիջապես հարևանությամբ։ Երկհարգանի, առաջին հարկը ամբողջությամբ հարմարեցված բիզնես գործունեություն ծավալելու համար։ Մանրամասների համար' հեռախոսազանգով։Տատ շտապ Սակարկելի",Nov-25-2022_00-21,,,,,https://list.am/en/item/13024575
House,Stone,80 sq.m.,2,4,1,,,No Renovation,Lorri › Vanadzor,"$19,500",USD,"Плюс земельный участок 571 кв. М.Есть также полубетонное сооружение для постройки нового дома и сад с плодоносными деревьями (ореховые, вишнёвые и др.)Հնարավոր է նաև փոխանակում պետական բնակարանի հետ։",Nov-25-2022_00-21,,,,,https://list.am/en/item/17391804
House,Stone,170 sq.m.,3,5,1,Available,1 spot,Cosmetic Renovation,Lorri › Stepanavan,"$70,000",USD,"On the first floor there is a large living room, garage, bathroom, toilet, open balcony, fireplace, on the second floor - a large living room, two bedrooms - an open balcony, on the third floor a small balcony and 50 sq. M. Մ. There is a big room, it can be divided into parts, there are fruit trees in the land, the house has a sewer, a barn 10 by 4, a separate building by 5 by 8The house is in Pushkino villageTranslated from Armenian",Nov-25-2022_00-21,1700 sq.m.,,,,https://list.am/en/item/15999299
House,Stone,120 sq.m.,2,3,1,,,Cosmetic Renovation,"Նար-Դոսի փողոց 53, Վանաձոր","$35,000",USD,"Private house for sale in Vanadzor, Naros Dos 53A district, with two two-storey communal facilities, price $ 35,000.Translated from Armenian",Nov-25-2022_00-21,230 sq.m.,,,,https://list.am/en/item/17293220
House,Stone,98 sq.m.,1,4,1,Available,1 spot,Old Renovation,"Surb Nshan street, Stepanavan","8,000,000 ֏",AMD,"4 rooms, 2 corridors, kitchen, bathroom, there is a 55 square meter building next to the house, which can be used as a barn or garage, fruit trees, the house is located on 409 Division Street, the house has water, gas, electricityTranslated from Armenian",Nov-25-2022_00-21,200 sq.m.,,,,https://list.am/en/item/18055213
House,Stone,370 sq.m.,3,8+,3+,Not available,3 or more spots,Partial Renovation,"Երևանյան խճուղի, Վանաձոր","72,000,000 ֏",AMD,"For sale in 1992. Built three-storey building, which has an attic (under the roof) The building is very solid, which allows you to build an additional 1-2 floors if desired. The building is convenient to use as a hotel, restaurant, bank, kindergarten, etc. , also as a luxurious private house. The area of one floor is 120 square meters, but having a total land of 1000 square meters, it is possible to build auxiliary buildings. It has a closed parking lot for 3-4 cars. The walls of the two floors are partially leveled, the windows are euro aluminum. Three-phase electricity, water. It is located in Vanadzor, at 111/1 Yerevanyan Street (M3 interstate road) The area is fenced. We will listen to suggestions.Translated from Armenian",Nov-25-2022_00-21,1000 sq.m.,,,,https://list.am/en/item/17171030
House,Monolith,101 sq.m.,1,4,1,By agreement,Not available,Cosmetic Renovation,Lorri › Spitak,"$20,000",USD,"Urgent. Sofkhoz neighborhood near the center. The total area is 1240 square meters. Living area 101.6 square meters, ceiling height 3 meters. The area is fully fenced. Call for details. The price is final.Translated from Armenian",Nov-25-2022_00-21,1240 sq.m.,,,,https://list.am/en/item/17469107
Country House,Stone,220 sq.m.,2,1,1,Not available,Not available,No Renovation,Lorri › Odzun,"$15,000",USD,"The summer house is located in Ardvi village full of sights and is located 5 km away from Odzun. The village also has historical significance. Suitable for building a private house, guest house and hotel complex.Translated from Armenian",Nov-25-2022_00-21,1500 sq.m.,,,,https://list.am/en/item/17551221
House,Stone,168 sq.m.,2,6,1,,,Old Renovation,Lorri › Tashir,"$30,000",USD,"Երկհարկանի, մշակելի հողատարածքով ու բերքատու ծառներով տունը ունի երկու մեծ բաց պատշգամբ, լայն ու արեւկող ննջասենյակներ։ Սեփական տունը ունի մեծ ավտոկայան, եւ մեկ մեծ սենյակ, որը ծառայում է որպես նկուղ։ Տունը ապահովված է կոմունալ բոլոր հարմարություններովДом с двухэтажным, обрабатываемым земельным участком и плодовыми деревьями имеет два больших открытых балкона, широкие и солнечные спальни. Дом имеет большой гараж и одну большую комнату, которая служит подвалом. Дом оснащен всеми коммунальными удобствами",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/16676501
House,Cassette,70 sq.m.,1,3,1,Not available,Not available,Old Renovation,"Շահումյան 1-ին նրբանցք 7, Սպիտակ","$29,000",USD,"On the sidewalk in front of the city hall, it is convenient to use for business purposes, to call. There is a VIBER with a Russian number.Translated from Armenian",Nov-25-2022_00-21,500 sq.m.,,,,https://list.am/en/item/16383566
House,Stone,113 sq.m.,1,4,1,,,Partial Renovation,"Բաղրամյան փողոց 89, Ստեփանավան","7,500,000 ֏",AMD,Look at the posted picturesTranslated from Armenian,Nov-25-2022_00-21,749 sq.m.,,,,https://list.am/en/item/16769516
House,Stone,120 sq.m.,2,5,2,,,Major Renovation,"Եկեղեցու փողոց 4, Ստեփանավան","20,000,000 ֏",AMD,"Երկհարկանի առանձնատուն, յուրաքանչյուր հարկը կառուցված է առանձն մուտքերով եվ առանձին շահագործման համար, բոլոր կոմունալ հարմարություններով եվ խոհանոցային կահույքով, կարող է շահագործվել եվ որպես բնակելի տուն եվ որպես հյուրատուն, բակում առկա է մեքենայի համար կայանատեղի ծածկով, գտնվում է քաղաքի կենտրոնում, տեղադրված նկարները ռեալ են, կարելի է շահագործել անմիջապես",Nov-25-2022_00-21,,,,,https://list.am/en/item/12456782
