Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links
Everything Else,1600 sq.m.,"Andranik street, Vagharshapat","100,000 ֏",AMD,"A fenced barn is for rent 3 km away from Etchmiadzin. The total area is 1600 square meters, of which 500 square meters are buildings: Pig, Beef Nurseries, Havabun, Warehouse, Accommodation, Silos well. The area is in a corner position, it has 2 entrances. A large irrigation canal passes by. Has permanent water and light. The area is very suitable for both livestock, snkanoc and production activities.Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/15384790
Warehouse,90 sq.m.,Armavir › Echmiadzin,"60,000 ֏",AMD,"A warehouse with an area of 90 square meters (12.5x 8m) and a height of 4 meters is for rent. The dimensions of the gate are 3m wide and 4m high. It is a stone building, the roof is new stone. There are no pillars or walls inside. Suitable for use as a production area. Mebeli cex:Translated from Armenian",Nov-24-2022_22-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 month,By Agreement,Not included,https://list.am/en/item/17038705
Retail Space,120 sq.m.,"Aragatsi street, Vagharshapat","400,000 ֏",AMD,"Commercial space for rent in Zvartnots district of Etchmiadzin (buildings), in the busiest part. It is very suitable for any activity.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/18159265
Automotive Service,1000 sq.m.,Armavir › Echmiadzin,"450,000 ֏",AMD,"1000 sq / m area is for rent in Echmiadzin on the Arach line, of which 350 sq / m is a building. The building includes a 3-point car service office մաս vulcanization shop մաս office part. There is a 650 sq / m fenced area at the back of the building which can be used for any activity. All the communications are available. For questions, call the mentioned number.Translated from Armenian",Nov-24-2022_22-29,,,,,,,,,,https://list.am/en/item/16900888
Hotel,120 sq.m.,Armavir › Echmiadzin,"10,000 ֏",AMD,"For various events, an area with an indoor swimming pool and a sauna is available for rent, and each hour of the sauna costs 2000 HUF, rooms with a daily rent of 8-10,000, compartments, other outdoor space, including a swimming pool, a 2-3-room residential area for 100,000 per month, as well as a banquet hall. Moreover, you can bring your food with you or order it from us at reasonable prices.Code 7411Translated from Armenian",Nov-24-2022_22-29,Available,Not available,Second Line,Common from the Courtyard,,Direct Lease,1 month,1 month,Not included,https://list.am/en/item/18093055
Warehouse,3000 sq.m.,Armavir › Musaler,"1,000 ֏",AMD,"We offer a new generation of refrigerators for storage of any type of products in different temperature conditions -20 + 10, dry warehouses for different products. The address is located on Echmiadzin. On the Yerjan highway, call for the first line of cooperation.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/14967167
Functioning Business,400 sq.m.,Armavir › Argavand,"1,000,000 ֏",AMD,Call in case of questionsTranslated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18226638
Industrial and Manufacturing,120 sq.m.,Armavir › Parakar,"150,000 ֏",AMD,"Production spaces of various sizes are for rent.There is three-phase electricity, water.Suitable for small and medium production.About 2 km from Zvartnots airport, from the M5 interstate road is asphalted to the area.It is possible to adapt the space for you, in case of long-term lease.The entire area is videotaped.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18012363
Office Space,30 sq.m.,"Mesrop Mashtots street 73, Vagharshapat","100,000 ֏",AMD,"Office space for rent c. At 73/1 Mashtots Street, Etchmiadzin. Constant hot and cold water, air conditioning available. The area is 30 square meters.Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,Other,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/18341535
Everything Else,10 sq.m.,"Ստեփան Շահումյանի փողոց 79, Վաղարշապատ","40,000 ֏",AMD,"I offer cabinets designed for (manicurist, cosmetologist, elos hair removal) specialists. The area is fully renovated, all comfortable conditions are created for customers and staff.Translated from Armenian",Nov-24-2022_22-30,Available,Not available,First Line,Common from the Street,,Direct Lease,1 year,Without prepayment,Included,https://list.am/en/item/16790506
Office Space,200 sq.m.,"H. Abrahamyan street 19, Parakar","8,000 ֏",AMD,"The cost of 1 sq. M. What is it for?Office spaces in the business center are for rent.New renovation, bright and spacious spaces.The rent starts from 20 sq. M. From:The price includes utilities.You can call for details.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18182989
Retail Space,200 sq.m.,"H. Abrahamyan street 19, Parakar","$3,600",USD,"Commercial spaces on the first floor of the business center are for rent.The premises can be used for a supermarket, pharmacy, fast food restaurant and other similar activities.New renovation, bright and spacious spaces.You can call for details.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18182988
Office Space,110 sq.m.,"Mesrop Mashtots street, Vagharshapat","500,000 ֏",AMD,"Գտնվում է քաղաքի կենտրոնական փողոցում: Կապիտալ վերանորոգված է, փոխվել են բոլոր խողովակներն ու էլեկտրալարերը: Ետնամասում ունի ընդարձակ աշխատասենյակ, բոլոր հարմարություններով խոհանոց և սանհանգույց: Գտնվում է քաղաքի թիվ 2 դպրոցի հարևանությամբ:Расположен на центральной улице города. Полностью отремонтирован, поменяны все трубы и проводка. В задней части есть просторный офис, полностью оборудованная кухня и ванная комната. Находится рядом со школой №2 города.Located on the central street of the city. Completely renovated, all pipes and wiring have been changed. At the back there is a spacious office, fully equipped kitchen and bathroom. It is located next to school No. 2 of the city.",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18122708
Industrial and Manufacturing,25 sq.m.,Armavir › Parakar,"10,000 ֏",AMD,"A refrigeration complex is for rent in Parakar, near the highway. With temperature up to -25 °. Full or partial rent is possible. New equipment is installed.RefrigeratorRefrigeration complexXoledeynik:Holder:Morozilka:Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16958839
Multifunctional Space,392 sq.m.,Armavir › Armavir,"$1,200",USD,"Commercial area is for rentArmavir, Parakar-Tairov• 392/348 square meters• 200 square meters / land• 3 floors / stone /_•thoroughly reconstructed• Communications are available• 1st and 2nd floors operating halls• The 3rd floor is residential• Suitable for different types of activities.Code VM740Translated from Armenian",Nov-24-2022_22-30,Available,Not available,First Line,Common from the Street,,Direct Lease,1 year,1 month,Not included,https://list.am/en/item/17147913
Retail Space,120 sq.m.,Armavir › Echmiadzin,"550,000 ֏",AMD,"For rent, renovated 120 square ceiling, 3.5 meters, located at 6/58 in Aaragatsi district of Etchmazin.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18146399
Everything Else,,"Erevanyan street, Armavir","200,000 ֏",AMD,"Տրվում է վարձով կամ վաճառվում է տարածք Արմավիրի սկզբնամասում, Երևան-Արմավիր մայրուղու վրա;Տարածքը հարմար է տարբեր առևտրաարդյունաբերական գործունեություն ծավալելու համար;Նախկինում ծառայել է որպես մրգի և բանջարեղենի սառնարան;",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/14668189
Warehouse,250 sq.m.,"Echmiatsin Highway, Khoronk","300,000 ֏",AMD,"Slaughterhouse. It has electricity, three-phase, permanent water. For other questions, call the mentioned number.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17887437
Functioning Business,180 sq.m.,"2nd Street 9, Musaler","200,000 ֏",AMD,"Сдаётся в Аренду, 3-помещение по 60-кв. М",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17932026
Retail Space,65 sq.m.,"Sahmanapahner Street, Armavir","130,000 ֏",AMD,"VERY URGENT Newly renovated commercial space for rent on the border borderers street of Armavir city. Suitable for any activity: Beauty salon, flower salon, fast food restaurant, office (office), fresh meat shop, the area is in a crowded place.It has two separate entrances, you can do two different activities.A second pharmacy and a supermarket are nearby.Partial lease is possible.The price is negotiable.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18164816
Functioning Business,80 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,Տրվում է վարձով տարացք պատվալայի հարկում վերանորոգված,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/13230496
Retail Space,10 sq.m.,Armavir › Echmiadzin,"70,000 ֏",AMD,"The pavilion can be used as a shawarma bistro or for other activities. There are ghars. Accessories that can be provided. Call Vatsap for details. The pavilion is located in a very busy place. I have other similar pavilions on different surfaces in the city of Etchmiadzin, the first line on different streets.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17320770
Retail Space,280 sq.m.,Armavir › Echmiadzin,"850,000 ֏",AMD,"Commercial space for rent.Vazgen First Street 5/53Vazgen First Nalbandyan intersectionthe total area is 280 square meters. Of which 130 sq. M. BasementThe area is still under renovationGas, three-phase, heating.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18040618
Everything Else,2000 sq.m.,Armavir › Metsamor,"100,000 ֏",AMD,"For sale or for rent.Up to 45 animals can be kept in the barn.The barn has all its communal facilities, the ventilation is fully efficient.Has an area to put the grass.The barn is located in a very convenient place, where you will not have any problems to reach the barn by car.The barn is completely fenced.And you can see the whole barn on your own phone, sitting in your house, as the whole area is monitored by cameras.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16961168
Retail Space,60 sq.m.,"Բարեկամության փողոց 22, Ոսկեհատ","100,000 ֏",AMD,"Gutap, 60 m area, is located on Voskehat-Echmiadzin road.Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17017988
Office Space,200 sq.m.,"H. Abrahamyan street, Parakar","8,000 ֏",AMD,"Spaces for rent for office activities, starting from 20 square meters.The price is for 1 square meter, utilities includedTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18224076
Multifunctional Space,100 sq.m.,Armavir › Echmiadzin,"50,000 ֏",AMD,A space for rent not far from the square.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18190862
Everything Else,7500 sq.m.,"Զվարթնոց թաղամաս 8, Վաղարշապատ","$15,000",USD,"Type of land in privatization… Land has not been developed for 10 years, there are buildings in the southern areasTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17134365
Building,368 sq.m.,"Mesrop Mashtots street, Vagharshapat","1,000,000 ֏",AMD,"A multifunctional building is for long-term rent in the central part of Etchmiadzin, 30 m from the main street, Mashtots, and 350 m from the Square, Mother See of Holy Etchmiadzin. It was built in the 90s.The total area is 368 square metersIt consists of two floors;There are 2 halls on the ground floor, the largest of which is 90 square meters.On the second floor,spacious hallbathroomHall in zero conditionHeating: Cooling is provided by an air conditioner.The building has gas, electricity, water, three-phase electricity.Suitable for a bank, shop, development center, art house, kindergarten or other purpose.Code 16585135Translated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16585135
Agricultural Space,"10,000 sq.m.",Armavir › Musaler,"150,000 ֏",AMD,"Agricultural land in Musaler, 10,000 sq. M. M:There is waterTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17976429
Restaurant,520 sq.m.,Armavir › Echmiadzin,"$150,000",USD,A restaurant area is for sale or for rent in the center of Etchmiadzin. Araratyan and At the junction of Kamo streets. Call or write for details.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/16415194
Warehouse,64 sq.m.,"Էջմիածին փողոց 1, Պտղունք","100,000 ֏",AMD,"The area of the building is 64 square meters, it can be used as a warehouseThe building is located on the 1st line of the Yerevan-Etchmiadzin highway.Warehouse fee: 100,000 AMD per monthTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/17307201
Warehouse,60 sq.m.,"Էջմիածին փողոց 1, Պտղունք","250,000 ֏",AMD,"2 shelters with a capacity of 9 tons are for rent only long-term. For 5-6 months and for a long time, he is in EjmiatsinTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18018538
Office Space,21 sq.m.,Armavir › Echmiadzin,"80,000 ֏",AMD,Code 7890 /old code 7455/An office or shop space with its own bathroom is for rent in the middle part of Echmiadzin Kirov Street.Translated from Armenian,Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/11558617
Multifunctional Space,1000 sq.m.,Armavir › Echmiadzin,"800,000 ֏",AMD,"Commercial or office space is for rent in Etchmiadzin. There is a bathroom, air conditioning, a cabinet, a huge utility area with an additional door, etc.Price: Negotiable.In the same building, we have 2 other office, shop or residential areas with separate entrances, which we will also sell for 80,000 and 100,000, respectively.Code 7453Translated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Common from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/14843387
Industrial and Manufacturing,2200 sq.m.,Armavir › Armavir,"220,000 ֏",AMD,"Industrial space for rent, the building is 800 square meters renovated (the pictures are old, a lot of work has been done inside) it is a very good place for a businessSuitable for both production and storage use,For more information callThree-phase currentTranslated from Armenian",Nov-24-2022_22-30,Not available,Not available,First Line,Separate from the Street,,Sublease,6 months,1 month,Not included,https://list.am/en/item/16850816
Multifunctional Space,180 sq.m.,Armavir › Echmiadzin,"180,000 ֏",AMD,"A commercial or residential space is for rent on the first line of Teryan Street in Etchmiadzin. It has 2 rooms, 2 entrances, bathroom, etcTranslated from Armenian",Nov-24-2022_22-30,,,,,,,,,,https://list.am/en/item/18155244
Retail Space,50 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,"Commercial space for rent, which can be used for various purposes.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/18666057
Multifunctional Space,2060 sq.m.,Armavir › Yeraskhahun,"1,000,000 ֏",AMD,"It is suitable for keeping small and large cattle, it is fenced, it is also suitablefor warehouses, water and electricity will be shut off in the area, the area is 2.06 haTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Street,,Direct Lease,6 months,1 month,Not included,https://list.am/en/item/18704920
Retail Space,28 sq.m.,"Կամոյի փողոց 26, Վաղարշապատ","170,000 ֏",AMD,"Renovated and unused commercial space for rent on Kamo street. It has three-phase electricity, constant water and a bathroom, air conditioner is installed.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,1 year,2 months,Not included,https://list.am/en/item/18582312
Retail Space,95 sq.m.,"Hanrapetutyun street, Armavir","350,000 ֏",AMD,It has heating with all facilities.Translated from Armenian,Dec-15-2022_21-29,Available,Not available,First Line,Separate from the Street,,Direct Lease,5 years,By Agreement,By Agreement,https://list.am/en/item/18569493
Retail Space,400 sq.m.,Armavir › Echmiadzin,"750,000 ֏",AMD,"Space for long-term rent in Etchmiatsin, construction of the first floor of your own project is also possible, for other questions callTranslated from Armenian",Dec-15-2022_21-29,By agreement,Not available,First Line,Separate from the Street,Outdoor parking,Direct Lease,5 years,By Agreement,By Agreement,https://list.am/en/item/18596861
Office Space,150 sq.m.,"Չարենցի փողոց 4-րդ նրբանցք, Արմավիր","300,000 ֏",AMD,"Fully renovated space for rent in Armavir cityThe area canwas used as office space, beauty salon.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Courtyard,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18724355
Automotive Service,,"Էջմիածին փողոց 1, Պտղունք","50,000 ֏",AMD,"The area of the building is 45 square meters, it can be used as a car service pointIt is located on the 1st line of the Yerevan-Echmiadzin highway.These changes can be used as a point of auto serviceCar service fee is 50,000 AMD per monthTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,2 months,1 month,Not included,https://list.am/en/item/17307096
Agricultural Space,5500 sq.m.,Armavir › Araks,"3,000,000 ֏",AMD,"Greenhouses for rent, 18 greenhouses in Araks village of Etchmiadzin, 300 square meters each, 5500 square meters of land, and there is also a mobile home with all its amenities. The cost is AMD 3,000,000 per yearTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Street,,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18594192
Retail Space,24 sq.m.,"Եղիշե Չարենցի փողոց, Վաղարշապատ","50,000 ֏",AMD,"A shop is for rent at 1 Charents Street. First line, has a bathroom.If you have any questions, call or write an email.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,Without prepayment,Not included,https://list.am/en/item/18478430
Industrial and Manufacturing,54 sq.m.,Armavir › Echmiadzin,"150,000 ֏",AMD,"Duduk workshop with all machine tools is for long-term leasethe area has a front of 6 meters, a depth of 9 meters, a height of 3.6 meters and more, there is no concrete roof, it is covered with plywood and the roof is paneled.Lathe machines 1ka62, 2 pieces of lathe with tables, big tachilo, small tachilo, multi-functional sverlen, compressor with its hose with pulizater, forms for making duduk holes, 1 self, possible 2 self, disc, 2 dazda, 2 tables, I will mention small tools, for example rezet, swerlo...If necessary, I will explain the duduk preparation technology and inform you in detaila contract will be signed for at least 1 year and the new manufacturer should not enter my market.I have been producing for 10 years and I have quite a lot of duduks, we should not disturb each other's normal trade.Translated from Armenian",Dec-15-2022_21-29,Available,Not available,Second Line,Separate from the Street,Outdoor parking,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18691194
Restaurant,300 sq.m.,"Isakov St, Yerevan","500,000 ֏",AMD,"Location, location, location. Renting this 300 sq meters restaurant / shawarma house equipped with furniture, refrigerators, full kitchen, and grills. Great location by the airport off the street.Местоположение, местоположение, местоположение. Аренда этого ресторана/шаурмы площадью 300 квадратных метров оснащен мебелью, холодильниками, полностью оборудованной кухней и грилем. Отличное расположение рядом с аэропортом с улицы.",Dec-15-2022_21-29,Available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,3 months,Not included,https://list.am/en/item/18690096
Multifunctional Space,105 sq.m.,Armavir › Armavir,"90,000 ֏",AMD,"Площадь подходит для офиса. Коммерческих или других целей. Можно использовать как детский сад. Отдельные от подезда, выходы на улицу. Имеется газ, трехфазный счетчик электроэнергии санузел. Подходит под аренду. Цена договорная. Տարածքը հարմար է գրասենյակային, առևտրային և այլ նպատակով օգտագործելու համար։ Հնարավոր է օգտագործել որպես մանկապարտեզ։ Ունի 3 մուտք, Մուտքերը առանձնացված են շենքի մուտքերից, ունի եռաֆազ հոսանք, գազ, սանհանգույց։ Տարածքը վաճառվում է կամ տրվում է վարձով։",Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18720980
Warehouse,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,5 years,1 month,By Agreement,https://list.am/en/item/18585211
Industrial and Manufacturing,78 sq.m.,Armavir › Armavir,"150,000 ֏",AMD,Call in case of questionsTranslated from Armenian,Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Courtyard,Outdoor parking,Direct Lease,6 months,By Agreement,Not included,https://list.am/en/item/18618960
Multifunctional Space,90 sq.m.,"Արագած փողոց 16, Վաղարշապատ","5,000,000 ֏",AMD,"The building is capital, made of stone, has two basements + zalivka, there is water, electricity. One part is capital, the other is partial, for questions, call. Front part 13 x 6 x 8.5 metersTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,Other,Common from the Courtyard,,Direct Lease,5 years,By Agreement,By Agreement,https://list.am/en/item/18585266
Warehouse,2000 sq.m.,"Կարեն Դեմիրճյանի փողոց 1/22, Փարաքար","3,000,000 ֏",AMD,"Office and warehouse. Office, 2 floors, 300 square metersTranslated from Armenian",Dec-15-2022_21-29,Available,Not available,First Line,Separate from the Street,Outdoor parking,Direct Lease,3 months,By Agreement,Not included,https://list.am/en/item/18717140
Retail Space,1000 sq.m.,"H. Abrahamyan street 19, Parakar","$4,000",USD,"Commercial spaces are for rent. The spaces can be used for a supermarket, pharmacy, fast food restaurant and other similar activities.Translated from Armenian",Dec-15-2022_21-29,Not available,Available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,1 month,Not included,https://list.am/en/item/18444898
Agricultural Space,2000 sq.m.,Armavir › Echmiadzin,"1,500,000 ֏",AMD,It is in ready condition. The price is negotiable.Translated from Armenian,Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18458218
Retail Space,20 sq.m.,"Վահան Տերյանի փողոց, Վաղարշապատ","100,000 ֏",AMD,For rent commercial container very suitable for grocery store drug store auto parts etc. Call for inquiriesTranslated from Armenian,Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,5 years,By Agreement,By Agreement,https://list.am/en/item/18433648
Warehouse,200 sq.m.,"Mesrop Mashtots street, Vagharshapat","200,000 ֏",AMD,Warehouse and production premises for rent. The first lane on the highway to Etchmiadzin is equipped with cameras and security guards.Translated from Armenian,Dec-15-2022_21-29,By agreement,Not available,First Line,Separate from the Street,,Direct Lease,3 months,Without prepayment,By Agreement,https://list.am/en/item/18667475
Industrial and Manufacturing,250 sq.m.,Armavir › Tairov,"200,000 ֏",AMD,"A house for rent, not renovated, 60 square meters. Completely fenced. Iron gate.Water, sewer, electricity, internet available. It can also be used as a residential house or storage space.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Street,Outdoor parking,Direct Lease,1 month,By Agreement,Not included,https://list.am/en/item/18639450
Automotive Service,120 sq.m.,Armavir › Arshaluys,"15,000 ֏",AMD,All amenities are thereTranslated from Armenian,Dec-15-2022_21-29,Available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,6 months,By Agreement,By Agreement,https://list.am/en/item/18691122
Automotive Service,28 sq.m.,"Yerevanyan Street 29/3, Armavir","15,000 ֏",AMD,"It will be rented. It has a stone garage, box electricity, craftsmen can work in the garageTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,Garage,Direct Lease,5 years,By Agreement,By Agreement,https://list.am/en/item/18713886
Office Space,120 sq.m.,Armavir › Metsamor,"200,000 ֏",AMD,"Վարձով տարածք Մեծամոր քաղաքում 120քմ բոլոր կոմունալ հարմարություններով: Լույս, ջուր, ջեռուցում, գազ։Сдается в аренду помещение площадью 120кв. М. В городе Мецамор. Обустроена туалетом, светом, горячей и холодной питьевой водой, отоплением, газом. На верхнем этаже работает офис wildberries. Торг уместен в зависимости от срока аренды. Мецамор находится в 35км от Еревана)Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Separate from the Street,,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18391796
Hotel,2000 sq.m.,"Isakov St, Yerevan","$25,000",USD,"Renting 3 story building with 10 Room Hotel with VIP rooms, some rooms with full kitchen, bathrooms all new construction. Furthermore, included on 2nd floor the hotel, 1st floor Restaurant and Banquet Hall, basement another 600 square meters that can be used as night club or for additional rooms. Bonus, including next door shawarma grill house and second restaurant. This is ideal for investors who want to have already built Hotel and Restaurant business. Each floor is approximately 600 square meters and total of 3 floors. Also by the hotel a single restaurant and shawarma grill another 300 square meters with full kitchen and all equipment.Аренда 3-этажного здания с 10-комнатным отелем с VIP-комнатами, некоторые номера с полностью оборудованной кухней, ванные комнаты нового строительства. Кроме того, на 2-м этаже находится отель, ресторан и банкетный зал на 1-м этаже, подвал еще 600 квадратных метров, которые можно использовать в качестве ночного клуба или для дополнительных номеров. Бонус, включая соседнюю гриль-хаус в шаурме и второй ресторан. Это идеально подходит для инвесторов, которые хотят уже построить гостиничный и ресторанный бизнес. Каждый этаж составляет около 600 квадратных метров и в общей сложности 3 этажа. Также рядом с отелем есть один ресторан и гриль-шаурма еще на 300 квадратных метров с полностью оборудованной кухней и всем оборудованием.",Dec-15-2022_21-29,Available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,6 months,Included,https://list.am/en/item/18697550
Industrial and Manufacturing,200 sq.m.,"Պետրոզավոդսկ փողոց, Վաղարշապատ","450,000 ֏",AMD,"Կարի արտադրամաս/Швейный цехСдается в аренду готовый швейный цех (работал больше 30 лет) на 15-20 рабочих мест с оборудованием и товарным остатком (ткани и готовые женские одежды) Площадь цеха 200 м2,Подробности по телефону.",Dec-15-2022_21-29,,,,,,,,,,https://list.am/en/item/18551296
Retail Space,120 sq.m.,"Nar-Dos street 9, Vagharshapat","350,000 ֏",AMD,Commercial space for rentTranslated from Armenian,Dec-15-2022_21-29,Not available,Not available,Second Line,Separate from the Street,Outdoor parking,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18650282
Industrial and Manufacturing,"10,000 sq.m.","Մերձավանի խճուղի, Փարաքար",$500,USD,"It is rented in whole or in part. The area has a separate electricity substation. It is suitable for the organization of all kinds of productions, as well as for the parking of warehouse building equipment.Translated from Armenian",Dec-15-2022_21-29,Available,Not available,First Line,Separate from the Street,"Outdoor parking, covered parking, garage",Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18655595
Warehouse,200 sq.m.,Armavir › Echmiadzin,"120,000 ֏",AMD,"For questions, call in the area of TsakhboutsakanTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,Other,Separate from the Courtyard,,Direct Lease,2 years,By Agreement,By Agreement,https://list.am/en/item/18481234
Retail Space,30 sq.m.,"2-րդ փողոց 15, Մերձավան","100,000 ֏",AMD,"An operating grocery store is for rent at 1/1 Merdzavan Street 2. The store is located between residential buildings. There is a village hall, a kindergarten and a school next to the store. For other questions, call the indicated numbers.Translated from Armenian",Dec-15-2022_21-29,Available,Not available,Second Line,Common from the Street,,Direct Lease,1 year,By Agreement,By Agreement,https://list.am/en/item/18382799
Functioning Business,48 sq.m.,"Կամոյի փողոց, Վաղարշապատ","300,000 ֏",AMD,Code A015+ 30% intermediate feePublic space for rent (bistro)Along with the propertyIn the center of Etchmiadzin cityThe area is 48 square metersAshotFor more information callTranslated from Armenian,Dec-15-2022_21-29,Available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,Without prepayment,Not included,https://list.am/en/item/18653530
Retail Space,10 sq.m.,Armavir › Echmiadzin,"130,000 ֏",AMD,"An air-conditioned apartment is for rent in the center of Etchmiadzin, on Kirov street, it has air conditioning, it has been renovated, it has cold water.Translated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,1 month,Included,https://list.am/en/item/18618334
Office Space,100 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,"Operating business for rent100,000 dramsAMD 50,000 commissionTranslated from Armenian",Dec-15-2022_21-29,Available,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,Without prepayment,Not included,https://list.am/en/item/16267285
Everything Else,380 sq.m.,Armavir › Echmiadzin,"2,500,000 ֏",AMD,"Space for rent c. At a distance of 200 m from the Square in Echmiadzin. It has a parking lot, there is a bus stop in front of it serving 20 villages, it is suitable for all kinds of activities, it has gas, electricity, water, three-phase electricityTranslated from Armenian",Dec-15-2022_21-29,Not available,Not available,First Line,Common from the Street,,Direct Lease,2 years,Without prepayment,Not included,https://list.am/en/item/18559792
Industrial and Manufacturing,553 sq.m.,Armavir › Echmiadzin,"300,000 ֏",AMD,"K. A commercial space is for rent in Etchmiadzin, on the first line. The area is 553 square meters. There is a completely renovated office, 2 rest rooms and a bathroom. The cost is AMD 300,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Dec-15-2022_21-29,By agreement,Not available,First Line,Common from the Street,Outdoor parking,Direct Lease,1 year,By Agreement,Not included,https://list.am/en/item/18664269
